candidate,quarter,n_train,first_train,last_resolved
quarterly_reset_extra,2026-07-01,5340,2022-02-25,2026-06-30
quarterly_reset_logit,2023-01-01,1050,2022-02-25,2022-12-31
quarterly_reset_logit,2023-04-01,1330,2022-02-25,2023-03-31
quarterly_reset_logit,2023-07-01,1635,2022-02-25,2023-06-30
quarterly_reset_logit,2023-10-01,1965,2022-02-25,2023-09-30
quarterly_reset_logit,2024-01-01,2285,2022-02-25,2023-12-30
quarterly_reset_logit,2024-04-01,2570,2022-02-25,2024-03-30
quarterly_reset_logit,2024-07-01,2870,2022-02-25,2024-06-29
quarterly_reset_logit,2024-10-01,3195,2022-02-25,2024-09-28
quarterly_reset_logit,2025-01-01,3525,2022-02-25,2024-12-29
quarterly_reset_logit,2025-04-01,3810,2022-02-25,2025-03-29
quarterly_reset_logit,2025-07-01,4105,2022-02-25,2025-06-28
quarterly_reset_logit,2025-10-01,4435,2022-02-25,2025-09-30
quarterly_reset_logit,2026-01-01,4760,2022-02-25,2025-12-31
quarterly_reset_logit,2026-04-01,5030,2022-02-25,2026-03-31
quarterly_reset_logit,2026-07-01,5340,2022-02-25,2026-06-30
quarterly_window2_hist,2023-01-01,2450,2021-01-01,2022-12-31
quarterly_window2_hist,2023-04-01,2450,2021-04-01,2023-03-31
quarterly_window2_hist,2023-07-01,2445,2021-07-01,2023-06-30
quarterly_window2_hist,2023-10-01,2445,2021-10-01,2023-09-30
quarterly_window2_hist,2024-01-01,2445,2022-01-11,2023-12-30
quarterly_window2_hist,2024-04-01,2450,2022-04-01,2024-03-30
quarterly_window2_hist,2024-07-01,2450,2022-07-01,2024-06-29
quarterly_window2_hist,2024-10-01,2445,2022-10-01,2024-09-28
quarterly_window2_hist,2025-01-01,2450,2023-01-10,2024-12-29
quarterly_window2_hist,2025-04-01,2455,2023-04-01,2025-03-29
quarterly_window2_hist,2025-07-01,2445,2023-07-01,2025-06-28
quarterly_window2_hist,2025-10-01,2445,2023-10-03,2025-09-30
quarterly_window2_hist,2026-01-01,2450,2024-01-10,2025-12-31
quarterly_window2_hist,2026-04-01,2435,2024-04-02,2026-03-31
quarterly_window2_hist,2026-07-01,2445,2024-07-02,2026-06-30
quarterly_window3_hist,2023-01-01,3665,2020-01-01,2022-12-31
quarterly_window3_hist,2023-04-01,3665,2020-04-07,2023-03-31
quarterly_window3_hist,2023-07-01,3690,2020-07-01,2023-06-30
quarterly_window3_hist,2023-10-01,3690,2020-10-01,2023-09-30
quarterly_window3_hist,2024-01-01,3685,2021-01-01,2023-12-30
quarterly_window3_hist,2024-04-01,3690,2021-04-01,2024-03-30
quarterly_window3_hist,2024-07-01,3680,2021-07-01,2024-06-29
quarterly_window3_hist,2024-10-01,3675,2021-10-01,2024-09-28
quarterly_window3_hist,2025-01-01,3685,2022-01-11,2024-12-29
quarterly_window3_hist,2025-04-01,3690,2022-04-01,2025-03-29
quarterly_window3_hist,2025-07-01,3685,2022-07-01,2025-06-28
quarterly_window3_hist,2025-10-01,3685,2022-10-01,2025-09-30
quarterly_window3_hist,2026-01-01,3685,2023-01-10,2025-12-31
quarterly_window3_hist,2026-04-01,3675,2023-04-01,2026-03-31
quarterly_window3_hist,2026-07-01,3680,2023-07-01,2026-06-30
quarterly_decay1_hist,2023-01-01,14781,2011-01-13,2022-12-31
quarterly_decay1_hist,2023-04-01,15061,2011-01-13,2023-03-31
quarterly_decay1_hist,2023-07-01,15366,2011-01-13,2023-06-30
quarterly_decay1_hist,2023-10-01,15696,2011-01-13,2023-09-30
quarterly_decay1_hist,2024-01-01,16016,2011-01-13,2023-12-30
quarterly_decay1_hist,2024-04-01,16301,2011-01-13,2024-03-30
quarterly_decay1_hist,2024-07-01,16601,2011-01-13,2024-06-29
quarterly_decay1_hist,2024-10-01,16926,2011-01-13,2024-09-28
quarterly_decay1_hist,2025-01-01,17256,2011-01-13,2024-12-29
quarterly_decay1_hist,2025-04-01,17541,2011-01-13,2025-03-29
quarterly_decay1_hist,2025-07-01,17836,2011-01-13,2025-06-28
quarterly_decay1_hist,2025-10-01,18166,2011-01-13,2025-09-30
quarterly_decay1_hist,2026-01-01,18491,2011-01-13,2025-12-31
quarterly_decay1_hist,2026-04-01,18761,2011-01-13,2026-03-31
quarterly_decay1_hist,2026-07-01,19071,2011-01-13,2026-06-30
