scenario,slice,group,metric,block_dates,draws,mean_delta,ci_low,ci_high
calendar_assumed_replay,currency,UZS,logloss,20,500,-0.013328798526989864,-0.021113385767912954,-0.006991582706506047
calendar_assumed_replay,currency,UZS,auc,20,500,0.09267448663194706,0.048089072778476676,0.14556973764831574
calendar_assumed_replay,currency,UZS,brier,50,500,-0.003536904389389807,-0.005929388256644143,-0.001717444976280952
calendar_assumed_replay,currency,UZS,logloss,50,500,-0.013397140505674197,-0.022383387586961418,-0.006712170530688506
calendar_assumed_replay,currency,UZS,auc,50,500,0.0903625764611346,0.05327309014256663,0.13224293013307978
calendar_assumed_replay,year,2025,brier,20,500,-0.0031971684902528316,-0.004525193996678477,-0.002053849961599552
calendar_assumed_replay,year,2025,logloss,20,500,-0.010998270595996553,-0.01559516923893646,-0.0072412947444691214
calendar_assumed_replay,year,2025,auc,20,500,0.07769745014674005,0.05094756248108785,0.10650641194947852
calendar_assumed_replay,year,2025,brier,50,500,-0.003229538029103077,-0.004836317307930319,-0.0017749903614110213
calendar_assumed_replay,year,2025,logloss,50,500,-0.011117479656458866,-0.016460901508303857,-0.006384667450965157
calendar_assumed_replay,year,2025,auc,50,500,0.07705788583569012,0.04665823092750754,0.1103336014168301
calendar_assumed_replay,year,2026,brier,20,500,-0.0051478370716424035,-0.009641628955577193,-0.0020469303531779927
calendar_assumed_replay,year,2026,logloss,20,500,-0.0192993413603971,-0.03638972859128325,-0.007642962962396949
calendar_assumed_replay,year,2026,auc,20,500,0.0886132356417721,0.04325155846830007,0.14222680149920058
calendar_assumed_replay,year,2026,brier,50,500,-0.0051079865048828275,-0.009564529610897078,-0.0018562766353323397
calendar_assumed_replay,year,2026,logloss,50,500,-0.01913501143959484,-0.03572637746421572,-0.007399541540338763
calendar_assumed_replay,year,2026,auc,50,500,0.08784705340457932,0.04233889250830561,0.1422422258005075
calendar_assumed_replay,currency_year,AMD:2025,brier,20,500,-0.0036177032219007056,-0.005598685455569188,-0.0018692841754395437
calendar_assumed_replay,currency_year,AMD:2025,logloss,20,500,-0.011700356660471034,-0.017493587565079367,-0.006593238816464904
calendar_assumed_replay,currency_year,AMD:2025,auc,20,500,0.08482032767684092,0.05579020090390529,0.12182586884946038
calendar_assumed_replay,currency_year,AMD:2025,brier,50,500,-0.003576103779079603,-0.0058063557620178265,-0.0016166837501664767
calendar_assumed_replay,currency_year,AMD:2025,logloss,50,500,-0.01154288244423008,-0.01817225817345954,-0.005927461478936074
calendar_assumed_replay,currency_year,AMD:2025,auc,50,500,0.08259307765249765,0.04898293934318181,0.1209660262324883
calendar_assumed_replay,currency_year,AMD:2026,brier,20,500,-0.005510183385418205,-0.011513197686359958,-0.0011307166532239135
calendar_assumed_replay,currency_year,AMD:2026,logloss,20,500,-0.02018917340422526,-0.042172334334066634,-0.004537480938398576
calendar_assumed_replay,currency_year,AMD:2026,auc,20,500,0.10410478046907366,0.03202283454831516,0.19693496395616483
calendar_assumed_replay,currency_year,AMD:2026,brier,50,500,-0.005374901251013714,-0.011906634679992338,-0.0004694521912358462
calendar_assumed_replay,currency_year,AMD:2026,logloss,50,500,-0.019680587740733717,-0.04356665538451957,-0.001839591330867644
calendar_assumed_replay,currency_year,AMD:2026,auc,50,500,,,
calendar_assumed_replay,currency_year,KGS:2025,brier,20,500,-0.004902327501502852,-0.006911322087423404,-0.003169237423995854
calendar_assumed_replay,currency_year,KGS:2025,logloss,20,500,-0.01596231810945446,-0.021979156721748105,-0.01050775535026986
calendar_assumed_replay,currency_year,KGS:2025,auc,20,500,0.10492327848300559,0.0669451551856735,0.1442854136101318
calendar_assumed_replay,currency_year,KGS:2025,brier,50,500,-0.004801881278206795,-0.007378190153658435,-0.00279156733798493
calendar_assumed_replay,currency_year,KGS:2025,logloss,50,500,-0.015679072091536336,-0.02343866794254528,-0.009430905891452492
calendar_assumed_replay,currency_year,KGS:2025,auc,50,500,0.10337493717355213,0.06481212363714547,0.14844149897496764
calendar_assumed_replay,currency_year,KGS:2026,brier,20,500,-0.004657042540841918,-0.009266651520587811,-0.0013509995112777405
calendar_assumed_replay,currency_year,KGS:2026,logloss,20,500,-0.016876359666168853,-0.034273729693722256,-0.004517153099324279
calendar_assumed_replay,currency_year,KGS:2026,auc,20,500,0.09964343209624238,0.032562831914462353,0.18320810987185568
calendar_assumed_replay,currency_year,KGS:2026,brier,50,500,-0.0048271923548540395,-0.010096297560433638,-0.0013258662347046127
calendar_assumed_replay,currency_year,KGS:2026,logloss,50,500,-0.017539572306099364,-0.0374800357159404,-0.004742845905859647
calendar_assumed_replay,currency_year,KGS:2026,auc,50,500,0.09854568756693792,0.03431682787124746,0.17585584848795424
calendar_assumed_replay,currency_year,KZT:2025,brier,20,500,-0.000735189299722576,-0.0020171696742518988,0.0003909286458646438
calendar_assumed_replay,currency_year,KZT:2025,logloss,20,500,-0.0037907778155238203,-0.0087520844074248,0.0004217108646234498
calendar_assumed_replay,currency_year,KZT:2025,auc,20,500,0.07233568311627755,0.0410717147597048,0.1112053571428571
calendar_assumed_replay,currency_year,KZT:2025,brier,50,500,-0.0007222394560630332,-0.0019672051384073946,0.000695707458825147
calendar_assumed_replay,currency_year,KZT:2025,logloss,50,500,-0.0037416872008501755,-0.008761342931263563,0.0017894333425738126
calendar_assumed_replay,currency_year,KZT:2025,auc,50,500,0.07169648860083362,0.04433338167037866,0.11274164260903569
calendar_assumed_replay,currency_year,KZT:2026,brier,20,500,-0.006192901043506821,-0.009845967418243432,-0.003019449911068006
calendar_assumed_replay,currency_year,KZT:2026,logloss,20,500,-0.02492911015764215,-0.03954815005504821,-0.012280029743549092
calendar_assumed_replay,currency_year,KZT:2026,auc,20,500,0.11370714651713679,0.05808771588714871,0.1757301808031936
calendar_assumed_replay,currency_year,KZT:2026,brier,50,500,-0.006125093923700362,-0.009616840072449213,-0.003129339883109667
calendar_assumed_replay,currency_year,KZT:2026,logloss,50,500,-0.024732773754955972,-0.03787640038787173,-0.013299638660805625
calendar_assumed_replay,currency_year,KZT:2026,auc,50,500,,,
calendar_assumed_replay,currency_year,TJS:2025,brier,20,500,-0.004414563193468912,-0.006127687628318316,-0.0028970244465383495
calendar_assumed_replay,currency_year,TJS:2025,logloss,20,500,-0.014712512203829351,-0.020253011352099892,-0.009771822637946724
calendar_assumed_replay,currency_year,TJS:2025,auc,20,500,0.09654909762343797,0.05677644213540325,0.14403254843639063
