scenario,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta_identity,ece_delta_identity,dates
calendar_assumed_replay,currency_year,TJS:2025,7300,0.14246575342465753,0.18630686107978425,0.12076813930032133,0.4011469299819107,0.04391455129388575,0.1251748506388869,0.4158465592078505,0.048678490311534796,-0.004406711338565558,-0.014699629225939814,0.6315524391742444,0.21465877408929496,0.0968961968542641,-0.004763939017649044,365
calendar_assumed_replay,currency_year,TJS:2026,4340,0.18433179723502305,0.1740094553048829,0.13916322875646459,0.44126457460613855,0.05456612172085332,0.14315133182530423,0.45527276590934057,0.033601910408616646,-0.003988103068839649,-0.014008191303202022,0.7203285663841807,0.37505642751497187,0.0840635593220338,0.02096421131223667,217
calendar_assumed_replay,currency_year,UZS:2025,7300,0.07945205479452055,0.16336788250540513,0.07758376433185034,0.294584972344775,0.08393319340549049,0.07997022076485433,0.30365805984243327,0.0888058184220555,-0.002386456433003989,-0.009073087497658283,0.6485283251231526,0.17391441913190506,0.05956537356321834,-0.004872625016565005,365
calendar_assumed_replay,currency_year,UZS:2026,4340,0.2626728110599078,0.15630021008367426,0.19218816484485438,0.5701984368675233,0.1070696806330096,0.19752076750196887,0.5903598439130353,0.11284218266784682,-0.0053326026571144935,-0.02016140704551206,0.7414233826754386,0.4707298394870292,0.09542351973684216,-0.005772502034837215,217
no_same_day_receipt,currency,AMD,11640,0.13402061855670103,0.18723670736825002,0.11616502988420306,0.39017966211932675,0.05326012125256338,0.11903200910290426,0.39977420778853656,0.054104465407737355,-0.0028669792187012016,-0.009594545669209809,0.6362487281237281,0.2067405724503664,0.06002391127391127,-0.0008443441551739747,582
no_same_day_receipt,currency,KGS,11640,0.1254295532646048,0.1750876012174517,0.1100237721141853,0.37443624390045466,0.04965804795284688,0.11308252617448206,0.384643831402018,0.053989410718367076,-0.0030587540602967506,-0.010207587501563364,0.6414837379228678,0.19288010471627598,0.06698152434265414,-0.004331362765520194,582
no_same_day_receipt,currency,KZT,11640,0.12027491408934708,0.14063464003995763,0.10176195114828634,0.35141778006156016,0.035429777539238386,0.10320603696945604,0.357655081734231,0.03533524719467519,-0.0014440858211696994,-0.006237301672670836,0.64699462890625,0.22784137061786836,0.06178034319196435,9.453034456319287e-05,582
no_same_day_receipt,currency,TJS,11640,0.15807560137457044,0.17717804122648118,0.127098145987255,0.41373149795785946,0.030919568619484264,0.129160371089895,0.42099576386148724,0.020782374792594954,-0.0020622251026400085,-0.007264265903627776,0.6742598436113576,0.2678633091472616,0.04974755989352264,0.01013719382688931,582
no_same_day_receipt,currency,UZS,11640,0.14776632302405499,0.1587920450408143,0.12121914967921375,0.3992242311310766,0.011617565685231713,0.12319711098425237,0.4066952719841142,0.02877540380763024,-0.0019779613050386197,-0.007471040853037625,0.6677074444392348,0.24515500568579524,0.05174905054388601,-0.017157838122398524,582
no_same_day_receipt,year,2025,36500,0.08712328767123288,0.17229998095632698,0.08632313147294869,0.31730533758569934,0.08518283165042609,0.08852198463711668,0.3244545718041556,0.0902030936735854,-0.0021988531641679854,-0.007149234218456257,0.6432355064667377,0.13394776176963386,0.04628531601319774,-0.005020262023159305,365
no_same_day_receipt,year,2026,21700,0.22119815668202766,0.1601928415321686,0.1639154741669291,0.5010042382812906,0.06966196451962699,0.16633733239822865,0.5108508255279091,0.07289754626371776,-0.002421858231299562,-0.009846587246618466,0.7062799063116371,0.397487468059252,0.04974268984220909,-0.0032355817440907764,217
no_same_day_receipt,currency_year,AMD:2025,7300,0.0821917808219178,0.19420369171069438,0.08967979071342834,0.33034845541659885,0.11201191088877653,0.0925196253396547,0.3388560258061152,0.11791385294949502,-0.002839834626226362,-0.008507570389516328,0.6115907960199005,0.11239742385044385,0.05214950248756223,-0.005901942060718493,365
no_same_day_receipt,currency_year,AMD:2026,4340,0.22119815668202766,0.17551804706874682,0.1607139344802066,0.4908174061123943,0.06465973786849383,0.1636265716539922,0.5022402742566647,0.0723224132318624,-0.0029126371737855927,-0.011422868144270404,0.7126688856015779,0.41219592358453444,0.06518337031558186,-0.007662675363368579,217
no_same_day_receipt,currency_year,KGS:2025,7300,0.0821917808219178,0.1811708112941613,0.08804311503514224,0.32476719873938836,0.0989790304722435,0.09171383119123691,0.3363194500439807,0.10839607676542828,-0.0036707161560946694,-0.011552251304592365,0.5859089552238806,0.09976195570163654,0.07231368159203988,-0.00941704629318478,365
no_same_day_receipt,currency_year,KGS:2026,4340,0.19815668202764977,0.16485547366906916,0.1469958450812393,0.4579809511990222,0.051597577548028656,0.14902526197579302,0.4659267770042468,0.05582047509401805,-0.002029416894553715,-0.007945825805224571,0.730134155306068,0.40360893562460803,0.06258253140871428,-0.004222897545989396,217
no_same_day_receipt,currency_year,KZT:2025,7300,0.049315068493150684,0.14523576651346967,0.05367184682684793,0.23141443589165855,0.0974448066970679,0.05418311243846368,0.2333293064507622,0.09866948510571152,-0.000511265611615748,-0.0019148705591036375,0.6788106388088376,0.1943815767724556,0.016502961895613177,-0.0012246784086436258,365
no_same_day_receipt,currency_year,KZT:2026,4340,0.23963133640552994,0.1328954180914236,0.18265083629724957,0.5532667230201505,0.11430729244840894,0.1856639515031529,0.5667744733400656,0.11690145832438913,-0.003013115205903333,-0.013507750319915135,0.7259625582750582,0.43601304563798404,0.08162529137529129,-0.0025941658759801867,217
no_same_day_receipt,currency_year,TJS:2025,7300,0.14246575342465753,0.17974671778956552,0.12091590263824753,0.40116653538782177,0.03743904542168274,0.12337170081523428,0.4095402509336903,0.042407652770546894,-0.0024557981769867537,-0.00837371554586852,0.6265441447530106,0.20860357865796317,0.06747450233472596,-0.004968607348864153,365
no_same_day_receipt,currency_year,TJS:2026,4340,0.18433179723502305,0.17285745622405813,0.13749685023788966,0.43486611241898304,0.05613874344098071,0.1388970745472736,0.44026425334833463,0.05182762765378113,-0.0014002243093839406,-0.005398140929351591,0.7403871822033898,0.3907855396958714,0.04432062146892657,0.004311115787199581,217
no_same_day_receipt,currency_year,UZS:2025,7300,0.07945205479452055,0.1611429174737441,0.07930500215107747,0.2988300624930291,0.08169086267922351,0.0808216534009938,0.30422782578622976,0.08527989868360902,-0.0015166512499163315,-0.00539776329320063,0.6260285816912972,0.13564757935877403,0.02651221264367809,-0.0035890360043855096,365
no_same_day_receipt,currency_year,UZS:2026,4340,0.2626728110599078,0.15483781260754526,0.1917199047380605,0.5680899986559029,0.11207303587322578,0.19447380231093153,0.5790483496902331,0.1183256315851485,-0.0027538975728710335,-0.010958351034330183,0.748742461622807,0.4768435830386978,0.0477097039473684,-0.006252595711922715,217
