origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,n_model_train,weight_sum,local_counts,meta_n,meta_prefer_extra,brier_count_min,brier_count_max,extra_weight_min,extra_weight_max
2024-04-01,extra_roll2,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,1279,,,,,,,,
2024-04-01,extra_roll3,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,1413,,,,,,,,
2024-04-01,extra_decay730,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,1413,975.6996534054019,,,,,,,
2024-04-01,local_extra,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,1413,,"{""AMD"": 285, ""KGS"": 283, ""KZT"": 274, ""TJS"": 292, ""UZS"": 279}",,,,,,
2024-04-01,router_extra_local,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,1413,,,1172.0,505.0,,,,
2024-07-01,extra_roll2,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,1318,,,,,,,,
2024-07-01,extra_roll3,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,1564,,,,,,,,
2024-07-01,extra_decay730,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,1564,1034.4727338486096,,,,,,,
2024-07-01,local_extra,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,1564,,"{""AMD"": 319, ""KGS"": 312, ""KZT"": 306, ""TJS"": 320, ""UZS"": 307}",,,,,,
2024-07-01,router_extra_local,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,1564,,,1323.0,581.0,,,,
2024-10-01,extra_roll2,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,1316,,,,,,,,
2024-10-01,extra_roll3,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,1737,,,,,,,,
2024-10-01,extra_decay730,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,1737,1108.9589765425962,,,,,,,
2024-10-01,local_extra,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,1737,,"{""AMD"": 352, ""KGS"": 352, ""KZT"": 336, ""TJS"": 355, ""UZS"": 342}",,,,,,
2024-10-01,router_extra_local,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,1737,,,1496.0,673.0,,,,
2025-01-01,extra_roll2,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,1333,,,,,,,,
2025-01-01,extra_roll3,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,1951,,,,,,,,
2025-01-01,extra_decay730,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,1951,1215.4588792113057,,,,,,,
2025-01-01,local_extra,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,1951,,"{""AMD"": 397, ""KGS"": 396, ""KZT"": 373, ""TJS"": 400, ""UZS"": 385}",,,,,,
2025-01-01,router_extra_local,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,1951,,,1710.0,793.0,,,,
2025-04-01,extra_roll2,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,1257,,,,,,,,
2025-04-01,extra_roll3,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,1921,,,,,,,,
2025-04-01,extra_decay730,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,2055,1212.8750150036592,,,,,,,
2025-04-01,local_extra,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,2055,,"{""AMD"": 417, ""KGS"": 416, ""KZT"": 395, ""TJS"": 422, ""UZS"": 405}",,,,,,
2025-04-01,router_extra_local,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,2055,,,1814.0,848.0,,,,
2025-07-01,extra_roll2,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,1204,,,,,,,,
2025-07-01,extra_roll3,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,1931,,,,,,,,
2025-07-01,extra_decay730,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,2177,1225.6884977025197,,,,,,,
2025-07-01,local_extra,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,2177,,"{""AMD"": 441, ""KGS"": 435, ""KZT"": 421, ""TJS"": 452, ""UZS"": 428}",,,,,,
2025-07-01,router_extra_local,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,2177,,,1936.0,900.0,,,,
2025-10-01,extra_roll2,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,1185,,,,,,,,
2025-10-01,extra_roll3,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,1933,,,,,,,,
2025-10-01,extra_decay730,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,2354,1287.5005416692707,,,,,,,
