candidate,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps,cny_weight
cny060_anchor040,quarter,2023Q4,320,85,1.3522727272727273,0.215625,0.47058823529411764,2.1824381926683714,33.35047824937192,0.6
cny060_anchor040,currency,TJS,494,136,1.3259052924791086,0.34615384615384615,0.5735294117647058,1.656862745098039,132.26781955716385,0.6
cny060_anchor040,currency,UZS,494,131,1.277158774373259,0.32388663967611336,0.549618320610687,1.6969465648854962,120.31553865443716,0.6
cny060_anchor040,currency,KGS,494,136,1.3259052924791086,0.32186234817813764,0.5073529411764706,1.5763041065482797,74.62242731957785,0.6
cny060_anchor040,currency,AMD,494,128,1.2479108635097493,0.33805668016194335,0.5703125,1.6870321856287425,138.9457153731875,0.6
cny060_anchor040,currency,KZT,494,135,1.3161559888579388,0.3097165991902834,0.562962962962963,1.8176712660372794,100.52544474729964,0.6
cny070_anchor030,overall,all,2470,660,1.286908077994429,0.32793522267206476,0.5409090909090909,1.649438832772166,112.38460185714824,0.7
cny070_anchor030,year,2022,1235,329,1.301129943502825,0.2777327935222672,0.47112462006079026,1.6963233404521165,128.62539366300328,0.7
cny070_anchor030,quarter,2022Q1,280,61,1.0810126582278479,0.30357142857142855,0.7049180327868853,2.322082931533269,334.1738162407904,0.7
cny070_anchor030,quarter,2022Q2,300,83,1.291111111111111,0.09666666666666666,0.14457831325301204,1.495637723307021,-41.25707247106021,0.7
cny070_anchor030,quarter,2022Q3,330,94,1.4461538461538461,0.296969696969697,0.3829787234042553,1.2896222318714718,56.74745580681204,0.7
cny070_anchor030,quarter,2022Q4,325,91,1.4,0.40307692307692305,0.7032967032967034,1.7448200654307526,220.03547135931353,0.7
cny070_anchor030,year,2023,1235,331,1.309039548022599,0.3781376518218624,0.6102719033232629,1.6138882239919263,96.24194172383613,0.7
cny070_anchor030,quarter,2023Q1,280,82,1.4349999999999998,0.4857142857142857,0.6219512195121951,1.2804878048780488,78.64813022253054,0.7
cny070_anchor030,quarter,2023Q2,305,88,1.368888888888889,0.4,0.75,1.875,161.3202607910852,0.7
cny070_anchor030,quarter,2023Q3,330,84,1.2923076923076924,0.42424242424242425,0.5714285714285714,1.346938775510204,89.25939111397113,0.7
cny070_anchor030,quarter,2023Q4,320,77,1.225,0.215625,0.4805194805194805,2.22849614153962,48.22031466432705,0.7
cny070_anchor030,currency,TJS,494,133,1.2966573816155988,0.34615384615384615,0.5789473684210527,1.672514619883041,134.61980318206597,0.7
cny070_anchor030,currency,UZS,494,130,1.267409470752089,0.32388663967611336,0.5384615384615384,1.6624999999999999,115.80648494164474,0.7
cny070_anchor030,currency,KGS,494,133,1.2966573816155988,0.32186234817813764,0.49624060150375937,1.54177897574124,76.8344070062428,0.7
cny070_anchor030,currency,AMD,494,128,1.2479108635097493,0.33805668016194335,0.5546875,1.6408121257485029,133.60187429913427,0.7
cny070_anchor030,currency,KZT,494,136,1.3259052924791086,0.3097165991902834,0.5367647058823529,1.7330834294502115,102.16576704389541,0.7
cny075_anchor025,overall,all,2470,661,1.288857938718663,0.32793522267206476,0.5355521936459909,1.633103602846417,109.36328885667562,0.75
cny075_anchor025,year,2022,1235,343,1.356497175141243,0.2777327935222672,0.4577259475218659,1.6480803066749399,117.64688283112291,0.75
cny075_anchor025,quarter,2022Q1,280,69,1.2227848101265824,0.30357142857142855,0.6231884057971014,2.052855924978687,227.2150927171997,0.75
cny075_anchor025,quarter,2022Q2,300,89,1.3844444444444444,0.09666666666666666,0.16853932584269662,1.743510267338241,-4.806651927648483,0.75
cny075_anchor025,quarter,2022Q3,330,94,1.4461538461538461,0.296969696969697,0.3723404255319149,1.2537993920972643,54.03833554735698,0.75
