clock,h,origin,n_train,n_query,model_fit,last_target_maturity,n_positive
perp_1000,3,2025-10-01,2955,255,True,2025-09-27,1112.0
perp_1000,3,2026-01-01,3210,215,True,2025-12-27,1172.0
perp_1000,3,2026-04-01,3425,245,True,2026-03-28,1247.0
perp_1000,3,2026-07-01,3670,205,True,2026-06-27,1326.0
perp_1000,5,2023-01-01,290,220,False,,
perp_1000,5,2023-04-01,505,240,True,2023-03-29,178.0
perp_1000,5,2023-07-01,745,255,True,2023-06-28,263.0
perp_1000,5,2023-10-01,1005,255,True,2023-09-28,370.0
perp_1000,5,2024-01-01,1265,225,True,2023-12-29,442.0
perp_1000,5,2024-04-01,1490,230,True,2024-03-29,530.0
perp_1000,5,2024-07-01,1720,250,True,2024-06-28,570.0
perp_1000,5,2024-10-01,1970,255,True,2024-09-27,662.0
perp_1000,5,2025-01-01,2225,225,True,2024-12-29,752.0
perp_1000,5,2025-04-01,2450,235,True,2025-03-28,790.0
perp_1000,5,2025-07-01,2685,265,True,2025-06-27,828.0
perp_1000,5,2025-10-01,2945,255,True,2025-09-26,932.0
perp_1000,5,2026-01-01,3200,215,True,2025-12-26,985.0
perp_1000,5,2026-04-01,3415,245,True,2026-03-27,1048.0
perp_1000,5,2026-07-01,3660,205,True,2026-06-26,1103.0
perp_1000,10,2023-01-01,270,220,False,,
perp_1000,10,2023-04-01,485,240,False,,
perp_1000,10,2023-07-01,725,255,True,2023-06-28,237.0
perp_1000,10,2023-10-01,985,255,True,2023-09-28,316.0
perp_1000,10,2024-01-01,1245,225,True,2023-12-29,351.0
perp_1000,10,2024-04-01,1470,230,True,2024-03-29,424.0
perp_1000,10,2024-07-01,1700,250,True,2024-06-28,455.0
perp_1000,10,2024-10-01,1950,255,True,2024-09-27,518.0
perp_1000,10,2025-01-01,2205,225,True,2024-12-29,606.0
perp_1000,10,2025-04-01,2430,235,True,2025-03-28,620.0
perp_1000,10,2025-07-01,2665,265,True,2025-06-27,648.0
perp_1000,10,2025-10-01,2925,255,True,2025-09-26,730.0
perp_1000,10,2026-01-01,3180,215,True,2025-12-26,766.0
perp_1000,10,2026-04-01,3395,245,True,2026-03-27,816.0
perp_1000,10,2026-07-01,3640,205,True,2026-06-26,845.0
perp_1000,20,2023-01-01,230,220,False,,
perp_1000,20,2023-04-01,450,240,False,,
perp_1000,20,2023-07-01,685,255,True,2023-06-28,193.0
perp_1000,20,2023-10-01,950,255,True,2023-09-28,275.0
perp_1000,20,2024-01-01,1205,225,True,2023-12-29,294.0
perp_1000,20,2024-04-01,1430,230,True,2024-03-29,330.0
perp_1000,20,2024-07-01,1665,250,True,2024-06-28,366.0
perp_1000,20,2024-10-01,1910,255,True,2024-09-27,398.0
perp_1000,20,2025-01-01,2165,225,True,2024-12-29,476.0
perp_1000,20,2025-04-01,2390,235,True,2025-03-28,476.0
perp_1000,20,2025-07-01,2630,265,True,2025-06-28,488.0
perp_1000,20,2025-10-01,2885,255,True,2025-09-26,543.0
perp_1000,20,2026-01-01,3140,215,True,2025-12-26,569.0
perp_1000,20,2026-04-01,3360,245,True,2026-03-28,595.0
perp_1000,20,2026-07-01,3605,205,True,2026-06-27,629.0
