candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
hold_1630,3,2023-04-01,1330,470,0.3658762849952292,305,False,-0.8167965178982831,"[0.44249745193442663, 0.04667810615118265, -0.049782147825374656, -0.010434722112873631, 0.16419116193358121, -0.152347773358647]",2023-03-29,2022-02-24
hold_1630,3,2023-07-01,1635,605,0.3828920459976094,330,False,-0.6321767603134338,"[0.5123599265494309, -0.06569112563577134, -0.17655797665992914, -0.1289029540698982, 0.026533016578042835, -0.2558368407012384]",2023-06-28,2022-02-24
hold_1630,3,2023-10-01,1965,775,0.41006345821624496,320,False,-0.5420891567328234,"[0.577587196299803, -0.05935903831373786, -0.14827804476132064, -0.07879288365488851, 0.06076157163014516, -0.2919899144342464]",2023-09-28,2022-02-24
hold_1630,3,2024-01-01,2290,882,0.3951129242096612,285,False,-0.5893965632222704,"[0.6503671812077341, -0.05305142207243181, -0.11394434227435954, -0.06916229987356516, -0.04997623570949271, -0.278464553639615]",2023-12-29,2022-02-24
hold_1630,3,2024-04-01,2575,993,0.3946140307465135,300,False,-0.5929282479524441,"[0.7033704138475715, -0.05102270802126066, -0.08890297226277352, -0.07873269781774005, -0.018974910221051085, -0.3318120337395873]",2024-03-29,2022-02-24
hold_1630,3,2024-07-01,2875,1070,0.3741886395881561,325,False,-0.6597740451578323,"[0.7219057320863, -0.06286344996572212, -0.12297427735240175, -0.0743404172264246, -0.04950888053021036, -0.3249210886749157]",2024-06-28,2022-02-24
hold_1630,3,2024-10-01,3205,1211,0.38219312261458716,330,False,-0.6148366413061002,"[0.6350409671156068, -0.08019646945385256, -0.15324391777417282, -0.00952907076479277, -0.05712058503921232, -0.2935775839021268]",2024-09-28,2022-02-24
hold_1630,3,2025-01-01,3535,1355,0.3893186328690728,285,False,-0.5924085512470751,"[0.6424866922567892, -0.045581354702572095, -0.11970430340432688, -0.029009677813873598, -0.048356478410418964, -0.33059655316842207]",2024-12-29,2022-02-24
hold_1630,3,2025-04-01,3820,1420,0.37033589692738,295,False,-0.6354492498193965,"[0.6367386292815171, -0.06106617294509828, -0.13848170927972087, -0.056789587628737405, -0.052790294799986585, -0.3061786230803183]",2025-03-29,2022-02-24
hold_1630,3,2025-07-01,4115,1488,0.35419187417398734,330,False,-0.6765998402831299,"[0.6193410584639745, 0.01203723336699362, -0.13877817871894452, -0.13190978336854187, -0.09653596565677029, -0.3008241885261868]",2025-06-28,2022-02-24
