rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,predeclared_order
0.22,3015,1.2008534850640114,20,0,0.4792703150912106,0.27471602860748845,1.7446026630502411,0.7134841335545741,61.177426040571554,1.5460130783548285,1.761632443705252,10,10,1.1749644381223328,1.2167852062588904,1.6765062875888461,0.7697674418604651,1.7743021454145875,1.0608450704225352,1.4,0.8590909090909091,1.940909090909091,39,primary_resolved2000,2017_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1
0.22,303,1.1983050847457628,20,0,0.34983498349834985,0.21700404858299596,1.6121127038076941,0.667262189569217,-11.228309388300195,1.6121127038076941,1.6121127038076941,1,1,1.1271186440677967,1.2457627118644068,1.4221212121212121,0.7885906040268457,1.6121127038076941,1.1983050847457628,1.1983050847457628,0.9275,1.4615384615384615,4,rocket_resolved2000,2017,rolling,0.22,20,0,0,0.0,0.0,0,0,2
0.22,314,1.2418079096045198,20,0,0.44904458598726116,0.28825910931174087,1.5577810777928864,0.6023091868952206,48.69982155559959,1.5577810777928864,1.5577810777928864,1,1,1.2062146892655368,1.2853107344632768,1.4476190476190476,0.7766990291262136,1.5577810777928864,1.2418079096045198,1.2418079096045198,0.9799999999999999,1.651685393258427,4,rocket_resolved2000,2018,rolling,0.22,20,0,0,0.0,0.0,0,0,2
0.22,277,1.092394366197183,20,0,0.3935018050541516,0.2105691056910569,1.8687537460100636,0.6573488303663381,20.44326230417493,1.8687537460100636,1.8687537460100636,1,1,1.0450704225352112,1.143661971830986,1.618421052631579,0.8014705882352942,1.8687537460100636,1.092394366197183,1.092394366197183,0.875,1.3468354430379745,4,rocket_resolved2000,2019,rolling,0.22,20,0,0,0.0,0.0,0,0,2
0.22,314,1.2043835616438354,20,0,0.35668789808917195,0.2674897119341564,1.3334639882410582,0.6242143474503025,57.43765561186232,1.3334639882410582,1.3334639882410582,1,1,1.16986301369863,1.284931506849315,1.1360448807854138,0.7734627831715211,1.3334639882410582,1.2043835616438354,1.2043835616438354,0.9666666666666667,1.5230769230769232,4,rocket_resolved2000,2020,rolling,0.22,20,0,0,0.0,0.0,0,0,2
0.22,320,1.2307692307692308,20,0,0.321875,0.2314516129032258,1.390679442508711,0.6595420293882147,22.381153182208692,1.390679442508711,1.390679442508711,1,1,1.1538461538461537,1.2884615384615385,1.2077922077922076,0.8095238095238095,1.390679442508711,1.2307692307692308,1.2307692307692308,1.0769230769230769,1.4000000000000001,4,rocket_resolved2000,2021,rolling,0.22,20,0,0,0.0,0.0,0,0,2
0.22,309,1.2220338983050847,20,0,0.3074433656957929,0.2777327935222672,1.1069753837734817,0.5651433539463191,-3.102875922151276,1.1069753837734817,1.1069753837734817,1,1,1.1666666666666667,1.2853107344632768,0.876923076923077,0.7006578947368421,1.1069753837734817,1.2220338983050847,1.2220338983050847,1.0422222222222222,1.4307692307692308,4,rocket_resolved2000,2022,rolling,0.22,20,0,0,0.0,0.0,0,0,2
0.22,302,1.1943502824858758,20,0,0.6854304635761589,0.3781376518218624,1.8126480139540817,0.7331426213418986,114.67711429125349,1.8126480139540817,1.8126480139540817,1,1,1.1271186440677967,1.265536723163842,1.7345505617977528,0.6936026936026936,1.8126480139540817,1.1943502824858758,1.1943502824858758,1.0,1.54,4,rocket_resolved2000,2023,rolling,0.22,20,0,0,0.0,0.0,0,0,2
0.22,273,1.0796610169491525,20,0,0.41025641025641024,0.3379032258064516,1.2141239826204027,0.6313390445902458,34.42667002975362,1.2141239826204027,1.2141239826204027,1,1,1.0282485875706215,1.1468926553672316,1.1661442006269591,0.832089552238806,1.2141239826204027,1.0796610169491525,1.0796610169491525,0.4719101123595506,1.940909090909091,4,rocket_resolved2000,2024,rolling,0.22,20,0,0,0.0,0.0,0,0,2
0.22,393,1.5498591549295773,20,0,0.2697201017811705,0.22186234817813766,1.215709217882283,0.5781728278785024,2.0075134798468453,1.215709217882283,1.215709217882283,1,1,1.5183098591549296,1.5774647887323943,1.098639455782313,0.8969072164948454,1.215709217882283,1.5498591549295773,1.5498591549295773,1.2743589743589743,1.7538461538461538,4,rocket_resolved2000,2025,rolling,0.22,20,0,0,0.0,0.0,0,0,2
