candidate,slice_kind,slice,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
change_z_r25,year,2026,1,810,266,2026-01-12,2026-09-01,1.0,0.554320987654321,1.8040089086859687,1.8076261588153864,1.598283261802575,1.5021459227467813,1.6824034334763949,26.318459393233034,100.3107490846425
change_z_r25,year,2026,3,800,261,2026-01-12,2026-08-28,0.8620689655172413,0.405,2.1285653469561514,2.1314387211367674,1.595633187772926,1.497816593886463,1.6812227074235808,36.805064550903445,126.93137967529096
change_z_r25,year,2026,5,790,256,2026-01-12,2026-08-26,0.7109375,0.3379746835443038,2.1035229400749063,2.1100675080716176,1.5788546255506606,1.4801762114537445,1.6651982378854624,40.5728176164246,142.05012032296742
change_z_r25,year,2026,10,765,251,2026-01-12,2026-08-19,0.6135458167330677,0.2901960784313726,2.114245719823409,2.1207920792079205,1.5972727272727272,1.4954545454545456,1.6863636363636365,41.6356881066693,173.9495201019497
change_z_r25,year,2026,20,715,216,2026-01-12,2026-08-05,0.5138888888888888,0.24475524475524477,2.0996031746031742,2.1062898089171975,1.4679611650485438,1.3592233009708738,1.5631067961165048,81.1006217370086,212.24764316839082
sign_cd3,year,2026,1,810,246,2026-01-12,2026-09-01,1.0,0.554320987654321,1.8040089086859687,1.7999187028589492,1.4781115879828328,1.4120171673819744,1.592274678111588,24.65561955813799,69.48254219977973
sign_cd3,year,2026,3,800,241,2026-01-12,2026-08-28,0.7427385892116183,0.405,1.8339224424978229,1.8321392016376665,1.473362445414847,1.4061135371179039,1.5895196506550218,34.92050011071237,81.848787508464
sign_cd3,year,2026,5,790,236,2026-01-12,2026-08-26,0.6101694915254238,0.3379746835443038,1.8053704056370214,1.8024241463994297,1.4555066079295151,1.3876651982378854,1.5726872246696035,39.496854493424415,91.00970991811958
sign_cd3,year,2026,10,765,230,2026-01-12,2026-08-19,0.508695652173913,0.2901960784313726,1.7529377203290244,1.7495113369820174,1.4636363636363636,1.4000000000000001,1.559090909090909,46.92882042845778,121.70662791983496
sign_cd3,year,2026,20,715,210,2026-01-12,2026-08-05,0.4238095238095238,0.24475524475524477,1.73156462585034,1.7280380176510524,1.4271844660194177,1.3592233009708738,1.529126213592233,81.27188713962062,169.84072143659301
stale20_z_r35,year,2026,1,810,322,2026-01-12,2026-09-01,0.5714285714285714,0.554320987654321,1.0308622335348392,1.028784427417685,1.9347639484978543,1.7725321888412018,2.072961373390558,0.6693925523456713,14.813404181382598
stale20_z_r35,year,2026,3,800,312,2026-01-12,2026-08-28,0.4358974358974359,0.405,1.076289965178854,1.075098814229249,1.9074235807860263,1.74235807860262,2.0480349344978164,1.5150317565464417,20.90378179629341
stale20_z_r35,year,2026,5,790,307,2026-01-12,2026-08-26,0.36807817589576547,0.3379746835443038,1.0890702582683696,1.0861418664071056,1.8933920704845815,1.7268722466960351,2.0352422907488985,3.431662657066109,28.64172494820766
stale20_z_r35,year,2026,10,765,299,2026-01-12,2026-08-19,0.31438127090301005,0.2901960784313726,1.0833408659495616,1.0788387967894382,1.902727272727273,1.7181818181818183,2.0681818181818183,4.37757734778596,39.322484123918464
