rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,period,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,screen_rank
0.22,225,1.4,60,0,0.48,0.3401273885350318,1.4112359550561797,0.5652430118722254,75.4595184943145,1.4112359550561797,1.4112359550561797,1,1,1.2755555555555553,1.4933333333333332,1.2847790507364976,0.9136363636363637,1.4112359550561797,1.4,1.4,0.3111111111111111,2.2363636363636363,3,retrospective_2026,primary80_shared_hist_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2847790507364976,9
0.22,549,1.2961214165261383,60,0,0.37158469945355194,0.26782178217821784,1.387432704059473,0.6109076048036653,25.818286940268163,1.3354960800216273,1.3733660175389035,2,2,1.2748735244519394,1.33389544688027,1.2865266509970432,0.8768382352941176,1.3733660175389035,1.2777464788732393,1.4,0.3111111111111111,2.6743589743589746,7,combined_2025_2026,primary80_shared_hist_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2865266509970432,9
0.22,327,1.293220338983051,60,0,0.43425076452599387,0.3379032258064516,1.2851335274754951,0.5797138945171352,53.19057046508324,1.2851335274754951,1.2851335274754951,1,1,1.1864406779661016,1.364406779661017,1.2338308457711442,0.9347826086956522,1.2851335274754951,1.293220338983051,1.293220338983051,0.7393258426966293,2.115909090909091,4,screen_2024,primary75_shared_hist_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2338308457711442,2
0.22,321,1.2659154929577465,60,0,0.2897196261682243,0.22186234817813766,1.3058530595538576,0.6162357489537207,-12.597983330458101,1.3058530595538576,1.3058530595538576,1,1,1.2422535211267605,1.3408450704225352,1.1044042029957521,0.8734177215189873,1.3058530595538576,1.2659154929577465,1.2659154929577465,0.7230769230769231,2.7282051282051283,4,retrospective_2025,primary75_shared_hist_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1044042029957521,2
0.22,229,1.4248888888888886,60,0,0.47161572052401746,0.3401273885350318,1.3865855453608753,0.5673036600002892,74.12884948391404,1.3865855453608753,1.3865855453608753,1,1,1.2133333333333332,1.6177777777777775,1.2847790507364976,0.9017857142857143,1.3865855453608753,1.4248888888888886,1.4248888888888886,0.35777777777777775,2.309090909090909,3,retrospective_2026,primary75_shared_hist_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2847790507364976,2
0.22,550,1.2984822934232716,60,0,0.3654545454545455,0.26782178217821784,1.3645437741556041,0.6105214219029443,23.511916150435024,1.3058530595538576,1.3462193024573663,2,2,1.2630691399662732,1.3575042158516022,1.219403521379806,0.8770642201834863,1.3462193024573663,1.2659154929577465,1.4248888888888886,0.35777777777777775,2.7282051282051283,7,combined_2025_2026,primary75_shared_hist_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.219403521379806,2
0.22,318,1.257627118644068,60,0,0.4371069182389937,0.3379032258064516,1.2935861064829408,0.5816223302974718,56.69580877314962,1.2935861064829408,1.2935861064829408,1,1,1.1666666666666667,1.344632768361582,1.1764705882352942,0.9265175718849841,1.2935861064829408,1.257627118644068,1.257627118644068,0.7235955056179775,2.084090909090909,4,screen_2024,primary67_shared_hist_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1764705882352942,13
0.22,332,1.3092957746478875,60,0,0.2740963855421687,0.22186234817813766,1.2354344384838625,0.6134026295601449,-21.66459057092376,1.2354344384838625,1.2354344384838625,1,1,1.2619718309859154,1.380281690140845,1.0327904929577465,0.8929663608562691,1.2354344384838625,1.3092957746478875,1.3092957746478875,0.6153846153846154,2.871794871794872,4,retrospective_2025,primary67_shared_hist_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.0327904929577465,13
0.22,228,1.4186666666666665,60,0,0.4649122807017544,0.3401273885350318,1.366876930153098,0.568854568854569,73.32095343403871,1.366876930153098,1.366876930153098,1,1,1.182222222222222,1.6177777777777775,1.2580128205128207,0.8834080717488789,1.366876930153098,1.4186666666666665,1.4186666666666665,0.3888888888888889,2.290909090909091,3,retrospective_2026,primary67_shared_hist_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2580128205128207,13
0.22,560,1.3220910623946038,60,0,0.3517857142857143,0.26782178217821784,1.3135067335621864,0.6094034911434139,17.008095202525247,1.2354344384838625,1.3011556843184802,2,2,1.2748735244519394,1.3693086003372683,1.1801082929609574,0.8810810810810811,1.3011556843184802,1.3092957746478875,1.4186666666666665,0.3888888888888889,2.871794871794872,7,combined_2025_2026,primary67_shared_hist_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1801082929609574,13
0.22,333,1.3169491525423729,60,0,0.43543543543543545,0.3379032258064516,1.2886394747969927,0.5754493472364746,49.25840670079782,1.2886394747969927,1.2886394747969927,1,1,1.2062146892655368,1.4039548022598871,1.2156862745098038,0.9329268292682927,1.2886394747969927,1.3169491525423729,1.3169491525423729,0.7078651685393259,2.1636363636363636,4,screen_2024,primary80_shared_xgb_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2156862745098038,3
0.22,316,1.2461971830985916,60,0,0.3069620253164557,0.22186234817813766,1.3835697126489883,0.6180377799889106,-5.096100052220643,1.3835697126489883,1.3835697126489883,1,1,1.143661971830986,1.3211267605633803,1.2220160791589363,0.8553054662379421,1.3835697126489883,1.2461971830985916,1.2461971830985916,0.8307692307692308,2.5487179487179485,4,retrospective_2025,primary80_shared_xgb_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2220160791589363,3
0.22,232,1.4435555555555555,60,0,0.4525862068965517,0.3401273885350318,1.3306373498643937,0.5692413922751002,69.24879069018843,1.3306373498643937,1.3306373498643937,1,1,1.2444444444444442,1.5244444444444443,1.2682823129251701,0.9251101321585903,1.3306373498643937,1.4435555555555555,1.4435555555555555,0.27999999999999997,2.3272727272727276,3,retrospective_2026,primary80_shared_xgb_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2682823129251701,3
0.22,548,1.293760539629005,60,0,0.3686131386861314,0.26782178217821784,1.3763374124694738,0.6121286426483399,26.37837924018611,1.3306373498643937,1.357103531256691,2,2,1.239460370994941,1.3575042158516022,1.3037386855568673,0.8766114180478821,1.357103531256691,1.2461971830985916,1.4435555555555555,0.27999999999999997,2.5487179487179485,7,combined_2025_2026,primary80_shared_xgb_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.3037386855568673,3
0.22,331,1.309039548022599,60,0,0.4380664652567976,0.3379032258064516,1.2964258160344369,0.5752182419134939,50.4847219353205,1.2964258160344369,1.2964258160344369,1,1,1.1864406779661016,1.384180790960452,1.2338308457711442,0.9325153374233128,1.2964258160344369,1.309039548022599,1.309039548022599,0.6921348314606742,2.1636363636363636,4,screen_2024,primary75_shared_xgb_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2338308457711442,1
0.22,313,1.2343661971830986,60,0,0.3003194888178914,0.22186234817813766,1.353629812737576,0.6155483567147967,-7.526157778467417,1.353629812737576,1.353629812737576,1,1,1.1830985915492958,1.3211267605633803,1.1406141768644655,0.8538961038961039,1.353629812737576,1.2343661971830986,1.2343661971830986,0.7076923076923076,2.5487179487179485,4,retrospective_2025,primary75_shared_xgb_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1406141768644655,1
0.22,232,1.4435555555555555,60,0,0.46551724137931033,0.3401273885350318,1.3686555598605192,0.5723902072216679,75.19313315479273,1.3686555598605192,1.3686555598605192,1,1,1.2133333333333332,1.5244444444444443,1.2580128205128207,0.9162995594713657,1.3686555598605192,1.4435555555555555,1.4435555555555555,0.27999999999999997,2.3272727272727276,3,retrospective_2026,primary75_shared_xgb_conservative,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2580128205128207,1
