candidate,h,mean_bps,ci_lo,ci_hi
path_wide128_h5_urgent_cap2,10,20.6093412436747,-11.901441148594397,47.723702057878164
path_wide128_h5_urgent_cap2,20,28.983168110073716,-32.326785727071965,77.74812296362481
path_wide128_mean_urgent_cap2,1,5.659602027280884,-0.4726378755266293,11.011230127269489
path_wide128_mean_urgent_cap2,3,8.94293974656466,-0.03388620192243532,18.523060358666974
path_wide128_mean_urgent_cap2,5,13.176580759427585,-1.670576672973047,26.324690015826004
path_wide128_mean_urgent_cap2,10,24.08567679113463,-8.214771583147161,52.87859893665837
path_wide128_mean_urgent_cap2,20,33.232033863032115,-28.59829536436916,85.08564925650016
path_wide128_forward25_urgent_cap2,1,6.590484469311329,-0.48284314080041524,12.483665880817268
path_wide128_forward25_urgent_cap2,3,10.112596027616972,0.9144916369341325,18.520080030647787
path_wide128_forward25_urgent_cap2,5,14.816550065799314,3.3160577289178277,26.814323524414903
path_wide128_forward25_urgent_cap2,10,25.161776862744038,-0.9800648938350819,50.647297755589584
path_wide128_forward25_urgent_cap2,20,34.597736264191475,-20.825222871235457,83.94253741958545
path_wide128_symmetric25_urgent_cap2,1,5.97611382356161,0.9575458278286727,11.207608799298074
path_wide128_symmetric25_urgent_cap2,3,13.8767657046151,4.605129102225084,24.53313496739656
path_wide128_symmetric25_urgent_cap2,5,22.159597619419262,8.195832094554797,36.89250726100822
path_wide128_symmetric25_urgent_cap2,10,38.87578073827542,8.074595331709888,66.55276231525899
path_wide128_symmetric25_urgent_cap2,20,49.37125740368132,-7.001209287458871,96.6743522833579
cny50_path_wide128_urgent_cap2,1,15.48393971014453,10.518140804758808,20.418036027217784
cny50_path_wide128_urgent_cap2,3,21.73127344528396,11.95285938364858,32.354278136503524
cny50_path_wide128_urgent_cap2,5,28.56157757325533,14.476886277296483,44.465622991732516
cny50_path_wide128_urgent_cap2,10,40.92794132604069,14.027700166835992,70.88704443037005
cny50_path_wide128_urgent_cap2,20,50.078325733847734,-8.133587498422498,95.11330658773471
ap4_w25_path_wide128_urgent_cap2,1,14.463064109076873,8.09546344507542,20.246571526686076
ap4_w25_path_wide128_urgent_cap2,3,24.525306956537694,15.155078030461382,34.60179844306994
ap4_w25_path_wide128_urgent_cap2,5,33.592676411574615,18.99796822660913,49.398047821688756
ap4_w25_path_wide128_urgent_cap2,10,48.59397175550404,17.816858199680738,76.85266391956955
ap4_w25_path_wide128_urgent_cap2,20,64.59545588489416,4.865933262130216,117.89822053352658
path_local32_h5_urgent_cap2,1,6.611523645977743,0.6901012113255173,13.043471532660007
path_local32_h5_urgent_cap2,3,10.199877444280718,3.5510521872727114,16.770745812136692
path_local32_h5_urgent_cap2,5,14.648298667911796,3.529433998448053,26.788645595784843
path_local32_h5_urgent_cap2,10,25.426790290429548,-1.2277255945502596,52.5505332661355
path_local32_h5_urgent_cap2,20,39.22152061765657,-15.84036986451104,80.63317342850635
path_local32_mean_urgent_cap2,1,6.0575187872467,1.1547040600344611,11.599136201528111
path_local32_mean_urgent_cap2,3,9.780128113750573,2.984972166832261,17.14312812452158
path_local32_mean_urgent_cap2,5,14.27367425103891,2.7997018099912863,27.451546774419686
path_local32_mean_urgent_cap2,10,26.09664406682471,-1.4905321802539597,54.35405283476543
path_local32_mean_urgent_cap2,20,42.13575907414978,-15.387613017488576,89.48647640233193
path_local32_forward25_urgent_cap2,1,5.371226159183257,-0.7539675454350631,11.49131248440742
path_local32_forward25_urgent_cap2,3,7.289094596225954,-1.0490147953895987,15.85263672485719
path_local32_forward25_urgent_cap2,5,11.881594329229191,-1.9719079515621771,27.312956199366933
path_local32_forward25_urgent_cap2,10,24.297227775628624,-3.7807581493207083,54.830737779282074
path_local32_forward25_urgent_cap2,20,38.371402677509074,-19.352181085387745,86.14386369992121
path_local32_symmetric25_urgent_cap2,1,10.201791398003381,5.513252759142037,16.184809044045164
path_local32_symmetric25_urgent_cap2,3,14.88892327944553,7.408839236107101,22.410740340557847
path_local32_symmetric25_urgent_cap2,5,20.620607712639053,8.807210452299303,34.47611385940323
path_local32_symmetric25_urgent_cap2,10,35.92203236738102,8.713755804595426,64.31932330179741
path_local32_symmetric25_urgent_cap2,20,53.15953143090076,0.16727634348223802,93.52552486515478
cny50_path_local32_urgent_cap2,1,14.379229891043696,9.555930546088254,20.03057556632626
cny50_path_local32_urgent_cap2,3,18.98734278223887,10.00123383936518,27.086281083855617
cny50_path_local32_urgent_cap2,5,25.206580808568184,11.302429931872872,39.03569064972991
cny50_path_local32_urgent_cap2,10,35.20666564121101,3.7595914674455835,63.873040537116076
cny50_path_local32_urgent_cap2,20,45.02825855598815,-14.015081045677997,88.23034024193383
ap4_w25_path_local32_urgent_cap2,1,15.293696736161767,9.261814360296903,22.279840067451726
ap4_w25_path_local32_urgent_cap2,3,22.4976836423802,12.405727490212541,32.23469429956711
ap4_w25_path_local32_urgent_cap2,5,29.206252698256254,13.255330589939348,43.681895407623394
ap4_w25_path_local32_urgent_cap2,10,40.019185960273525,9.580470713792781,68.91880478771812
ap4_w25_path_local32_urgent_cap2,20,56.63206039826613,-4.942281101644234,105.62890477731415
path_shrink_h5_urgent_cap2,1,5.988493563301505,-0.8130000902906074,12.57943604900907
path_shrink_h5_urgent_cap2,3,8.252123810011362,0.44030063355127885,16.64269918603985
path_shrink_h5_urgent_cap2,5,12.78244324132652,-0.17708463996050516,26.690595679970126
path_shrink_h5_urgent_cap2,10,26.115945311645394,0.31925982727817637,54.262469787717
path_shrink_h5_urgent_cap2,20,43.0665026768569,-11.899140452318715,89.87365106586543
path_shrink_mean_urgent_cap2,1,5.65339219416708,0.94422590818132,10.64915634576775
path_shrink_mean_urgent_cap2,3,8.132230516168217,1.1211947353973557,15.312852617896603
path_shrink_mean_urgent_cap2,5,12.649821972118493,1.7444842068813033,25.450746316859245
path_shrink_mean_urgent_cap2,10,25.95444237102717,-0.8835173022300353,52.69555179864501
path_shrink_mean_urgent_cap2,20,42.795734110910836,-12.723639058111512,88.17828216048271
path_shrink_forward25_urgent_cap2,1,6.181412314591751,0.3288654114601672,12.046695661000063
path_shrink_forward25_urgent_cap2,3,7.792581629327844,-0.5941610137475009,16.311231405113425
path_shrink_forward25_urgent_cap2,5,12.480239620383205,-0.3711106307834734,26.609149053985764
path_shrink_forward25_urgent_cap2,10,26.74055412092166,-0.25448150826163696,54.20744969407256
path_shrink_forward25_urgent_cap2,20,43.82228725261984,-12.349036545446959,89.76048518143122
