family,period,h,n,brier,forward_mse,forward_bias
local32,later,20,3185,0.14039098989054705,81430.50946820343,80.64382559818631
shrink,early,1,1135,0.19976528170857938,6130.725713835219,4.020451554270431
shrink,early,3,1135,0.21438837268209412,14245.712822837422,6.386334280347784
shrink,early,5,1135,0.21247982795903608,23353.82855817318,13.972789459400921
shrink,early,10,1135,0.2087925641398627,50829.975912623326,44.82353424293018
shrink,early,20,1135,0.1985090840572646,120695.8931386779,115.64622806207205
shrink,later,1,3280,0.20007700888584734,6846.900013180434,-3.5006999972758925
shrink,later,3,3270,0.199260403496506,14101.463328286203,-1.4744484355560388
shrink,later,5,3260,0.18971577554029337,20925.267809766712,5.572148944842175
shrink,later,10,3235,0.16846336107616214,38238.38972729692,29.737257305676607
shrink,later,20,3185,0.13964569102635088,80667.64014973698,80.4578441214589
recent128,early,1,1135,0.1978860788648243,6068.465756065945,4.062935536833939
recent128,early,3,1135,0.2127074956694984,14106.470652886412,6.61927679188186
recent128,early,5,1135,0.21060143857944572,23173.4470784211,14.686529406483823
recent128,early,10,1135,0.20804913704727412,50807.124474617915,46.071953503088615
recent128,early,20,1135,0.19780508246487102,122135.48970608895,118.67327687276564
recent128,later,1,3280,0.20135931081800804,6892.792946666504,-4.753025793863598
recent128,later,3,3270,0.20222174121543493,14027.922459741156,-5.457550273546301
recent128,later,5,3260,0.1892621118247273,20599.585402761775,-3.116120767846587
recent128,later,10,3235,0.16480445448111242,35654.28593856875,7.384416850261777
recent128,later,20,3185,0.13716433883693419,69504.58811016928,30.017336563638565
unconditional,early,1,1135,0.24933222462624827,8969.603864374796,3.8264125018929533
unconditional,early,3,1135,0.2589620937890488,18473.572987654472,10.020664591785053
unconditional,early,5,1135,0.24814523393454263,29182.555124814906,17.022037825047956
unconditional,early,10,1135,0.2257868143556159,55972.18086268289,35.193942688019284
unconditional,early,20,1135,0.20731105230241095,105123.08749980699,67.71014476149874
unconditional,later,1,3280,0.25040348795178025,9168.967347585361,7.887896718408116
unconditional,later,3,3270,0.23014651164202024,16666.99811150917,17.228195536944547
unconditional,later,5,3260,0.20932599472392993,23826.50851598336,27.10746933762892
unconditional,later,10,3235,0.17765933333525893,41913.27530814166,50.566888207218994
unconditional,later,20,3185,0.14029555322262838,82366.65200291708,91.46614176729132
forest,early,1,1135,0.22922662407342553,8008.834654720147,14.228717213050677
forest,early,3,1135,0.2302334010647613,17666.986521037947,29.85530220292464
forest,early,5,1135,0.2231890284786935,29098.863439759425,45.75924721143133
forest,early,10,1135,0.21544336537861777,60692.34748357502,78.51626264428079
forest,early,20,1135,0.2044122214556352,118108.57544063791,121.53599242604822
forest,later,1,3280,0.20724586924383362,7057.811381664406,-2.349814712272463
forest,later,3,3270,0.20237732756683757,13900.177580599415,-3.3700085241978908
forest,later,5,3260,0.19071441228180064,20284.85520279609,-4.5924387242171845
forest,later,10,3235,0.16825293229123292,35017.313371116245,-4.555150819689678
forest,later,20,3185,0.13625562611964054,68408.49179825457,-6.258769480961307
ridge_empirical,early,1,1135,0.18707314692163463,5721.108266064917,9.799375804526168
ridge_empirical,early,3,1135,0.20094126840403637,14576.962285333373,22.244999969734526
ridge_empirical,early,5,1135,0.20108680631790005,26460.285586589565,34.7898968045048
ridge_empirical,early,10,1135,0.20401227113856552,65466.177088626406,62.970099415142926
ridge_empirical,early,20,1135,0.19288309736656312,136259.94412350922,126.22621814034872
ridge_empirical,later,1,3280,0.19045643402228277,6267.180891833274,-3.4910950308038387
ridge_empirical,later,3,3270,0.19397351797079418,13816.05373604774,-5.823764837703457
ridge_empirical,later,5,3260,0.1883213170594951,21707.335231767338,-8.247469207807159
ridge_empirical,later,10,3235,0.1684014875892527,41542.08310576308,-16.044051727887936
ridge_empirical,later,20,3185,0.137497872050796,87250.60459991933,-41.7035414270093
ridge_gaussian,early,1,1135,0.1929343202565735,5720.825921726634,9.78691057674861
ridge_gaussian,early,3,1135,0.22081535440184472,14617.474565044877,23.06024726850822
ridge_gaussian,early,5,1135,0.2288280201378373,26606.889103861988,36.66643264956733
ridge_gaussian,early,10,1135,0.23283820467373348,65907.59119401267,67.9423491576093
ridge_gaussian,early,20,1135,0.22423290639196725,137174.08432337633,134.19963501248608
ridge_gaussian,later,1,3280,0.19149232259610804,6267.397953550333,-3.5011857622607816
ridge_gaussian,later,3,3270,0.20714224252496655,13790.537438909008,-5.197598909082268
ridge_gaussian,later,5,3260,0.20950465758153997,21638.524906652838,-6.946705617481843
ridge_gaussian,later,10,3235,0.19448880839753188,41211.80311331988,-12.948049771284625
ridge_gaussian,later,20,3185,0.15785512879280317,85530.37626988452,-35.71897445914761
ridge_local,early,1,1135,0.19429593631511038,6295.543834017954,10.244119351359599
ridge_local,early,3,1135,0.20651114158548953,15117.30270371951,23.3936841265792
ridge_local,early,5,1135,0.20560641357503198,26270.658673381902,36.92426430967304
ridge_local,early,10,1135,0.20387970733421862,59670.50980397669,68.22245646434703
ridge_local,early,20,1135,0.19572179921267993,126762.53604158993,130.63173613270703
ridge_local,later,1,3280,0.1909615998595015,6335.509266090233,-3.224932302682946
ridge_local,later,3,3270,0.19480976451057336,13668.292341804126,-5.202762213235388
ridge_local,later,5,3260,0.1879317597960049,21209.675712938882,-7.133432942120562
ridge_local,later,10,3235,0.1684409567360976,39751.97235399017,-13.369188813628142
ridge_local,later,20,3185,0.13727645458670806,81096.39675956107,-34.78297032719112
