scenario,clock,metric,block_dates,mean_delta,ci_low,ci_high
calendar_assumed_replay,15:10,brier,20,-0.0025317363417443678,-0.004864336844889435,-0.0007608030534152456
calendar_assumed_replay,15:10,logloss,20,-0.009072591711037421,-0.017930331634101515,-0.002575548317629896
calendar_assumed_replay,15:10,auc,20,0.05401448439806965,0.020004194703752833,0.09590547411707
calendar_assumed_replay,15:10,brier,50,-0.0025780673040833994,-0.005126219340570886,-0.000449762786137803
calendar_assumed_replay,15:10,logloss,50,-0.009233681054785989,-0.018645599810523942,-0.0017974578604521446
calendar_assumed_replay,15:10,auc,50,0.05340281983831993,0.014034524145028518,0.08942113215896054
calendar_assumed_replay,15:25,brier,20,-0.002535323081084121,-0.004616149336141225,-0.0007430845583994342
calendar_assumed_replay,15:25,logloss,20,-0.00907461214314938,-0.01681793215010486,-0.0025657298341715583
calendar_assumed_replay,15:25,auc,20,0.05361797034076997,0.01760086506801824,0.09137458637155993
calendar_assumed_replay,15:25,brier,50,-0.002510084813051421,-0.004846289132820289,-0.00039427721056829496
calendar_assumed_replay,15:25,logloss,50,-0.008988680217715822,-0.017299715220716525,-0.0015706479780241327
calendar_assumed_replay,15:25,auc,50,0.05204109598332349,0.01120596167282428,0.08817551622710493
calendar_assumed_replay,15:45,brier,20,-0.0025204336366463492,-0.004667548582284309,-0.0007775806957304039
calendar_assumed_replay,15:45,logloss,20,-0.009034137039350361,-0.016899441403387016,-0.0028535252033406984
calendar_assumed_replay,15:45,auc,20,0.05362195564817642,0.019208762248470478,0.09164153187860347
calendar_assumed_replay,15:45,brier,50,-0.00256984492894067,-0.005063251194879818,-0.0004003262478468204
calendar_assumed_replay,15:45,logloss,50,-0.009212969535687988,-0.01809180999797377,-0.0016444991937482154
calendar_assumed_replay,15:45,auc,50,0.05246172276837562,0.014821623656423677,0.08907733074858905
calendar_assumed_replay,16:45,brier,20,-0.002571322601106118,-0.004725710887590192,-0.0009009479176068456
calendar_assumed_replay,16:45,logloss,20,-0.009213971888690825,-0.017124045001914334,-0.003124323155379968
calendar_assumed_replay,16:45,auc,20,0.05366124914594728,0.020449744718743442,0.09085686980991263
calendar_assumed_replay,16:45,brier,50,-0.0025454844907322983,-0.00495001553943276,-0.0004228175803358389
calendar_assumed_replay,16:45,logloss,50,-0.00912911675282776,-0.017573461352509746,-0.0016529788071174493
calendar_assumed_replay,16:45,auc,50,0.052169760893614046,0.012950819493768107,0.08792734920572091
calendar_assumed_replay,17:45,brier,20,-0.0025382599696168926,-0.0047833545657559005,-0.0008625344340105965
calendar_assumed_replay,17:45,logloss,20,-0.009096623880990876,-0.01724105833781698,-0.002880981660004986
calendar_assumed_replay,17:45,auc,20,0.05698988739411686,0.02042731903697621,0.09991119510045968
calendar_assumed_replay,17:45,brier,50,-0.0025160641412023937,-0.004828065725535482,-0.0004923382400641758
calendar_assumed_replay,17:45,logloss,50,-0.009018050547704003,-0.017508487248424513,-0.0018185985596405152
calendar_assumed_replay,17:45,auc,50,0.05546225224409192,0.014359974460165037,0.09751808866219246
