rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,screen_rank
0.22,230,1.431111111111111,60,0,0.46956521739130436,0.3401273885350318,1.3805569125549586,0.5666637745289431,82.13058323576489,1.3805569125549586,1.3805569125549586,1,1,1.3066666666666666,1.4933333333333332,1.3083333333333333,0.9466666666666667,1.3805569125549586,1.431111111111111,1.431111111111111,0.12444444444444444,2.4363636363636365,3,primary67_target_panel_extra,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.3083333333333333,8
0.22,559,1.3197301854974706,60,0,0.3756708407871199,0.26782178217821784,1.4026896458225178,0.6083436752864189,24.589262794359627,1.3805569125549586,1.3889783431276999,2,2,1.2630691399662732,1.3929173693086003,1.2169614582528772,0.9061371841155235,1.3889783431276999,1.2974647887323942,1.431111111111111,0.12444444444444444,2.9615384615384617,7,primary67_target_panel_extra,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2169614582528772,8
0.22,331,1.309039548022599,60,0,0.42900302114803623,0.3379032258064516,1.269603212944069,0.5669187991825558,41.156823974134156,1.269603212944069,1.269603212944069,1,1,1.225988700564972,1.4039548022598871,1.1940298507462688,0.9355828220858896,1.269603212944069,1.309039548022599,1.309039548022599,0.7707865168539327,1.9886363636363638,4,primary80_target_panel_only_extra,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1940298507462688,6
0.22,348,1.372394366197183,60,0,0.3160919540229885,0.22186234817813766,1.4247210336437621,0.609798567489765,-4.559989604982243,1.4247210336437621,1.4247210336437621,1,1,1.3211267605633803,1.43943661971831,1.2461635484549085,0.8658892128279884,1.4247210336437621,1.372394366197183,1.372394366197183,0.6153846153846154,2.7461538461538466,4,primary80_target_panel_only_extra,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2461635484549085,6
0.22,225,1.4,60,0,0.4577777777777778,0.3401273885350318,1.3459009571369123,0.5694763784651425,71.75422812170169,1.3459009571369123,1.3459009571369123,1,1,1.2133333333333332,1.4933333333333332,1.2580128205128207,0.9409090909090909,1.3459009571369123,1.4,1.4,0.17111111111111113,2.275,3,primary80_target_panel_only_extra,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2580128205128207,6
0.22,573,1.3527824620573357,60,0,0.3717277486910995,0.26782178217821784,1.38796682505734,0.6047293032835546,25.406326256281073,1.3459009571369123,1.3853109953903373,2,2,1.3220910623946038,1.3811129848229344,1.306503772906935,0.8873239436619719,1.3853109953903373,1.372394366197183,1.4,0.17111111111111113,2.7461538461538466,7,primary80_target_panel_only_extra,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.306503772906935,6
0.22,332,1.3129943502824861,60,0,0.4246987951807229,0.3379032258064516,1.2568651695085833,0.564452222244832,38.31352292946898,1.2568651695085833,1.2568651695085833,1,1,1.225988700564972,1.384180790960452,1.1940298507462688,0.9357798165137615,1.2568651695085833,1.3129943502824861,1.3129943502824861,0.7707865168539327,1.9886363636363638,4,primary75_target_panel_only_extra,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1940298507462688,7
0.22,358,1.4118309859154927,60,0,0.30446927374301674,0.22186234817813766,1.3723341353015535,0.6060976628663877,-6.972145453207234,1.3723341353015535,1.3723341353015535,1,1,1.3408450704225352,1.5183098591549296,1.2789975144987573,0.8725212464589235,1.3723341353015535,1.4118309859154927,1.4118309859154927,0.6153846153846154,2.817948717948718,4,primary75_target_panel_only_extra,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2789975144987573,7
0.22,226,1.4062222222222223,60,0,0.4646017699115044,0.3401273885350318,1.365964005170528,0.5724625106647578,73.87708113756075,1.365964005170528,1.365964005170528,1,1,1.151111111111111,1.5244444444444443,1.2323390894819468,0.9411764705882353,1.365964005170528,1.4062222222222223,1.4062222222222223,0.17111111111111113,2.275,3,primary75_target_panel_only_extra,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2323390894819468,7
0.22,584,1.3787521079258012,60,0,0.3664383561643836,0.26782178217821784,1.3682171524067557,0.6032651826745103,24.315397713768043,1.365964005170528,1.3691490702360407,2,2,1.345699831365936,1.4165261382799326,1.3054421768707483,0.8911917098445595,1.3691490702360407,1.4062222222222223,1.4118309859154927,0.17111111111111113,2.817948717948718,7,primary75_target_panel_only_extra,combined_2025_2026,rolling,0.22,60,0,0,0.0,0.0,0,0,1.3054421768707483,7
