rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap
0.3,327,1.293220338983051,40.0,0.0,0.4434250764525994,0.3379032258064516,1.312284235802442,0.5893505504376466,38.84821900479801,1.312284235802442,1.312284235802442,1.0,1.0,1.225988700564972,1.344632768361582,1.2537313432835822,0.8757763975155279,1.312284235802442,1.293220338983051,1.293220338983051,0.8494382022471911,1.940909090909091,4.0,rank_pair_fav_compact_quarter,rolling,0.3,40,0,0,0.0,0.0,0,0
0.3,316,1.249717514124294,60.0,0.0,0.47151898734177217,0.3379032258064516,1.395426120056796,0.5893505504376466,44.43182469101434,1.395426120056796,1.395426120056796,1.0,1.0,1.1666666666666667,1.2853107344632768,1.2547432329876045,0.8713826366559485,1.395426120056796,1.249717514124294,1.249717514124294,0.42471910112359557,2.3704545454545456,4.0,rank_pair_fav_compact_quarter,rolling,0.3,60,0,0,0.0,0.0,0,0
0.3,317,1.2536723163841808,120.0,0.0,0.5078864353312302,0.3379032258064516,1.5030529351091302,0.5893505504376466,65.38584447959383,1.5030529351091302,1.5030529351091302,1.0,1.0,1.2062146892655368,1.2853107344632768,1.4426229508196722,0.9166666666666666,1.5030529351091302,1.2536723163841808,1.2536723163841808,0.251685393258427,2.4675,4.0,rank_pair_fav_compact_quarter,rolling,0.3,120,0,0,0.0,0.0,0,0
0.3,420,1.6610169491525424,250.0,0.0,0.4095238095238095,0.3379032258064516,1.2119559040800092,0.5893505504376466,35.65225964246805,1.2119559040800092,1.2119559040800092,1.0,1.0,1.5621468926553672,1.7203389830508475,1.1139240506329113,0.9325301204819277,1.2119559040800092,1.6610169491525424,1.6610169491525424,0.1258426966292135,3.5525,4.0,rank_pair_fav_compact_quarter,rolling,0.3,250,0,0,0.0,0.0,0,0
0.3,198,0.7830508474576272,40.0,3.0,0.40404040404040403,0.3379032258064516,1.1957281647019118,0.5893505504376466,15.586695011324615,1.1957281647019118,1.1957281647019118,1.0,1.0,0.731638418079096,0.8305084745762712,0.800322710770472,0.7305699481865285,1.1957281647019118,0.7830508474576272,0.7830508474576272,0.550561797752809,1.065909090909091,4.0,rank_pair_fav_compact_quarter,rolling,0.3,40,3,0,0.0,0.0,0,0
0.3,191,0.7553672316384181,60.0,3.0,0.4031413612565445,0.3379032258064516,1.1930675130265278,0.5893505504376466,14.250729661545448,1.1930675130265278,1.1930675130265278,1.0,1.0,0.731638418079096,0.7711864406779662,0.900363049616781,0.7473118279569892,1.1930675130265278,0.7553672316384181,0.7553672316384181,0.28314606741573034,1.384090909090909,4.0,rank_pair_fav_compact_quarter,rolling,0.3,60,3,0,0.0,0.0,0,0
0.3,164,0.6485875706214689,120.0,3.0,0.4634146341463415,0.3379032258064516,1.3714418767099366,0.5893505504376466,57.51349233100495,1.3714418767099366,1.3714418767099366,1.0,1.0,0.612994350282486,0.692090395480226,1.26908315565032,0.8113207547169812,1.3714418767099366,0.6485875706214689,0.6485875706214689,0.1258426966292135,1.2075,4.0,rank_pair_fav_compact_quarter,rolling,0.3,120,3,0,0.0,0.0,0,0
0.35,450,1.7796610169491527,20.0,0.0,0.4288888888888889,0.3379032258064516,1.2692654468310793,0.5893505504376466,42.467171523872565,1.2692654468310793,1.2692654468310793,1.0,1.0,1.7203389830508475,1.8785310734463279,1.1647509578544062,0.9123595505617977,1.2692654468310793,1.7796610169491527,1.7796610169491527,1.3825,2.1954545454545458,4.0,rank_pair_fav_compact_quarter,rolling,0.35,20,0,0,0.0,0.0,0,0
0.35,371,1.4672316384180792,40.0,0.0,0.4420485175202156,0.3379032258064516,1.3082104098450296,0.5893505504376466,37.83327822574615,1.3082104098450296,1.3082104098450296,1.0,1.0,1.384180790960452,1.5225988700564972,1.2517095408661674,0.8934426229508197,1.3082104098450296,1.4672316384180792,1.4672316384180792,0.9910112359550562,2.1954545454545458,4.0,rank_pair_fav_compact_quarter,rolling,0.35,40,0,0,0.0,0.0,0,0
0.35,357,1.4118644067796613,60.0,0.0,0.48179271708683474,0.3379032258064516,1.425830475388246,0.5893505504376466,44.0852736223788,1.425830475388246,1.425830475388246,1.0,1.0,1.364406779661017,1.4435028248587571,1.3748400852878466,0.8920454545454546,1.425830475388246,1.4118644067796613,1.4118644067796613,0.4876404494382023,2.481818181818182,4.0,rank_pair_fav_compact_quarter,rolling,0.35,60,0,0,0.0,0.0,0,0
0.35,357,1.4118644067796613,120.0,0.0,0.4957983193277311,0.3379032258064516,1.4672790357192997,0.5893505504376466,60.63683123958695,1.4672790357192997,1.4672790357192997,1.0,1.0,1.364406779661017,1.4435028248587571,1.391304347826087,0.9176136363636364,1.4672790357192997,1.4118644067796613,1.4118644067796613,0.298876404494382,2.6599999999999997,4.0,rank_pair_fav_compact_quarter,rolling,0.35,120,0,0,0.0,0.0,0,0
0.35,479,1.8943502824858758,250.0,0.0,0.4091858037578288,0.3379032258064516,1.2109556006198277,0.5893505504376466,35.80226430575008,1.2109556006198277,1.2109556006198277,1.0,1.0,1.8192090395480227,1.957627118644068,1.154639175257732,0.9409282700421941,1.2109556006198277,1.8943502824858758,1.8943502824858758,0.17303370786516856,3.99,4.0,rank_pair_fav_compact_quarter,rolling,0.35,250,0,0,0.0,0.0,0,0
0.35,224,0.8858757062146893,40.0,3.0,0.4017857142857143,0.3379032258064516,1.189055574497102,0.5893505504376466,16.68599485982507,1.189055574497102,1.189055574497102,1.0,1.0,0.8502824858757062,0.9096045197740114,0.946893439777855,0.7808219178082192,1.189055574497102,0.8858757062146893,0.8858757062146893,0.6134831460674157,1.2727272727272727,4.0,rank_pair_fav_compact_quarter,rolling,0.35,40,3,0,0.0,0.0,0,0
0.35,207,0.8186440677966101,60.0,3.0,0.41545893719806765,0.3379032258064516,1.2295204824000092,0.5893505504376466,15.450300673125529,1.2295204824000092,1.2295204824000092,1.0,1.0,0.8107344632768362,0.8305084745762712,0.9694385216773278,0.7772277227722773,1.2295204824000092,0.8186440677966101,0.8186440677966101,0.298876404494382,1.415909090909091,4.0,rank_pair_fav_compact_quarter,rolling,0.35,60,3,0,0.0,0.0,0,0
0.35,184,0.727683615819209,120.0,3.0,0.43478260869565216,0.3379032258064516,1.286707481581405,0.5893505504376466,46.18572797162903,1.286707481581405,1.286707481581405,1.0,1.0,0.692090395480226,0.7711864406779662,1.1428571428571428,0.8100558659217877,1.286707481581405,0.727683615819209,0.727683615819209,0.14157303370786517,1.2568181818181818,4.0,rank_pair_fav_compact_quarter,rolling,0.35,120,3,0,0.0,0.0,0,0
,255,1.0084745762711864,,,0.2627450980392157,0.3379032258064516,0.7775749918105668,0.5893505504376466,-6.164141336773933,0.7775749918105668,,,,1.0084745762711864,1.0084745762711864,0.6631016042780749,0.736,0.7775749918105668,1.0084745762711864,1.0084745762711864,1.0224719101123596,1.05,,rank_pair_fav_compact_quarter,weekly,0.0,0,0,10,0.75,0.0,3,1
,384,1.5186440677966102,,,0.3411458333333333,0.3379032258064516,1.009596260938743,0.5893505504376466,17.804424379867545,1.009596260938743,,,,1.5028248587570623,1.5423728813559323,0.9393939393939393,0.9155672823218998,1.009596260938743,1.5186440677966102,1.5186440677966102,1.4786516853932585,1.5924999999999998,,rank_pair_fav_compact_quarter,weekly,0.0,0,0,10,0.75,0.0,3,2
,255,1.0084745762711864,,,0.28627450980392155,0.3379032258064516,0.8472085731667368,0.5893505504376466,0.6190501457472383,0.8472085731667368,,,,1.0084745762711864,1.0084745762711864,0.7616347743916844,0.716,0.8472085731667368,1.0084745762711864,1.0084745762711864,1.0224719101123596,1.05,,rank_pair_fav_compact_quarter,weekly,0.0,0,0,10,0.75,0.0,4,1
,374,1.4790960451977402,,,0.3689839572192513,0.3379032258064516,1.0919811621763047,0.5893505504376466,22.754695703080184,1.0919811621763047,,,,1.4435028248587571,1.5225988700564972,1.035823293172691,0.8915989159891599,1.0919811621763047,1.4790960451977402,1.4790960451977402,1.4786516853932585,1.5750000000000002,,rank_pair_fav_compact_quarter,weekly,0.0,0,0,10,0.75,0.0,4,2
,230,0.9096045197740114,,,0.2826086956521739,0.3379032258064516,0.8363598630279132,0.5893505504376466,-0.5776888700762287,0.8363598630279132,,,,0.8898305084745763,0.9491525423728814,0.6739130434782609,0.5911111111111111,0.8363598630279132,0.9096045197740114,0.9096045197740114,0.8179775280898877,0.9863636363636364,,rank_pair_fav_compact_quarter,weekly,0.0,0,0,10,0.75,0.3,3,1
