policy,n_test,n_signals,signal_share,frequency,base_rate,hit_rate,aggregate_lift,mean_corridor_lift,min_corridor_lift,benefit_bps,year
past_oof_rolling_250_q20,955,10,0.010471204188481676,0.05128205128205128,0.34659685863874345,0.9,2.596676737160121,2.222866250325267,0.0,202.08619288145474,2023
past_oof_rolling_250_q20,1240,268,0.2161290322580645,1.0598870056497176,0.3379032258064516,0.4216417910447761,1.247818188294803,1.200046021117275,0.9028030578813251,45.09328197802511,2024
past_oof_rolling_250_q20,1235,221,0.17894736842105263,0.8715492957746479,0.22186234817813766,0.3257918552036199,1.468441391155002,1.4158051675130146,0.882142857142857,21.313380666399418,2025
past_oof_rolling_250_q20,780,114,0.14615384615384616,0.7125,0.3423076923076923,0.5877192982456141,1.7169327813916815,1.7235366826156302,1.1729323308270676,104.72222999495523,2026
past_oof_previous_fold_q30,955,49,0.05130890052356021,0.2512820512820513,0.34659685863874345,0.4897959183673469,1.413157407978297,1.4621296724695327,0.5617647058823529,39.94704508462291,2023
past_oof_previous_fold_q30,1240,426,0.3435483870967742,1.6847457627118643,0.3379032258064516,0.3732394366197183,1.1045749436955865,1.1082300921080657,0.8124488124488124,30.35196876474673,2024
past_oof_previous_fold_q30,1235,322,0.26072874493927123,1.2698591549295775,0.22186234817813766,0.3136645962732919,1.4137802058303486,1.3811003571872884,0.9901603498542273,15.575570423234804,2025
past_oof_previous_fold_q30,780,230,0.2948717948717949,1.4375,0.3423076923076923,0.5478260869565217,1.6003908158280409,1.6065307296530533,0.9659442724458206,91.79400144776587,2026
past_oof_expanding_q30,955,15,0.015706806282722512,0.07692307692307691,0.34659685863874345,0.8,2.3081570996978855,2.7316299365479697,2.3321123321123323,175.90342040716013,2023
past_oof_expanding_q30,1240,208,0.16774193548387098,0.8225988700564972,0.3379032258064516,0.4423076923076923,1.3089774187626215,1.260096180494481,0.8899521531100477,45.082666272863904,2024
past_oof_expanding_q30,1235,185,0.14979757085020243,0.7295774647887324,0.22186234817813766,0.33513513513513515,1.5105543499704084,1.4449918953333527,0.9801587301587301,27.818305908631114,2025
past_oof_expanding_q30,780,80,0.10256410256410256,0.5,0.3423076923076923,0.6375,1.8623595505617976,1.8306278195488723,1.368421052631579,106.56089910883557,2026
past_oof_rolling_120_q30,955,115,0.12041884816753927,0.5897435897435898,0.34659685863874345,0.6434782608695652,1.8565611454091684,1.8886559688059474,1.5875959079283888,98.34855151284779,2023
past_oof_rolling_120_q30,1240,417,0.3362903225806452,1.6491525423728812,0.3379032258064516,0.37889688249400477,1.1213177429416847,1.1162605000346413,0.9614266330684241,31.521218274525857,2024
past_oof_rolling_120_q30,1235,365,0.29554655870445345,1.4394366197183097,0.22186234817813766,0.2821917808219178,1.2719228077192282,1.255888323809555,0.9229663696464501,-1.5285032499978515,2025
