period,state,h,control,block_dates,n_dates,mean_delta,ci_low,ci_high,probability_adaptive_better
screen_2024,cutoff_1520,1,prior,20,248,-7.189437705910105,-8.63534062850601,-5.79931128755168,1.0
screen_2024,cutoff_1520,1,prior,50,248,-7.189437705910105,-8.61118981362225,-5.91954297087632,1.0
screen_2024,cutoff_1530,1,model,20,248,-9.621968346026344,-18.547909982824773,-2.0522204813006284,0.993
screen_2024,cutoff_1530,1,model,50,248,-9.621968346026344,-19.250079419903724,-1.6445266134210033,0.995
screen_2024,cutoff_1530,1,prior,20,248,-7.217604506904146,-8.717902633246624,-5.789586455275411,1.0
screen_2024,cutoff_1530,1,prior,50,248,-7.217604506904146,-8.669396510444876,-5.965872562689624,1.0
screen_2024,early_1000,1,model,20,248,-76.89661796136701,-150.08524253200594,-17.60918711676093,0.999
screen_2024,early_1000,1,model,50,248,-76.89661796136701,-173.01410943475264,-4.268895030279469,0.997
screen_2024,early_1000,1,prior,20,248,23.735671379819642,-3.316531336861052,75.94112471326675,0.235
screen_2024,early_1000,1,prior,50,248,23.735671379819642,-3.9248628918719484,75.22410744882353,0.249
screen_2024,premarket,1,model,20,248,-17.162314016150884,-24.822164883215038,-9.695738731973039,1.0
screen_2024,premarket,1,model,50,248,-17.162314016150884,-25.026221540975186,-9.649548415539353,1.0
screen_2024,premarket,1,prior,20,248,0.0,0.0,0.0,0.0
screen_2024,premarket,1,prior,50,248,0.0,0.0,0.0,0.0
screen_2024,update_1630,1,model,20,248,-8.766738027654783,-17.540923246631614,-1.4374606106810377,0.995
screen_2024,update_1630,1,model,50,248,-8.766738027654783,-16.957029141487627,-2.1895284091432643,0.999
screen_2024,update_1630,1,prior,20,248,-6.937435891136177,-8.466671746832569,-5.556775145166657,1.0
screen_2024,update_1630,1,prior,50,248,-6.937435891136177,-8.37563962526536,-5.618822143799628,1.0
screen_2024,update_1730,1,model,20,248,-8.786632480666029,-17.3200410053565,-1.3307356715039493,0.989
screen_2024,update_1730,1,model,50,248,-8.786632480666029,-16.729012424936784,-1.826944861364935,0.998
screen_2024,update_1730,1,prior,20,248,-6.772780924895096,-8.495558379304594,-5.382358845307604,1.0
screen_2024,update_1730,1,prior,50,248,-6.772780924895096,-8.554609481757561,-5.268856608882682,1.0
screen_2024,cutoff_1030,3,model,20,248,-33.2662764544658,-48.98269288805143,-18.799358275154702,1.0
screen_2024,cutoff_1030,3,model,50,248,-33.2662764544658,-46.266879992903924,-17.64599735753385,1.0
screen_2024,cutoff_1030,3,prior,20,248,-4.01545905428816,-8.401843694217462,0.6662484514796398,0.957
