state,h,period,candidate,n,mae_model,mae_prior,rmse_model,rmse_prior,spearman,positive_sign_accuracy,mean_predicted_bps,mean_actual_bps
cutoff_1230,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
cutoff_1230,1,screen_2024,adaptive,1240,55.17944596634091,61.71417108209789,90.08952752554583,96.25607846658144,0.5359162837225336,0.7201612903225807,4.640937006235186,3.3385230784683944
cutoff_1230,1,opened_2025_2026,model,2040,52.844662396935036,70.53748746584813,71.98844987292749,94.54792380715715,0.6849122171902056,0.7480392156862745,-0.04944933866981724,-2.168175060830078
cutoff_1230,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
cutoff_1230,1,opened_2025_2026,adaptive,2040,55.5880466397359,70.53748746584813,78.26975275732406,94.54792380715715,0.6543869706506718,0.7470588235294118,0.7337589167441224,-2.168175060830078
cutoff_1330,1,screen_2024,model,1240,65.50714377042208,61.71417108209789,94.97395130935477,96.25607846658144,0.5533381422552619,0.7330645161290322,16.037467688415827,3.3385230784683944
cutoff_1330,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
cutoff_1330,1,screen_2024,adaptive,1240,54.7433815061868,61.71417108209789,89.84283910760297,96.25607846658144,0.5508324530857903,0.728225806451613,4.569138038180648,3.3385230784683944
cutoff_1330,1,opened_2025_2026,model,2040,52.824500576912726,70.53748746584813,71.788928848777,94.54792380715715,0.6869791291717992,0.7470588235294118,-0.22986028161710922,-2.168175060830078
cutoff_1330,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
cutoff_1330,1,opened_2025_2026,adaptive,2040,55.56907358044226,70.53748746584813,78.16679075676917,94.54792380715715,0.6591219295037116,0.7465686274509804,0.7425440608592141,-2.168175060830078
cutoff_1430,1,screen_2024,model,1240,64.84471505479728,61.71417108209789,94.44597075113526,96.25607846658144,0.5595984031995925,0.7306451612903225,13.76045505077227,3.3385230784683944
cutoff_1430,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
cutoff_1430,1,screen_2024,adaptive,1240,54.60227807786965,61.71417108209789,89.69224595097391,96.25607846658144,0.5576321285496456,0.7298387096774194,3.999884878769759,3.3385230784683944
cutoff_1430,1,opened_2025_2026,model,2040,52.469919287464506,70.53748746584813,71.32005029084785,94.54792380715715,0.6919766680914725,0.7544117647058823,-0.29917879216776544,-2.168175060830078
cutoff_1430,1,opened_2025_2026,prior,2040,70.53748746584813,70.53748746584813,94.54792380715715,94.54792380715715,-0.09497204058704524,0.4725490196078431,-1.102035084042808,-2.168175060830078
cutoff_1430,1,opened_2025_2026,adaptive,2040,55.320247376341406,70.53748746584813,77.90901673667229,94.54792380715715,0.6676994130885741,0.7544117647058823,0.6652069409418562,-2.168175060830078
cutoff_1500,1,screen_2024,model,1240,64.6528383615948,61.71417108209789,94.39089453092117,96.25607846658144,0.5618348099442598,0.7330645161290322,14.13066419182033,3.3385230784683944
cutoff_1500,1,screen_2024,prior,1240,61.71417108209789,61.71417108209789,96.25607846658144,96.25607846658144,-0.06297596887665115,0.507258064516129,0.7463614881022546,3.3385230784683944
cutoff_1500,1,screen_2024,adaptive,1240,54.567478532318816,61.71417108209789,89.68205594237969,96.25607846658144,0.5596839303439345,0.728225806451613,4.092437164031773,3.3385230784683944
