state,h,origin,n_train,n_query,selected_weight,mae_weight_0,mae_weight_0.25,mae_weight_0.5,mae_weight_0.75,mae_weight_1,last_target_maturity
premarket,3,2024-10-01,2130,330,0.25,89.83260307075624,89.39685491282727,99.68412410326654,116.77841462701501,137.7102795092495,2024-09-28
premarket,3,2025-01-01,2460,285,0.25,94.55731200945063,93.62911977091724,102.06066628989936,116.8077112990074,135.05794375948585,2024-12-29
premarket,3,2025-04-01,2460,295,0.25,100.78699832290053,99.9630511134659,107.14489768503417,119.64449259521658,135.36512606967307,2025-03-29
premarket,3,2025-07-01,2450,330,0.25,96.27626572478874,95.97106830354373,102.63892654525833,113.9497974645599,128.1694690902045,2025-06-28
premarket,3,2025-10-01,2450,325,0.25,92.67870191189192,92.10667424426741,96.70432818420043,105.05961507088317,115.73068797121434,2025-09-27
premarket,3,2026-01-01,2450,270,0.25,92.6787405474862,92.51332734824923,96.5779145817535,103.79684968860796,113.06380053396236,2025-12-27
premarket,3,2026-04-01,2440,310,0.25,95.70519856441871,95.43454483848292,98.34236838269904,103.76270475002465,110.79573326005226,2026-03-28
premarket,3,2026-07-01,2450,230,0.25,97.5738032253484,96.0054377043552,96.94957382980694,99.91997993236764,104.3139041204774,2026-06-27
cutoff_1030,3,2023-01-01,0,280,0.0,,,,,,
cutoff_1030,3,2023-04-01,255,305,0.0,,,,,,2023-03-29
cutoff_1030,3,2023-07-01,560,330,0.25,93.42212840962254,91.14042990208127,95.60639171599713,104.51673288345087,116.07608464174703,2023-06-28
cutoff_1030,3,2023-10-01,890,320,0.25,101.74536667376903,97.51054390817744,102.4829070644126,112.61766862514473,127.12867732191947,2023-09-28
cutoff_1030,3,2024-01-01,1215,285,0.25,101.02444724653424,93.9035987106042,96.50859075451221,105.04649948294521,118.05939615860366,2023-12-29
cutoff_1030,3,2024-04-01,1500,300,0.25,91.77847373354489,85.01230958019983,87.76869934533433,97.06041408040353,111.21713039473943,2024-03-29
cutoff_1030,3,2024-07-01,1800,325,0.25,88.64144808282693,84.32611964078204,88.94601807216063,99.3872189689685,114.3491709894688,2024-06-28
cutoff_1030,3,2024-10-01,2130,330,0.25,89.83260307075624,85.09721245523058,90.28108385076615,102.30149369988547,118.7918501205148,2024-09-28
cutoff_1030,3,2025-01-01,2460,285,0.25,94.55731200945063,89.22197029497092,93.10473800138544,103.50639263493451,118.25687546741888,2024-12-29
