rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap
0.22,293,1.155492957746479,60,0,0.45733788395904434,0.22186234817813766,2.0613587105453277,0.7406176656007657,53.93477750335808,2.0613587105453277,2.0613587105453277,1,1,1.0450704225352112,1.3211267605633803,1.8325806451612905,0.7847222222222222,2.0613587105453277,1.155492957746479,1.155492957746479,0.7692307692307693,1.830769230769231,4,retrospective_2025,rolling,0.22,60,0,0,0.0,0.0,0,0
0.22,230,1.431111111111111,60,0,0.6304347826086957,0.3401273885350318,1.853525484448787,0.7497867048428846,123.19661716852364,1.853525484448787,1.853525484448787,1,1,1.3066666666666666,1.5244444444444443,1.6765827612509536,0.8755555555555555,1.853525484448787,1.431111111111111,1.431111111111111,0.6222222222222222,2.5,3,retrospective_2026,rolling,0.22,60,0,0,0.0,0.0,0,0
0.25,340,1.344632768361582,20,0,0.5470588235294118,0.3379032258064516,1.6189807665309564,0.6762228959967906,68.51408091314629,1.6189807665309564,1.6189807665309564,1,1,1.2457627118644068,1.4039548022598871,1.5150178177498728,0.8208955223880597,1.6189807665309564,1.344632768361582,1.344632768361582,0.9227272727272727,2.0681818181818183,4,screen_2024,rolling,0.25,20,0,0,0.0,0.0,0,0
0.25,354,1.396056338028169,20,0,0.403954802259887,0.22186234817813766,1.8207451853684686,0.7406176656007657,39.35756857473821,1.8207451853684686,1.8207451853684686,1,1,1.36056338028169,1.43943661971831,1.624109589041096,0.8567335243553008,1.8207451853684686,1.396056338028169,1.396056338028169,1.2307692307692308,1.7076923076923076,4,retrospective_2025,rolling,0.25,20,0,0,0.0,0.0,0,0
0.25,234,1.4559999999999997,20,0,0.6239316239316239,0.3401273885350318,1.8344057108102052,0.7497867048428846,115.62210806799779,1.8344057108102052,1.8344057108102052,1,1,1.4,1.5244444444444443,1.437070938215103,0.868995633187773,1.8344057108102052,1.4559999999999997,1.4559999999999997,1.1199999999999999,1.825,3,retrospective_2026,rolling,0.25,20,0,0,0.0,0.0,0,0
0.25,295,1.1666666666666667,40,0,0.488135593220339,0.3379032258064516,1.4446017555924113,0.6762228959967906,48.9702442342783,1.4446017555924113,1.4446017555924113,1,1,1.0677966101694916,1.2062146892655368,1.2735532293106853,0.7862068965517242,1.4446017555924113,1.1666666666666667,1.1666666666666667,0.6681818181818182,2.2272727272727275,4,screen_2024,rolling,0.25,40,0,0,0.0,0.0,0,0
0.25,341,1.3447887323943661,40,0,0.4281524926686217,0.22186234817813766,1.929811417685211,0.7406176656007657,46.599784050025,1.929811417685211,1.929811417685211,1,1,1.3014084507042254,1.4788732394366197,1.6882767191383596,0.8333333333333334,1.929811417685211,1.3447887323943661,1.3447887323943661,0.9384615384615385,1.830769230769231,4,retrospective_2025,rolling,0.25,40,0,0,0.0,0.0,0,0
0.25,247,1.5368888888888887,40,0,0.6437246963562753,0.3401273885350318,1.8925988263658282,0.7497867048428846,121.48748440249412,1.8925988263658282,1.8925988263658282,1,1,1.4933333333333332,1.5866666666666664,1.6202270381836947,0.8966942148760331,1.8925988263658282,1.5368888888888887,1.5368888888888887,0.9955555555555555,2.3,3,retrospective_2026,rolling,0.25,40,0,0,0.0,0.0,0,0
0.25,272,1.0757062146892655,60,0,0.5330882352941176,0.3379032258064516,1.57763582760073,0.6762228959967906,57.88742785757583,1.57763582760073,1.57763582760073,1,1,1.0084745762711864,1.1468926553672316,1.425287356321839,0.8089887640449438,1.57763582760073,1.0757062146892655,1.0757062146892655,0.6045454545454545,2.131818181818182,4,screen_2024,rolling,0.25,60,0,0,0.0,0.0,0,0
0.25,328,1.2935211267605633,60,0,0.45121951219512196,0.22186234817813766,2.033781377959765,0.7406176656007657,53.040315797025826,2.033781377959765,2.033781377959765,1,1,1.1830985915492958,1.4,1.7642857142857145,0.8204334365325078,2.033781377959765,1.2935211267605633,1.2935211267605633,0.9538461538461539,1.9384615384615385,4,retrospective_2025,rolling,0.25,60,0,0,0.0,0.0,0,0
0.25,249,1.549333333333333,60,0,0.6184738955823293,0.3401273885350318,1.8183595806446762,0.7497867048428846,118.37945976881002,1.8183595806446762,1.8183595806446762,1,1,1.462222222222222,1.6488888888888886,1.7077192982456142,0.889344262295082,1.8183595806446762,1.549333333333333,1.549333333333333,0.6688888888888889,2.675,3,retrospective_2026,rolling,0.25,60,0,0,0.0,0.0,0,0
0.3,377,1.4909604519774013,20,0,0.53315649867374,0.3379032258064516,1.57783784810367,0.6762228959967906,60.69165845222518,1.57783784810367,1.57783784810367,1,1,1.463276836158192,1.5028248587570623,1.529950248756219,0.8440860215053764,1.57783784810367,1.4909604519774013,1.4909604519774013,1.0181818181818183,2.1954545454545458,4,screen_2024,rolling,0.3,20,0,0,0.0,0.0,0,0
0.3,397,1.5656338028169015,20,0,0.40302267002518893,0.22186234817813766,1.8165437864274026,0.7406176656007657,37.78520512660473,1.8165437864274026,1.8165437864274026,1,1,1.5183098591549296,1.5971830985915492,1.6750130412102242,0.8647959183673469,1.8165437864274026,1.5656338028169015,1.5656338028169015,1.4461538461538461,1.8923076923076925,4,retrospective_2025,rolling,0.3,20,0,0,0.0,0.0,0,0
0.3,276,1.7173333333333332,20,0,0.5760869565217391,0.3401273885350318,1.693738804754926,0.7497867048428846,97.59543830296204,1.693738804754926,1.693738804754926,1,1,1.6488888888888886,1.7422222222222221,1.4031777557100298,0.8856088560885609,1.693738804754926,1.7173333333333332,1.7173333333333332,1.4155555555555555,2.075,3,retrospective_2026,rolling,0.3,20,0,0,0.0,0.0,0,0
0.3,350,1.384180790960452,40,0,0.48857142857142855,0.3379032258064516,1.4458915785884758,0.6762228959967906,48.172937258087416,1.4458915785884758,1.4458915785884758,1,1,1.3248587570621468,1.4435028248587571,1.3279785809906293,0.8463768115942029,1.4458915785884758,1.384180790960452,1.384180790960452,0.7954545454545455,2.5295454545454548,4,screen_2024,rolling,0.3,40,0,0,0.0,0.0,0,0
0.3,391,1.5419718309859156,40,0,0.4040920716112532,0.22186234817813766,1.821363899415685,0.7406176656007657,35.912563048168494,1.821363899415685,1.821363899415685,1,1,1.4788732394366197,1.6366197183098592,1.6765654165959614,0.8626943005181347,1.821363899415685,1.5419718309859156,1.5419718309859156,1.1384615384615384,2.0,4,retrospective_2025,rolling,0.3,40,0,0,0.0,0.0,0,0
0.3,272,1.6924444444444442,40,0,0.6066176470588235,0.3401273885350318,1.7835013218770654,0.7497867048428846,113.12981190239947,1.7835013218770654,1.7835013218770654,1,1,1.68,1.711111111111111,1.5812215724496428,0.9213483146067416,1.7835013218770654,1.6924444444444442,1.6924444444444442,1.0577777777777777,2.575,3,retrospective_2026,rolling,0.3,40,0,0,0.0,0.0,0,0
0.3,340,1.344632768361582,60,0,0.5176470588235295,0.3379032258064516,1.5319387898357435,0.6762228959967906,57.80119027183888,1.5319387898357435,1.5319387898357435,1,1,1.2457627118644068,1.463276836158192,1.3824851645387521,0.835820895522388,1.5319387898357435,1.344632768361582,1.344632768361582,0.7318181818181818,2.481818181818182,4,screen_2024,rolling,0.3,60,0,0,0.0,0.0,0,0
0.3,379,1.4946478873239435,60,0,0.42216358839050133,0.22186234817813766,1.902817633803902,0.7406176656007657,47.172240613459714,1.902817633803902,1.902817633803902,1,1,1.4,1.5971830985915492,1.71,0.8663101604278075,1.902817633803902,1.4946478873239435,1.4946478873239435,1.1384615384615384,2.0461538461538464,4,retrospective_2025,rolling,0.3,60,0,0,0.0,0.0,0,0
0.3,285,1.7733333333333332,60,0,0.5719298245614035,0.3401273885350318,1.6815165253958868,0.7497867048428846,108.36477178857983,1.6815165253958868,1.6815165253958868,1,1,1.68,1.8977777777777776,1.6333543505674655,0.9,1.6815165253958868,1.7733333333333332,1.7733333333333332,0.8244444444444444,3.05,3,retrospective_2026,rolling,0.3,60,0,0,0.0,0.0,0,0
