packet,period,candidate,previously_selected,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps,reference,known_next_lower_signal_share
ap2,early,cny_cbr_w25_r25,True,5,1135,277,2023-01-09,2023-12-01,0.7220216606498195,0.38502202643171807,1.8752736495138334,1.875335618984675,1.1859327217125382,1.1559633027522935,1.2201834862385321,55.47136867412658,172.90910084486333,effective,0.17328519855595667
ap2,early,cny_cbr_w25_r25,True,5,1135,277,2023-01-09,2023-12-01,0.6967509025270758,0.3894273127753304,1.7891680415570839,1.7892264967736666,1.1859327217125382,1.1559633027522935,1.2201834862385321,27.293676439822544,155.44592070331163,publication,0.17328519855595667
ap2,early,cny_cbr_w25_r25,True,10,1135,277,2023-01-09,2023-12-01,0.6389891696750902,0.3136563876651982,2.037226706688841,2.0361323671007954,1.1859327217125382,1.1559633027522935,1.2201834862385321,74.07449449309003,233.085795698281,effective,0.17328519855595667
ap2,early,cny_cbr_w25_r25,True,10,1135,277,2023-01-09,2023-12-01,0.5848375451263538,0.31541850220264317,1.8541637254704233,1.8531546059262247,1.1859327217125382,1.1559633027522935,1.2201834862385321,34.87304606878609,197.13239828246654,publication,0.17328519855595667
ap2,early,cny_cbr_w25_r25,True,20,1135,277,2023-01-09,2023-12-01,0.5595667870036101,0.26519823788546254,2.1099943629538123,2.1073909918543365,1.1859327217125382,1.1559633027522935,1.2201834862385321,82.4370099146498,294.3550114862145,effective,0.17328519855595667
ap2,early,cny_cbr_w25_r25,True,20,1135,277,2023-01-09,2023-12-01,0.5054151624548736,0.2669603524229075,1.8932218131560445,1.8908788004997914,1.1859327217125382,1.1559633027522935,1.2201834862385321,38.02472522496252,252.99642883041201,publication,0.17328519855595667
ap2,later,cny_cbr_w25_r25,True,1,3280,840,2024-01-09,2026-08-31,0.7678571428571429,0.5161585365853658,1.487638173993756,1.4731999025431726,1.247083775185578,1.2248144220572639,1.2693531283138917,18.435484754275972,58.51918569219143,effective,0.23214285714285715
ap2,later,cny_cbr_w25_r25,True,1,3280,840,2024-01-09,2026-08-31,0.8154761904761905,0.5161585365853658,1.579894804939105,1.56316504809859,1.247083775185578,1.2248144220572639,1.2693531283138917,1.3862563680267683,61.99400209378409,publication,0.23214285714285715
ap2,later,cny_cbr_w25_r25,True,3,3270,835,2024-01-09,2026-08-27,0.6730538922155689,0.354434250764526,1.8989527416263245,1.8598580163459502,1.2449414270500534,1.222577209797657,1.2673056443024495,44.14526409268501,103.92682078920335,effective,0.2275449101796407
ap2,later,cny_cbr_w25_r25,True,3,3270,835,2024-01-09,2026-08-27,0.6035928143712574,0.354434250764526,1.7029754124193373,1.6691680559971624,1.2449414270500534,1.222577209797657,1.2673056443024495,4.38514638641141,69.73428793525113,publication,0.2275449101796407
ap2,later,cny_cbr_w25_r25,True,5,3260,830,2024-01-09,2026-08-25,0.5783132530120482,0.294478527607362,1.9638554216867468,1.9232871751348979,1.2401280683030946,1.2177161152614728,1.262540021344717,51.933956252476115,115.07300296868468,effective,0.2289156626506024
