h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity
5,2023-10-01,1535,608,0.3999166054745803,320,False,-0.010057782348652377,"[0.808466510717712, 0.02646358106658158, -0.04767524080557992, -0.041557154410871086, 0.1755346088798038, -0.12141654994169201]",2023-09-28
5,2024-01-01,1860,696,0.37239438982017437,285,False,-0.21914996926346683,"[0.7657966581461008, 0.013133973971739713, -0.06883462165035963, -0.017730448396209044, 0.008859191011441569, -0.14480253107304317]",2023-12-29
5,2024-04-01,2145,794,0.3679780429662553,300,False,-0.2314549024367886,"[0.7910063621739398, 0.00981054170282406, -0.03968852375805712, -0.009196932561908306, 0.03866245138131852, -0.22179822329052662]",2024-03-29
5,2024-07-01,2445,844,0.3347697158302977,330,False,-0.3136090237372748,"[0.8237528833882419, -0.0293116331953692, -0.11062167647078007, -0.0013367032694519307, 0.016869920672847264, -0.17766520751995504]",2024-06-28
5,2024-10-01,2770,971,0.34420618403427733,325,False,-0.22293086039446083,"[0.8452717363903333, -0.02223745272926079, -0.11982607974461247, 0.10836353268423772, 0.01707017091722229, -0.19852134136046037]",2024-09-27
5,2025-01-01,3100,1101,0.3515081512946354,290,False,-0.17249134068932462,"[0.8880848470217874, 0.018840133597814418, -0.06744809304257199, 0.0906511448869768, 0.04626102893091638, -0.25473960740266555]",2024-12-28
5,2025-04-01,3385,1150,0.32893567226656467,295,False,-0.26553752102368794,"[0.9033470896154916, 0.00023428394906487254, -0.07880916210618195, 0.03774054651926766, 0.03753583904807165, -0.25294984120279757]",2025-03-28
5,2025-07-01,3680,1196,0.30769340641233855,330,False,-0.350061652284518,"[0.9208772329517025, 0.08238292472847138, -0.12085513320222897, -0.03948074710819522, -0.021219380224499287, -0.23935512548509819]",2025-06-27
5,2025-10-01,4005,1319,0.317167014906282,320,False,-0.3197526731060272,"[0.9489065685416379, 0.09323518591443491, -0.18004079989318209, 0.010893310885068196, 0.0008446479748269785, -0.23441398825413576]",2025-09-26
5,2026-01-01,4330,1383,0.3023579635642544,275,False,-0.4422110000092424,"[0.9321044321418676, 0.04946859952836745, -0.1968074023619209, -0.028317072423916, -0.038098538796420854, -0.21461140578967608]",2025-12-29
5,2026-04-01,4600,1464,0.30251912948373016,310,False,-0.440802834892398,"[0.9800888774813378, 0.0063631702561495725, -0.1557756527809963, -0.04500002452800272, -0.05007593331224751, -0.18160471406612652]",2026-03-27
5,2026-07-01,4910,1528,0.29224454410831385,225,False,-0.47510483784473945,"[0.9839256397403504, -0.002741968066338777, -0.13735582115523415, -0.06301272758289037, -0.04793517783464485, -0.20918774855993497]",2026-06-26
10,2023-01-01,595,166,0.28116521138773604,285,False,-0.9143982444285782,"[0.02018414860767537, 0.039386212890602346, -0.046678639772046795, -0.08388606489975341, 0.23017108407570586, -0.133025066495158]",2022-12-29
10,2023-04-01,875,275,0.3185805606721073,305,False,-0.5431148725489126,"[0.2919775710468235, -0.09715171940277412, 0.04095156397844966, -0.11310982597184026, 0.25700801900401, -0.08543879612950941]",2023-03-29
10,2023-07-01,1180,394,0.3397046062300688,325,False,-0.5461701853869161,"[0.45654540651849546, -0.013465739872549464, 0.03160464095219615, -0.05895116642988512, 0.16970249217959102, -0.1254547570613955]",2023-06-28
10,2023-10-01,1510,505,0.33833400199390257,320,False,-0.48568680180427026,"[0.5446249423521468, -0.10153372280633848, -0.0985623042945889, -0.08512186905159813, 0.06608318893140953, -0.24371558798913842]",2023-09-28
10,2024-01-01,1835,544,0.2913754413937184,285,False,-0.6647089445645827,"[0.5794017719537738, -0.14470724633778687, -0.13282550449320715, -0.08574808560997697, -0.020382593934189962, -0.2506653411671055]",2023-12-29
10,2024-04-01,2120,626,0.2911481765942821,300,False,-0.6388123704431841,"[0.5953334501633714, -0.14086592011872137, -0.10387103168924705, -0.09067633982146486, -0.022890758787950834, -0.2536839004681557]",2024-03-29
10,2024-07-01,2420,668,0.26583367084457205,330,False,-0.7031095129139137,"[0.6342679549189022, -0.16506608806483103, -0.15773892868134562, -0.09156336524672838, -0.02157639624704053, -0.2336475951349875]",2024-06-28
10,2024-10-01,2745,751,0.2644517357100295,325,False,-0.6367489431750578,"[0.6312725502314044, -0.151290500036114, -0.18301144571750708, 0.00191579932540949, -0.027486200682798584, -0.2526081279709474]",2024-09-27
10,2025-01-01,3075,877,0.28191232414474415,290,False,-0.5164126073245003,"[0.5557091531024628, -0.05797065854890571, -0.11185132887680654, -0.0019209269951094461, 0.007549548547864182, -0.33450240913754337]",2024-12-28
10,2025-04-01,3360,891,0.2525826658869866,295,False,-0.6353875405616578,"[0.5740174308070294, -0.10126830005283424, -0.1532055952249313, -0.040844787576508494, -0.02353124784742715, -0.29574575337494324]",2025-03-28
10,2025-07-01,3655,924,0.23508709851308887,330,False,-0.7128844993306421,"[0.5922935270904337, -0.006008596474593541, -0.19794774330502224, -0.10706266407074413, -0.05133157046972103, -0.3286280418464943]",2025-06-27
10,2025-10-01,3980,1022,0.2440391193657376,320,False,-0.6605856765189657,"[0.63648940030072, 0.04130616516679905, -0.24027011279742405, -0.060543317622749115, -0.03805296905031464, -0.34325408071989455]",2025-09-26
10,2026-01-01,4305,1063,0.22958015387941308,275,False,-0.9189187599451376,"[0.609367602953796, 0.13542289645117067, -0.09037155118334769, 0.05017554265346376, 0.07678936572669748, -0.1729889717162531]",2025-12-29
10,2026-04-01,4575,1123,0.22935940933846163,310,False,-0.7675143755547983,"[0.6120023293657398, -0.0643330392221104, -0.18902249174785007, -0.12517274161428246, -0.08966741431961377, -0.2746326583904334]",2026-03-27
10,2026-07-01,4885,1160,0.21721650589627478,225,False,-0.8167345984014592,"[0.6356681777031756, -0.07851817398825074, -0.20347684217285797, -0.13053266468934613, -0.08892972728040803, -0.29040179931676136]",2026-06-26
20,2023-01-01,545,99,0.1822983929778712,285,False,-1.2753100349934259,"[0.1660731231453044, 0.1291641472816617, -0.09164028747205367, 0.12682610607620343, 0.09955118562437248, -0.26667465334750284]",2022-12-29
20,2023-04-01,825,229,0.28525583316098535,305,False,-0.6982146421950437,"[0.19856197574146348, -0.0954567408816207, 0.06598290919447068, -0.04007614058738586, 0.20782206508433884, -0.12868481346743707]",2023-03-29
20,2023-07-01,1130,313,0.2825243094710836,325,False,-0.838897295660872,"[0.15089052684049642, -0.015476091073448954, 0.023598365000949126, -0.04778758772442026, 0.15844055974431948, -0.10796025616282365]",2023-06-28
20,2023-10-01,1460,426,0.29743311308951975,320,False,-0.7508055969051797,"[0.28622943391368083, 0.046204698929006784, -0.13794476197177688, 0.06826038014394045, 0.24219097340325998, -0.19718037066374372]",2023-09-28
20,2024-01-01,1785,448,0.24712538084364838,285,False,-0.9634019072016474,"[0.3599085854421398, 0.055548854902315696, -0.11052107235898552, 0.06378704487237667, 0.18014426577757903, -0.19384177933629895]",2023-12-29
20,2024-04-01,2070,487,0.22806873638985717,300,False,-1.0527436467465505,"[0.43864422452940593, 0.051815439463809815, -0.09862599334800837, 0.06049438343887089, 0.13716104508104954, -0.15129106289552394]",2024-03-29
20,2024-07-01,2370,529,0.21281645821539147,330,False,-1.0697934380817544,"[0.4829366043733143, 0.035495205340622386, -0.1884259147088247, 0.0723790405854512, 0.19073403215236814, -0.10248899258754876]",2024-06-28
20,2024-10-01,2695,566,0.1967130261274906,325,False,-1.0869252686342015,"[0.5396784223667964, 0.009791313767033391, -0.17165350644925328, 0.14835564311336777, 0.16740598281104915, -0.14898155191761844]",2024-09-27
20,2025-01-01,3025,682,0.21993729142983856,290,False,-0.7551655657002878,"[0.4374946067666663, -0.1298825416941617, -0.19323108031807817, -0.016455349323559215, -0.008926983090717452, -0.3773114285849634]",2024-12-28
20,2025-04-01,3310,684,0.19287889123930677,295,False,-0.8675321023835867,"[0.4708040412246609, -0.16259384692324017, -0.2191972573214713, -0.05731336143464279, -0.022304412659517176, -0.3724871229548106]",2025-03-28
20,2025-07-01,3605,698,0.17477906091385484,330,False,-1.1671585854490383,"[0.4760687642839611, 0.10625968462820384, -0.06553331975535855, 0.06845418738611724, 0.1226690130618498, -0.22192167071235505]",2025-06-27
20,2025-10-01,3930,760,0.17714211070509425,320,False,-0.956172853513528,"[0.48976873042025565, -0.03080893531622741, -0.28369416686106386, -0.09994794815889985, -0.06371138559247871, -0.440862735045746]",2025-09-26
20,2026-01-01,4255,792,0.16705187187852436,275,False,-1.2705950867552112,"[0.46860126541075764, 0.12576532157842105, -0.07073658275737604, 0.0549428977037557, 0.11079384575782866, -0.2195074423822627]",2025-12-29
20,2026-04-01,4525,826,0.16297190198281925,310,False,-1.322617279061703,"[0.440290864834748, 0.066181743650192, -0.008422423119840915, 0.022614361219025533, 0.09179557472374131, -0.17161732211906072]",2026-03-27
20,2026-07-01,4835,864,0.15819275026658425,225,False,-1.1398254377600836,"[0.43419686121973994, -0.15471996708852012, -0.2385678465757528, -0.2087736737633747, -0.12046094870451313, -0.3718728170211931]",2026-06-26
