h,slice,group,n,positive_rate,brier_raw,logloss_raw,ece_raw,auc_raw,average_precision_raw,brier_calibrated,logloss_calibrated,ece_calibrated,auc_calibrated,average_precision_calibrated,brier_prior,logloss_prior,ece_prior,auc_prior,average_precision_prior
5,currency,AMD,652,0.29754601226993865,0.16936928748485336,0.516116904667737,0.08810422703703245,0.7899765902849684,0.6116761449386204,0.16533190463345174,0.5059236340309461,0.046398317233802375,0.7862625489578174,0.6071022797962342,0.21153801585420937,0.614494390673344,0.05194875687189911,0.4805631837212443,0.3064852666132558
5,currency,KGS,652,0.2929447852760736,0.16947010002952548,0.5182337528222627,0.09362960516482756,0.7810359905055024,0.6092258055537209,0.1654166792191363,0.5074643055601745,0.051596551861623145,0.7781172275158715,0.596888598754241,0.20981778873845308,0.6108489561229755,0.05041501454061076,0.4860194659913005,0.2987604436280175
5,currency,KZT,652,0.2668711656441718,0.15794275156344717,0.49004318015443354,0.10095836233663762,0.8068460539604674,0.5978496250784193,0.15094482605035003,0.4682029011155999,0.04832572561254321,0.8075434040302025,0.5935893612075728,0.2026384722719866,0.5961777962400793,0.09796102681054937,0.42737940653104417,0.24314001950013167
5,currency,TJS,652,0.3205521472392638,0.17693516578628737,0.5337565924330144,0.08499097045271944,0.7815352047263655,0.6299835739692261,0.17353068354575873,0.5249044529765803,0.04867659857393389,0.7781113979284348,0.6213593611403225,0.2195078804591546,0.6311150710311096,0.02894262190257393,0.48053722444835667,0.31697616673689755
5,currency,UZS,652,0.294478527607362,0.1661357953480932,0.511741534878452,0.10409815799606917,0.7945878623188406,0.6484785754453878,0.15965446128823266,0.49454976222512276,0.05962800822823914,0.7854053442028985,0.6362272429018455,0.2116805070413576,0.6150138116383762,0.06421869552220583,0.44533514492753623,0.2847176560772792
5,year,2024,1240,0.3346774193548387,0.1636832715977231,0.5000046737135868,0.03856659004605993,0.8105352318364367,0.6772122159186225,0.1681177137159541,0.5097573228590867,0.06244230421037124,0.8053975903614458,0.6751465653271661,0.22525558761273656,0.6431035054416356,0.019247443567552203,0.44386272362175977,0.32509195197926355
5,year,2025,1235,0.2251012145748988,0.16915151978529747,0.5210899899094268,0.1796383910393409,0.7926373634634613,0.5370635052752868,0.15204444455057387,0.4794368626382419,0.12105227458953183,0.7863602534899979,0.5314643132281287,0.1867346969074059,0.562764919185742,0.10040943812158931,0.3901411785931756,0.19295847991214427
5,year,2026,785,0.3401273885350318,0.17288514346794867,0.524863220647461,0.0982392799719652,0.8097117984758435,0.6957416656892528,0.17205090912195692,0.5178060773870012,0.06228576124003519,0.80303819067864,0.6837602722836098,0.2268086851536885,0.6466812672843528,0.05538912267320193,0.42776886035313,0.3133451213989025
10,ALL,ALL,3235,0.22812982998454404,0.17491702805951553,0.5316014588987683,0.11223300562672342,0.6921916055363998,0.422509662196641,0.16373584268185679,0.504642506969164,0.028005938321570993,0.6680238508432341,0.3912370655257461,0.1788871450555313,0.5444057542511117,0.02789642910311127,0.4570215966476845,0.2301433255403191
10,currency,AMD,647,0.23338485316846985,0.17066257473530588,0.520512581127858,0.1059682923183027,0.7116401409955138,0.4616808771980544,0.16338470278753045,0.5030224631507676,0.045997892652675544,0.6888618884853664,0.4259955852158503,0.18094602915903268,0.5486990806950572,0.022641405919185398,0.4750787759025849,0.25047777542702926
10,currency,KGS,647,0.22565687789799072,0.17654119430115786,0.5371923931891052,0.12071504352515405,0.6661198151641922,0.4181494560800655,0.165449135767353,0.5109761537639039,0.05644100227914847,0.6445328521040111,0.38269039707839775,0.17714828090090612,0.5403286002885107,0.030369381189664535,0.47763377354879283,0.2387712068369312
10,currency,KZT,647,0.20401854714064915,0.15813095696527502,0.48789031474991673,0.12258360150177737,0.7429096793174462,0.4228944032196287,0.14684656600516338,0.4588598430958308,0.047525718160940124,0.7276551927037364,0.40791779942905537,0.16783350484063622,0.5205607984115489,0.0520077119470061,0.4251250367755222,0.1962257964852383
10,currency,TJS,647,0.2550231839258114,0.19080837388496802,0.5674556300991537,0.10752676724743439,0.6628442097321766,0.4333284950248747,0.18000572484660018,0.5438932374986775,0.044205361497258684,0.6340626178800453,0.3990634314398969,0.19169360864987228,0.5722662375014602,0.001003075161843836,0.47282157676348546,0.25738225023760797
10,currency,UZS,647,0.22256568778979907,0.17844204041087097,0.5449563753278078,0.1354245860966998,0.6775044179368235,0.4048656567261221,0.16299308400263676,0.50646083733664,0.034530415227916444,0.6477523746410426,0.37647472953631467,0.17681430172720933,0.5401740543589816,0.03346057129785618,0.42978241661144245,0.21430730684408994
10,year,2024,1240,0.2693548387096774,0.1728212292804161,0.5256840936257393,0.03199153167221841,0.7112529907073271,0.5049227527025192,0.1798798394589588,0.5419173075930724,0.06822655380825667,0.7029451031711412,0.501069186702338,0.19822237847201657,0.5861464686494195,0.008111596177389324,0.47559516728133133,0.27759295176969223
10,year,2025,1235,0.14736842105263157,0.1758963934400804,0.5340921828191341,0.23039956279978116,0.7117863143504168,0.27705338350839825,0.1334467275052655,0.4370295337013672,0.11621471310471682,0.6813708608580404,0.2511399437944237,0.13908204954407127,0.45701445886031294,0.1052127296720585,0.34321352911096503,0.1192804028390988
10,year,2026,760,0.29210526315789476,0.17674502048199678,0.537208681131537,0.0988301041566652,0.7625255366891054,0.6067545883261206,0.18661544957591428,0.5536968085640092,0.08186919690563747,0.7450349978231019,0.58153858522034,0.2120234654768622,0.6183133384007627,0.06546204244261875,0.40381878160688567,0.25866061129219026
20,ALL,ALL,3185,0.165149136577708,0.15428338001099276,0.48186748626043713,0.13052337857965562,0.6589701094067497,0.33367275808429425,0.13291875897719796,0.4337476724728252,0.01703481056744259,0.6172150827164218,0.28437456691502927,0.14083859066105145,0.45768829457245574,0.03086054011992239,0.4284426805011175,0.1641559555413239
20,currency,AMD,637,0.1726844583987441,0.14804039042438344,0.46753678453764735,0.11489747065132444,0.6755908228393996,0.3768013343631789,0.13555961997769653,0.43976081290974167,0.03538707758721915,0.637381404174573,0.3418986091867782,0.14475949836726276,0.4664105038252007,0.023325218298886258,0.45218216318785576,0.18884052353004566
20,currency,KGS,637,0.1664050235478807,0.16159178625696755,0.4985727510736934,0.13630725892194612,0.6313292825924741,0.31916721357569683,0.13688289115460014,0.44424721325492467,0.028645477211106538,0.586753366734179,0.25129271663496283,0.14107865518461613,0.4578011566917012,0.029604653149749683,0.44751803290338626,0.17442442660840562
20,currency,KZT,637,0.14599686028257458,0.1399139358144523,0.44423093984026174,0.1390468193439739,0.7049533523086654,0.32621079310864154,0.11771000876848124,0.39063870062583356,0.02051044713756815,0.6817283364958886,0.2957410365303599,0.1294191413258273,0.4313478028062561,0.05001281641505581,0.4109444180898166,0.14682919461873858
20,currency,TJS,637,0.17739403453689168,0.17240185670907177,0.524787547904364,0.14946871232293313,0.6304465311085591,0.32816041039015037,0.1426491558320139,0.4594576366609539,0.030314717215133048,0.595690062825103,0.2860269955686742,0.14802141443346248,0.4741188907055914,0.042836540057866856,0.4407299196108897,0.17836999609055576
20,currency,UZS,637,0.16326530612244897,0.1494689308500888,0.47420940794621935,0.1305560097758777,0.6572196565160918,0.3470811568442738,0.13179211915319802,0.43463399891267174,0.04018563305479927,0.5901104055419253,0.30026276001698826,0.14091424399408875,0.4587631188335294,0.05068583362144613,0.3867892192235532,0.14281047542285966
20,year,2024,1240,0.18870967741935485,0.13607866411390207,0.432948152963949,0.02603611114380355,0.7341718917265637,0.4379360612455622,0.1398199116946604,0.44664085699256656,0.032126528978798474,0.693344208254745,0.41637662358480376,0.15438052838651564,0.48817065390940145,0.03146170899992785,0.4943713785662096,0.20742301044612016
20,year,2025,1235,0.09635627530364373,0.15886755908593303,0.4953938469213284,0.24751303002523614,0.6486099816270594,0.18475303844806784,0.09849282639493515,0.3553748089882065,0.10832662331350235,0.6031218939188578,0.15674759783957126,0.09830813779949334,0.35794033752193083,0.09396247203032462,0.2619612361073462,0.07586915460636946
20,year,2026,710,0.24366197183098592,0.17810364276429025,0.543775821290641,0.15035044508223255,0.6669142420426044,0.5201009875814208,0.1807477693566925,0.5475546268376484,0.0709812689577121,0.6467207026835018,0.4663834759423162,0.19116690968140176,0.5779567472197594,0.07995119976818138,0.3991668550392353,0.2116025250406102
