origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,last_effective_mature20,query_first,query_last,local_counts,n_risk,n_failures,risk_hash
2023-07-01,recent_hist,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,2023-06-27,1825,2149,,,,
2023-07-01,logit,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,2023-06-27,1825,2149,,,,
2023-07-01,local_logit,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,2023-06-27,1825,2149,"{""AMD"": 183, ""KGS"": 177, ""KZT"": 174, ""TJS"": 186, ""UZS"": 176}",,,
2023-07-01,hazard_hist,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,2023-06-27,1825,2149,,2530.0,522.0,0f37f4b20f39615d14b98a47caeee1ea5e790d087e426d30ad285699944de18c
2023-07-01,hazard_logit,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,2023-06-27,1825,2149,,2530.0,522.0,0f37f4b20f39615d14b98a47caeee1ea5e790d087e426d30ad285699944de18c
2023-07-01,margin_q25,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,2023-06-27,1825,2149,,,,
2023-07-01,margin_ridge_local,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,2023-06-27,1825,2149,"{""AMD"": 183, ""KGS"": 177, ""KZT"": 174, ""TJS"": 186, ""UZS"": 176}",,,
2023-10-01,hist,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,2023-09-27,2150,2469,,,,
2023-10-01,recent_hist,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,2023-09-27,2150,2469,,,,
2023-10-01,logit,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,2023-09-27,2150,2469,,,,
2023-10-01,local_logit,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,2023-09-27,2150,2469,"{""AMD"": 228, ""KGS"": 221, ""KZT"": 211, ""TJS"": 228, ""UZS"": 217}",,,
2023-10-01,hazard_hist,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,2023-09-27,2150,2469,,3222.0,618.0,c04b8234f919b07603efe1f3dcb45c23baa0a40039c633498683ee2ab278883f
2023-10-01,hazard_logit,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,2023-09-27,2150,2469,,3222.0,618.0,c04b8234f919b07603efe1f3dcb45c23baa0a40039c633498683ee2ab278883f
2023-10-01,margin_q25,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,2023-09-27,2150,2469,,,,
2023-10-01,margin_ridge_local,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,2023-09-27,2150,2469,"{""AMD"": 228, ""KGS"": 221, ""KZT"": 211, ""TJS"": 228, ""UZS"": 217}",,,
2024-01-01,hist,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,2023-12-28,2470,2754,,,,
2024-01-01,recent_hist,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,2023-12-28,2470,2754,,,,
2024-01-01,logit,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,2023-12-28,2470,2754,,,,
2024-01-01,local_logit,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,2023-12-28,2470,2754,"{""AMD"": 256, ""KGS"": 255, ""KZT"": 242, ""TJS"": 263, ""UZS"": 249}",,,
2024-01-01,hazard_hist,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,2023-12-28,2470,2754,,3600.0,756.0,7bbb2a556ef2e15fa2f6245ecade9506502528ca269bf6c0270187dbc2cfc65b
2024-01-01,hazard_logit,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,2023-12-28,2470,2754,,3600.0,756.0,7bbb2a556ef2e15fa2f6245ecade9506502528ca269bf6c0270187dbc2cfc65b
2024-01-01,margin_q25,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,2023-12-28,2470,2754,,,,
2024-01-01,margin_ridge_local,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,2023-12-28,2470,2754,"{""AMD"": 256, ""KGS"": 255, ""KZT"": 242, ""TJS"": 263, ""UZS"": 249}",,,
2024-04-01,hist,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,2024-03-28,2755,3054,,,,
2024-04-01,recent_hist,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,2024-03-28,2755,3054,,,,
2024-04-01,logit,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,2024-03-28,2755,3054,,,,
2024-04-01,local_logit,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,2024-03-28,2755,3054,"{""AMD"": 285, ""KGS"": 283, ""KZT"": 274, ""TJS"": 292, ""UZS"": 279}",,,
2024-04-01,hazard_hist,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,2024-03-28,2755,3054,,4012.0,865.0,05e1c139823e1903a0a879029510d7871aede201b0c9024573b572229d2067b8
2024-04-01,hazard_logit,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,2024-03-28,2755,3054,,4012.0,865.0,05e1c139823e1903a0a879029510d7871aede201b0c9024573b572229d2067b8
