scenario,clock,h,model,feature,coefficient
calendar_assumed_replay,09:15,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,09:15,5,hierarchical_beta,intercept,-0.8325159015347068
calendar_assumed_replay,09:15,5,hierarchical_beta,log_p,-0.2255966898982631
calendar_assumed_replay,09:15,5,hierarchical_beta,neg_log_1mp,-0.1706643860486481
calendar_assumed_replay,09:15,5,hierarchical_beta,currency=KGS,0.01923645025651697
calendar_assumed_replay,09:15,5,hierarchical_beta,currency=KZT,-0.22526521978288533
calendar_assumed_replay,09:15,5,hierarchical_beta,currency=TJS,0.06261931079955797
calendar_assumed_replay,09:15,5,hierarchical_beta,currency=UZS,-0.09781777534545198
calendar_assumed_replay,09:15,5,hierarchical_beta,currency=KGS:base_logit,-0.2391850744213934
calendar_assumed_replay,09:15,5,hierarchical_beta,currency=KZT:base_logit,0.13200816172838753
calendar_assumed_replay,09:15,5,hierarchical_beta,currency=TJS:base_logit,-0.019802992857524584
calendar_assumed_replay,09:15,5,hierarchical_beta,currency=UZS:base_logit,-0.06390582400453025
calendar_assumed_replay,09:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,0.02775836342025128
calendar_assumed_replay,09:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.3680722637395388
calendar_assumed_replay,10:15,5,global_platt,intercept,-0.46973223245459766
calendar_assumed_replay,10:15,5,global_platt,base_logit,0.3573501536301066
calendar_assumed_replay,10:15,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,10:15,5,hierarchical_beta,intercept,0.15906258456959183
calendar_assumed_replay,10:15,5,hierarchical_beta,log_p,0.6104057954651803
calendar_assumed_replay,10:15,5,hierarchical_beta,neg_log_1mp,-0.31325661783384195
calendar_assumed_replay,10:15,5,hierarchical_beta,currency=KGS,0.041389639922808016
calendar_assumed_replay,10:15,5,hierarchical_beta,currency=KZT,-0.14874934045054922
calendar_assumed_replay,10:15,5,hierarchical_beta,currency=TJS,0.06797427184002465
calendar_assumed_replay,10:15,5,hierarchical_beta,currency=UZS,-0.055447920881986135
calendar_assumed_replay,10:15,5,hierarchical_beta,currency=KGS:base_logit,-0.06530808215825853
calendar_assumed_replay,10:15,5,hierarchical_beta,currency=KZT:base_logit,0.16691678515403235
calendar_assumed_replay,10:15,5,hierarchical_beta,currency=TJS:base_logit,0.06744203881737972
calendar_assumed_replay,10:15,5,hierarchical_beta,currency=UZS:base_logit,0.041744551533365405
calendar_assumed_replay,10:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,0.024460560277671073
calendar_assumed_replay,10:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,0.003233579858320244
calendar_assumed_replay,10:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.4079487384335746
calendar_assumed_replay,10:45,5,global_platt,intercept,-0.43876103566291413
calendar_assumed_replay,10:45,5,global_platt,base_logit,0.4166641442441855
calendar_assumed_replay,10:45,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,10:45,5,hierarchical_beta,intercept,0.3569499184541735
calendar_assumed_replay,10:45,5,hierarchical_beta,log_p,0.7586980913507824
calendar_assumed_replay,10:45,5,hierarchical_beta,neg_log_1mp,-0.30922770964606366
calendar_assumed_replay,10:45,5,hierarchical_beta,currency=KGS,0.07083245208526516
calendar_assumed_replay,10:45,5,hierarchical_beta,currency=KZT,-0.1722998986761043
calendar_assumed_replay,10:45,5,hierarchical_beta,currency=TJS,0.0629166634437185
calendar_assumed_replay,10:45,5,hierarchical_beta,currency=UZS,-0.04314863014927941
calendar_assumed_replay,10:45,5,hierarchical_beta,currency=KGS:base_logit,0.009449429822273347
calendar_assumed_replay,10:45,5,hierarchical_beta,currency=KZT:base_logit,0.12795062780730673
calendar_assumed_replay,10:45,5,hierarchical_beta,currency=TJS:base_logit,0.07531682875253008
calendar_assumed_replay,10:45,5,hierarchical_beta,currency=UZS:base_logit,0.07367993934590557
calendar_assumed_replay,10:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.01731413256865571
calendar_assumed_replay,10:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.044388311261485056
calendar_assumed_replay,10:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.42661457504759226
calendar_assumed_replay,11:45,5,global_platt,intercept,-0.4158235262672853
calendar_assumed_replay,11:45,5,global_platt,base_logit,0.4520420694605189
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,11:45,5,hierarchical_beta,intercept,0.46577164549673394
calendar_assumed_replay,11:45,5,hierarchical_beta,log_p,0.837763564502608
calendar_assumed_replay,11:45,5,hierarchical_beta,neg_log_1mp,-0.29199380647192763
calendar_assumed_replay,11:45,5,hierarchical_beta,currency=KGS,0.08219983280981558
calendar_assumed_replay,11:45,5,hierarchical_beta,currency=KZT,-0.1767508821196385
calendar_assumed_replay,11:45,5,hierarchical_beta,currency=TJS,0.061167067380448956
calendar_assumed_replay,11:45,5,hierarchical_beta,currency=UZS,-0.043216691452852986
calendar_assumed_replay,11:45,5,hierarchical_beta,currency=KGS:base_logit,0.037569239017766994
calendar_assumed_replay,11:45,5,hierarchical_beta,currency=KZT:base_logit,0.11523143143951485
calendar_assumed_replay,11:45,5,hierarchical_beta,currency=TJS:base_logit,0.07866802250417369
calendar_assumed_replay,11:45,5,hierarchical_beta,currency=UZS:base_logit,0.07545658099878243
calendar_assumed_replay,11:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.047935627996301085
calendar_assumed_replay,11:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.07929233640329258
calendar_assumed_replay,11:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.43988242022072405
calendar_assumed_replay,12:45,5,global_platt,intercept,-0.4060251316269594
calendar_assumed_replay,12:45,5,global_platt,base_logit,0.4694777465292965
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,12:45,5,hierarchical_beta,intercept,0.506650401153432
calendar_assumed_replay,12:45,5,hierarchical_beta,log_p,0.8725808451416277
calendar_assumed_replay,12:45,5,hierarchical_beta,neg_log_1mp,-0.2743004520217766
calendar_assumed_replay,12:45,5,hierarchical_beta,currency=KGS,0.0845759453829211
calendar_assumed_replay,12:45,5,hierarchical_beta,currency=KZT,-0.18207533366365167
calendar_assumed_replay,12:45,5,hierarchical_beta,currency=TJS,0.06087274524147437
calendar_assumed_replay,12:45,5,hierarchical_beta,currency=UZS,-0.04194925911092473
calendar_assumed_replay,12:45,5,hierarchical_beta,currency=KGS:base_logit,0.044027089098413505
calendar_assumed_replay,12:45,5,hierarchical_beta,currency=KZT:base_logit,0.10276753058572993
calendar_assumed_replay,12:45,5,hierarchical_beta,currency=TJS:base_logit,0.08030637325416513
calendar_assumed_replay,12:45,5,hierarchical_beta,currency=UZS:base_logit,0.07885393433027282
calendar_assumed_replay,12:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.08086088255472883
calendar_assumed_replay,12:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.08169336576372305
calendar_assumed_replay,12:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.4453803536982104
calendar_assumed_replay,13:45,5,global_platt,intercept,-0.4094951252425493
calendar_assumed_replay,13:45,5,global_platt,base_logit,0.46725337904197234
calendar_assumed_replay,13:45,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,13:45,5,hierarchical_beta,intercept,0.3932022859232827
calendar_assumed_replay,13:45,5,hierarchical_beta,log_p,0.8321493316024694
calendar_assumed_replay,13:45,5,hierarchical_beta,neg_log_1mp,-0.11847070537206592
calendar_assumed_replay,13:45,5,hierarchical_beta,currency=KGS,0.0876303064882698
calendar_assumed_replay,13:45,5,hierarchical_beta,currency=KZT,-0.18451335580280373
calendar_assumed_replay,13:45,5,hierarchical_beta,currency=TJS,0.05701007175044253
calendar_assumed_replay,13:45,5,hierarchical_beta,currency=UZS,-0.039358337817321294
calendar_assumed_replay,13:45,5,hierarchical_beta,currency=KGS:base_logit,0.054021187932026954
calendar_assumed_replay,13:45,5,hierarchical_beta,currency=KZT:base_logit,0.09522895741172804
calendar_assumed_replay,13:45,5,hierarchical_beta,currency=TJS:base_logit,0.07491288284916034
calendar_assumed_replay,13:45,5,hierarchical_beta,currency=UZS:base_logit,0.08706725595190459
calendar_assumed_replay,13:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.08688819986091093
calendar_assumed_replay,13:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.08635600594153872
calendar_assumed_replay,13:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.4512987715714867
calendar_assumed_replay,14:45,5,global_platt,intercept,-0.3900373082264111
calendar_assumed_replay,14:45,5,global_platt,base_logit,0.4966385619814123
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,14:45,5,hierarchical_beta,intercept,0.45009328103798685
calendar_assumed_replay,14:45,5,hierarchical_beta,log_p,0.8740619058846321
calendar_assumed_replay,14:45,5,hierarchical_beta,neg_log_1mp,-0.11870923993194986
calendar_assumed_replay,14:45,5,hierarchical_beta,currency=KGS,0.08806268099042745
calendar_assumed_replay,14:45,5,hierarchical_beta,currency=KZT,-0.1822135352281504
calendar_assumed_replay,14:45,5,hierarchical_beta,currency=TJS,0.05759491675798122
calendar_assumed_replay,14:45,5,hierarchical_beta,currency=UZS,-0.038199023049060504
calendar_assumed_replay,14:45,5,hierarchical_beta,currency=KGS:base_logit,0.05739018613287895
calendar_assumed_replay,14:45,5,hierarchical_beta,currency=KZT:base_logit,0.09760412982848787
calendar_assumed_replay,14:45,5,hierarchical_beta,currency=TJS:base_logit,0.08080296323694935
calendar_assumed_replay,14:45,5,hierarchical_beta,currency=UZS:base_logit,0.09167295698742484
calendar_assumed_replay,14:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.10010830488222817
calendar_assumed_replay,14:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.097844668748094
calendar_assumed_replay,14:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.45658156139735107
calendar_assumed_replay,15:10,5,global_platt,intercept,-0.3862826070188443
calendar_assumed_replay,15:10,5,global_platt,base_logit,0.5034974656346486
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,15:10,5,hierarchical_beta,intercept,0.4670202727313752
calendar_assumed_replay,15:10,5,hierarchical_beta,log_p,0.8877414451149963
calendar_assumed_replay,15:10,5,hierarchical_beta,neg_log_1mp,-0.1200155060309095
calendar_assumed_replay,15:10,5,hierarchical_beta,currency=KGS,0.08849392239639296
calendar_assumed_replay,15:10,5,hierarchical_beta,currency=KZT,-0.18269763579283924
calendar_assumed_replay,15:10,5,hierarchical_beta,currency=TJS,0.05765541607182182
calendar_assumed_replay,15:10,5,hierarchical_beta,currency=UZS,-0.038057114373748605
calendar_assumed_replay,15:10,5,hierarchical_beta,currency=KGS:base_logit,0.05875242791959929
calendar_assumed_replay,15:10,5,hierarchical_beta,currency=KZT:base_logit,0.09572205366170358
calendar_assumed_replay,15:10,5,hierarchical_beta,currency=TJS:base_logit,0.08204929911598272
calendar_assumed_replay,15:10,5,hierarchical_beta,currency=UZS:base_logit,0.09243105170889052
calendar_assumed_replay,15:10,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.1026922822944992
calendar_assumed_replay,15:10,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.0999948803127424
calendar_assumed_replay,15:10,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.45777255257172245
calendar_assumed_replay,15:25,5,global_platt,intercept,-0.3856783205201199
calendar_assumed_replay,15:25,5,global_platt,base_logit,0.5022192119663862
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,15:25,5,hierarchical_beta,intercept,0.4764315341902418
calendar_assumed_replay,15:25,5,hierarchical_beta,log_p,0.892758167908278
calendar_assumed_replay,15:25,5,hierarchical_beta,neg_log_1mp,-0.12057949112018833
calendar_assumed_replay,15:25,5,hierarchical_beta,currency=KGS,0.08757278025484627
calendar_assumed_replay,15:25,5,hierarchical_beta,currency=KZT,-0.18269782632215534
calendar_assumed_replay,15:25,5,hierarchical_beta,currency=TJS,0.05657384620193911
calendar_assumed_replay,15:25,5,hierarchical_beta,currency=UZS,-0.03751160624043057
calendar_assumed_replay,15:25,5,hierarchical_beta,currency=KGS:base_logit,0.054882341566496524
calendar_assumed_replay,15:25,5,hierarchical_beta,currency=KZT:base_logit,0.09435483534445883
calendar_assumed_replay,15:25,5,hierarchical_beta,currency=TJS:base_logit,0.07751496384928934
calendar_assumed_replay,15:25,5,hierarchical_beta,currency=UZS:base_logit,0.09276483729824245
calendar_assumed_replay,15:25,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.10680227417704313
calendar_assumed_replay,15:25,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.10353611360381461
calendar_assumed_replay,15:25,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.4592413167740253
calendar_assumed_replay,15:45,5,global_platt,intercept,-0.3855115779568632
calendar_assumed_replay,15:45,5,global_platt,base_logit,0.5023613237760051
calendar_assumed_replay,15:45,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,15:45,5,hierarchical_beta,intercept,0.48143641391794656
calendar_assumed_replay,15:45,5,hierarchical_beta,log_p,0.8962496352100946
calendar_assumed_replay,15:45,5,hierarchical_beta,neg_log_1mp,-0.12064405734476842
calendar_assumed_replay,15:45,5,hierarchical_beta,currency=KGS,0.08767036839831317
calendar_assumed_replay,15:45,5,hierarchical_beta,currency=KZT,-0.18271782816530477
calendar_assumed_replay,15:45,5,hierarchical_beta,currency=TJS,0.056413284880666964
calendar_assumed_replay,15:45,5,hierarchical_beta,currency=UZS,-0.03744086243577417
calendar_assumed_replay,15:45,5,hierarchical_beta,currency=KGS:base_logit,0.05485081687738141
calendar_assumed_replay,15:45,5,hierarchical_beta,currency=KZT:base_logit,0.09397399094837797
calendar_assumed_replay,15:45,5,hierarchical_beta,currency=TJS:base_logit,0.07715693619086034
calendar_assumed_replay,15:45,5,hierarchical_beta,currency=UZS:base_logit,0.09298286617867821
calendar_assumed_replay,15:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.10827410851065056
calendar_assumed_replay,15:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.10475101332901199
calendar_assumed_replay,15:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.45987452152097563
calendar_assumed_replay,16:45,5,global_platt,intercept,-0.33119449346415114
calendar_assumed_replay,16:45,5,global_platt,base_logit,0.5787361341438908
calendar_assumed_replay,16:45,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,16:45,5,hierarchical_beta,intercept,0.6216375194503524
calendar_assumed_replay,16:45,5,hierarchical_beta,log_p,1.0016952823375158
calendar_assumed_replay,16:45,5,hierarchical_beta,neg_log_1mp,-0.13084300066459356
calendar_assumed_replay,16:45,5,hierarchical_beta,currency=KGS,0.09502722164769166
calendar_assumed_replay,16:45,5,hierarchical_beta,currency=KZT,-0.16908589140424213
calendar_assumed_replay,16:45,5,hierarchical_beta,currency=TJS,0.05754803333804332
calendar_assumed_replay,16:45,5,hierarchical_beta,currency=UZS,-0.04091319792759217
calendar_assumed_replay,16:45,5,hierarchical_beta,currency=KGS:base_logit,0.0816895008375762
calendar_assumed_replay,16:45,5,hierarchical_beta,currency=KZT:base_logit,0.1125843793524476
calendar_assumed_replay,16:45,5,hierarchical_beta,currency=TJS:base_logit,0.09036514017829125
calendar_assumed_replay,16:45,5,hierarchical_beta,currency=UZS:base_logit,0.0836436970630217
calendar_assumed_replay,16:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.13565281409226143
calendar_assumed_replay,16:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.1285775910372203
calendar_assumed_replay,16:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.4695480282650967
calendar_assumed_replay,17:45,5,global_platt,intercept,-0.3300967256862147
calendar_assumed_replay,17:45,5,global_platt,base_logit,0.5614493206879524
calendar_assumed_replay,17:45,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,17:45,5,hierarchical_beta,intercept,0.6097662046843094
calendar_assumed_replay,17:45,5,hierarchical_beta,log_p,0.9802962686728645
calendar_assumed_replay,17:45,5,hierarchical_beta,neg_log_1mp,-0.14584818149891568
calendar_assumed_replay,17:45,5,hierarchical_beta,currency=KGS,0.08599814569480656
calendar_assumed_replay,17:45,5,hierarchical_beta,currency=KZT,-0.1549670989787842
calendar_assumed_replay,17:45,5,hierarchical_beta,currency=TJS,0.059911139491121895
calendar_assumed_replay,17:45,5,hierarchical_beta,currency=UZS,-0.04696204065015846
calendar_assumed_replay,17:45,5,hierarchical_beta,currency=KGS:base_logit,0.05449487820975939
calendar_assumed_replay,17:45,5,hierarchical_beta,currency=KZT:base_logit,0.1355345225721903
calendar_assumed_replay,17:45,5,hierarchical_beta,currency=TJS:base_logit,0.08963854251517128
calendar_assumed_replay,17:45,5,hierarchical_beta,currency=UZS:base_logit,0.0648146437845803
calendar_assumed_replay,17:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.13785439305852767
calendar_assumed_replay,17:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.1298813047183777
calendar_assumed_replay,17:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.4673985344050062
calendar_assumed_replay,18:45,5,global_platt,intercept,-0.049326907413600886
calendar_assumed_replay,18:45,5,global_platt,base_logit,0.9652664586290617
calendar_assumed_replay,18:45,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,18:45,5,hierarchical_beta,intercept,0.4540310149967436
calendar_assumed_replay,18:45,5,hierarchical_beta,log_p,1.0205598146187294
calendar_assumed_replay,18:45,5,hierarchical_beta,neg_log_1mp,0.3445861048251436
calendar_assumed_replay,18:45,5,hierarchical_beta,currency=KGS,0.08262552992962828
calendar_assumed_replay,18:45,5,hierarchical_beta,currency=KZT,-0.11058179858549687
calendar_assumed_replay,18:45,5,hierarchical_beta,currency=TJS,0.07578491605753236
calendar_assumed_replay,18:45,5,hierarchical_beta,currency=UZS,-0.03733229248938076
calendar_assumed_replay,18:45,5,hierarchical_beta,currency=KGS:base_logit,0.09343922146031736
calendar_assumed_replay,18:45,5,hierarchical_beta,currency=KZT:base_logit,0.14669187766346387
calendar_assumed_replay,18:45,5,hierarchical_beta,currency=TJS:base_logit,0.1667265633573536
calendar_assumed_replay,18:45,5,hierarchical_beta,currency=UZS:base_logit,0.09991743962591451
calendar_assumed_replay,18:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.26101232511739486
calendar_assumed_replay,18:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.1741211472034328
calendar_assumed_replay,18:45,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.1853842004023912
calendar_assumed_replay,19:15,5,global_platt,intercept,-0.05166641989406567
calendar_assumed_replay,19:15,5,global_platt,base_logit,0.958979258594122
calendar_assumed_replay,19:15,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,19:15,5,hierarchical_beta,intercept,0.5926123615878155
calendar_assumed_replay,19:15,5,hierarchical_beta,log_p,1.0929461641820393
calendar_assumed_replay,19:15,5,hierarchical_beta,neg_log_1mp,0.2586005859604295
calendar_assumed_replay,19:15,5,hierarchical_beta,currency=KGS,0.08402854612418748
calendar_assumed_replay,19:15,5,hierarchical_beta,currency=KZT,-0.11915050188149194
calendar_assumed_replay,19:15,5,hierarchical_beta,currency=TJS,0.07505988757625251
calendar_assumed_replay,19:15,5,hierarchical_beta,currency=UZS,-0.041343032602790215
calendar_assumed_replay,19:15,5,hierarchical_beta,currency=KGS:base_logit,0.09219084133119512
calendar_assumed_replay,19:15,5,hierarchical_beta,currency=KZT:base_logit,0.1368226886893386
calendar_assumed_replay,19:15,5,hierarchical_beta,currency=TJS:base_logit,0.16886813926353322
calendar_assumed_replay,19:15,5,hierarchical_beta,currency=UZS:base_logit,0.09344246856704613
calendar_assumed_replay,19:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.27827618329378867
calendar_assumed_replay,19:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.19142579459340214
calendar_assumed_replay,19:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.18766912929332663
calendar_assumed_replay,20:15,5,global_platt,intercept,-0.07479639938842553
calendar_assumed_replay,20:15,5,global_platt,base_logit,0.9283823506463597
calendar_assumed_replay,20:15,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,20:15,5,hierarchical_beta,intercept,0.4780357798985096
calendar_assumed_replay,20:15,5,hierarchical_beta,log_p,1.022976300952288
calendar_assumed_replay,20:15,5,hierarchical_beta,neg_log_1mp,0.31392592543526376
calendar_assumed_replay,20:15,5,hierarchical_beta,currency=KGS,0.08020414859917444
calendar_assumed_replay,20:15,5,hierarchical_beta,currency=KZT,-0.12401487609112692
calendar_assumed_replay,20:15,5,hierarchical_beta,currency=TJS,0.0770700421302921
calendar_assumed_replay,20:15,5,hierarchical_beta,currency=UZS,-0.040033123312531615
calendar_assumed_replay,20:15,5,hierarchical_beta,currency=KGS:base_logit,0.081930666576517
calendar_assumed_replay,20:15,5,hierarchical_beta,currency=KZT:base_logit,0.1347313290621164
calendar_assumed_replay,20:15,5,hierarchical_beta,currency=TJS:base_logit,0.16938106148428006
calendar_assumed_replay,20:15,5,hierarchical_beta,currency=UZS:base_logit,0.09697329144471914
calendar_assumed_replay,20:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.2637649569897686
calendar_assumed_replay,20:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.1774151940790138
calendar_assumed_replay,20:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.1871842856587122
calendar_assumed_replay,21:15,5,global_platt,intercept,-0.07479639938842553
calendar_assumed_replay,21:15,5,global_platt,base_logit,0.9283823506463597
calendar_assumed_replay,21:15,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,21:15,5,hierarchical_beta,intercept,0.4780357798985096
calendar_assumed_replay,21:15,5,hierarchical_beta,log_p,1.022976300952288
calendar_assumed_replay,21:15,5,hierarchical_beta,neg_log_1mp,0.31392592543526376
calendar_assumed_replay,21:15,5,hierarchical_beta,currency=KGS,0.08020414859917444
calendar_assumed_replay,21:15,5,hierarchical_beta,currency=KZT,-0.12401487609112692
calendar_assumed_replay,21:15,5,hierarchical_beta,currency=TJS,0.0770700421302921
calendar_assumed_replay,21:15,5,hierarchical_beta,currency=UZS,-0.040033123312531615
calendar_assumed_replay,21:15,5,hierarchical_beta,currency=KGS:base_logit,0.081930666576517
calendar_assumed_replay,21:15,5,hierarchical_beta,currency=KZT:base_logit,0.1347313290621164
calendar_assumed_replay,21:15,5,hierarchical_beta,currency=TJS:base_logit,0.16938106148428006
calendar_assumed_replay,21:15,5,hierarchical_beta,currency=UZS:base_logit,0.09697329144471914
calendar_assumed_replay,21:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|aging,-0.2637649569897686
calendar_assumed_replay,21:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,-0.1774151940790138
calendar_assumed_replay,21:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.1871842856587122
calendar_assumed_replay,22:15,5,global_platt,intercept,-0.07479639938842553
calendar_assumed_replay,22:15,5,global_platt,base_logit,0.9283823506463597
calendar_assumed_replay,22:15,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,22:15,5,hierarchical_beta,intercept,0.4780357798985096
calendar_assumed_replay,22:15,5,hierarchical_beta,log_p,1.022976300952288
calendar_assumed_replay,22:15,5,hierarchical_beta,neg_log_1mp,0.31392592543526376
calendar_assumed_replay,22:15,5,hierarchical_beta,currency=KGS,0.08020414859917444
calendar_assumed_replay,22:15,5,hierarchical_beta,currency=KZT,-0.12401487609112692
calendar_assumed_replay,22:15,5,hierarchical_beta,currency=TJS,0.0770700421302921
calendar_assumed_replay,22:15,5,hierarchical_beta,currency=UZS,-0.040033123312531615
calendar_assumed_replay,22:15,5,hierarchical_beta,currency=KGS:base_logit,0.081930666576517
