scenario,clock,h,brier_hierarchical_beta,brier_identity,logloss_hierarchical_beta,logloss_identity,ece_hierarchical_beta,ece_identity,max_brier_ci_high,brier_delta,logloss_delta,ece_delta,pass
calendar_assumed_replay,10:15,10,0.15175734632322954,0.14538610185646375,0.4819058810752264,0.46391953530794144,0.07484963600985936,0.04947728375022846,0.010307534916355663,0.006371244466765791,0.017986345767284972,0.0253723522596309,False
calendar_assumed_replay,10:15,20,0.12038608304894767,0.11875734888999052,0.4063572447183668,0.4000760592456141,0.048139359706036444,0.03182679756896785,0.004555552863278343,0.0016287341589571458,0.006281185472752693,0.016312562137068595,False
calendar_assumed_replay,10:45,5,0.1836131573376498,0.17460828390687302,0.5509454203484375,0.527414515838562,0.06809301925335035,0.046059363536411047,0.012933364566829666,0.009004873430776772,0.023530904509875494,0.0220336557169393,False
calendar_assumed_replay,10:45,10,0.14741877556031613,0.14300456957591104,0.4697383202364577,0.4555251876629751,0.06692006341634699,0.0496079007825494,0.007418217140319595,0.00441420598440509,0.014213132573482556,0.01731216263379759,False
calendar_assumed_replay,10:45,20,0.11853333661829149,0.11770455971760314,0.4000330151889231,0.3952768542826707,0.03971405211902128,0.03147655921957627,0.0029337490304969247,0.0008287769006883466,0.004756160906252416,0.00823749289944501,False
calendar_assumed_replay,11:45,5,0.18033216394739,0.1727720742513212,0.5426181502536012,0.5236298037490018,0.07109544484392448,0.051004646123683266,0.011640168420312838,0.007560089696068778,0.01898834650459935,0.020090798720241214,False
calendar_assumed_replay,11:45,10,0.1454243519607223,0.14246640422131865,0.4639360521008786,0.4541886736500552,0.06469980954040869,0.05768917325908125,0.006226720202448538,0.002957947739403638,0.009747378450823407,0.007010636281327434,False
calendar_assumed_replay,11:45,20,0.11732748653369414,0.11777707207577807,0.39574675456007297,0.3944596237333479,0.03510872147485066,0.03171365247598176,0.0016397063421173563,-0.00044958554208393564,0.001287130826725047,0.0033950689988688984,False
calendar_assumed_replay,12:45,5,0.17866047198238053,0.17174839783090723,0.5381817878488886,0.5208981729354009,0.07166600697206704,0.04952337290878835,0.011379513770732914,0.006912074151473296,0.017283614913487733,0.02214263406327869,False
calendar_assumed_replay,12:45,10,0.14418291157222882,0.14151108418240194,0.4603325276312593,0.4516738014401004,0.067131246784714,0.05890324641970173,0.006200902542956872,0.0026718273898268807,0.008658726191158927,0.008228000365012263,False
