scenario,clock,h,model,bin,n,predicted,actual
calendar_assumed_replay,11:45,5,global_platt,8,5,0.8552363801034646,0.6
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,0,35,0.08336165434022604,0.0
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,1,310,0.16271362294256472,0.04516129032258064
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,2,829,0.2573899569566262,0.16646562123039807
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,3,1219,0.3466610933909231,0.2641509433962264
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,4,409,0.4420757514559071,0.43031784841075793
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,5,155,0.5444894971580846,0.6709677419354839
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,6,42,0.6424463006581534,0.5476190476190477
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,7,11,0.7338308632703208,0.9090909090909091
calendar_assumed_replay,11:45,5,fixed_logit_shrink_80,9,5,0.9797075996974446,0.6
calendar_assumed_replay,11:45,5,hierarchical_beta,0,28,0.07996551310290324,0.03571428571428571
calendar_assumed_replay,11:45,5,hierarchical_beta,1,284,0.1618608542776296,0.07394366197183098
calendar_assumed_replay,11:45,5,hierarchical_beta,2,1108,0.25560135997285516,0.194043321299639
calendar_assumed_replay,11:45,5,hierarchical_beta,3,1236,0.343541940762884,0.28398058252427183
calendar_assumed_replay,11:45,5,hierarchical_beta,4,359,0.4336459510031866,0.5626740947075209
calendar_assumed_replay,12:45,5,identity,0,147,0.07090189823512082,0.02040816326530612
calendar_assumed_replay,12:45,5,identity,1,523,0.15465008159317198,0.09751434034416825
calendar_assumed_replay,12:45,5,identity,2,1041,0.253694663997314,0.21517771373679154
calendar_assumed_replay,12:45,5,identity,3,812,0.34237814081363394,0.29310344827586204
calendar_assumed_replay,12:45,5,identity,4,266,0.4444905443543901,0.48120300751879697
calendar_assumed_replay,12:45,5,identity,5,122,0.5476505153249763,0.6557377049180327
calendar_assumed_replay,12:45,5,identity,6,63,0.642439159085694,0.6507936507936508
calendar_assumed_replay,12:45,5,identity,7,31,0.7308593721381524,0.5483870967741935
calendar_assumed_replay,12:45,5,identity,8,5,0.8414653948326276,1.0
calendar_assumed_replay,12:45,5,identity,9,5,0.9946806345049131,0.6
calendar_assumed_replay,12:45,5,global_platt,1,190,0.17137567223308506,0.02631578947368421
calendar_assumed_replay,12:45,5,global_platt,2,1268,0.26231734334735013,0.17350157728706625
calendar_assumed_replay,12:45,5,global_platt,3,1332,0.33358119710678946,0.3153153153153153
calendar_assumed_replay,12:45,5,global_platt,4,186,0.4381930333766833,0.6451612903225806
calendar_assumed_replay,12:45,5,global_platt,5,33,0.5260528752376501,0.6363636363636364
calendar_assumed_replay,12:45,5,global_platt,6,1,0.6102078351853707,1.0
calendar_assumed_replay,12:45,5,global_platt,8,5,0.8861416578273215,0.6
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,0,43,0.07799879070510538,0.0
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,1,329,0.15967882535679404,0.0425531914893617
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,2,841,0.2573802799259215,0.17717003567181927
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,3,1182,0.3461217691959949,0.2622673434856176
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,4,394,0.44022925331190366,0.434010152284264
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,5,143,0.5458765397892834,0.6503496503496503
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,6,65,0.6464097220439661,0.5846153846153846
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,7,12,0.7401551648958531,0.9166666666666666
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,8,1,0.8108578161379106,1.0
calendar_assumed_replay,12:45,5,fixed_logit_shrink_80,9,5,0.9850216459944698,0.6
calendar_assumed_replay,12:45,5,hierarchical_beta,0,51,0.07956210043295153,0.0196078431372549
calendar_assumed_replay,12:45,5,hierarchical_beta,1,311,0.16205975842984413,0.06430868167202572
calendar_assumed_replay,12:45,5,hierarchical_beta,2,1107,0.2549419227932699,0.1978319783197832
calendar_assumed_replay,12:45,5,hierarchical_beta,3,1158,0.3424576268989072,0.28324697754749567
calendar_assumed_replay,12:45,5,hierarchical_beta,4,374,0.4387873810548411,0.56951871657754
calendar_assumed_replay,12:45,5,hierarchical_beta,5,14,0.5046714956824012,0.6428571428571429
calendar_assumed_replay,13:45,5,identity,0,185,0.07025851503662135,0.021621621621621623
calendar_assumed_replay,13:45,5,identity,1,518,0.15478283297820855,0.10424710424710425
calendar_assumed_replay,13:45,5,identity,2,995,0.25516517592941196,0.21407035175879396
calendar_assumed_replay,13:45,5,identity,3,819,0.3407557885289676,0.29181929181929184
calendar_assumed_replay,13:45,5,identity,4,250,0.4435832272066515,0.476
calendar_assumed_replay,13:45,5,identity,5,123,0.5467230383035322,0.6666666666666666
calendar_assumed_replay,13:45,5,identity,6,77,0.6410591330133488,0.6363636363636364
calendar_assumed_replay,13:45,5,identity,7,36,0.7440184819237544,0.5555555555555556
