scenario,clock,model,status,base_rows,calibration_rows,evaluation_rows,latest_base_maturity_ord,base_cutoff_ord,latest_calibration_maturity_ord,eval_cutoff_ord
calendar_assumed_replay,11:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,12:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,12:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,12:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,12:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,13:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,13:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,13:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,13:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,14:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,14:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,14:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,14:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:10,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:10,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:10,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:10,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:25,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:25,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:25,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:25,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,16:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,16:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,16:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,16:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,17:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,17:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,17:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,17:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,18:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,18:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,18:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,18:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,19:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,19:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,19:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,19:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,20:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,20:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,20:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,20:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,21:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,21:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,21:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,21:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,22:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,22:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,22:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,22:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,23:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,23:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,23:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,23:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,00:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,00:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,00:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,00:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,06:00,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,06:00,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,06:00,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,06:00,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,09:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,09:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,09:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,09:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,10:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,10:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,10:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,10:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,10:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,10:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,10:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,10:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,11:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,11:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,11:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,11:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,12:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,12:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,12:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,12:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,13:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,13:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,13:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,13:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,14:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,14:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,14:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,14:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:10,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:10,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:10,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:10,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:25,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:25,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:25,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:25,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,16:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,16:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,16:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,16:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,17:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,17:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,17:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,17:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,18:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,18:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,18:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,18:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,19:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,19:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,19:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,19:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,20:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,20:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,20:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,20:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,21:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,21:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,21:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,21:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,22:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,22:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,22:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,22:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,23:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,23:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,23:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,23:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
