origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,train_mask_sha256,last_shared_mature20,score_min,score_mean,score_max,n_groups_total,n_groups_kept,n_group_rows,target_kind,group_kind,rolling_days,loss,fallback
2023-10-01,rank_qtr_mean_full_yeti,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,0.3943140533550204,0.4781864575528484,0.7216871852848671,35,35,1105,mean,quarter,,YetiRankPairwise,False
2024-01-01,rank_qtr_mean_full_pair,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,0.07284181021667682,0.5872486070595158,0.9878631924522245,40,40,1265,mean,quarter,,PairLogit,False
2024-01-01,rank_qtr_mean_roll3_pair,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,0.07284181021667682,0.5872486070595158,0.9878631924522245,40,40,1265,mean,quarter,1095.0,PairLogit,False
2024-01-01,rank_month_mean_full_pair,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,0.07799602549230038,0.6046531118689771,0.9808719185871311,120,115,1260,mean,month,,PairLogit,False
2024-01-01,rank_qtr_y20_full_pair,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,0.14424559915327143,0.7495253584713186,0.9965697725783015,40,40,1265,y20,quarter,,PairLogit,False
2024-01-01,rank_qtr_mean_full_yeti,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,0.41448719025329006,0.5179332972760821,0.7383985273743822,40,40,1265,mean,quarter,,YetiRankPairwise,False
2024-04-01,rank_qtr_mean_full_pair,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,0.02693632796848588,0.5201149135409684,0.9915473551072371,45,45,1413,mean,quarter,,PairLogit,False
2024-04-01,rank_qtr_mean_roll3_pair,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,0.02693632796848588,0.5201149135409684,0.9915473551072371,45,45,1413,mean,quarter,1095.0,PairLogit,False
2024-04-01,rank_month_mean_full_pair,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,0.027429925224520285,0.5863509452005372,0.9890385761257362,130,130,1413,mean,month,,PairLogit,False
2024-04-01,rank_qtr_y20_full_pair,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,0.045476366102867434,0.6777693912951304,0.9987401883931444,45,45,1413,y20,quarter,,PairLogit,False
