horizon,case_lift,pooled_lift,base_rate,hit_rate,n_signals,frequency,future_benefit_bps,symmetric_benefit_bps,candidate
20,1.6132075471698115,1.6167964404894328,0.2039615166949632,0.32903225806451614,310,1.3231707317073171,116.97790085912551,43.18157199792897,global_hist_w50
1,1.456886059357738,1.4566269458667591,0.5560414389088448,0.8100890207715133,337,1.4384146341463415,55.785439664311795,13.117052055314726,global_hist_w100
3,1.5785470502194052,1.5766611042211816,0.40039825081992814,0.6320474777448071,337,1.4384146341463415,72.65662413124905,27.518267084612507,global_hist_w100
5,1.5994236311239194,1.5964694483134498,0.3432245301681503,0.5489614243323442,337,1.4384146341463415,79.69842519357402,32.99263833978884,global_hist_w100
10,1.6179212466954225,1.6123575251670874,0.2806106512572232,0.4540059347181009,337,1.4384146341463415,96.64531079057937,39.53906554671295,global_hist_w100
20,1.5894090560245586,1.5893277396909855,0.20349836014368267,0.32344213649851633,337,1.4384146341463415,118.51855869004262,48.50439827378137,global_hist_w100
1,1.5727400031118721,1.5733438485804419,0.5563538781163434,0.875,304,1.2975609756097561,65.32792989576308,16.82904817481625,global_quantile_w10
3,1.6815974096060442,1.6821663019693651,0.40101281163434904,0.6743421052631579,304,1.2975609756097561,85.18335145334501,32.00586996501497,global_quantile_w10
5,1.6448284539887592,1.645408163265306,0.3439808402585411,0.5657894736842105,304,1.2975609756097561,90.63206867592359,35.25777579431078,global_quantile_w10
10,1.622817348558554,1.6238317757009346,0.28175496306555864,0.45723684210526316,304,1.2975609756097561,103.97119694949852,37.14880516731407,global_quantile_w10
20,1.6462093862815883,1.6487068965517242,0.2038175207756233,0.3355263157894737,304,1.2975609756097561,119.51991487989706,42.38163364852146,global_quantile_w10
1,1.5500404367165388,1.5502911914583841,0.5562303193882141,0.8621794871794872,312,1.3317073170731708,63.361966556059166,14.96439676185078,global_quantile_w25
3,1.6387924687072684,1.6390338326880995,0.40093623481781376,0.657051282051282,312,1.3317073170731708,80.43736315303799,28.409929466541346,global_quantile_w25
