candidate,h,period,n,positive_rate,brier_raw,logloss_raw,ece_raw,auc_raw,average_precision_raw,brier_calibrated,logloss_calibrated,ece_calibrated,auc_calibrated,average_precision_calibrated,brier_prior,logloss_prior,ece_prior,auc_prior,average_precision_prior
range_anchor,5,screen_2024,1240,0.3379032258064516,0.36624064516139515,1.627853880550624,0.348561185483871,0.4489678749066131,0.3143473918408167,0.22358548443498527,0.6396874754437044,0.014464535197026077,0.5200988956363244,0.36736426054520593,0.22527923301046798,0.6431770591489561,0.012036064942313796,0.40239070462414134,0.29314021128860046
range_anchor,5,opened_2025_2026,2020,0.26782178217821784,0.4071458346534945,1.3690850830659826,0.3769781886138614,0.4223722378236781,0.22878392475416912,0.19737631607852177,0.5838802036736657,0.02921367871323267,0.5242332894659553,0.28805149692183174,0.19991255683675516,0.59012054291258,0.08966328780792437,0.3781711677596018,0.219138379319801
history_hist,10,screen_2024,1240,0.2693548387096774,0.23981465648015798,0.6870038742562145,0.1761165049303599,0.4817550329803968,0.259803138886572,0.20069311711305904,0.5916999796910755,0.032800065898736235,0.48232012795600854,0.26805956481666515,0.19841002285654616,0.5866035005048511,0.009357080176378207,0.47628088194471985,0.2791417362601291
history_hist,10,opened_2025_2026,1995,0.2025062656641604,0.16353967778402767,0.5154475542981941,0.05510728691055411,0.5755495018389332,0.2639760835064836,0.1649967554556417,0.5137696049613683,0.05049565054410438,0.46986374470256576,0.1901460042041349,0.1666945470481966,0.5180460110754292,0.03637285514883409,0.3323373742151085,0.15463966009602934
range_anchor,10,screen_2024,1240,0.2693548387096774,0.3567051838710726,1.477232356935105,0.3590450564516129,0.45551446775323523,0.25533685725559435,0.198319008461121,0.5869529953625866,0.02510782360189251,0.5144347067454496,0.2865323325041314,0.19794789495387147,0.5856248884310514,0.01570740499026213,0.41595451481143675,0.2361482226126602
range_anchor,10,opened_2025_2026,1995,0.2025062656641604,0.41383057644113086,1.3762685198232019,0.41703455839598996,0.4096285728509997,0.16872249038286508,0.16318961136757976,0.5083851024160622,0.030397989459078602,0.4890768618030879,0.20386379605134972,0.16533788060745003,0.5145697019324745,0.030088295101817597,0.3323373742151085,0.15463966009602934
history_hist,20,screen_2024,1240,0.18870967741935485,0.2161700135920347,0.6432160728858344,0.176006727935463,0.49969201882720765,0.19971118599425997,0.15525699829187709,0.4902183936380356,0.05596261635421336,0.5281643472498343,0.22000878362736398,0.15429969246349323,0.4879515843938335,0.030405035706950176,0.49973449898897215,0.2108858022520902
history_hist,20,opened_2025_2026,1945,0.15115681233933162,0.1338071463978498,0.45963603076273873,0.06749696961395685,0.5110487562681039,0.18257548746574379,0.13380589918486419,0.44375764911883003,0.04835525084205694,0.3764302813796627,0.11280972250000651,0.1328271356641914,0.43992588381737757,0.03545640508970039,0.2803536920522297,0.10957379739670978
range_anchor,20,screen_2024,1240,0.18870967741935485,0.3492406854839758,1.356936722600406,0.39266441129032253,0.4485374080304498,0.18561174674742056,0.15390875442911806,0.48656178442351783,0.012650357080390832,0.5431832084416577,0.21206897785256945,0.15325877439466618,0.4848847799921054,0.044957698164569085,0.49973449898897215,0.2108858022520902
range_anchor,20,opened_2025_2026,1945,0.15115681233933162,0.4183162766066977,1.3274484579701578,0.44538610437018,0.40097426008562115,0.11814013348519242,0.13081542776976032,0.4333275462165455,0.013102120522293594,0.4182766989291174,0.12205899060836678,0.13182237169831362,0.4368104590380246,0.035002560868110565,0.2803536920522297,0.10957379739670978
