currency,lift,year_lift_min,forward_benefit_bps,selected_share,robustness,candidate
KZT,1.2503430962343096,1.0956399437412097,15.472015202499914,0.254323499491353,1.0956399437412097,local_hist_window3
TJS,1.4490981616371836,1.4772727272727275,13.802603568724317,0.18921668362156663,1.4490981616371836,global_pairwise_quarter_w5
UZS,1.1146555412922552,1.1117779444861215,-43.04341296271267,0.20854526958290945,1.1117779444861215,global_pairwise_quarter_w5
KGS,1.4533602150537634,1.4765906362545018,26.05165249323016,0.22075279755849442,1.4533602150537634,global_pairwise_quarter_w5
AMD,1.4188168939023849,1.3816695352839932,28.57093939730265,0.18107833163784334,1.3816695352839932,global_pairwise_quarter_w5
KZT,1.2948241128157447,1.3068783068783068,13.001871629364118,0.16480162767039674,1.2948241128157447,global_pairwise_quarter_w5
TJS,1.3720533498759306,0.9818181818181818,23.627654663312704,0.2115971515768057,0.9818181818181818,delayed_global_hist_w5
UZS,1.0499272793382421,0.8127090301003345,-15.717480183670345,0.1963377416073245,0.8127090301003345,delayed_global_hist_w5
KGS,1.4591406249999999,1.0451612903225806,23.058975594198802,0.16276703967446593,1.0451612903225806,delayed_global_hist_w5
AMD,1.3713089979074635,1.0956521739130436,16.73320392254298,0.19023397761953204,1.0956521739130436,delayed_global_hist_w5
KZT,1.2072899102812298,0.8372881355932204,11.313634769062656,0.20447609359104782,0.8372881355932204,delayed_global_hist_w5
TJS,1.4260966035159583,1.3332386363636364,27.9791684936331,0.19226856561546288,1.3332386363636364,cross_extra_w5
UZS,1.2211489706926277,1.0604651162790697,-106.58660686739242,0.17599186164801628,1.0604651162790697,cross_extra_w5
KGS,1.2934210526315788,1.218961038961039,18.174858806392816,0.19328585961342828,1.218961038961039,cross_extra_w5
AMD,1.3891845341930356,1.1901927437641722,24.00448556558325,0.18209562563580875,1.1901927437641722,cross_extra_w5
KZT,1.08808748976113,0.588718220338983,8.559438012937681,0.19226856561546288,0.588718220338983,cross_extra_w5
TJS,1.1703867157734316,0.4348591549295775,8.465012595949979,0.25839267548321465,0.4348591549295775,barrier_hist_window5
UZS,1.1345798707294552,1.021188630490956,-25.38593100174248,0.2706002034587996,1.021188630490956,barrier_hist_window5
KGS,1.1358193277310924,0.9145161290322581,-0.23079838901867333,0.24211597151576805,0.9145161290322581,barrier_hist_window5
AMD,1.1573458918509796,0.8233333333333334,4.436346477589994,0.23906408952187183,0.8233333333333334,barrier_hist_window5
KZT,0.9519102519595842,0.5043904431284459,0.05011809406050419,0.23296032553407936,0.5043904431284459,barrier_hist_window5
TJS,1.2326170338316287,1.1571428571428573,11.910104639471516,0.16683621566632756,1.1571428571428573,pooled_hazard_local_hist_w5
UZS,0.8656755076668049,0.7411852963240809,-55.673472656589425,0.25839267548321465,0.7411852963240809,pooled_hazard_local_hist_w5
KGS,1.0731441048034933,1.1918954632212597,7.658738075351283,0.23296032553407936,1.0731441048034933,pooled_hazard_local_hist_w5
AMD,1.1465042441521414,1.0133333333333334,0.6764420962870544,0.1861648016276704,1.0133333333333334,pooled_hazard_local_hist_w5
KZT,1.38721497363274,1.1807909604519773,17.67998912701606,0.17192268565615462,1.1807909604519773,pooled_hazard_local_hist_w5
