period,h,model,bin_left,bin_right,n,predicted,actual
screen_2024,20,held,0.2,0.30000000000000004,1360,0.23541599648860287,0.14705882352941177
screen_2024,20,held,0.30000000000000004,0.4,390,0.3352192341018176,0.1282051282051282
screen_2024,20,held,0.4,0.5,10,0.4008253415779503,0.0
opened_2025,20,held,0.1,0.2,1870,0.16326009567371655,0.09090909090909091
opened_2025,20,held,0.2,0.30000000000000004,680,0.22631970871180868,0.029411764705882353
opened_2026,20,held,0.1,0.2,1450,0.14477459538301704,0.20689655172413793
open_all,20,held,0.1,0.2,4160,0.15930514180416178,0.16105769230769232
open_all,20,held,0.2,0.30000000000000004,2040,0.23238390056300484,0.10784313725490197
open_all,20,held,0.30000000000000004,0.4,390,0.3352192341018176,0.1282051282051282
open_all,20,held,0.4,0.5,10,0.4008253415779503,0.0
