rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,predeclared_order
0.22,188,1.1697777777777778,20,0,0.6276595744680851,0.3401273885350318,1.8453661646346322,0.7246034156146517,114.99597267022774,1.8453661646346322,1.8453661646346322,1,1,1.0577777777777777,1.3377777777777777,1.4952380952380953,0.8032786885245902,1.8453661646346322,1.1697777777777778,1.1697777777777778,0.9177777777777778,1.425,3,residual_hist25,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4952380952380953,3
0.22,519,1.2252951096121416,20,0,0.4913294797687861,0.26782178217821784,1.8345389078243028,0.7449180704852532,69.53591462886159,1.8453661646346322,1.8554625385106696,2,2,1.1804384485666106,1.2748735244519394,1.649578078214318,0.8054474708171206,1.8554625385106696,1.1697777777777778,1.3053521126760563,0.9177777777777778,1.435897435897436,7,residual_hist25,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.649578078214318,3
0.22,370,1.463276836158192,20,0,0.5216216216216216,0.3379032258064516,1.5437012191188804,0.678106622402972,59.083890234133406,1.5437012191188804,1.5437012191188804,1,1,1.384180790960452,1.5819209039548023,1.4669987546699874,0.8328767123287671,1.5437012191188804,1.463276836158192,1.463276836158192,1.0022727272727272,2.0475,4,residual_hist_stale20_25,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4669987546699874,4
0.22,327,1.2895774647887326,20,0,0.40978593272171254,0.22186234817813766,1.8470278354427554,0.7372642548440265,44.46105686734427,1.8470278354427554,1.8470278354427554,1,1,1.2422535211267605,1.3408450704225352,1.711826514643416,0.8229813664596274,1.8470278354427554,1.2895774647887326,1.2895774647887326,1.169230769230769,1.5384615384615385,4,residual_hist_stale20_25,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.711826514643416,4
0.22,202,1.2568888888888887,20,0,0.5643564356435643,0.3401273885350318,1.6592501946823894,0.7088340346767312,97.16550225796368,1.6592501946823894,1.6592501946823894,1,1,1.182222222222222,1.3688888888888888,1.3047091412742382,0.7715736040609137,1.6592501946823894,1.2568888888888887,1.2568888888888887,0.98,1.475,3,residual_hist_stale20_25,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.3047091412742382,4
0.22,529,1.2489038785834738,20,0,0.46880907372400754,0.26782178217821784,1.7504516246256843,0.7353747286408986,64.58638384069988,1.6592501946823894,1.7531390150625725,2,2,1.2276559865092749,1.2630691399662732,1.5316522659143008,0.7958015267175572,1.7531390150625725,1.2568888888888887,1.2895774647887326,0.98,1.5384615384615385,7,residual_hist_stale20_25,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.5316522659143008,4
0.22,347,1.372316384180791,20,0,0.5417867435158501,0.3379032258064516,1.6033784294979812,0.681545585888331,64.91106939087409,1.6033784294979812,1.6033784294979812,1,1,1.2853107344632768,1.463276836158192,1.534353630739173,0.8099415204678363,1.6033784294979812,1.372316384180791,1.372316384180791,0.875,1.9775,4,residual_extra25,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.534353630739173,5
0.22,341,1.3447887323943661,20,0,0.41348973607038125,0.22186234817813766,1.8637219855727039,0.7440660200369141,41.045459729837965,1.8637219855727039,1.8637219855727039,1,1,1.3014084507042254,1.380281690140845,1.7182608695652173,0.8333333333333334,1.8637219855727039,1.3447887323943661,1.3447887323943661,1.2727272727272727,1.4769230769230768,4,residual_extra25,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.7182608695652173,5
0.22,205,1.2755555555555553,20,0,0.6341463414634146,0.3401273885350318,1.8644377455010506,0.7300984772894885,119.30927956616551,1.8644377455010506,1.8644377455010506,1,1,1.2133333333333332,1.3688888888888888,1.4831309041835359,0.825,1.8644377455010506,1.2755555555555553,1.2755555555555553,0.8711111111111111,1.6,3,residual_extra25,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.4831309041835359,5
0.22,546,1.2890387858347387,20,0,0.49633699633699635,0.26782178217821784,1.8532361046224262,0.7465327899277501,70.43022725080344,1.8637219855727039,1.864079865536877,2,2,1.2630691399662732,1.3220910623946038,1.573208722741433,0.822550831792976,1.864079865536877,1.2755555555555553,1.3447887323943661,0.8711111111111111,1.6,7,residual_extra25,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.573208722741433,5
