model,currency,year,feature,min,mean,max
local_logit,KZT,2022,survival_logit,0.2714011795452608,0.29288434067394276,0.3143675018026247
local_logit,KZT,2023,cny,0.4029271968996572,0.47985750822532686,0.5422096589153068
local_logit,KZT,2023,extra,-0.231578107219493,-0.12044178730865467,-0.0390840498066141
local_logit,KZT,2023,hist,-0.0324902665205937,0.16356040462969848,0.4416501349850584
local_logit,KZT,2023,survival_hist,0.0552730541787692,0.09054631008732987,0.1475916073614903
local_logit,KZT,2023,survival_local,0.1860230727167114,0.26178455653181043,0.3739704498113872
local_logit,KZT,2023,survival_logit,-0.020439963884237,0.15329603642331344,0.2466824401258057
local_logit,KZT,2024,cny,0.5752432173465528,0.6112194066100054,0.6397723724497056
local_logit,KZT,2024,extra,-0.3736963593990553,-0.29428401851581926,-0.2141692185930888
local_logit,KZT,2024,hist,0.4405123490017232,0.4674485159062434,0.5293552707644814
local_logit,KZT,2024,survival_hist,0.1022092569130201,0.17465834383668555,0.2343094316018861
local_logit,KZT,2024,survival_local,-0.0107758067419736,0.041735462283485535,0.0999507474098123
local_logit,KZT,2024,survival_logit,-0.0500001986906877,0.03636621784573895,0.0922375735714684
local_logit,KZT,2025,cny,0.5865663596801981,0.5992783210643212,0.6134724973181701
local_logit,KZT,2025,extra,-0.3982477716559841,-0.35713596998118263,-0.3113489192228799
local_logit,KZT,2025,hist,0.4591858051513078,0.5156091517625864,0.5500601463671787
local_logit,KZT,2025,survival_hist,0.2072917562134053,0.24156118097173726,0.2618251128059231
local_logit,KZT,2025,survival_local,-0.0672104508703142,-0.003391659451213858,0.0495768282819298
local_logit,KZT,2025,survival_logit,-0.035136226058569,-0.0053153685962639245,0.0403306892588221
local_logit,KZT,2026,cny,0.5736037161602683,0.6072873659584075,0.6410680265364029
local_logit,KZT,2026,extra,-0.3736628576232385,-0.3232181993349029,-0.261024061447894
local_logit,KZT,2026,hist,0.4408726129316211,0.47878869358352344,0.5225319827650355
local_logit,KZT,2026,survival_hist,0.1991737435171159,0.2256147491611814,0.2435830630476781
local_logit,KZT,2026,survival_local,-0.0138691999685657,0.012781193659127244,0.0354289073480521
local_logit,KZT,2026,survival_logit,-0.0621270380586648,-0.04108382519682486,-0.0080560941492503
local_logit,TJS,2022,cny,0.2958239428703973,0.35210437886882945,0.4083848148672616
local_logit,TJS,2022,extra,-0.1068890549355446,-0.07803633277189945,-0.0491836106082543
local_logit,TJS,2022,hist,0.1909219289654748,0.21479815735493302,0.2386743857443912
local_logit,TJS,2022,survival_hist,-0.0886332704864973,-0.04562286909873495,-0.0026124677109726
local_logit,TJS,2022,survival_local,0.3780964178881921,0.3911772332023772,0.4042580485165623
local_logit,TJS,2022,survival_logit,-0.1347118476589478,-0.11890449036768005,-0.1030971330764123
local_logit,TJS,2023,cny,0.5046868737846205,0.5709032337558626,0.637968785957603
local_logit,TJS,2023,extra,-0.0791496083623578,-0.0005250682188114765,0.0900758204115053
local_logit,TJS,2023,hist,0.2378107982257097,0.3818585347794629,0.5047482271016348
local_logit,TJS,2023,survival_hist,-0.076878704780321,0.01896467745567761,0.1084713208722913
local_logit,TJS,2023,survival_local,0.2359124272808485,0.29002207134651,0.3477491387840208
local_logit,TJS,2023,survival_logit,-0.3068899049448176,-0.22530728827087984,-0.1492165557766626
local_logit,TJS,2024,cny,0.6329672637271214,0.6656524155064059,0.6927920968694523
local_logit,TJS,2024,extra,-0.010074720276408,0.01978732886627485,0.0643043492871878
local_logit,TJS,2024,hist,0.4199655992033458,0.48782561150089104,0.5327908197996218
local_logit,TJS,2024,survival_hist,-0.0468305151986373,-0.028569871637037947,0.015858310281718
local_logit,TJS,2024,survival_local,0.0051658971535696,0.15490352466471935,0.2491585491027641
local_logit,TJS,2024,survival_logit,-0.3792155028801201,-0.28520423218315605,-0.2008134210543105
local_logit,TJS,2025,cny,0.5699844514849384,0.6124151645623358,0.6501104805831841
local_logit,TJS,2025,extra,-0.0063199875134639,0.045046292013916245,0.1040134397541846
local_logit,TJS,2025,hist,0.3908326339658775,0.4204867357473822,0.4827039093193341
local_logit,TJS,2025,survival_hist,-0.0740738553886177,-0.03239551568955094,0.0055480413955077
local_logit,TJS,2025,survival_local,0.0016510196269179,0.04610855549702177,0.0669373739302427
local_logit,TJS,2025,survival_logit,-0.17637608997594,-0.14268034652884767,-0.1147937121014568
local_logit,TJS,2026,cny,0.5509700127839082,0.5779768485457806,0.600827156967484
local_logit,TJS,2026,extra,0.0222838194296498,0.10399970192137979,0.180465375593933
local_logit,TJS,2026,hist,0.3765463812641907,0.3918984156733438,0.4048052653906189
local_logit,TJS,2026,survival_hist,-0.047922392574472,-0.02393443350678877,-0.0012979934393127
local_logit,TJS,2026,survival_local,0.0012554740593558,0.013433189514455011,0.0266155001944815
local_logit,TJS,2026,survival_logit,-0.1651726161537042,-0.13983496705768028,-0.1118174781149737
local_logit,UZS,2022,cny,0.203247330059529,0.21749030046733545,0.2317332708751419
local_logit,UZS,2022,extra,-0.2542441586194606,-0.20420735490537806,-0.1541705511912955
local_logit,UZS,2022,hist,0.0801696988116283,0.0949616653340121,0.1097536318563959
local_logit,UZS,2022,survival_hist,-0.1863354958352641,-0.18083309663933583,-0.1753306974434076
local_logit,UZS,2022,survival_local,0.1705389176804006,0.21018589406539376,0.2498328704503869
local_logit,UZS,2022,survival_logit,0.1464654732026765,0.151716073909402,0.1569666746161275
local_logit,UZS,2023,cny,0.3588104866678968,0.5365595999099763,0.6701946902862208
