candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
cutoff_1130,5,2023-10-01,1955,652,0.3491852990107693,320,False,-0.8122096755501379,"[0.3779063996383293, 0.0640274783504295, -0.035137433390632244, -0.08001048859953548, 0.16320570581532431, -0.09321573904946141]",2023-09-28,2022-02-24
cutoff_1130,5,2024-01-01,2280,740,0.3348393532331436,285,False,-0.8729975938646148,"[0.42582083579796065, 0.083933498387944, -0.01281169914830838, -0.022484283419658125, 0.047584855969243604, -0.08691901461816805]",2023-12-29,2022-02-24
cutoff_1130,5,2024-04-01,2565,838,0.3365952870317067,300,False,-0.7190005271168708,"[0.46899472214609556, -0.049573369492300304, -0.1322798309190601, -0.15441923828726106, -0.06667227621671445, -0.2930947113418182]",2024-03-29,2022-02-24
cutoff_1130,5,2024-07-01,2865,888,0.3113562740285758,325,False,-0.787604430918053,"[0.416399380541584, -0.074590957952519, -0.18408509903162634, -0.14109989864051112, -0.09063318436119681, -0.27525162959590066]",2024-06-28,2022-02-24
cutoff_1130,5,2024-10-01,3195,1015,0.3226566322160175,330,False,-0.7414378435519444,"[0.38539316645926264, -0.0828942698617497, -0.1975392156368468, -0.050003895826488835, -0.09623333050085667, -0.296431729041424]",2024-09-28,2022-02-24
cutoff_1130,5,2025-01-01,3525,1145,0.3323540130096307,285,False,-0.7117045882004224,"[0.3939903982988417, -0.05414096676632578, -0.15124039686164834, -0.0675535986585352, -0.07608215282591567, -0.34416087297660564]",2024-12-29,2022-02-24
cutoff_1130,5,2025-04-01,3810,1194,0.3134812293120358,295,False,-0.7801253761962351,"[0.4110357416192192, -0.062070802170875114, -0.1615994497725314, -0.10585015930510581, -0.08200554284117072, -0.34916742891078506]",2025-03-29,2022-02-24
cutoff_1130,5,2025-07-01,4105,1240,0.295256238063751,330,False,-0.8516280174162713,"[0.42486060331823805, 0.01769013617405825, -0.19704000031323, -0.16887937032625172, -0.13602173926943842, -0.348261387952103]",2025-06-28,2022-02-24
cutoff_1130,5,2025-10-01,4430,1364,0.30610088358162363,325,False,-0.8145225995047277,"[0.41712097938666803, 0.04736618197279965, -0.21045396337389202, -0.1383438440574049, -0.1110180526013369, -0.3841536746834364]",2025-09-27,2022-02-24
cutoff_1130,5,2026-01-01,4750,1427,0.2934476441555623,270,False,-0.8899720406750586,"[0.46198143856428575, 0.020203312416637118, -0.22842653570350713, -0.16134779155660126, -0.13611422169620402, -0.3663166763581777]",2025-12-27,2022-02-24
cutoff_1130,5,2026-04-01,5025,1508,0.29392179819870123,310,False,-0.8985793891302963,"[0.47902095915650533, -0.030483061294027437, -0.20727082709205097, -0.17644893650936838, -0.14361846638040163, -0.3226113392120583]",2026-03-28,2022-02-24
cutoff_1130,5,2026-07-01,5335,1577,0.2867298644984332,230,False,-0.9303492074328269,"[0.497599194235588, -0.03689971762870017, -0.18941174261403623, -0.18968152229179655, -0.1499837677848101, -0.34525411015858093]",2026-06-27,2022-02-24
