clock,h,origin,n_train,n_query,constant_prediction,weighted_train_mean,target_clip_lo,target_clip_hi,coefficients,last_target_maturity,min_train_date
2000,3,2023-10-01,1970,320,False,10.008684603865223,-757.8615025300123,1018.4048138366958,"[15.903820597333556, 3.038493647130241, -3.742245675082216, 15.305025074836129, 21.43462462560148, -14.053887721460551, 15.156859146451843, -4.356426672994799, 197.74676220724885, -10.312906456808047, 36.49382413401969, -29.092245952256295, 20.23677112550602, -17.300700165582622, -4.630671090534165, 20.88260862484832, -23.104203349629948, 4.179947167651889, 8.429586161752509, -5.054685692758965, 0.15161454353950604, -1.8590343489345018, -0.7938215570946185, 1.601939163937468, 0.899302198552289, -6.125102680402153, 38.87855992311808, 26.289396811674997, -30.960652792889196]",2023-09-28,2022-02-24
2000,3,2024-01-01,2295,285,False,5.0482469793745715,-742.5718062969838,958.9101521024478,"[20.410993782880556, -3.2385574407881617, -6.331030820101901, 11.240773109482284, 30.131551329469133, -17.833556830423905, 20.750882160242597, 0.761719057877506, 183.4534727066061, -6.737151049897613, 28.738730220340834, -24.616159394925315, 22.359083220435267, -20.356027188011517, -3.5237947640278144, 11.634498754314055, -30.505594318507463, 0.36789481156306086, 13.554996301526433, -0.3784201542112862, 0.25398444269004683, -1.840258057895806, -0.205650320555146, 0.3974156147717875, 1.3945083209876745, -3.8989424127164667, 36.68922179798424, 23.210107071757225, -29.538917505294368]",2023-12-29,2022-02-24
2000,3,2024-04-01,2580,300,False,5.078179946618289,-727.5348092166499,933.740774794699,"[18.621620182749165, -1.2354848221056791, -3.2730950926051237, 17.292951856465546, 18.726518820549536, -19.24790697025327, 19.10858345142859, 1.1853570611823436, 172.22183807479286, -5.25859689576795, 23.26182803475936, -19.31650924114698, 24.45608565881358, -18.472661899788132, -2.9216751437219113, 11.789119701383576, -26.718152594556717, 2.1341603073014723, 12.673395400398071, 0.25693047274480224, 0.21952541874345066, -1.8923344565021374, -0.19513111654201587, 0.9106734290486073, 0.9572667252514967, -6.418467810184995, 34.18986118305986, 21.071977251631118, -28.278933474192947]",2024-03-29,2022-02-24
2000,3,2024-07-01,2880,330,False,1.680308160607269,-706.6365101753589,900.1720306092666,"[15.881013385211533, -8.910193539299305, -9.913934139496673, 10.765721888826379, 41.58107346528952, -20.771146504138983, 30.17449817595997, 6.781905783123091, 160.42272829980436, -2.843810601086629, 14.163434081176291, -10.255445267935642, 25.831041536775214, -19.90356839194157, -4.905793130009887, 11.662245703190287, -15.680167212097333, 3.976833188086873, 10.534763710938183, -0.45854614740518723, 0.19944265236197692, -1.7495150436857099, 0.1126504291088521, 1.3301136441542323, 0.1073083180628566, -6.6919467778604345, 34.903451175868156, 15.766433931743396, -27.162770211907876]",2024-06-28,2022-02-24
2000,3,2024-10-01,3205,325,False,4.076284620669911,-699.930554164585,863.3942200401884,"[13.239527798079447, -12.984233299606688, -3.832974115721766, 14.026445651058081, 44.12363034906678, -28.39783761698961, 32.838331403130894, 1.5166091305265315, 153.50111619885266, -4.861091886804622, 11.888502357969076, -9.310083443851147, 7.689197128539263, -0.10531337248022632, -1.5761352405082414, 8.579785273079564, -11.12694836585125, 4.832722224213555, 6.575424151883101, -3.2714742266705676, 0.415806276965224, -1.4919913853664195, 0.41058883585267764, 1.2689708997319442, -0.6033746271823319, -7.168465861799662, 32.29258158751289, 13.6537062958951, -25.381824732619275]",2024-09-27,2022-02-24
2000,3,2025-01-01,3535,290,False,4.937649684207203,-686.4704442287211,854.0191462166989,"[15.109487765934361, -4.0094245024375565, 4.048024130731573, 13.546836068683962, 35.03642571200786, -28.20630006049141, 28.884471236494544, -10.436517013725975, 150.6385027471352, -3.029708436295963, 21.34533229738339, -19.447359049777482, 1.9191969472419892, 11.60790262873996, -4.027786092131297, 7.664661424092965, -7.798247473423303, 5.139888951811883, 2.1244208936444364, -2.576656342524061, 0.1638921853562265, -0.9900295601317916, 0.24038818303189802, 1.5886125789237568, -1.0028633871795118, -5.824240601014112, 28.45540607544615, 10.444612296678631, -23.77959436601185]",2024-12-28,2022-02-24
2000,3,2025-04-01,3820,295,False,-2.414765280309721,-670.5447983553406,816.0471126819657,"[21.14773134258989, 0.22113993922918107, 3.8934807428590403, 11.912157816648993, 39.23404130283088, -34.20525278612095, 31.30883085387908, -13.831218183994364, 146.2595552906284, -1.001593496560361, 17.94503486840647, -19.035958036625388, 4.45037642367158, 9.169393813291311, -3.0725518244801204, 9.157311243736352, -3.2896043579771117, 4.426857546989312, 3.364166148996836, 1.3147249936182295, 0.17707417020003507, -1.0428654242988902, 0.3063291952058097, 1.5130583907089057, -0.9535963318150397, -6.728091228165503, 27.40735465550655, 9.46054774465428, -23.20018674485907]",2025-03-28,2022-02-24
2000,3,2025-07-01,4115,330,False,-4.138363940315467,-642.292764460782,769.3321930882101,"[22.17311679381063, 2.8373908132034424, 5.405038182159456, 11.082902250158694, 33.61057799717897, -33.47604417937516, 29.04795108949424, -15.788857895265231, 139.57577927372455, -0.4608099453173755, 17.86922765901423, -19.613083321263872, 9.828883835645534, 2.6485644033566103, -0.516724461370029, 7.955257437431945, -5.9643849385617775, 2.652004772018532, 4.858500241240495, 2.609122654612821, 0.9376308822856866, -0.6978430339880362, 0.05270728367713275, 1.166604493596473, -1.4590996255670978, -5.7034532554833675, 25.801512326688194, 8.038235229375973, -22.351570593484592]",2025-06-27,2022-02-24
2000,3,2025-10-01,4440,320,False,-0.9520218242388976,-624.5827629148167,680.7575558900277,"[20.49279311929432, 2.7619975325641932, 5.4459561532413145, 13.343539610393481, 30.028491176602177, -29.883857360333824, 25.64695435811027, -14.24668998450037, 131.28214372154895, -0.9727240021405587, 13.509295424132633, -15.998371323960042, 5.658042577275279, 5.87078719547216, -1.8960704283752334, 6.401125141947077, -11.064373089216035, -2.8522727201647813, 4.098894058514513, 1.5185557825774696, 0.8587559267434737, -0.3767898840889143, -0.13656706863364584, 1.0042288557627603, -1.3496278297829858, -3.3764612451063867, 24.039574796387594, 6.712931614904998, -21.285731811237678]",2025-09-26,2022-02-24
2000,3,2026-01-01,4765,275,False,-2.6443405227858254,-614.4372730990315,628.9587514123025,"[17.398998825799886, 6.54290703267525, 8.076493716625615, 12.774610052927558, 26.04840728313723, -33.784358200257394, 25.973539013574175, -11.46946292864597, 127.22929578201918, 0.008897578218534655, 10.583673073592227, -12.950883963949565, 7.989469372952741, 4.843854221832722, -1.413718300343998, 4.93950616330953, -11.138863566227734, -1.6092214346810105, 4.851430003591366, 0.5655458942767089, 0.9408439025972012, -0.3661839253051955, -0.2773078612765906, 0.766494467491688, -1.0638465835058575, -2.5218165196967357, 22.47368682960277, 5.048473552965636, -20.32063741818354]",2025-12-29,2022-02-24
