clock,h,origin,n_train,n_query,coefficients,last_target_maturity,min_train_date
1900,3,2026-07-01,4920,225,"[1.0775301982166676, 1.8853765221281122, -0.28816313792257625, -0.17793027315177387, 0.008297845961451864, -0.07582228968533732, -0.11791559870791864, 0.053928207248695174, -0.04641843796867495]",2026-06-26,2022-02-24
1900,5,2023-01-01,620,285,"[0.16793908454053905, 0.9330624036985549, 0.339170158973857, 0.00419890170190927, 0.13226953926988957, -0.11644497761799079, -0.08877025546882061, 0.17090499070249893, -0.09376039518366502]",2022-12-29,2022-02-24
1900,5,2023-04-01,900,305,"[0.39964751573243457, 0.8363039653726417, 0.49387000881301824, -0.13505406955246171, 0.16160137841182048, -0.20640877805777125, -0.03130106913714348, -0.02640731604872696, -0.03253828472064041]",2023-03-29,2022-02-24
1900,5,2023-07-01,1205,325,"[0.7011156802812678, 0.9234222244878902, 0.6743694442316103, -0.08799938913147926, 0.17391300243196012, -0.12481981285268498, -0.07981445933385305, 0.0020039148141311075, -0.05928203419103479]",2023-06-28,2022-02-24
1900,5,2023-10-01,1535,320,"[0.8212133868534123, 1.091968876522593, 0.2903290265011088, -0.029155438255408575, 0.17143720279659078, -0.04620185827832726, -0.12537782583678975, 0.022367244852076563, -0.051380201788958954]",2023-09-28,2022-02-24
1900,5,2024-01-01,1860,285,"[0.7885547943983222, 1.567001283558102, 0.14766778474726572, -0.11739267698730901, 0.025088754880096764, 0.002145625338097592, -0.1280193941225141, 0.03372495518169891, -0.05033261826468929]",2023-12-29,2022-02-24
1900,5,2024-04-01,2145,300,"[0.81329617487861, 1.5372084557567918, -0.09370042879916124, -0.11069312055736512, 0.05821735333220822, 0.014512033068026554, -0.20097594888704062, 0.03326431946338075, -0.015710877533944644]",2024-03-29,2022-02-24
1900,5,2024-07-01,2445,330,"[0.837232465596032, 1.573509248551675, -0.23864885749700762, -0.1415340894864082, 0.045850206406425606, 0.032449283834387915, -0.14619687703640258, 0.004028749032004215, -0.0776654517228242]",2024-06-28,2022-02-24
1900,5,2024-10-01,2770,325,"[0.8588685261138522, 1.8400210960838408, -0.2736312679377308, -0.10179281755709624, 0.03712984199746875, 0.13533628249466964, -0.1789091373174177, 0.0017925944560604448, -0.0971423991878814]",2024-09-27,2022-02-24
1900,5,2025-01-01,3100,290,"[0.9017011233431176, 1.868039764723098, -0.5737774974057104, -0.06522453467249123, 0.06547657354739264, 0.11573573769407441, -0.24084255071251787, 0.04082107578639021, -0.04641537098783302]",2024-12-28,2022-02-24
1900,5,2025-04-01,3385,295,"[0.9175709110945415, 1.9225971924105003, -0.6379629933799541, -0.09752248036519104, 0.06944879478656506, 0.07295344660443753, -0.22897717149284608, 0.03444802743426791, -0.04539557769761984]",2025-03-28,2022-02-24
1900,5,2025-07-01,3680,330,"[0.9402188684939445, 2.0004669198759935, -0.5324468083755304, -0.13595241476203895, 0.019999639684125967, 0.004478533119881805, -0.206996773222557, 0.12710761495111528, -0.0805414292946087]",2025-06-27,2022-02-24
1900,5,2025-10-01,4005,320,"[0.9651564627901246, 1.9232222365212204, -0.6177377121372974, -0.11588349346574757, 0.04078205239312499, 0.05354034652860914, -0.20184431272190956, 0.13449274712251544, -0.14285432678809132]",2025-09-26,2022-02-24
1900,5,2026-01-01,4330,275,"[0.949208474455038, 1.9767419891640685, -0.6649487744234128, -0.1726006792306106, 0.014004957278274178, 0.026858935208861, -0.1674761936301523, 0.10177951073136915, -0.14776788881894207]",2025-12-29,2022-02-24
1900,5,2026-04-01,4600,310,"[0.9976971685052175, 2.0041503248013104, -0.7021983404897674, -0.1718739810336558, 0.0013873570682643723, 0.008696643120834785, -0.13344431539573723, 0.05588874202355547, -0.10440240785056164]",2026-03-27,2022-02-24
1900,5,2026-07-01,4910,225,"[1.0068342931144407, 1.9944335541039042, -0.8658162912134847, -0.17473805904578502, 0.010827856515427947, -0.0035114110522153916, -0.15622406088891935, 0.05405442136525319, -0.07988486498533864]",2026-06-26,2022-02-24
1900,10,2023-01-01,595,285,"[0.028626409626343618, 0.4412178910541443, 0.49283805511058193, -0.0009829671209947936, 0.23133209929930013, -0.08595290456875393, -0.13694870619545751, 0.03875133881488025, -0.04816479447096487]",2022-12-29,2022-02-24
1900,10,2023-04-01,875,305,"[0.30985819377682916, 0.8526865992660558, 0.34390881947836155, 0.0010649212655715013, 0.2599759177139121, -0.11367383821021092, -0.08656633430597935, -0.0992193700998556, 0.04054854616769705]",2023-03-29,2022-02-24
1900,10,2023-07-01,1180,325,"[0.4858156516339878, 1.043602723510658, 0.7312837519220797, 0.0048298803351647535, 0.16968036000278372, -0.05791618751126238, -0.1257415539909486, -0.012810754863860083, 0.03161801669845171]",2023-06-28,2022-02-24
1900,10,2023-10-01,1510,320,"[0.5650118581144348, 1.038254357028227, 0.6030334915977211, -0.0003516641767282811, 0.15681497810953346, 0.00915997694883094, -0.15271489751411885, -0.008173050995070057, -0.005438670725918847]",2023-09-28,2022-02-24
1900,10,2024-01-01,1835,285,"[0.5954091092839264, 1.1274553241481435, 0.5339905289038759, 0.0015471869285915724, 0.10503882777247678, 0.04171113434002076, -0.1229811309517605, -0.01684821907656868, -0.005373425155540739]",2023-12-29,2022-02-24
1900,10,2024-04-01,2120,300,"[0.6059328435738905, 1.0948539548716796, 0.23531840779774385, 0.003698269672225242, 0.09876452865850198, 0.033478246096382815, -0.1313077702000407, -0.01783532910491986, 0.020598594222310185]",2024-03-29,2022-02-24
1900,10,2024-07-01,2420,330,"[0.6435583651798825, 1.2364816174479494, 0.3780067005143426, -0.0031002093728499667, 0.11063658976099812, 0.04222445368536644, -0.09987473687367204, -0.03235215271648102, -0.023734363229076093]",2024-06-28,2022-02-24
1900,10,2024-10-01,2745,325,"[0.6406725605636119, 1.5056780489479487, 0.21654233975363496, -0.001691574476253641, 0.09515663468863181, 0.1266144514812413, -0.13179381915737926, -0.030109185436935068, -0.061559656051806425]",2024-09-27,2022-02-24
1900,10,2025-01-01,3075,290,"[0.5594978271632709, 1.4290553476621033, -0.34056404660274586, -0.23943520644665078, 0.05885479905326875, 0.05109569382087344, -0.2862396316617614, -0.005278095985202356, -0.05786797167383348]",2024-12-28,2022-02-24
1900,10,2025-04-01,3360,295,"[0.5780271351576035, 1.6419554180220313, -0.4662287030293355, -0.28450246198430246, 0.041688774947649644, 0.02522442451025956, -0.2355248375129153, -0.03356885418949293, -0.08232196973980255]",2025-03-28,2022-02-24
1900,10,2025-07-01,3655,330,"[0.5961709811471456, 1.70373983413388, -0.5143762407858657, -0.3065295128415234, 0.026741263669519896, -0.028268393452467726, -0.2581095115226319, 0.07228477476102758, -0.11917764629696509]",2025-06-27,2022-02-24
1900,10,2025-10-01,3980,320,"[0.6387822727443554, 1.6422955817008094, -0.664247318006645, -0.27298090079836307, 0.036323090977850615, 0.014858840356789886, -0.2763405805014752, 0.116837391504386, -0.16465964313590678]",2025-09-26,2022-02-24
1900,10,2026-01-01,4305,275,"[0.6122286205708152, 1.6990928084715096, -0.6664440035564366, -0.3300395269314535, 0.011856458903359363, -0.015344670083241321, -0.2406615169261037, 0.07234951503723151, -0.15823931386269868]",2025-12-29,2022-02-24
1900,10,2026-04-01,4575,310,"[0.6139217566041951, 1.5701935137775798, -0.7908746121112729, -0.31875695243801194, -0.004353084488555642, -0.03987373119112832, -0.19262222016651614, 0.02063980519080519, -0.10254772178261136]",2026-03-27,2022-02-24
1900,10,2026-07-01,4885,225,"[0.6402733375950755, 1.5716564952697283, -0.6919936278526758, -0.3375351816620856, 0.0034056153520782514, -0.03921855345536246, -0.20218608699553003, 0.012249533526949373, -0.11178569009021518]",2026-06-26,2022-02-24
1900,20,2023-01-01,545,285,"[0.1949815357851484, 0.4332559004464725, 1.042838125301009, 0.0015085287618120495, 0.10368968884120575, 0.1306728176259837, -0.27473670727053207, 0.1299431776931764, -0.08806044812801579]",2022-12-29,2022-02-24
1900,20,2023-04-01,825,305,"[0.21456123902278737, 0.6387270451111644, 0.03758902282113796, 0.006107070369737582, 0.20924836709460864, -0.042349115041552976, -0.13182100252313012, -0.09560563646041345, 0.0666344573002078]",2023-03-29,2022-02-24
1900,20,2023-07-01,1130,325,"[0.16292050692289758, 0.7653987186219177, 0.211247124777174, -0.0002890624612576164, 0.1578530957937246, -0.051415141222026846, -0.11263935269795489, -0.016152544440997084, 0.022064880105954525]",2023-06-28,2022-02-24
1900,20,2023-10-01,1460,320,"[0.29933301283463637, 0.7116116092079053, 0.3337035507668522, -0.003010850202706008, 0.2398555577049335, 0.06130585239711615, -0.20412957421388575, 0.04267541872350645, -0.14271810481438524]",2023-09-28,2022-02-24
1900,20,2024-01-01,1785,285,"[0.37642299379948524, 0.8305716174994972, 0.5305402172965065, -0.009873081437318505, 0.17905010950849043, 0.06392874995292415, -0.19714141818306039, 0.05737338213348614, -0.11308390484912893]",2023-12-29,2022-02-24
1900,20,2024-04-01,2070,300,"[0.45399159343884266, 0.8240340661584583, 0.5588664389924436, -0.004084855111403199, 0.13748631498006905, 0.06036358701758038, -0.1538607331218964, 0.05174268749837744, -0.09981671148559317]",2024-03-29,2022-02-24
1900,20,2024-07-01,2370,330,"[0.49673916857276834, 0.9559339665358458, 0.737243297538042, 0.0015348621428062066, 0.18998515835231516, 0.0709282015244202, -0.10462570310102254, 0.033704970930979454, -0.18845776556390126]",2024-06-28,2022-02-24
1900,20,2024-10-01,2695,325,"[0.5483503113634692, 1.0011717170562437, 0.5404996393436848, -0.0006342318198066365, 0.16883833116710809, 0.14820567761962858, -0.1510869117247233, 0.005201430865907702, -0.1717927597477481]",2024-09-27,2022-02-24
1900,20,2025-01-01,3025,290,"[0.44140080222437644, 1.0684620429146758, 0.19991267827865872, -0.0008615784240203093, 0.13649294902111148, 0.1292601012795106, -0.2345869597368326, 0.015169004071284978, -0.04719667305913495]",2024-12-28,2022-02-24
1900,20,2025-04-01,3310,295,"[0.4737149575669519, 1.3115008228093703, -0.0558096243652484, 0.010792806306491643, 0.1464841974737565, 0.113263821843193, -0.20646449928540284, 0.006641711473136231, -0.04913242519819151]",2025-03-28,2022-02-24
1900,20,2025-07-01,3605,330,"[0.480369150517187, 1.623830370308283, -0.46721124406029907, 0.010207314479031518, 0.12362254814916716, 0.0720257451142843, -0.2292185619587112, 0.11162476558854927, -0.06784718241426478]",2025-06-27,2022-02-24
1900,20,2025-10-01,3930,320,"[0.4946959009541301, 1.6340075522017503, -0.5891414093950808, -0.0166099419117813, 0.11254860438556208, 0.08435060216372009, -0.26069864251245617, 0.1489259306496722, -0.10173643659820936]",2025-09-26,2022-02-24
1900,20,2026-01-01,4255,275,"[0.47254983062584804, 1.6148318838364728, -0.7471758166995848, 0.04787276074773611, 0.11912055185834616, 0.06884461590236701, -0.21564889444426308, 0.13743201688385903, -0.06187552945257068]",2025-12-29,2022-02-24
1900,20,2026-04-01,4525,310,"[0.4422698020328681, 1.4532424803361725, -0.8065297387769069, -0.002004907783288575, 0.09052149192325587, 0.022404730306087618, -0.17238008244885958, 0.06671862331922385, -0.009269670882997114]",2026-03-27,2022-02-24
1900,20,2026-07-01,4835,225,"[0.43627550752338895, 1.2565068897102911, -0.5889139168455061, -0.009168644890542386, 0.09398042537319543, 0.010694241629412862, -0.15668843642937658, 0.06281723543562426, -0.019972110899352725]",2026-06-26,2022-02-24
2000,3,2023-01-01,630,285,"[0.16829207119578485, 0.30760012343558135, 0.4285191559083046, 0.0004449395611175, 0.12688063760459997, -0.08629476917630448, -0.072412005084824, 0.01570217288845158, 0.01656890332919181]",2022-12-29,2022-02-24
2000,3,2023-04-01,910,305,"[0.3872344166164055, 0.20826458948883608, 0.6052908541375586, -0.09409842358851035, 0.18866423642281022, -0.14357827309930565, -0.09896305276284582, -0.03363764341547978, -0.006583690733689968]",2023-03-29,2022-02-24
2000,3,2023-07-01,1215,325,"[0.5768041111834082, 0.22954518154846254, 0.9290759314769688, -0.1472845560008347, 0.13738511663080324, -0.14805436285781556, -0.09822624263096624, -0.004579708780245028, -0.033809358362610384]",2023-06-28,2022-02-24
2000,3,2023-10-01,1545,320,"[0.7075469713333635, 0.5948056178814843, 0.6733048502966068, -0.10373440006092338, 0.15842147553016495, -0.09611581227134737, -0.1439847782927547, -1.3203112639651013e-05, -0.022042081914346846]",2023-09-28,2022-02-24
2000,3,2024-01-01,1870,285,"[0.7437071423159213, 0.854545081231756, 0.8616406035231241, -0.19619307184793072, 0.022012392083167433, -0.07834461468045938, -0.1179398681793743, 0.0006963204775143773, -0.0226173015487779]",2023-12-29,2022-02-24
2000,3,2024-04-01,2155,300,"[0.7705593153712124, 0.8908847086393594, 0.675667297171171, -0.17466888175112505, 0.05928372581774598, -0.07249581583949172, -0.1632187737996203, -0.0031057893071321993, 0.004867771377373854]",2024-03-29,2022-02-24
2000,3,2024-07-01,2455,330,"[0.8012101790216735, 1.0759915192642069, 0.6166489573356012, -0.1968800525066442, 0.025251680989217137, -0.0595982514697397, -0.09946564425460347, -0.01817601997168871, -0.044891817799824915]",2024-06-28,2022-02-24
2000,3,2024-10-01,2780,325,"[0.864749584815627, 1.082159714956098, 0.647205736630044, -0.1713475854589547, 0.010842865267787534, 0.015421335974250857, -0.06477440248385391, -0.043403741049860944, -0.08943364316727542]",2024-09-27,2022-02-24
2000,3,2025-01-01,3110,290,"[0.8932520449670658, 1.2000763593861, 0.08782192021671341, -0.1285147912930532, 0.025720405043346332, 0.005274118241211559, -0.10655830983221637, 0.00799113325531627, -0.060942138000709585]",2024-12-28,2022-02-24
2000,3,2025-04-01,3395,295,"[0.9488727873607841, 1.3198662135006702, -0.13131686043403873, -0.1417891141350622, 0.03266651602803564, -0.014438536190309886, -0.07741198536719252, -0.009088834889056829, -0.0735162737165368]",2025-03-28,2022-02-24
2000,3,2025-07-01,3690,330,"[0.9638632874780191, 1.3420227380490881, -0.11381226130865643, -0.1623732630310922, 0.001538680641544406, -0.08867002285041523, -0.08549062095589605, 0.07078874042773246, -0.06054004029406546]",2025-06-27,2022-02-24
2000,3,2025-10-01,4015,320,"[0.9671355373874649, 1.2590609390406402, -0.17122038887455493, -0.14887486312399842, 0.0085744377242811, -0.05440775517549546, -0.09042311770900414, 0.08110308845229844, -0.09372151641607576]",2025-09-26,2022-02-24
2000,3,2026-01-01,4340,275,"[0.99401410381425, 1.2518423891965864, -0.05318452837337847, -0.2124503273655471, -0.006242044156240093, -0.08106137321351953, -0.06787372450413406, 0.05293698354571749, -0.11021016903737622]",2025-12-29,2022-02-24
2000,3,2026-04-01,4610,310,"[1.0523114795753035, 1.3303914388802653, -0.07766864190320008, -0.20418959239923218, -0.005355723391129258, -0.0834139517003584, -0.07114731874027336, 0.03210320301168479, -0.07637580157915788]",2026-03-27,2022-02-24
2000,3,2026-07-01,4920,225,"[1.0698606294290713, 1.3015533345364751, -0.09604150573650455, -0.19873258850204018, 0.003252959407164892, -0.08029852305130175, -0.11910361649146661, 0.049295578903477265, -0.05187898726991274]",2026-06-26,2022-02-24
2000,5,2023-01-01,620,285,"[0.18320562949626554, 0.8322140788663198, 0.4274529123759395, 0.001825366611059036, 0.13310548516921233, -0.1173620395088807, -0.08940463974069753, 0.1706192771647695, -0.09513271647334624]",2022-12-29,2022-02-24
2000,5,2023-04-01,900,305,"[0.4032783093537909, 0.464021991263073, 0.4703190939804187, 0.0022629460876027515, 0.19018891552972467, -0.1800513697657695, -0.0036471165003382814, 0.000927600822226103, -0.005155083998235662]",2023-03-29,2022-02-24
2000,5,2023-07-01,1205,325,"[0.7082083495559294, 0.5666102944438536, 0.5795301425744732, -0.09785774888707098, 0.17380511880927846, -0.12775784928616757, -0.08203486061299321, -3.358331706049679e-05, -0.06183657448012776]",2023-06-28,2022-02-24
2000,5,2023-10-01,1535,320,"[0.8194602888908766, 0.8152324128870309, 0.26650127123848383, -0.03974979950715412, 0.16865857321481725, -0.04798868467062611, -0.12721126576681568, 0.019912303384944825, -0.05312072566947434]",2023-09-28,2022-02-24
2000,5,2024-01-01,1860,285,"[0.7843953267284661, 1.2184171848328131, 0.3235368578692916, -0.1350703329176007, 0.02075727193202247, -0.0010136339006183827, -0.13158511312169738, 0.02932351689480766, -0.05255237472211501]",2023-12-29,2022-02-24
2000,5,2024-04-01,2145,300,"[0.8044970266660008, 1.2730476388471943, 0.163514933560146, -0.1378199009019181, 0.052383979062304895, 0.008442529884378547, -0.2057595714118581, 0.02797326058091637, -0.02086009901765793]",2024-03-29,2022-02-24
2000,5,2024-07-01,2445,330,"[0.8251118207318794, 1.2835524199307728, -0.033914655059463505, -0.16715389397758026, 0.039025102527293035, 0.026867828584841966, -0.15003444916821249, -0.0004307041352943509, -0.08258167178621069]",2024-06-28,2022-02-24
2000,5,2024-10-01,2770,325,"[0.845838353298815, 1.3370569908331449, -0.02297309547075306, -0.12345149766876355, 0.031174877897298666, 0.13125762542616315, -0.18252317116848374, -0.0018845796527368322, -0.10147625017100421]",2024-09-27,2022-02-24
2000,5,2025-01-01,3100,290,"[0.8913320415155194, 1.433282872189212, -0.4855828576451276, -0.077549877644812, 0.06145151282030675, 0.11265708209611089, -0.24292726604119702, 0.0391187064267833, -0.04784991294681486]",2024-12-28,2022-02-24
2000,5,2025-04-01,3385,295,"[0.9095049583152941, 1.4665691786453345, -0.547198143153605, -0.10560840622465437, 0.06639568474606088, 0.07221628466067985, -0.22927451457152295, 0.03336487114455984, -0.048310732204430475]",2025-03-28,2022-02-24
2000,5,2025-07-01,3680,330,"[0.9355190216474761, 1.5610309047289126, -0.5924739475509129, -0.13287202438832385, 0.018296264334228554, 0.006032048435628156, -0.20513285710553308, 0.1281303213300128, -0.08019780138265384]",2025-06-27,2022-02-24
2000,5,2025-10-01,4005,320,"[0.9578099018141429, 1.4699155070505627, -0.5900548506489286, -0.11955919438996239, 0.037207157017412444, 0.0523659727080965, -0.2003265654659912, 0.13466840563405919, -0.1434741642835334]",2025-09-26,2022-02-24
2000,5,2026-01-01,4330,275,"[0.9437109800576197, 1.5301980782035147, -0.5487154873630169, -0.18382613641895174, 0.00992386567920971, 0.025164857963177946, -0.16766531509251384, 0.10025941301354416, -0.15150895798236338]",2025-12-29,2022-02-24
2000,5,2026-04-01,4600,310,"[0.9902034276726035, 1.5543631337829618, -0.5532963981602835, -0.18491032225235074, -0.0022257396582429454, 0.007607829758433772, -0.13618573920720842, 0.05596212934165783, -0.11006880248697822]",2026-03-27,2022-02-24
2000,5,2026-07-01,4910,225,"[1.000838441680324, 1.5961649258006638, -0.7069179841120925, -0.18912093607568037, 0.005654628564290614, -0.0062627811526192395, -0.1573781485421022, 0.053031438589749236, -0.08416607353499896]",2026-06-26,2022-02-24
2000,10,2023-01-01,595,285,"[0.03596458033927234, 0.574011496363504, 0.37525576870079363, 0.0009496389931516764, 0.23352229137913863, -0.08581510227394658, -0.1367969898861594, 0.038445114956173594, -0.04840567518205608]",2022-12-29,2022-02-24
2000,10,2023-04-01,875,305,"[0.31738185621519294, 0.8502584969288207, -0.12107360263688195, 0.00037861665418547014, 0.25945583336555805, -0.11461163316644861, -0.08697127050729477, -0.09892306351284497, 0.041428750475224145]",2023-03-29,2022-02-24
2000,10,2023-07-01,1180,325,"[0.48781254842639843, 0.9660008134693251, 0.10778619892559257, -0.000506110482111203, 0.1682026374287122, -0.06011010627924819, -0.1276518599002143, -0.012523602230816456, 0.03157682049944923]",2023-06-28,2022-02-24
2000,10,2023-10-01,1510,320,"[0.5685230564478101, 1.0654434435291409, 0.11777625506181007, -0.004180492760812202, 0.15877054453132497, 0.006393424120996634, -0.1542818066366929, -0.008850922596780986, -0.006211732179661703]",2023-09-28,2022-02-24
2000,10,2024-01-01,1835,285,"[0.5991977361545487, 1.2741808527566345, -0.03156869176001288, -0.0016470745311607665, 0.10619685987499615, 0.040868707758547104, -0.12596763310485418, -0.017215292735940864, -0.005529716323905123]",2023-12-29,2022-02-24
2000,10,2024-04-01,2120,300,"[0.6104539994707426, 1.4397927800069759, -0.2820697830043559, 0.005534449914350474, 0.10076104296509085, 0.031634556217906395, -0.13086811057719475, -0.016656109283930194, 0.020663070592480116]",2024-03-29,2022-02-24
2000,10,2024-07-01,2420,330,"[0.6467333901821019, 1.5460295773588124, -0.2820502240972025, -0.3326623084161549, 0.046663809422850214, -0.023900748702057495, -0.1690252870763789, -0.0970896145339188, -0.08931046752664873]",2024-06-28,2022-02-24
2000,10,2024-10-01,2745,325,"[0.6394693906254466, 1.4652161030827615, -0.24286958658344346, -0.30597779969687655, 0.03462908718665565, 0.065100073073793, -0.19287589702861346, -0.08997182828295003, -0.12285923464576276]",2024-09-27,2022-02-24
2000,10,2025-01-01,3075,290,"[0.5619347620756004, 1.5262894988750535, -0.7505173272362176, -0.23251937985427468, 0.06155372883644196, 0.05241348697108873, -0.2874670848079672, -0.002532152760524507, -0.05648735809331405]",2024-12-28,2022-02-24
2000,10,2025-04-01,3360,295,"[0.5803539235109133, 1.765361863942486, -0.9846949645288202, -0.2717422698320232, 0.046986072495907895, 0.028215634382605947, -0.23500558287384707, -0.03021299866631594, -0.08172539517037314]",2025-03-28,2022-02-24
2000,10,2025-07-01,3655,330,"[0.5997979534200946, 1.6765163685770321, -0.8264763342602972, -0.3050832878956129, 0.028039495589769585, -0.02836989760987854, -0.261034491390267, 0.07619836557439998, -0.11991676005964139]",2025-06-27,2022-02-24
2000,10,2025-10-01,3980,320,"[0.6405174395224422, 1.5741700286104552, -0.8901791234388878, -0.2733342156949177, 0.037116285633126495, 0.01522966586243739, -0.27874699727113966, 0.11812457315798275, -0.16505774307732224]",2025-09-26,2022-02-24
2000,10,2026-01-01,4305,275,"[0.6160601981699124, 1.5341854642902126, -0.720751814921558, -0.33753075601720445, 0.01140584159996606, -0.014940141753914183, -0.24666885758799575, 0.07043593617396889, -0.1577635344492338]",2025-12-29,2022-02-24
2000,10,2026-04-01,4575,310,"[0.618593221532883, 1.4610461998886752, -0.8080018015999808, -0.33175175861537337, -0.005684188343240222, -0.04218811562863973, -0.19664057505312058, 0.019691970698345863, -0.10693085028871341]",2026-03-27,2022-02-24
2000,10,2026-07-01,4885,225,"[0.6442055429768498, 1.4653329879781474, -0.7424892572084302, -0.3553675490848408, -0.0003939208091094488, -0.041269286464149485, -0.20871963788211936, 0.008032996442240793, -0.11301770037170049]",2026-06-26,2022-02-24
2000,20,2023-01-01,545,285,"[0.20567756725849995, 0.5068837987958952, 0.8584151313243277, 0.0005671491565714566, 0.10563197263909394, 0.1321458189961056, -0.2779875490368438, 0.1316215370043858, -0.09084463044617294]",2022-12-29,2022-02-24
2000,20,2023-04-01,825,305,"[0.2304662722635137, 0.6514835960459198, -0.16886379909148247, 0.0006870338008167424, 0.2106632715486067, -0.04545925050502342, -0.13549014274946541, -0.09750865008740625, 0.06848180559412587]",2023-03-29,2022-02-24
2000,20,2023-07-01,1130,325,"[0.17224147919310676, 0.6584617373519869, 0.0010396925383104139, -0.0033635296718358063, 0.15540181561270494, -0.05206815958838733, -0.11427503464534436, -0.014701075383589413, 0.022278924332761407]",2023-06-28,2022-02-24
2000,20,2023-10-01,1460,320,"[0.30538817957794423, 0.7415857036622306, 0.08118159042621377, -0.0010455520628268136, 0.2410335734547691, 0.061845125202605614, -0.20477378888733466, 0.04392845136137993, -0.14307891319424]",2023-09-28,2022-02-24
2000,20,2024-01-01,1785,285,"[0.3810085830653758, 0.8488858669466334, 0.2417894641865099, -0.0005938034835682073, 0.18162011548873158, 0.06397045332242937, -0.19709179188468495, 0.06018695671110608, -0.10927953712115153]",2023-12-29,2022-02-24
2000,20,2024-04-01,2070,300,"[0.4581972317880929, 1.0464390623084916, 0.14560284115563576, -0.0017881577725799387, 0.13917526782523099, 0.059691474704049265, -0.1546152249743734, 0.053704747339026825, -0.09974442266651627]",2024-03-29,2022-02-24
2000,20,2024-07-01,2370,330,"[0.5007277384996897, 1.1591486847210906, 0.2306700399214405, 0.0062782596849959744, 0.19203348720728652, 0.07079033372424282, -0.10379930649010555, 0.03558846835691048, -0.1883347231133115]",2024-06-28,2022-02-24
2000,20,2024-10-01,2695,325,"[0.55210512921008, 1.094864171937682, 0.28215342223989703, -0.0004190653275105644, 0.17204233841355274, 0.14897677086990863, -0.15277838222955986, 0.00558765396674565, -0.17424744634815822]",2024-09-27,2022-02-24
