period,candidate,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_challenger_not_better,control_benefit_bps,challenger_benefit_bps,benefit_difference_ci_low,benefit_difference_ci_high,observed_lift_difference,circular_p_unadjusted,circular_p_max_adjusted,null_max_difference_q95,n_challengers
retrospective_2026,pooled_hit_lcb,1.8496245889820824,1.7640449438202248,-0.08557964516185756,-0.2666429849427108,0.05634809988025048,0.8635341164708823,117.24327829018004,113.20593507481364,-25.32999611017413,13.639319440490741,-0.08557964516185756,0.8105473631592102,1.0,0.1718925836542351,5
retrospective_2026,shrunk_hit_lcb,1.8496245889820824,1.8069210362047443,-0.04270355277733806,-0.1646666204130422,0.08782188037586446,0.7048237940514871,117.24327829018004,118.1090952784614,-12.80030304093624,12.187635654365401,-0.04270355277733806,0.7183204198950263,1.0,0.1718925836542351,5
retrospective_2026,shrunk_benefit_lcb,1.8496245889820824,1.7850454788657035,-0.06457911011637885,-0.2260059354756428,0.06967732377151792,0.7990502374406399,117.24327829018004,116.64663344628411,-19.03325704212845,16.049478973777365,-0.06457911011637885,0.8230442389402649,1.0,0.1718925836542351,5
retrospective_2026,reliability_benefit_equal,1.8496245889820824,1.8489130854473146,-0.0007115035347677878,-0.17876967078694325,0.1457674720558945,0.5183704073981504,117.24327829018004,121.70318642467471,-15.543189710388559,20.026877225426276,-0.0007115035347677878,0.5971007248187953,0.8110472381904524,0.1718925836542351,5
retrospective_2026,primary75_reliability25,1.8496245889820824,1.8839314934002402,0.03430690441815787,-0.028719677713144987,0.08894274392458355,0.1559610097475631,117.24327829018004,121.20056485469306,-0.648490774667754,7.414160645836488,0.03430690441815787,0.11947013246688327,0.5736065983504124,0.1718925836542351,5
combined_2025_2026,pooled_hit_lcb,1.8463221702729151,1.855644030541846,0.009321860268930893,-0.1414801968635803,0.22710072055497788,0.4558860284928768,71.28443344868988,79.05606919643972,-10.793005171064717,33.57279211489404,0.009321860268930893,0.4468882779305174,0.664833791552112,0.1210184615357689,5
combined_2025_2026,shrunk_hit_lcb,1.8463221702729151,1.8973933381115846,0.051071167838669496,-0.08907960698143791,0.26800395663369775,0.26193451637090726,71.28443344868988,83.65772945903775,-4.445235435914722,36.8587431847662,0.051071167838669496,0.23044238940264933,0.32066983254186454,0.1210184615357689,5
combined_2025_2026,shrunk_benefit_lcb,1.8463221702729151,1.774856263694597,-0.07146590657831808,-0.18449353857455736,0.032719497441123575,0.9125218695326168,71.28443344868988,73.7016417334685,-9.225118069823017,14.048260935949923,-0.07146590657831808,0.8975256185953512,0.9957510622344414,0.1210184615357689,5
combined_2025_2026,reliability_benefit_equal,1.8463221702729151,1.8669131238447318,0.020590953571816728,-0.11508111019500222,0.18325686606855834,0.39965008747813047,71.28443344868988,81.73361728559927,-6.032544433563247,31.270668840139884,0.020590953571816728,0.3586603349162709,0.5568607848037991,0.1210184615357689,5
combined_2025_2026,primary75_reliability25,1.8463221702729151,1.859841483224108,0.013519312951192797,-0.05888251882042432,0.09021091089651362,0.3929017745563609,71.28443344868988,76.8999786664626,-0.3522023415298687,13.061874097782693,0.013519312951192797,0.29517620594851285,0.628092976755811,0.1210184615357689,5
