policy,n_test,n_signals,signal_share,frequency,base_rate,hit_rate,aggregate_lift,mean_corridor_lift,min_corridor_lift,benefit_bps
past_oof_rolling_250_q20,15315,3195,0.20861900097943192,0.9867637326273989,0.26993143976493633,0.329264475743349,1.2198078001957886,1.2181162764943505,1.1934663576892315,27.38771547870728
past_oof_previous_fold_q30,15315,5007,0.3269343780607248,1.5463931171409662,0.26993143976493633,0.3119632514479728,1.15571291628585,1.1519017404034841,1.086912577925978,20.295080013727084
past_oof_expanding_q30,15315,4942,0.3226901730329742,1.526318111625855,0.26993143976493633,0.3150546337515176,1.1671653884626252,1.1641897542079453,1.1237421383647799,20.915667301541756
past_oof_rolling_120_q30,15315,4781,0.31217760365654584,1.4765938671961174,0.26993143976493633,0.3158335076343861,1.170050839240596,1.1693906741206248,1.1042630457093234,21.830961098912656
past_oof_rolling_250_q30,15315,4512,0.29461312438785503,1.3935142289874256,0.26993143976493633,0.31382978723404253,1.1626277676558687,1.1605687012939228,1.11434315761566,22.276788961907283
past_oof_previous_fold_q40,15315,6111,0.3990205680705191,1.8873593646591662,0.26993143976493633,0.30633284241531666,1.1348542529246672,1.1325510084191814,1.1017454837414693,18.83079857210792
past_oof_expanding_q40,15315,6423,0.41939275220372185,1.9837193911317008,0.26993143976493633,0.3095126887747159,1.1466344529716435,1.1437705195736414,1.0757280642791265,18.49463834205118
past_oof_rolling_120_q40,15315,6214,0.40574600065295463,1.9191705272446504,0.26993143976493633,0.3054393305439331,1.1315441091631193,1.1307856341290232,1.0941289613482323,17.249316388980247
past_oof_rolling_250_q40,15315,5786,0.37779954293176626,1.786984337083609,0.26993143976493633,0.3110957483581058,1.152499125811415,1.1504115591867898,1.0838208379088883,20.745028540421103
nested_calib_fixed_q15,15920,3303,0.2074748743718593,0.9809503606279166,0.2719849246231156,0.29336966394187103,1.0786247228532533,1.0740345060165244,1.024287341611937,5.932568994231805
nested_calib_rolling_120_q15,15920,2938,0.18454773869346733,0.8725498515061518,0.2719849246231156,0.3131381892443839,1.1513071530648018,1.1466087906818492,1.0518808153216754,9.762770837441325
nested_calib_rolling_250_q15,15920,2764,0.17361809045226131,0.8208739923631736,0.2719849246231156,0.3096960926193922,1.1386516846421995,1.137247868350745,1.0325479656461691,9.255101048688495
nested_calib_fixed_q20,15920,3900,0.2449748743718593,1.158252015273653,0.2719849246231156,0.2956410256410256,1.0869757801859419,1.0844693724332846,1.021022901774692,9.057314780612364
nested_calib_rolling_120_q20,15920,3663,0.23008793969849245,1.0878659312685617,0.2719849246231156,0.30985530985530985,1.1392370745719476,1.1368380495267614,1.0663633491311217,11.773665090840218
nested_calib_rolling_250_q20,15920,3489,0.21915829145728644,1.0361900721255832,0.2719849246231156,0.3049584408139868,1.121232881699462,1.1176084133356103,1.0373042708897744,10.91930907118009
nested_calib_fixed_q30,15920,5038,0.3164572864321608,1.4962240135765803,0.2719849246231156,0.2985311631599841,1.0976018747129208,1.0960911500723762,1.0298845401999803,11.75114205196834
nested_calib_rolling_120_q30,15920,5086,0.3194723618090452,1.5104794229953329,0.2719849246231156,0.29964608729846637,1.1017010877116824,1.1008155734297382,1.023117118632977,11.364796978123058
nested_calib_rolling_250_q30,15920,4860,0.30527638190954776,1.4433602036487059,0.2719849246231156,0.2965020576131687,1.0901415143652762,1.0877119127062251,1.0321022981310919,11.836300739605196
nested_calib_fixed_q40,15920,6066,0.38103015075376884,1.8015273652948665,0.2719849246231156,0.2964061984833498,1.0897890715600298,1.088522746257603,1.038924530385631,12.502486050735442
nested_calib_rolling_120_q40,15920,6501,0.4083542713567839,1.9307170131523121,0.2719849246231156,0.2941085986771266,1.0813415452516986,1.0801426405136212,1.0256790540416518,10.457276307047785
nested_calib_rolling_250_q40,15920,6207,0.3898869346733668,1.8434026304624525,0.2719849246231156,0.29611728693410666,1.0887268378732051,1.0870218847927375,1.0258318622199005,13.103423321622879
