block,currency,month,n,base_rate_h5,benefit_h5_bps
transition,KZT,11,19,0.3157894736842105,25.193343192062365
transition,KZT,12,23,0.34782608695652173,20.794125519415374
transition,TJS,1,16,0.3125,37.4324548627685
transition,TJS,2,19,0.10526315789473684,-35.20475586163246
transition,TJS,3,21,0.2857142857142857,34.452606863589374
transition,TJS,4,22,0.18181818181818182,-20.084853073648073
transition,TJS,5,19,0.0,-30.044542281283103
transition,TJS,6,21,0.2857142857142857,-5.9349620001604295
transition,TJS,7,23,0.2608695652173913,-4.028158201889112
transition,TJS,8,21,0.19047619047619047,11.159625199298567
transition,TJS,9,22,0.13636363636363635,-5.367432856173317
transition,TJS,10,22,0.13636363636363635,-17.246828686490748
transition,TJS,11,19,0.42105263157894735,56.490513084932694
transition,TJS,12,23,0.30434782608695654,10.857304288152084
transition,UZS,1,16,0.3125,30.35180307365402
transition,UZS,2,19,0.15789473684210525,-32.51093508418916
transition,UZS,3,21,0.3333333333333333,39.74271503293899
transition,UZS,4,22,0.18181818181818182,-24.280928403785392
transition,UZS,5,19,0.05263157894736842,-41.54964066012518
transition,UZS,6,21,0.2857142857142857,-9.353393784382227
transition,UZS,7,23,0.21739130434782608,-7.785624066424646
transition,UZS,8,21,0.23809523809523808,-0.3645299627627851
transition,UZS,9,22,0.13636363636363635,-9.348720840964926
transition,UZS,10,22,0.13636363636363635,-27.71998342217763
transition,UZS,11,19,0.3684210526315789,50.51716605977356
transition,UZS,12,23,0.30434782608695654,6.121465604294548
shock_adaptation,AMD,1,31,0.45161290322580644,37.48785879672217
shock_adaptation,AMD,2,37,0.5675675675675675,251.26589521622762
shock_adaptation,AMD,3,44,0.3181818181818182,-83.89183541580054
shock_adaptation,AMD,4,43,0.18604651162790697,-108.02512109067278
shock_adaptation,AMD,5,36,0.2222222222222222,-33.44042791211278
shock_adaptation,AMD,6,42,0.38095238095238093,48.554856520363394
shock_adaptation,AMD,7,43,0.3953488372093023,90.98132160760217
shock_adaptation,AMD,8,45,0.5333333333333333,28.58332420973804
shock_adaptation,AMD,9,44,0.11363636363636363,-65.47446635386528
shock_adaptation,AMD,10,42,0.30952380952380953,36.62505876037363
shock_adaptation,AMD,11,42,0.21428571428571427,-24.194210784759996
shock_adaptation,AMD,12,45,0.4,68.94077577030973
shock_adaptation,KGS,1,31,0.4838709677419355,33.59166733431743
shock_adaptation,KGS,2,37,0.40540540540540543,193.7330960267386
shock_adaptation,KGS,3,44,0.25,-89.31828891055073
shock_adaptation,KGS,4,43,0.18604651162790697,-89.54145397753089
shock_adaptation,KGS,5,36,0.19444444444444445,-42.65164926321845
shock_adaptation,KGS,6,42,0.35714285714285715,-7.86386213505796
shock_adaptation,KGS,7,43,0.32558139534883723,58.299097871957606
shock_adaptation,KGS,8,45,0.5555555555555556,38.63139493510136
shock_adaptation,KGS,9,44,0.22727272727272727,-15.307729398807824
shock_adaptation,KGS,10,42,0.23809523809523808,-33.38833601160726
shock_adaptation,KGS,11,42,0.2619047619047619,-30.948441771641445
shock_adaptation,KGS,12,45,0.4,63.92023198310033
shock_adaptation,KZT,1,31,0.5483870967741935,47.51996949682388
shock_adaptation,KZT,2,37,0.43243243243243246,172.4263289691572
shock_adaptation,KZT,3,44,0.25,-67.31568101484203
shock_adaptation,KZT,4,43,0.09302325581395349,-86.28401710271723
shock_adaptation,KZT,5,36,0.2777777777777778,-37.47384766510404
shock_adaptation,KZT,6,42,0.2857142857142857,-88.43106069589808
shock_adaptation,KZT,7,43,0.4186046511627907,81.54305337213329
shock_adaptation,KZT,8,45,0.4,11.817623219086196
shock_adaptation,KZT,9,44,0.13636363636363635,-48.45184034478729
shock_adaptation,KZT,10,42,0.30952380952380953,24.15297498980325
shock_adaptation,KZT,11,42,0.19047619047619047,-11.819162726423789
shock_adaptation,KZT,12,45,0.4444444444444444,91.50784867781313
shock_adaptation,TJS,1,31,0.5161290322580645,32.11752018727178
shock_adaptation,TJS,2,37,0.3783783783783784,195.1831697106859
shock_adaptation,TJS,3,44,0.2727272727272727,-179.47098796119096
shock_adaptation,TJS,4,43,0.16279069767441862,-127.89566811993427
shock_adaptation,TJS,5,36,0.3333333333333333,12.200279710456767
shock_adaptation,TJS,6,42,0.35714285714285715,41.72955799760155
shock_adaptation,TJS,7,43,0.37209302325581395,107.58362364689678
shock_adaptation,TJS,8,45,0.5111111111111111,22.93585147588757
shock_adaptation,TJS,9,44,0.3181818181818182,-14.754827381605587
