origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,compact_features,local_counts,class_counts
2024-10-01,first_failure_extra_h5,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,111,,"{""0"": 496, ""1"": 195, ""2"": 227, ""3"": 192, ""4"": 627}"
2025-01-01,extra_h5,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,111,,
2025-01-01,compact_hist_h5,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,59,,
2025-01-01,compact_extra_h5,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,59,,
2025-01-01,local_hist_h5,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,59,"{""AMD"": 397, ""KGS"": 396, ""KZT"": 373, ""TJS"": 400, ""UZS"": 385}",
2025-01-01,first_failure_extra_h5,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,111,,"{""0"": 537, ""1"": 208, ""2"": 245, ""3"": 218, ""4"": 743}"
2025-04-01,extra_h5,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,111,,
2025-04-01,compact_hist_h5,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,59,,
2025-04-01,compact_extra_h5,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,59,,
2025-04-01,local_hist_h5,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,59,"{""AMD"": 417, ""KGS"": 416, ""KZT"": 395, ""TJS"": 422, ""UZS"": 405}",
