year,currency,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
2024,TJS,3,248,67,2024-01-09,2024-12-28,0.582089552238806,0.40725806451612906,1.429289197576474,1.4292891975764739,1.3211267605633803,1.3211267605633803,1.3211267605633803,18.760925492315966,48.51145619930722
2024,TJS,5,248,67,2024-01-09,2024-12-28,0.5074626865671642,0.3548387096774194,1.4301221166892808,1.4301221166892808,1.3211267605633803,1.3211267605633803,1.3211267605633803,22.200813154845772,53.339641582454924
2024,TJS,10,248,67,2024-01-09,2024-12-28,0.3880597014925373,0.29435483870967744,1.3183398078102637,1.3183398078102637,1.3211267605633803,1.3211267605633803,1.3211267605633803,28.747965076454634,65.71399650079886
2024,TJS,20,248,67,2024-01-09,2024-12-28,0.26865671641791045,0.18548387096774194,1.4484101232965607,1.4484101232965607,1.3211267605633803,1.3211267605633803,1.3211267605633803,33.71736965527801,84.2749272697653
2024,UZS,1,248,68,2024-01-09,2024-12-28,0.7941176470588235,0.5403225806451613,1.4697102721685689,1.4697102721685689,1.3408450704225352,1.3408450704225352,1.3408450704225352,13.592845734595295,42.09632134317877
2024,UZS,3,248,68,2024-01-09,2024-12-28,0.5735294117647058,0.3911290322580645,1.4663432383262582,1.4663432383262585,1.3408450704225352,1.3408450704225352,1.3408450704225352,25.322069041738033,51.62810636237537
2024,UZS,5,248,68,2024-01-09,2024-12-28,0.5147058823529411,0.3346774193548387,1.537916371367824,1.5379163713678243,1.3408450704225352,1.3408450704225352,1.3408450704225352,29.89234627775065,55.919497295956184
2024,UZS,10,248,68,2024-01-09,2024-12-28,0.35294117647058826,0.2620967741935484,1.346606334841629,1.346606334841629,1.3408450704225352,1.3408450704225352,1.3408450704225352,35.66269234059733,63.23814607811534
2024,UZS,20,248,68,2024-01-09,2024-12-28,0.2647058823529412,0.1814516129032258,1.4588235294117646,1.4588235294117646,1.3408450704225352,1.3408450704225352,1.3408450704225352,37.83563867403884,71.56986260271744
2025,AMD,1,247,65,2025-01-09,2025-12-30,0.7538461538461538,0.46153846153846156,1.6333333333333333,1.6333333333333333,1.2780898876404496,1.2780898876404496,1.2780898876404496,23.628955151823423,42.78064748590789
2025,AMD,3,247,65,2025-01-09,2025-12-30,0.5230769230769231,0.2834008097165992,1.8457142857142859,1.8457142857142856,1.2780898876404496,1.2780898876404496,1.2780898876404496,38.64795178237459,49.08057221177456
2025,AMD,5,247,65,2025-01-09,2025-12-30,0.46153846153846156,0.21862348178137653,2.111111111111111,2.111111111111111,1.2780898876404496,1.2780898876404496,1.2780898876404496,41.70152244557672,42.476118604376644
2025,AMD,10,247,65,2025-01-09,2025-12-30,0.26153846153846155,0.145748987854251,1.7944444444444447,1.7944444444444445,1.2780898876404496,1.2780898876404496,1.2780898876404496,46.93737919949424,21.07387115439954
2025,AMD,20,247,65,2025-01-09,2025-12-30,0.15384615384615385,0.08906882591093117,1.7272727272727275,1.7272727272727275,1.2780898876404496,1.2780898876404496,1.2780898876404496,48.38017763233083,-24.582428634150503
2025,KGS,1,247,66,2025-01-09,2025-12-30,0.696969696969697,0.4291497975708502,1.6240708976558034,1.6240708976558031,1.2977528089887642,1.2977528089887642,1.2977528089887642,24.39616240114723,43.19550363102716
2025,KGS,3,247,66,2025-01-09,2025-12-30,0.5151515151515151,0.2591093117408907,1.9881628787878787,1.9881628787878787,1.2977528089887642,1.2977528089887642,1.2977528089887642,36.04464997061744,42.78088640790266
2025,KGS,5,247,66,2025-01-09,2025-12-30,0.42424242424242425,0.20242914979757085,2.0957575757575757,2.0957575757575757,1.2977528089887642,1.2977528089887642,1.2977528089887642,35.05837373155619,31.628462879482143
2025,KGS,10,247,66,2025-01-09,2025-12-30,0.21212121212121213,0.13360323886639677,1.5876951331496785,1.5876951331496785,1.2977528089887642,1.2977528089887642,1.2977528089887642,35.34898114570586,-0.9285876126813322
2025,KGS,20,247,66,2025-01-09,2025-12-30,0.13636363636363635,0.08906882591093117,1.53099173553719,1.53099173553719,1.2977528089887642,1.2977528089887642,1.2977528089887642,35.59303031731304,-60.86319838149781
2025,KZT,1,247,69,2025-01-09,2025-12-30,0.6811594202898551,0.46558704453441296,1.4630119722747323,1.4630119722747321,1.356741573033708,1.356741573033708,1.356741573033708,22.165765121854836,42.65437972591307
2025,KZT,3,247,69,2025-01-09,2025-12-30,0.463768115942029,0.26720647773279355,1.7356170399648658,1.735617039964866,1.356741573033708,1.356741573033708,1.356741573033708,38.7639694475431,43.54451764311433
2025,KZT,5,247,69,2025-01-09,2025-12-30,0.391304347826087,0.20242914979757085,1.9330434782608696,1.9330434782608696,1.356741573033708,1.356741573033708,1.356741573033708,43.64115084528772,37.1953562671986
2025,KZT,10,247,69,2025-01-09,2025-12-30,0.2463768115942029,0.12955465587044535,1.9017210144927537,1.9017210144927534,1.356741573033708,1.356741573033708,1.356741573033708,49.02179815507659,10.404385789760756
2025,KZT,20,247,69,2025-01-09,2025-12-30,0.13043478260869565,0.0728744939271255,1.7898550724637683,1.7898550724637683,1.356741573033708,1.356741573033708,1.356741573033708,51.87513824618268,-43.008261995165185
2025,TJS,1,247,68,2025-01-09,2025-12-30,0.7352941176470589,0.5020242914979757,1.4646584440227706,1.4646584440227703,1.3370786516853934,1.3370786516853934,1.3370786516853934,24.31725818522152,48.8240082278964
2025,TJS,3,247,68,2025-01-09,2025-12-30,0.5147058823529411,0.3360323886639676,1.5317150956768248,1.5317150956768248,1.3370786516853934,1.3370786516853934,1.3370786516853934,37.33036166029723,54.76103312011186
2025,TJS,5,247,68,2025-01-09,2025-12-30,0.45588235294117646,0.2874493927125506,1.585956917978459,1.585956917978459,1.3370786516853934,1.3370786516853934,1.3370786516853934,37.78650775487836,50.028079097495414
2025,TJS,10,247,68,2025-01-09,2025-12-30,0.3235294117647059,0.20647773279352227,1.5668973471741638,1.5668973471741636,1.3370786516853934,1.3370786516853934,1.3370786516853934,38.67183476806832,37.24642590712043
2025,TJS,20,247,68,2025-01-09,2025-12-30,0.22058823529411764,0.145748987854251,1.513480392156863,1.513480392156863,1.3370786516853934,1.3370786516853934,1.3370786516853934,42.100331017200794,15.405235499865872
2025,UZS,1,247,66,2025-01-09,2025-12-30,0.7575757575757576,0.4574898785425101,1.6559399302762134,1.6559399302762134,1.2977528089887642,1.2977528089887642,1.2977528089887642,25.982809942766387,55.246385687466955
2025,UZS,3,247,66,2025-01-09,2025-12-30,0.4696969696969697,0.27530364372469635,1.7061051693404636,1.7061051693404636,1.2977528089887642,1.2977528089887642,1.2977528089887642,38.214447379857155,58.05497445407946
2025,UZS,5,247,66,2025-01-09,2025-12-30,0.3939393939393939,0.19838056680161945,1.9857761286332714,1.9857761286332714,1.2977528089887642,1.2977528089887642,1.2977528089887642,38.42672650057461,47.095131511899716
2025,UZS,10,247,66,2025-01-09,2025-12-30,0.24242424242424243,0.1214574898785425,1.9959595959595962,1.9959595959595962,1.2977528089887642,1.2977528089887642,1.2977528089887642,41.511668783398285,23.122996430688858
2025,UZS,20,247,66,2025-01-09,2025-12-30,0.16666666666666666,0.08502024291497975,1.9603174603174602,1.9603174603174605,1.2977528089887642,1.2977528089887642,1.2977528089887642,44.432225226684956,-19.412436258996316
2026,AMD,1,161,47,2026-01-12,2026-08-31,0.8085106382978723,0.5652173913043478,1.4304418985270049,1.430441898527005,1.4181034482758619,1.4181034482758619,1.4181034482758619,20.597653358044585,55.522141676517926
2026,AMD,3,159,46,2026-01-12,2026-08-27,0.5434782608695652,0.4025157232704403,1.350203804347826,1.3502038043478262,1.4122807017543861,1.4122807017543861,1.4122807017543861,25.927207908057657,63.81492177452982
2026,AMD,5,157,46,2026-01-12,2026-08-25,0.4782608695652174,0.33121019108280253,1.443979933110368,1.443979933110368,1.424778761061947,1.424778761061947,1.424778761061947,31.116118366102388,75.29073910049011
2026,AMD,10,152,45,2026-01-12,2026-08-18,0.4,0.28289473684210525,1.4139534883720932,1.413953488372093,1.4383561643835616,1.4383561643835616,1.4383561643835616,34.82257365139404,97.3144910371168
2026,AMD,20,142,42,2026-01-12,2026-08-04,0.35714285714285715,0.24647887323943662,1.4489795918367347,1.4489795918367347,1.4341463414634146,1.4341463414634146,1.4341463414634146,70.6342840285107,147.43169536389962
2026,KGS,1,161,48,2026-01-12,2026-08-31,0.7916666666666666,0.4906832298136646,1.613396624472574,1.613396624472574,1.4482758620689653,1.4482758620689653,1.4482758620689653,22.080086249757212,53.443000955212234
2026,KGS,3,159,47,2026-01-12,2026-08-27,0.574468085106383,0.37735849056603776,1.5223404255319148,1.5223404255319146,1.442982456140351,1.442982456140351,1.442982456140351,28.61635352225938,56.64740754577524
2026,KGS,5,157,47,2026-01-12,2026-08-25,0.5106382978723404,0.3057324840764331,1.6702127659574468,1.670212765957447,1.4557522123893807,1.4557522123893807,1.4557522123893807,34.79326748197066,66.07643845005121
2026,KGS,10,152,46,2026-01-12,2026-08-18,0.43478260869565216,0.2631578947368421,1.6521739130434783,1.6521739130434783,1.4703196347031964,1.4703196347031964,1.4703196347031964,41.2925242981802,83.45622800107567
2026,KGS,20,142,44,2026-01-12,2026-08-04,0.3409090909090909,0.22535211267605634,1.5127840909090908,1.5127840909090908,1.502439024390244,1.502439024390244,1.502439024390244,71.20272257101374,118.30329904264121
2026,KZT,1,161,47,2026-01-12,2026-08-31,0.7872340425531915,0.6024844720496895,1.3066461943408643,1.3066461943408643,1.4181034482758619,1.4181034482758619,1.4181034482758619,30.365650167268434,73.81843667921402
2026,KZT,3,159,46,2026-01-12,2026-08-27,0.5652173913043478,0.42138364779874216,1.3413367942894223,1.3413367942894223,1.4122807017543861,1.4122807017543861,1.4122807017543861,36.68807712010954,82.38635248670212
2026,KZT,5,157,46,2026-01-12,2026-08-25,0.4782608695652174,0.3630573248407643,1.3173150266971778,1.3173150266971778,1.424778761061947,1.424778761061947,1.424778761061947,42.27260318527462,94.38879435134494
2026,KZT,10,152,45,2026-01-12,2026-08-18,0.4222222222222222,0.3223684210526316,1.309750566893424,1.309750566893424,1.4383561643835616,1.4383561643835616,1.4383561643835616,50.18088583303155,122.30202820463478
2026,KZT,20,142,43,2026-01-12,2026-08-04,0.3488372093023256,0.2676056338028169,1.3035495716034273,1.3035495716034273,1.4682926829268292,1.4682926829268292,1.4682926829268292,73.37604648293552,168.3983859638835
2026,TJS,1,161,50,2026-01-12,2026-08-31,0.8,0.5279503105590062,1.515294117647059,1.5152941176470587,1.5086206896551724,1.5086206896551724,1.5086206896551724,21.597910863480646,55.596235313553386
2026,TJS,3,159,49,2026-01-12,2026-08-27,0.6122448979591837,0.39622641509433965,1.5451895043731778,1.5451895043731778,1.5043859649122808,1.5043859649122808,1.5043859649122808,27.15830161777808,57.35486771779621
2026,TJS,5,157,49,2026-01-12,2026-08-25,0.5510204081632653,0.3184713375796178,1.730204081632653,1.7302040816326532,1.5176991150442478,1.5176991150442478,1.5176991150442478,31.55689125428168,66.25862109143667
2026,TJS,10,152,48,2026-01-12,2026-08-18,0.4791666666666667,0.26973684210526316,1.7764227642276422,1.7764227642276422,1.534246575342466,1.534246575342466,1.534246575342466,37.476873935973515,82.99673975676332
2026,TJS,20,142,46,2026-01-12,2026-08-04,0.391304347826087,0.21830985915492956,1.7924263674614307,1.7924263674614307,1.5707317073170732,1.5707317073170732,1.5707317073170732,62.60874289611482,114.55928034473132
2026,UZS,1,161,50,2026-01-12,2026-08-31,0.8,0.5900621118012422,1.3557894736842107,1.3557894736842104,1.5086206896551724,1.5086206896551724,1.5086206896551724,18.473514521463343,48.54908497225182
2026,UZS,3,159,49,2026-01-12,2026-08-27,0.5510204081632653,0.4276729559748428,1.2884153661464584,1.2884153661464586,1.5043859649122808,1.5043859649122808,1.5043859649122808,19.71293536209087,47.75227692066618
2026,UZS,5,157,49,2026-01-12,2026-08-25,0.5102040816326531,0.3821656050955414,1.3350340136054422,1.335034013605442,1.5176991150442478,1.5176991150442478,1.5176991150442478,23.29624244803808,56.750936696870305
2026,UZS,10,152,48,2026-01-12,2026-08-18,0.3958333333333333,0.3223684210526316,1.227891156462585,1.2278911564625852,1.534246575342466,1.534246575342466,1.534246575342466,24.499839177952538,72.91563887847984
2026,UZS,20,142,45,2026-01-12,2026-08-04,0.3333333333333333,0.2746478873239437,1.2136752136752136,1.2136752136752136,1.5365853658536586,1.5365853658536586,1.5365853658536586,53.888766805862105,108.35172104677426
