candidate,control,h,metric,block_dates,draws,estimate,ci_lo,ci_hi,difference,delta_lo,delta_hi
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,3,lift,50,1000,2.403195968678118,2.065436018132034,2.8033457873372134,0.0010721883132789323,-0.035030546911334295,0.04580705310602789
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,3,sym,50,1000,62.088708988022226,48.248003436746416,78.52258471637015,1.4528388450118968,-1.044338173494161,5.1512958804593625
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,3,forward,50,1000,125.96701965667408,105.0247991330057,146.38398444363096,4.607691987011464,-0.7196457131737645,11.885042459579333
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,5,lift,50,1000,2.4739102508904796,2.1075504787987507,2.868573243837965,0.027684978414572292,-0.02034394785577115,0.09523995317856249
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,5,sym,50,1000,75.10059506101913,58.651857132481396,94.06699091634215,2.200131284094013,-1.0823561104433252,7.148651626565441
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,5,forward,50,1000,136.4492120694573,110.43588618148628,162.20388126313992,6.211303381835535,-0.7144127517955475,15.352997855986779
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,10,lift,50,1000,2.451263453137624,2.0380117645756948,2.9140079100332206,0.02228133312675462,-0.04929421214457323,0.10703679969762338
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,10,sym,50,1000,80.23115475756543,60.51859343410924,103.43839482472461,3.2072723942665675,-0.3922594813211537,8.958872002107634
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,10,forward,50,1000,136.1976360062996,98.04114628283523,173.79732614568962,7.773414214565321,-0.9178494458077796,19.037754198406258
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,20,lift,50,1000,2.487608391197193,2.0426169305047135,3.036284768917243,0.07650793703771397,-0.03397672643825768,0.21494192249321745
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,20,sym,50,1000,89.18755810370097,60.96944902386991,123.26741417397272,3.427377595786382,-1.194736234424252,9.933147388474449
pace_cat_y20_gate_full_specialist_dual_month24_cap2,roll_cat_dual_pace_month24_cap2,20,forward,50,1000,134.14624307765033,55.84142024061075,209.57766164121958,9.838184731266537,-0.3391571211334392,22.67676978474005
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,1,lift,20,1000,1.940000917490805,1.7774790878668874,2.1166520081529514,-0.00149944628125942,-0.012966232589268111,0.008011073679833619
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,1,sym,20,1000,31.019576292045635,25.069516671961594,38.19740441747772,-0.005496278002937061,-1.8368692895744227,1.7765681750658016
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,1,forward,20,1000,95.9138426442874,83.82048107364525,109.97692247509846,0.9272104540439159,-1.3617353318568834,3.294287516913123
pace_cat_y20_gate_full_specialist_dual_month24_cap2,full_recent50_pace365_p55_r70_month24_cap2,3,lift,20,1000,2.403195968678118,2.103895002351336,2.738573582342601,0.016171712462697663,-0.02462428164644932,0.05855274732500043
