candidate,kind,group,n_scope,n_signals,base_rate,hit_rate,pooled_lift,frequency,future_bps
last_basis_soft_w025,quarter,2026Q1,270,80,0.2851851851851852,0.65,2.279220779220779,1.4545454545454546,121.92109655368783
last_basis_soft_w025,quarter,2026Q2,310,73,0.3032258064516129,0.4931506849315068,1.6263480034975226,1.1355555555555554,100.95694879663293
last_basis_soft_w025,quarter,2026Q3,205,51,0.4682926829268293,0.9411764705882353,2.0098039215686274,1.275,167.96481586699252
per_currency_weights_stale20,all,all,2020,511,0.26782178217821784,0.5146771037181996,1.9217148789478062,1.206408094435076,81.69010796397028
per_currency_weights_stale20,availability,present,1032,217,0.2567829457364341,0.5345622119815668,2.0817668028867056,0.512310286677909,80.68728611424542
per_currency_weights_stale20,availability,absent,988,294,0.2793522267206478,0.5,1.7898550724637678,0.694097807757167,82.43028599591004
per_currency_weights_stale20,currency,AMD,404,105,0.2623762376237624,0.5619047619047619,2.1415992812219224,1.239460370994941,94.22895373024517
per_currency_weights_stale20,currency,KGS,404,105,0.24257425742574257,0.5428571428571428,2.237900874635568,1.239460370994941,90.87885796696546
per_currency_weights_stale20,currency,KZT,404,102,0.26485148514851486,0.35294117647058826,1.3326003298515667,1.2040472175379429,31.360598106970812
per_currency_weights_stale20,currency,TJS,404,96,0.2995049504950495,0.5833333333333334,1.947658402203857,1.1332209106239461,94.85928503629059
per_currency_weights_stale20,currency,UZS,404,103,0.2698019801980198,0.5339805825242718,1.9791573884385854,1.2158516020236088,97.10730651443467
per_currency_weights_stale20,quarter,2025Q1,285,72,0.15087719298245614,0.4166666666666667,2.761627906976744,1.2923076923076924,20.12757574446935
per_currency_weights_stale20,quarter,2025Q2,295,66,0.16610169491525423,0.24242424242424243,1.4594928880643168,1.05,11.510512099238218
per_currency_weights_stale20,quarter,2025Q3,330,83,0.34545454545454546,0.5180722891566265,1.4996829422954978,1.276923076923077,97.34026827092664
per_currency_weights_stale20,quarter,2025Q4,325,82,0.20923076923076922,0.5487804878048781,2.6228479196556673,1.2615384615384615,100.86721725841274
per_currency_weights_stale20,quarter,2026Q1,270,77,0.2851851851851852,0.6103896103896104,2.14032720526227,1.4,102.05546182144438
per_currency_weights_stale20,quarter,2026Q2,310,81,0.3032258064516129,0.4567901234567901,1.506435513527712,1.26,90.80105717115555
per_currency_weights_stale20,quarter,2026Q3,205,50,0.4682926829268293,0.9,1.921875,1.25,159.42511289291437
residual_global_quantile_w10,all,all,2020,517,0.26782178217821784,0.5454545454545454,2.0366324987397073,1.2205733558178753,93.55203902811687
residual_global_quantile_w10,availability,present,1032,255,0.2567829457364341,0.5764705882352941,2.244972253052164,0.6020236087689714,101.7880457426192
residual_global_quantile_w10,availability,absent,988,262,0.2793522267206478,0.5152671755725191,1.8445071357451044,0.618549747048904,85.53607829453632
residual_global_quantile_w10,currency,AMD,404,104,0.2623762376237624,0.5480769230769231,2.0888969521044993,1.2276559865092749,94.84313549086399
residual_global_quantile_w10,currency,KGS,404,106,0.24257425742574257,0.5660377358490566,2.333461686561417,1.2512647554806071,92.82619871760441
residual_global_quantile_w10,currency,KZT,404,108,0.26485148514851486,0.4537037037037037,1.713049498096227,1.2748735244519394,80.5260258049426
residual_global_quantile_w10,currency,TJS,404,96,0.2995049504950495,0.5833333333333334,1.947658402203857,1.1332209106239461,94.85928503629059
residual_global_quantile_w10,currency,UZS,404,103,0.2698019801980198,0.5825242718446602,2.1590807873875475,1.2158516020236088,105.43532885439608
residual_global_quantile_w10,quarter,2025Q1,285,71,0.15087719298245614,0.4788732394366197,3.1739272846380606,1.2743589743589745,49.16840274565362
residual_global_quantile_w10,quarter,2025Q2,295,63,0.16610169491525423,0.2222222222222222,1.3378684807256236,1.0022727272727274,5.172894468659162
residual_global_quantile_w10,quarter,2025Q3,330,87,0.34545454545454546,0.5287356321839081,1.530550514216576,1.3384615384615386,108.0955548675716
residual_global_quantile_w10,quarter,2025Q4,325,90,0.20923076923076922,0.5333333333333333,2.5490196078431375,1.3846153846153846,95.64799890301104
