policy,history,first,second,fallback,fallback_weekday,cap,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min,frequency,corridor_frequency_min,corridor_frequency_max,quarter_frequency_min,quarter_frequency_max
h20_f85_s92_b70_d3,20,0.85,0.92,0.7,3,2,1.468041237113402,1.5493442416892804,5.45342809595796,49.25401797788912,0.8858757062146893,0.7909604519774012,0.9689265536723164,0.6840909090909091,1.2727272727272727
h20_f85_s92_b70_d4,20,0.85,0.92,0.7,4,2,1.4821064473036631,1.5714612320596255,7.299342789640185,55.82032779700474,0.8384180790960452,0.7711864406779662,0.8898305084745763,0.6204545454545455,1.2568181818181818
h20_f85_s96_b50_d3,20,0.85,0.96,0.5,3,2,1.2051210167274085,1.3128191866671752,2.70766829906376,35.4087478278711,0.9056497175141243,0.8700564971751413,0.9293785310734464,0.875,1.05
h20_f85_s96_b50_d4,20,0.85,0.96,0.5,4,2,1.275413064886749,1.421958777202244,7.490179009092845,50.792788044486144,0.7751412429378532,0.711864406779661,0.8107344632768362,0.597752808988764,1.0181818181818183
h20_f85_s96_b60_d3,20,0.85,0.96,0.6,3,2,1.283536158903343,1.3754002842518642,5.028282367366881,37.429393120865925,0.8463276836158192,0.7909604519774012,0.8898305084745763,0.7636363636363637,1.0022727272727272
h20_f85_s96_b60_d4,20,0.85,0.96,0.6,4,2,1.3596268717780868,1.4893674532257222,7.78163430315459,54.35790442004543,0.7237288135593221,0.672316384180791,0.7711864406779662,0.597752808988764,0.9545454545454546
h20_f85_s96_b70_d3,20,0.85,0.96,0.7,3,2,1.3714097061736545,1.4898025848596395,5.85780427556802,49.73046616782055,0.7158192090395481,0.652542372881356,0.8305084745762712,0.5886363636363636,0.9068181818181819
h20_f85_s96_b70_d4,20,0.85,0.96,0.7,4,2,1.379519595448799,1.5133016381421132,8.202102673295546,58.001324510611624,0.6683615819209039,0.632768361581921,0.731638418079096,0.525,0.8909090909090909
h40_f70_s88_b50_d3,40,0.7,0.88,0.5,3,2,1.3854748603351958,1.438304150951179,2.460836805237517,38.82610418308407,1.1073446327683616,1.0677966101694916,1.1271186440677967,0.9704545454545455,1.4318181818181819
h40_f70_s88_b50_d4,40,0.7,0.88,0.5,4,2,1.456077759361744,1.5118224366514714,4.289301222206706,47.9417292850122,1.0440677966101695,1.0282485875706215,1.0480225988700564,0.8909090909090909,1.4000000000000001
h40_f70_s88_b60_d3,40,0.7,0.88,0.6,3,2,1.4082507594900768,1.4896834531252963,4.667588644139987,45.42677689107252,1.0322033898305085,0.9689265536723164,1.0677966101694916,0.8113636363636363,1.4318181818181819
h40_f70_s88_b60_d4,40,0.7,0.88,0.6,4,2,1.4102868782889153,1.5053790438662868,3.902642089442542,48.08242821791854,0.9926553672316385,0.9293785310734464,1.0084745762711864,0.7954545454545455,1.4000000000000001
h40_f70_s92_b50_d3,40,0.7,0.92,0.5,3,2,1.3808389324624568,1.4465046529044616,2.7480471882618804,38.82537272017106,1.0954802259887007,1.0677966101694916,1.1271186440677967,0.9545454545454546,1.415909090909091
h40_f70_s92_b50_d4,40,0.7,0.92,0.5,4,2,1.4519823788546256,1.521410267431778,4.615135204385465,48.045730281483,1.0322033898305085,1.0084745762711864,1.0480225988700564,0.875,1.384090909090909
h40_f70_s92_b60_d3,40,0.7,0.92,0.6,3,2,1.4035450601855843,1.499090712835372,5.001610084506096,45.5027435689681,1.0203389830508476,0.9689265536723164,1.0480225988700564,0.7954545454545455,1.415909090909091
h40_f70_s92_b60_d4,40,0.7,0.92,0.6,4,2,1.422115713796645,1.5103680235162358,4.082412721627401,48.02193269269756,0.9847457627118644,0.9293785310734464,1.0084745762711864,0.7795454545454547,1.384090909090909
h40_f70_s96_b50_d3,40,0.7,0.96,0.5,3,2,1.4120120295483078,1.497808792354752,4.483869835056405,39.307570967839354,1.0045197740112994,0.9887005649717514,1.0084745762711864,0.8113636363636363,1.2886363636363636
h40_f70_s96_b50_d4,40,0.7,0.96,0.5,4,2,1.4921594912242415,1.5835187425917576,6.6480846861361025,49.45138817567595,0.9412429378531074,0.9293785310734464,0.9491525423728814,0.7318181818181818,1.2568181818181818
h40_f70_s96_b60_d3,40,0.7,0.96,0.6,3,2,1.4442402914888974,1.5439954793018287,6.644051127051106,46.24068536112168,0.9412429378531074,0.8898305084745763,0.9689265536723164,0.6522727272727272,1.2886363636363636
h40_f70_s96_b60_d4,40,0.7,0.96,0.6,4,2,1.4846455036727826,1.5580010363612862,5.7091246031476555,49.00889308137503,0.9056497175141243,0.8502824858757062,0.9293785310734464,0.6363636363636364,1.2568181818181818
h40_f75_s88_b50_d3,40,0.75,0.88,0.5,3,2,1.395142532590469,1.4531133236867704,2.7220345154272434,40.99106152889153,1.0915254237288137,1.0480225988700564,1.1271186440677967,0.9386363636363637,1.4318181818181819
h40_f75_s88_b50_d4,40,0.75,0.88,0.5,4,2,1.466859959408524,1.5398144323539547,4.7173980097590205,50.03775904417031,1.0203389830508476,1.0084745762711864,1.0282485875706215,0.8590909090909091,1.4000000000000001
h40_f75_s88_b60_d3,40,0.75,0.88,0.6,3,2,1.4400093370681608,1.5221263523710369,4.968108858250131,48.186595823479436,1.0045197740112994,0.9491525423728814,1.0282485875706215,0.7636363636363637,1.4318181818181819
h40_f75_s88_b60_d4,40,0.75,0.88,0.6,4,2,1.4625875414670104,1.5449477921716328,4.552156753992607,50.85484060555268,0.9610169491525424,0.9096045197740114,0.9887005649717514,0.7477272727272728,1.4000000000000001
h40_f75_s88_b70_d3,40,0.75,0.88,0.7,3,2,1.4745597504711159,1.5496135139316543,4.549731045015419,52.142990550757894,0.9016949152542374,0.8305084745762712,0.9491525423728814,0.6840909090909091,1.3681818181818182
h40_f75_s88_b70_d4,40,0.75,0.88,0.7,4,2,1.4732032116978915,1.5505363227628,4.518394319591026,52.21423335381378,0.8977401129943503,0.8305084745762712,0.9491525423728814,0.6840909090909091,1.3522727272727273
h40_f75_s92_b50_d3,40,0.75,0.92,0.5,3,2,1.4077131993481804,1.4616039413641146,3.177527863603463,41.18059072565427,1.0796610169491525,1.0480225988700564,1.1271186440677967,0.9227272727272727,1.415909090909091
h40_f75_s92_b50_d4,40,0.75,0.92,0.5,4,2,1.4718957290818107,1.5499776874424531,5.228518694210406,50.347098507943116,1.0084745762711864,0.9689265536723164,1.0282485875706215,0.8431818181818181,1.384090909090909
h40_f75_s92_b60_d3,40,0.75,0.92,0.6,3,2,1.435558180744241,1.5322062914935313,5.4903714362603955,48.47873954300133,0.9926553672316385,0.9491525423728814,1.0084745762711864,0.7477272727272728,1.415909090909091
h40_f75_s92_b60_d4,40,0.75,0.92,0.6,4,2,1.4721948818897639,1.550445094847789,4.92589422937402,51.00393045161475,0.9531073446327685,0.9096045197740114,0.9689265536723164,0.7318181818181818,1.384090909090909
h40_f75_s92_b70_d3,40,0.75,0.92,0.7,3,2,1.4714964759875429,1.55550699398629,4.948252638594916,52.31337529762236,0.8937853107344633,0.8305084745762712,0.9293785310734464,0.6681818181818182,1.3522727272727273
h40_f75_s92_b70_d4,40,0.75,0.92,0.7,4,2,1.470113617651902,1.556467408828172,4.91840857158266,52.38600863558036,0.8898305084745763,0.8305084745762712,0.9293785310734464,0.6681818181818182,1.3363636363636364
h40_f75_s96_b50_d3,40,0.75,0.96,0.5,3,2,1.4404861193852019,1.50857275768008,4.9393681054622895,41.80549144321328,0.9847457627118644,0.9689265536723164,1.0084745762711864,0.7795454545454547,1.2727272727272727
h40_f75_s96_b50_d4,40,0.75,0.96,0.5,4,2,1.5139442231075697,1.609980355214035,7.340735145108304,51.97305723282242,0.9135593220338984,0.8898305084745763,0.9293785310734464,0.7000000000000001,1.240909090909091
h40_f75_s96_b60_d3,40,0.75,0.96,0.6,3,2,1.478950422280962,1.5745986420519968,7.18998122381534,49.44134877982259,0.9096045197740114,0.8700564971751413,0.9491525423728814,0.6045454545454545,1.2727272727272727
h40_f75_s96_b60_d4,40,0.75,0.96,0.6,4,2,1.5158924205378972,1.5965101514101332,6.648877092069582,52.25133560411373,0.8700564971751413,0.8305084745762712,0.9096045197740114,0.5886363636363636,1.240909090909091
h40_f75_s96_b70_d3,40,0.75,0.96,0.7,3,2,1.5169833045480716,1.5989293527870407,6.514622794510546,53.17206427770464,0.8146892655367233,0.7711864406779662,0.8502824858757062,0.525,1.209090909090909
h40_f75_s96_b70_d4,40,0.75,0.96,0.7,4,2,1.5156950672645741,1.600215706963152,6.489507941233267,53.25597252170773,0.8107344632768362,0.7711864406779662,0.8502824858757062,0.525,1.1931818181818181
h40_f80_s88_b50_d3,40,0.8,0.88,0.5,3,2,1.2760413815753462,1.3643869462242537,-0.38269776105965303,37.703589940586426,1.0796610169491525,1.0480225988700564,1.1073446327683616,0.9386363636363637,1.4318181818181819
h40_f80_s88_b50_d4,40,0.8,0.88,0.5,4,2,1.3951762523191094,1.485575245178825,2.9214078873224114,47.59526362375557,0.9887005649717514,0.9689265536723164,1.0282485875706215,0.802247191011236,1.4000000000000001
h40_f80_s88_b60_d3,40,0.8,0.88,0.6,3,2,1.3526732198513545,1.4516743735208515,1.7534223281006514,45.25371810552053,0.9847457627118644,0.9293785310734464,1.0084745762711864,0.7636363636363637,1.415909090909091
h40_f80_s88_b60_d4,40,0.8,0.88,0.6,4,2,1.3908610031228092,1.492798583625665,2.6497037860298986,48.716321178284474,0.9254237288135593,0.8700564971751413,0.9689265536723164,0.7318181818181818,1.384090909090909
h40_f80_s88_b70_d3,40,0.8,0.88,0.7,3,2,1.3955531155640954,1.492003434347612,2.5197582481669865,49.946431707719256,0.8581920903954803,0.7909604519774012,0.8898305084745763,0.6681818181818182,1.3363636363636364
h40_f80_s88_b70_d4,40,0.8,0.88,0.7,4,2,1.4088956630178744,1.499490894662502,2.575403175330509,50.44348816649427,0.8502824858757062,0.7909604519774012,0.8898305084745763,0.6522727272727272,1.3204545454545455
h40_f80_s92_b50_d3,40,0.8,0.92,0.5,3,2,1.3045404208194906,1.3840629144233847,0.30520935889762413,38.232079789936385,1.0677966101694916,1.0282485875706215,1.1073446327683616,0.9227272727272727,1.415909090909091
h40_f80_s92_b50_d4,40,0.8,0.92,0.5,4,2,1.427878787878788,1.5086305082391096,3.713501973693306,48.29310686413612,0.9768361581920904,0.9293785310734464,1.0282485875706215,0.802247191011236,1.384090909090909
h40_f80_s92_b60_d3,40,0.8,0.92,0.6,3,2,1.3848861911987858,1.4743377905220163,2.534492582799617,45.92584267389162,0.9728813559322035,0.9293785310734464,1.0084745762711864,0.7477272727272728,1.4000000000000001
h40_f80_s92_b60_d4,40,0.8,0.92,0.6,4,2,1.4190561913334192,1.5121073607057185,3.3262781860161597,49.287298839575826,0.9175141242937853,0.8700564971751413,0.9689265536723164,0.7159090909090909,1.3681818181818182
h40_f80_s92_b70_d3,40,0.8,0.92,0.7,3,2,1.425978524419813,1.5128133180012988,3.2486204329162267,50.573999328549334,0.8502824858757062,0.7909604519774012,0.8898305084745763,0.6522727272727272,1.3204545454545455
h40_f80_s92_b70_d4,40,0.8,0.92,0.7,4,2,1.4397426033433587,1.5205746899218482,3.3116316240413712,51.081615637837075,0.8423728813559322,0.7909604519774012,0.8898305084745763,0.6363636363636364,1.3045454545454545
h40_f80_s96_b50_d3,40,0.8,0.96,0.5,3,2,1.3432327166504383,1.4239809616941763,1.8083092617834278,38.57694164446875,0.9728813559322035,0.9491525423728814,0.9887005649717514,0.7795454545454547,1.2727272727272727
h40_f80_s96_b50_d4,40,0.8,0.96,0.5,4,2,1.4841312533620226,1.5662774312542034,5.7384418789175395,49.756338550215744,0.8819209039548023,0.8502824858757062,0.9096045197740114,0.6840909090909091,1.240909090909091
h40_f80_s96_b60_d3,40,0.8,0.96,0.6,3,2,1.4163899588258733,1.5122285982662897,3.995989450421667,46.67157285263645,0.8898305084745763,0.8502824858757062,0.9293785310734464,0.6045454545454545,1.2568181818181818
h40_f80_s96_b60_d4,40,0.8,0.96,0.6,4,2,1.4560373488010185,1.5562569829929231,4.963549716265015,50.41706125520121,0.8344632768361583,0.7909604519774012,0.8700564971751413,0.5727272727272728,1.225
h40_f80_s96_b70_d3,40,0.8,0.96,0.7,3,2,1.4611676486341725,1.5542312958544402,4.72902867909595,51.30272963888518,0.7711864406779662,0.731638418079096,0.7909604519774012,0.5090909090909091,1.1772727272727272
h40_f80_s96_b70_d4,40,0.8,0.96,0.7,4,2,1.4767612713633904,1.563251188761431,4.8139105454276345,51.870500283957526,0.7632768361581922,0.731638418079096,0.7909604519774012,0.4931818181818182,1.1613636363636364
h40_f85_s88_b50_d3,40,0.85,0.88,0.5,3,2,1.1742826173769179,1.3154404230570247,-0.4522650203271578,31.350474823784147,1.0361581920903955,1.0084745762711864,1.0677966101694916,0.8494382022471911,1.3522727272727273
h40_f85_s88_b50_d4,40,0.85,0.88,0.5,4,2,1.3635292577562508,1.4717294183730545,2.9768273203750564,50.10136726683153,0.9056497175141243,0.8898305084745763,0.9293785310734464,0.6292134831460674,1.2727272727272727
h40_f85_s88_b60_d3,40,0.85,0.88,0.6,3,2,1.25007876000252,1.4049085253551459,1.4688070505222948,40.36077307689408,0.9372881355932203,0.8898305084745763,0.9689265536723164,0.7477272727272728,1.3363636363636364
h40_f85_s88_b60_d4,40,0.85,0.88,0.6,4,2,1.3705540597987813,1.4900355171694661,2.512743028446966,51.857890607183975,0.8344632768361583,0.8107344632768362,0.8502824858757062,0.6134831460674157,1.2568181818181818
h40_f85_s88_b70_d3,40,0.85,0.88,0.7,3,2,1.3300558659217876,1.4615024440386128,2.8021973037582484,53.286935513565716,0.7909604519774012,0.731638418079096,0.8305084745762712,0.6045454545454545,1.2568181818181818
h40_f85_s88_b70_d4,40,0.85,0.88,0.7,4,2,1.386138613861386,1.5056130748256347,2.5197150516266764,54.9336782345416,0.7395480225988701,0.711864406779661,0.7711864406779662,0.5662921348314607,1.1931818181818181
h40_f85_s92_b50_d3,40,0.85,0.92,0.5,3,2,1.202771362586605,1.335367222798777,0.2640524337680639,32.11603713549855,1.0242937853107343,0.9689265536723164,1.0677966101694916,0.8494382022471911,1.3363636363636364
h40_f85_s92_b50_d4,40,0.85,0.92,0.5,4,2,1.3988984006901586,1.4967664102383158,3.843258725829787,51.01786459931264,0.8937853107344633,0.8502824858757062,0.9293785310734464,0.6292134831460674,1.2568181818181818
h40_f85_s92_b60_d3,40,0.85,0.92,0.6,3,2,1.2825948154769504,1.4281194667076866,2.2862832762625107,41.323642878147766,0.9254237288135593,0.8898305084745763,0.9689265536723164,0.7318181818181818,1.3204545454545455
h40_f85_s92_b60_d4,40,0.85,0.92,0.6,4,2,1.4017314158975458,1.5114788391790772,3.2624623551534087,52.52176599607103,0.8265536723163841,0.8107344632768362,0.8502824858757062,0.6134831460674157,1.240909090909091
