policy,history,first,second,fallback,fallback_weekday,cap,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
h20_f75_s92_b60_d3,20,0.75,0.92,0.6,3,2,3,1.5393875554886765,0.3926208200401749,1.534790783522306,18.09446762027565,47.69184075251603,273
h20_f75_s92_b60_d3,20,0.75,0.92,0.6,3,2,5,1.524856096284668,0.3387096774193548,1.5081987861440629,24.754468992988443,52.084510513234704,273
h20_f75_s92_b60_d3,20,0.75,0.92,0.6,3,2,10,1.5185610409491006,0.2701612903225806,1.503651348585268,31.881697204910196,66.29966016975301,273
h20_f75_s92_b60_d3,20,0.75,0.92,0.6,3,2,20,1.4536928487690504,0.18898440269408012,1.4410344997045053,38.28039527057365,84.03387053915401,273
h20_f75_s92_b60_d4,20,0.75,0.92,0.6,4,2,1,1.455752868281403,0.5440483870967742,1.455118848195025,6.204255617416126,46.1511575797952,250
h20_f75_s92_b60_d4,20,0.75,0.92,0.6,4,2,3,1.639753593429158,0.392741935483871,1.6346305321589578,21.338845192530865,59.497968754344406,250
h20_f75_s92_b60_d4,20,0.75,0.92,0.6,4,2,5,1.6172886519421175,0.33883870967741936,1.5971188344341911,26.88974701011852,62.655100299886406,250
h20_f75_s92_b60_d4,20,0.75,0.92,0.6,4,2,10,1.5834825158133428,0.27029032258064517,1.5654898449780408,33.92836425839187,74.6632513013492,250
h20_f75_s92_b60_d4,20,0.75,0.92,0.6,4,2,20,1.5020046063294377,0.18908064516129033,1.493490350892565,44.528516990468695,95.66660245731093,250
h20_f75_s92_b70_d3,20,0.75,0.92,0.7,3,2,1,1.450988628521708,0.5440936398067128,1.4493614947004678,5.52341678202984,45.99648287596568,247
h20_f75_s92_b70_d3,20,0.75,0.92,0.7,3,2,3,1.6487991357101304,0.39287579992164035,1.6421292751866976,21.206009242302876,60.72855514610198,247
h20_f75_s92_b70_d3,20,0.75,0.92,0.7,3,2,5,1.6126390828958144,0.3389219015280136,1.5886600212340902,26.846358060216208,64.49410052622214,247
h20_f75_s92_b70_d3,20,0.75,0.92,0.7,3,2,10,1.5717993601738398,0.2704551390884158,1.5508431124239526,33.630803241533755,77.4573385913005,247
h20_f75_s92_b70_d3,20,0.75,0.92,0.7,3,2,20,1.4990069942146618,0.18905903095207002,1.4874277431101515,43.18714311226733,98.35439819969834,247
h20_f75_s92_b70_d4,20,0.75,0.92,0.7,4,2,1,1.4563118735780605,0.5442042564583055,1.4563008739755694,6.030561550694584,47.31264056173028,241
