candidate,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
announced_hist_urgent_cap2,20,3185,911,2024-01-09,2026-08-04,0.33150384193194293,0.165149136577708,2.00729987937878,2.0081532218295384,1.39235807860262,1.3602620087336244,1.4137554585152838,73.52187581324448,84.52522711063237
announced_hist_gated_urgent_cap2,1,3280,923,2024-01-09,2026-08-31,1.0,0.5161585365853658,1.9373892498523333,1.9384693480453512,1.370307529162248,1.3435843054082715,1.3881230116648993,31.77473773029765,71.14844357759831
announced_hist_gated_urgent_cap2,3,3270,922,2024-01-09,2026-08-27,0.710412147505423,0.354434250764526,2.004355239294852,2.005303414676415,1.3746538871139509,1.349307774227902,1.3940362087326943,50.25267040575913,81.75319983807209
announced_hist_gated_urgent_cap2,5,3260,921,2024-01-09,2026-08-25,0.5928338762214984,0.294478527607362,2.0131650380021715,2.0143316028881038,1.376093916755603,1.3447171824973319,1.3970117395944504,56.260179743335634,85.32477497539465
announced_hist_gated_urgent_cap2,10,3235,916,2024-01-09,2026-08-18,0.4683406113537118,0.22812982998454404,2.052956473887883,2.0531742807318003,1.3789247311827957,1.3473118279569891,1.4,61.87977302697828,88.18824292196138
announced_hist_gated_urgent_cap2,20,3185,902,2024-01-09,2026-08-04,0.3370288248337029,0.165149136577708,2.040754386112821,2.038959401893462,1.3786026200873363,1.3526200873362444,1.398471615720524,73.89773663975708,86.66621539682399
announced_logit_urgent_cap2,1,3280,948,2024-01-09,2026-08-31,0.979957805907173,0.5161585365853658,1.8985597184734362,1.8980829927035903,1.4074231177094378,1.3881230116648993,1.4326617179215269,30.810715366824688,71.02074431549151
announced_logit_urgent_cap2,3,3270,946,2024-01-09,2026-08-27,0.7008456659619451,0.354434250764526,1.9773643897286974,1.9756608606857813,1.4104366347177852,1.3865814696485623,1.4387646432374868,47.86572794317641,82.29466682787063
announced_logit_urgent_cap2,5,3260,941,2024-01-09,2026-08-25,0.5781083953241233,0.294478527607362,1.9631597591215018,1.9631803584375667,1.4059765208110993,1.3820704375667021,1.4343649946638206,53.83418359870789,83.9389368484368
announced_logit_urgent_cap2,10,3235,935,2024-01-09,2026-08-18,0.4641711229946524,0.22812982998454404,2.0346796516093506,2.0327211388943707,1.40752688172043,1.3849462365591398,1.4301075268817205,59.24582234991462,88.02000234748186
