origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,train_mask_sha256,last_shared_mature20,correction_mean,correction_abs_mean,correction_max_abs,local_counts
2024-04-01,resid_hist50,2655,1172,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,ac31349b1aab54a9d4ec6bcd24904c3c37e51ab2344396ad656b1b382d5333c6,2024-03-29,-0.016878382431913495,0.0696038346038047,0.2925319849341802,
2024-04-01,resid_ridge,2655,1172,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,ac31349b1aab54a9d4ec6bcd24904c3c37e51ab2344396ad656b1b382d5333c6,2024-03-29,-0.025245969237942263,0.1724494846407575,0.652180395328307,
2024-04-01,local_resid_ridge,2655,1172,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,ac31349b1aab54a9d4ec6bcd24904c3c37e51ab2344396ad656b1b382d5333c6,2024-03-29,-0.045166798492314184,0.15201093415947795,0.8511972209520388,"{""AMD"": 238, ""KGS"": 233, ""KZT"": 230, ""TJS"": 236, ""UZS"": 235}"
2024-04-01,stack_logit,2655,1172,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,ac31349b1aab54a9d4ec6bcd24904c3c37e51ab2344396ad656b1b382d5333c6,2024-03-29,,,,
2024-07-01,full_recent50,2955,1323,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,b5af73f5948172122ce96a12130f153c987cf2aebd18f21c2420cf5617591be0,2024-06-28,,,,
2024-07-01,resid_hist100,2955,1323,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,b5af73f5948172122ce96a12130f153c987cf2aebd18f21c2420cf5617591be0,2024-06-28,-0.14336650576575,0.19190654140874647,0.5848817994584742,
2024-07-01,resid_hist50,2955,1323,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,b5af73f5948172122ce96a12130f153c987cf2aebd18f21c2420cf5617591be0,2024-06-28,-0.071683252882875,0.09595327070437323,0.2924408997292371,
2024-07-01,resid_ridge,2955,1323,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,b5af73f5948172122ce96a12130f153c987cf2aebd18f21c2420cf5617591be0,2024-06-28,-0.05892084286008339,0.1293060252432561,0.7402333558931377,
2024-07-01,local_resid_ridge,2955,1323,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,b5af73f5948172122ce96a12130f153c987cf2aebd18f21c2420cf5617591be0,2024-06-28,-0.05626878840278935,0.11686925201496005,0.7283302511766518,"{""AMD"": 272, ""KGS"": 262, ""KZT"": 262, ""TJS"": 264, ""UZS"": 263}"
2024-07-01,stack_logit,2955,1323,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,b5af73f5948172122ce96a12130f153c987cf2aebd18f21c2420cf5617591be0,2024-06-28,,,,
