scenario,clock,brier_identity_h20,brier_rank_correction_selected,logloss_identity_h20,logloss_rank_correction_selected,ece_identity_h20,ece_rank_correction_selected,auc_identity_h20,auc_rank_correction_selected,average_precision_identity_h20,average_precision_rank_correction_selected,brier_delta,logloss_delta,ece_delta,auc_delta,average_precision_delta,brier_ci_low,brier_ci_high,auc_ci_low,auc_ci_high,pass
calendar_assumed_replay,16:45,0.11580200154319217,0.11677901913183725,0.3861549582066332,0.38931455515184166,0.032349341806215716,0.02973291316131725,0.6407431362156886,0.6240481730012007,0.2223295571589361,0.21158825031099682,0.0009770175886450738,0.003159596945208454,-0.002616428644898465,-0.016694963214487823,-0.01074130684793928,2.7014939758116034e-06,0.0020166524414342774,-0.028748645861848447,-0.00479375401828005,False
calendar_assumed_replay,17:45,0.11561666060119635,0.12036988589398134,0.38732321482108845,0.402482147940946,0.033247472267899966,0.036158141094875564,0.642939986365755,0.5686488223745345,0.22632738412190875,0.1829408306372472,0.0047532252927849905,0.015158933119857554,0.0029106688269755973,-0.07429116399122049,-0.043386553484661555,0.0004846062801841615,0.008893653703007712,-0.11773068790938172,-0.024172488708149312,False
calendar_assumed_replay,18:45,0.12122297986055745,0.11422668559525362,0.40912336286545337,0.3846187000001826,0.04815132918403837,0.04593446655066264,0.5294758201756881,0.6840847638810287,0.1735016048371404,0.24480005021913914,-0.006996294265303835,-0.024504662865270754,-0.002216862633375727,0.15460894370534062,0.07129844538199875,-0.009541736383684768,-0.004731439656838687,0.11434302618985122,0.20358511879565883,True
calendar_assumed_replay,19:15,0.12052476340923467,0.11354838484963661,0.40652028628537573,0.3820940272138044,0.04754369127089533,0.04705820952518193,0.5408173959390711,0.6818360117737594,0.18115392738506728,0.25053994921639244,-0.006976378559598054,-0.02442625907157131,-0.00048548174571340363,0.14101861583468833,0.06938602183132517,-0.00919438185628136,-0.004881847616855958,0.10710608635149,0.18777937666964412,True
calendar_assumed_replay,20:15,0.1204357065008863,0.11386260646614625,0.40693656865964495,0.3834225428705471,0.04549084480420587,0.04508272780302858,0.5332417064165791,0.6631572958681051,0.18171762118682544,0.24667246802751522,-0.0065731000347400426,-0.023514025789097837,-0.0004081170011772939,0.12991558945152604,0.06495484684068978,-0.008571740559938661,-0.004728986026189387,0.09751256922520839,0.17443551484006084,True
calendar_assumed_replay,21:15,0.1204357065008863,0.1136907165000745,0.40693656865964495,0.38285722225044727,0.04549084480420587,0.04598414611431948,0.5332417064165791,0.667286495809416,0.18171762118682544,0.24963610624425303,-0.0067449900008117875,-0.024079346409197677,0.00049330131011361,0.13404478939283693,0.06791848505742759,-0.009083121869313983,-0.004748729298977981,0.10228821730215261,0.18267677382563627,True
calendar_assumed_replay,22:15,0.1204357065008863,0.11371920611664955,0.40693656865964495,0.3829420707524544,0.04549084480420587,0.04605290371223286,0.5332417064165791,0.6657983069980806,0.18171762118682544,0.24900513756263104,-0.00671650038423674,-0.02399449790719055,0.0005620589080269911,0.13255660058150154,0.0672875163758056,-0.008966415883693903,-0.0047590707025589405,0.09674429125235647,0.1801401411775756,True
calendar_assumed_replay,23:15,0.1204357065008863,0.11369570648118049,0.40693656865964495,0.38287025987973167,0.04549084480420587,0.046026243783233146,0.5332417064165791,0.6660089091705768,0.18171762118682544,0.24947792425998716,-0.006740000019705802,-0.02406630877991328,0.0005353989790272753,0.13276720275399767,0.06776030307316172,-0.00905179183912562,-0.00470808140842294,0.09977786238599175,0.18274624746340645,True
no_same_day_receipt,00:15,0.12428935098399156,0.12428935098399156,0.4201615955475662,0.4201615955475662,0.036075777056309745,0.036075777056309745,0.3741152962054678,0.3741152962054678,0.10152054427289763,0.10152054427289763,0.0,0.0,0.0,0.0,0.0,-9.922200995153252e-19,5.925928657668881e-19,0.0,0.0,False
no_same_day_receipt,06:00,0.12428935098399156,0.12428935098399156,0.4201615955475662,0.4201615955475662,0.036075777056309745,0.036075777056309745,0.3741152962054678,0.3741152962054678,0.10152054427289763,0.10152054427289763,0.0,0.0,0.0,0.0,0.0,-9.450815225865053e-19,5.454989982060057e-19,0.0,0.0,False
