rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,rate,rolling,cooldown
0.18,713,2.819774011299435,0,0,0.3744740532959327,0.3379032258064516,1.108228701878178,0.5649158863833904,20.3204705810634,1.108228701878178,1.108228701878178,1,1,2.4124293785310735,3.0451977401129944,1.0167336010709505,0.9703389830508474,1.108228701878178,2.819774011299435,2.819774011299435,0.7954545454545455,5.122727272727273,4,quarterly_reset_hist_qrank60,0.18,0,0
0.18,446,1.7638418079096045,20,0,0.30269058295964124,0.3379032258064516,0.8957907467063368,0.5649158863833904,-0.23277233207495132,0.8957907467063368,0.8957907467063368,0,1,1.6412429378531075,1.8389830508474576,0.8119434258774227,0.909297052154195,0.8957907467063368,1.7638418079096045,1.7638418079096045,0.9438202247191012,3.0545454545454547,4,quarterly_reset_hist_qrank60,0.18,20,0
0.18,460,1.8192090395480227,40,0,0.3130434782608696,0.3379032258064516,0.9264293867386117,0.5649158863833904,-1.5408251425416744,0.9264293867386117,0.9264293867386117,0,1,1.5819209039548023,1.957627118644068,0.8328358208955224,0.9472527472527472,0.9264293867386117,1.8192090395480227,1.8192090395480227,0.7865168539325843,3.181818181818182,4,quarterly_reset_hist_qrank60,0.18,40,0
0.18,406,1.6056497175141244,60,0,0.37192118226600984,0.3379032258064516,1.1006736658946354,0.5649158863833904,17.726840486142247,1.1006736658946354,1.1006736658946354,1,1,1.384180790960452,1.7401129943502827,1.0194188518781007,0.9351620947630923,1.1006736658946354,1.6056497175141244,1.6056497175141244,0.28314606741573034,3.4681818181818183,4,quarterly_reset_hist_qrank60,0.18,60,0
0.18,387,1.5305084745762714,120,0,0.4108527131782946,0.3379032258064516,1.2158886977114207,0.5649158863833904,36.111144177596806,1.2158886977114207,1.2158886977114207,1,1,1.463276836158192,1.6214689265536724,1.087719298245614,0.9685863874345549,1.2158886977114207,1.5305084745762714,1.5305084745762714,0.0,3.3886363636363637,4,quarterly_reset_hist_qrank60,0.18,120,0
0.18,514,2.0327683615819208,250,0,0.4085603112840467,0.3379032258064516,1.2091045011747443,0.5649158863833904,30.807724750334316,1.2091045011747443,1.2091045011747443,1,1,1.8983050847457628,2.115819209039548,1.0917516218721037,0.9803536345776032,1.2091045011747443,2.0327683615819208,2.0327683615819208,0.0,4.502272727272728,4,quarterly_reset_hist_qrank60,0.18,250,0
0.18,237,0.9372881355932203,40,3,0.29535864978902954,0.3379032258064516,0.8740924241966507,0.5649158863833904,-8.240092582210012,0.8740924241966507,0.8740924241966507,0,1,0.8502824858757062,1.0282485875706215,0.7747309961818813,0.8620689655172413,0.8740924241966507,0.9372881355932203,0.9372881355932203,0.4719101123595506,1.5590909090909093,4,quarterly_reset_hist_qrank60,0.18,40,3
0.18,198,0.7830508474576272,60,3,0.3787878787878788,0.3379032258064516,1.1209951544080423,0.5649158863833904,16.313921190886884,1.1209951544080423,1.1209951544080423,1,1,0.711864406779661,0.8502824858757062,1.0486257928118392,0.8549222797927462,1.1209951544080423,0.7830508474576272,0.7830508474576272,0.17303370786516856,1.6227272727272726,4,quarterly_reset_hist_qrank60,0.18,60,3
0.2,728,2.8790960451977403,0,0,0.375,0.3379032258064516,1.1097852028639619,0.5649158863833904,20.003788697017598,1.1097852028639619,1.1097852028639619,1,1,2.5112994350282487,3.0451977401129944,1.0283210765138477,0.970954356846473,1.1097852028639619,2.8790960451977403,2.8790960451977403,0.9068181818181819,5.122727272727273,4,quarterly_reset_hist_qrank60,0.2,0,0
0.2,451,1.7836158192090397,20,0,0.3082039911308204,0.3379032258064516,0.912107276854934,0.5649158863833904,1.5772568798377078,0.912107276854934,0.912107276854934,0,1,1.7203389830508475,1.8389830508474576,0.8119434258774227,0.9103139013452914,0.912107276854934,1.7836158192090397,1.7836158192090397,0.9752808988764046,3.0863636363636364,4,quarterly_reset_hist_qrank60,0.2,20,0
0.2,466,1.8429378531073448,40,0,0.3090128755364807,0.3379032258064516,0.9145011113728785,0.5649158863833904,-2.420963514955813,0.9145011113728785,0.9145011113728785,0,1,1.5819209039548023,1.997175141242938,0.8328358208955224,0.9479392624728851,0.9145011113728785,1.8429378531073448,1.8429378531073448,0.7865168539325843,3.197727272727273,4,quarterly_reset_hist_qrank60,0.2,40,0
0.2,422,1.6689265536723166,60,0,0.3767772511848341,0.3379032258064516,1.1150448483751654,0.5649158863833904,20.482427119224106,1.1150448483751654,1.1150448483751654,1,1,1.5028248587570623,1.7994350282485876,1.044943820224719,0.947242206235012,1.1150448483751654,1.6689265536723166,1.6689265536723166,0.28314606741573034,3.5636363636363635,4,quarterly_reset_hist_qrank60,0.2,60,0
0.2,415,1.6412429378531075,120,0,0.41927710843373495,0.3379032258064516,1.240820082238261,0.5649158863833904,36.07980042896933,1.240820082238261,1.240820082238261,1,1,1.5621468926553672,1.8192090395480227,1.104243059193295,0.9609756097560975,1.240820082238261,1.6412429378531075,1.6412429378531075,0.0,3.6113636363636363,4,quarterly_reset_hist_qrank60,0.2,120,0
0.2,536,2.119774011299435,250,0,0.4048507462686567,0.3379032258064516,1.1981263135397,0.5649158863833904,29.905577076555613,1.1981263135397,1.1981263135397,1,1,1.997175141242938,2.2344632768361583,1.0917516218721037,0.9792843691148776,1.1981263135397,2.119774011299435,2.119774011299435,0.015730337078651686,4.6454545454545455,4,quarterly_reset_hist_qrank60,0.2,250,0
0.2,239,0.9451977401129943,40,3,0.2928870292887029,0.3379032258064516,0.8667778432410301,0.5649158863833904,-8.357953998777159,0.8667778432410301,0.8667778432410301,0,1,0.8502824858757062,1.0282485875706215,0.7747309961818813,0.8675213675213675,0.8667778432410301,0.9451977401129943,0.9451977401129943,0.4719101123595506,1.5590909090909093,4,quarterly_reset_hist_qrank60,0.2,40,3
0.2,204,0.8067796610169491,60,3,0.37745098039215685,0.3379032258064516,1.1170387009218963,0.5649158863833904,18.20301236615217,1.1170387009218963,1.1170387009218963,1,1,0.7514124293785311,0.8700564971751413,1.024793388429752,0.864321608040201,1.1170387009218963,0.8067796610169491,0.8067796610169491,0.17303370786516856,1.638636363636364,4,quarterly_reset_hist_qrank60,0.2,60,3
0.22,745,2.946327683615819,0,0,0.3718120805369127,0.3379032258064516,1.1003507872691451,0.5649158863833904,18.521198090380548,1.1003507872691451,1.1003507872691451,1,1,2.669491525423729,3.2231638418079096,1.0283210765138477,0.972972972972973,1.1003507872691451,2.946327683615819,2.946327683615819,0.9068181818181819,5.122727272727273,4,quarterly_reset_hist_qrank60,0.22,0,0
0.22,486,1.9220338983050849,20,0,0.3065843621399177,0.3379032258064516,0.9073141027529784,0.5649158863833904,-2.5530712974355683,0.9073141027529784,0.9073141027529784,0,1,1.7598870056497176,2.016949152542373,0.8288770053475936,0.9230769230769231,0.9073141027529784,1.9220338983050849,1.9220338983050849,1.1797752808988764,3.2136363636363634,4,quarterly_reset_hist_qrank60,0.22,20,0
0.22,490,1.9378531073446328,40,0,0.3081632653061224,0.3379032258064516,0.9119867517412693,0.5649158863833904,-3.373945069023812,0.9119867517412693,0.9119867517412693,0,1,1.7598870056497176,2.076271186440678,0.833951762523191,0.954639175257732,0.9119867517412693,1.9378531073446328,1.9378531073446328,0.8337078651685393,3.2613636363636362,4,quarterly_reset_hist_qrank60,0.22,40,0
0.22,439,1.7361581920903955,60,0,0.3712984054669704,0.3379032258064516,1.098830603291273,0.5649158863833904,21.511657891998883,1.098830603291273,1.098830603291273,1,1,1.5423728813559323,1.8785310734463279,1.0382775119617225,0.9493087557603687,1.098830603291273,1.7361581920903955,1.7361581920903955,0.298876404494382,3.754545454545455,4,quarterly_reset_hist_qrank60,0.22,60,0
0.22,449,1.7757062146892655,120,0,0.40757238307349664,0.3379032258064516,1.2061807995492502,0.5649158863833904,31.399392149515997,1.2061807995492502,1.2061807995492502,1,1,1.6610169491525424,1.8785310734463279,1.0693722257450857,0.9662162162162162,1.2061807995492502,1.7757062146892655,1.7757062146892655,0.0,4.056818181818182,4,quarterly_reset_hist_qrank60,0.22,120,0
0.22,559,2.210734463276836,250,0,0.39892665474060823,0.3379032258064516,1.1805943958910603,0.5649158863833904,28.1319108643851,1.1805943958910603,1.1805943958910603,1,1,2.115819209039548,2.2740112994350286,1.061141763314942,0.9783393501805054,1.1805943958910603,2.210734463276836,2.210734463276836,0.015730337078651686,4.820454545454545,4,quarterly_reset_hist_qrank60,0.22,250,0
