candidate,period,horizon,n,case_lift,matched_base_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps
threeway_p40_g50_a10,screen_2024,3,295,1.5402114371445517,0.391757791142701,1.537088331270669,2.0563487410077177,47.13446019386645
threeway_p40_g50_a10,screen_2024,5,295,1.565681910157831,0.33775287042099505,1.5526210887052383,9.044711616170535,56.18158786380083
threeway_p40_g50_a10,screen_2024,10,295,1.4240561004116066,0.2689857845817386,1.4116764462759204,10.593928131044983,63.55367290782748
threeway_p40_g50_a10,screen_2024,20,295,1.4383065100768448,0.18854565336249318,1.4370387576114445,17.368599261598728,72.60267218184994
threeway_p50_g10_a40,screen_2024,1,297,1.417390436258361,0.5439882697947214,1.41769615352667,5.219917874220047,44.23780645004974
threeway_p50_g10_a40,screen_2024,3,297,1.5011587285116388,0.3925138481590095,1.4979273831383542,14.951754913365745,54.79652431895958
threeway_p50_g10_a40,screen_2024,5,297,1.5614998997393226,0.3385331812751167,1.5554514032584834,22.100211050387244,62.95614879512175
threeway_p50_g10_a40,screen_2024,10,297,1.4718100890207717,0.269944064298903,1.4535046684153354,29.527557843261803,79.36394034950611
threeway_p50_g10_a40,screen_2024,20,297,1.6731500753606545,0.1891631367437819,1.6726871721699232,47.1782228820747,117.05083452668677
threeway_p50_g20_a30,screen_2024,1,292,1.4039755274047372,0.5439543747238179,1.4025894225592768,2.318419320903907,45.46889465814124
threeway_p50_g20_a30,screen_2024,3,292,1.500650835532102,0.39252375165709236,1.495716567081364,10.882902244130594,55.55122367566509
threeway_p50_g20_a30,screen_2024,5,292,1.5474714518760193,0.3385992045956695,1.536429007035135,18.88507737650077,63.24129371790105
threeway_p50_g20_a30,screen_2024,10,292,1.369815373599959,0.27000939019001324,1.3538866125293143,24.179594288991645,74.70503780463739
threeway_p50_g20_a30,screen_2024,20,292,1.521472392638037,0.18907423773751655,1.5208414550592042,37.888221776708576,102.81948249263759
threeway_p50_g30_a20,screen_2024,1,289,1.4249948696901293,0.5439223127581203,1.425738646161337,1.2423982079126212,46.549968767124184
threeway_p50_g30_a20,screen_2024,3,289,1.5166577777777779,0.39241265766268557,1.514960693969061,9.15851618823507,56.8348461155251
threeway_p50_g30_a20,screen_2024,5,289,1.5435472569143893,0.33850039066860144,1.5343916243529874,16.32026588448109,64.70477186792432
threeway_p50_g30_a20,screen_2024,10,289,1.3852598913886733,0.2697706217211743,1.376259637333487,19.76730385503651,75.09938111162614
threeway_p50_g30_a20,screen_2024,20,289,1.4455840035416516,0.18909755553075117,1.452000366033871,30.37039599215131,96.51405515098307
threeway_p50_g40_a10,screen_2024,1,288,1.4448339863889461,0.5431227598566308,1.443920198335714,-1.6312490224680156,45.029040063693564
threeway_p50_g40_a10,screen_2024,3,288,1.5523840183138389,0.39142305107526887,1.5475278399184245,6.211973088869795,54.10109728299808
threeway_p50_g40_a10,screen_2024,5,288,1.5853881278538815,0.3372815860215053,1.572209447376394,14.04993638596546,62.859627746167234
threeway_p50_g40_a10,screen_2024,10,288,1.473190558074097,0.2686911962365592,1.4616308820672688,17.17167376477912,72.11067976702468
threeway_p50_g40_a10,screen_2024,20,288,1.420516253812393,0.18821404569892475,1.4134113649642075,23.487554831852115,83.32003844239505
threeway_p60_g10_a30,screen_2024,1,298,1.4298566067745222,0.5444766183156527,1.4279999682607847,2.6074824142510575,45.61559460744868
threeway_p60_g10_a30,screen_2024,3,298,1.5191685594328588,0.3931857544923143,1.5144010532476615,11.911097323167903,58.152150030743535
threeway_p60_g10_a30,screen_2024,5,298,1.5623604465709728,0.33935916865122323,1.5504541863596903,20.878201405531673,68.30541870696918
threeway_p60_g10_a30,screen_2024,10,298,1.4131054131054128,0.2707160640831349,1.392627965164966,27.127882419736203,81.02748108344267
threeway_p60_g10_a30,screen_2024,20,298,1.5041027470567245,0.18963790863823343,1.509841502985808,37.29351690629308,107.72096227402
threeway_p60_g20_a20,screen_2024,1,300,1.4221870674312835,0.543763440860215,1.4218384086898554,1.5271232878284131,45.85765076489509
threeway_p60_g20_a20,screen_2024,3,300,1.5381030701754388,0.39225806451612905,1.5366890461492426,12.784651910490902,60.185340818672906
threeway_p60_g20_a20,screen_2024,5,300,1.5865220328207572,0.33826612903225806,1.5812195724508986,21.883703324373734,69.28181095579845
threeway_p60_g20_a20,screen_2024,10,300,1.471186440677966,0.2696236559139785,1.462991409298374,27.755455999861738,81.47497356881803
threeway_p60_g20_a20,screen_2024,20,300,1.4117981925567498,0.1888844086021505,1.414011184953916,35.64891824249993,102.42838835088308
threeway_p60_g30_a10,screen_2024,1,291,1.416998265483114,0.5432324575989359,1.416853661947398,-1.5286522187939169,43.38339820793537
threeway_p60_g30_a10,screen_2024,3,291,1.5447338618346544,0.3915308724088239,1.5429054133893263,8.028513216465996,55.82390635741659
threeway_p60_g30_a10,screen_2024,5,291,1.5787095979300996,0.33739330451169497,1.5710618044210385,15.931445479061411,64.33712008378805
threeway_p60_g30_a10,screen_2024,10,291,1.4828865979381443,0.2688172043010753,1.478773357215903,19.5823545252159,74.74546826203847
threeway_p60_g30_a10,screen_2024,20,291,1.4229807267912316,0.18836603480767097,1.4249016343428795,24.75279905271466,88.1130856427618
threeway_p70_g10_a20,screen_2024,1,299,1.439357110967806,0.5437210055022117,1.4376744891396036,2.0282456625176226,46.06122455270563
threeway_p70_g10_a20,screen_2024,3,299,1.5516518271511568,0.3922888121695976,1.5500585492313834,14.381700293767258,62.65880113913826
threeway_p70_g10_a20,screen_2024,5,299,1.6019138755980862,0.3382241881540619,1.5957203836635334,23.53977486394365,72.94629429141172
threeway_p70_g10_a20,screen_2024,10,299,1.5121951219512193,0.2698241449994606,1.501707222068922,28.664194154662013,85.20944715725116
threeway_p70_g10_a20,screen_2024,20,299,1.4350621517359623,0.1887744093213939,1.4347825252376407,36.704518009160985,107.70589023627132
threeway_p70_g20_a10,screen_2024,1,298,1.4246493584004774,0.5441112794977269,1.427419227775869,1.4381315048272727,45.62510137240905
threeway_p70_g20_a10,screen_2024,3,298,1.5380904799641664,0.3927121671357437,1.5381831238932635,13.010164485235741,60.51419883333521
threeway_p70_g20_a10,screen_2024,5,298,1.5748861730170143,0.33879086382333834,1.568129444917093,20.605620205135622,68.33119462615277
threeway_p70_g20_a10,screen_2024,10,298,1.5025035049068696,0.2702424767265642,1.494382219927121,23.90527690418725,77.97497083696948
threeway_p70_g20_a10,screen_2024,20,298,1.4007292485879748,0.1892590387529768,1.4009757559209204,28.04859331318374,94.61850530079595
threeway_p80_g10_a10,screen_2024,1,301,1.4465801973862322,0.5443012538848998,1.4479396584960482,2.5199274502596003,48.70132998242979
threeway_p80_g10_a10,screen_2024,3,301,1.555335901019121,0.3930312935376702,1.5620438243420096,14.150572981316852,64.27156399469223
threeway_p80_g10_a10,screen_2024,5,301,1.6162414092740347,0.3391651484299646,1.6207901574745018,22.225423187480946,74.11688886192456
threeway_p80_g10_a10,screen_2024,10,301,1.559439520720899,0.27056317650841283,1.5607392616483644,25.648782357328905,85.29585962852866
threeway_p80_g10_a10,screen_2024,20,301,1.403409492820259,0.18938216697031401,1.4108219950965917,28.254486981726604,101.6243945793193
