h,origin,n_train,n_query,constant_prediction,weighted_train_mean,target_clip_lo,target_clip_hi,coefficients,last_target_maturity
3,2025-07-01,4275,330,False,-2.829131710340183,-635.9772714404019,805.5657186100887,"[24.7462206820082, 4.34361709431224, 5.695727854680341, 13.393437012791166, 17.227490685020342, -25.385933085589773, 19.330178381664577, -14.729543408561495, 144.88489135201291, -0.6182453338215362, 24.29867078378371, -26.080259017668613, 8.544405944785199, 2.031053941521061, 0.6437106818034806, 5.098215232317315, 1.3201351076834964, 4.353198848265139, 5.402105303926476, 2.834775223729335, 1.0189279746588742, -0.660416346164907, 0.17769546165024863, 1.0152771000642953, -1.551484190208006, -6.028538402860654]",2025-06-27
3,2025-10-01,4600,320,False,0.14418287215848655,-620.7347314313573,765.4605482498267,"[23.435174065229504, 4.177267777866233, 4.837554613752832, 14.069214598180784, 13.211012294150287, -19.977552939483996, 15.067478294311762, -13.37673709141489, 138.59314535660604, -1.140373496096196, 19.69605842308025, -21.83288990322126, 4.329818384662976, 5.490047679279868, -0.6261758987047051, 3.5596593707606003, -3.833519450310891, -0.8084330234963533, 4.558035833825623, 1.8391371252174114, 0.8828982017697588, -0.31193322531122947, -0.02758139651579101, 0.8906188398659027, -1.4340024198079229, -4.153412534607546]",2025-09-26
3,2026-01-01,4925,275,False,-1.649144290730369,-604.5863240974218,694.9247009895452,"[20.648614889771935, 7.0107875445583305, 7.238676317692465, 14.076727021343117, 10.685870219923256, -24.38441099871097, 16.486344748345157, -10.942971210926743, 132.91176472867193, -0.22952605322129796, 16.626960957115212, -18.39554234913536, 6.770175667259459, 4.8789912854052995, -0.33061210311080524, 2.3558602672954017, -4.751110919915119, 0.1975793200673696, 5.546240464813446, 1.2387757222628046, 0.9667216031427447, -0.3183354745274611, -0.1709381376614849, 0.7196170712065755, -1.1970650621594066, -3.5343793918973954]",2025-12-29
3,2026-04-01,5195,310,False,0.010551535361033319,-589.8808553547167,657.8964926734857,"[22.42687802822519, 5.485453307804896, 6.9946642993063595, 13.80110221758992, 3.2785603813590294, -16.775649730347446, 11.685685871897741, -11.305239847829485, 129.41997797044218, -0.13786178440415015, 15.233875951618053, -17.448331151262476, 5.670008001921635, 6.266307943865049, 0.4567764400943768, 1.9458292824205887, -8.327925888212356, -1.841751338932358, 4.995632552018555, 0.7037040394375963, 1.0404247031114207, -0.14009274740295868, -0.20648307551964293, 0.4748665921672885, -1.1687154723570625, -3.460335366634655]",2026-03-27
3,2026-07-01,5505,225,False,-2.303450050825561,-585.2090752128977,629.0094551189179,"[20.839656137524692, 7.991871818897393, 8.512601182462982, 14.296855174937509, 1.3984011533438163, -16.4163513063598, 9.880939821881496, -10.637530846714466, 125.7442125894782, 1.7168720565623035, 15.97664548150706, -17.842818702474315, 5.673369610703362, 5.866703462505295, 0.5663955909197129, 1.5105351820405821, -7.194271666581876, -1.592690052141719, 1.9242004132316226, 1.2770372531643481, 1.2668287857147535, -0.3125365132634784, -0.2953289250455742, 0.4417010239590295, -1.1006643713654716, -3.6158757894443543]",2026-06-26
5,2023-01-01,1205,285,False,-5.0272463591784815,-1028.813692355739,1195.5347606311104,"[16.096502003515084, 19.057590914928777, -11.820092818562426, 25.379962586124705, -21.577519971008996, -23.22859103416544, -25.337936442357464, 3.594198258053187, 263.8152757858739, -17.75813482155178, 82.00139122172966, -81.56801931101138, 2.2736020297450117, -12.998963065326603, -10.550457570565092, 40.1828469569476, -8.87653194123195, 16.009954291771393, 16.253906518406204, 7.074230972202982, 2.479408188501384, -4.854921721010801, -2.3332002171604507, 6.0430449653221325, -1.3343312156522242, 0.0]",2022-12-29
5,2023-04-01,1485,305,False,4.643284995883161,-982.7038818585478,1169.395148353377,"[29.858365485686452, 21.848316880847445, 10.318835848333464, 27.628347202366744, -27.093065662304983, -30.58872605211316, -3.977100881028777, 0.9641225276903223, 238.39428610539693, -16.974448716036875, 74.12001744438977, -71.71478148341009, 3.6504521798208067, -2.944190253998905, -11.071385741493815, 43.82287872565697, 16.237895135753774, 25.884980706397787, 5.520171789508637, 2.2926422918762825, 0.46355055586702293, -3.8468827492319018, -3.2102794762487283, 6.046552167405992, 0.547059502207633, -8.628171776701034]",2023-03-29
5,2023-07-01,1790,325,False,13.648410843438644,-951.118820210395,1107.3412369462253,"[20.496377652316067, 3.4491443164367848, 2.689328360025602, 19.6325405236755, -9.678949171724636, -22.15462179425285, -4.052858109248572, 5.038471453043933, 218.05264420878783, -18.795968483615365, 50.72300176315613, -45.98468615951523, 12.437351868430818, -6.755205328373113, -11.467003968240032, 12.830615124718483, -16.21502127731247, 21.367560369296452, 13.423647104145356, -0.17071518097794244, 0.14247414541934972, -2.5581127764720977, -1.2045673947359112, 2.8041676473037924, 0.816038378484793, 3.1235691889839114]",2023-06-28
5,2023-10-01,2120,320,False,19.822132483589314,-925.7959712214957,1088.321189931807,"[24.69703782161594, 7.6079083595671, -0.1361809895550996, 21.918876679583697, 7.718126424350127, -26.740007002420896, 6.528280755339321, -3.966854764311859, 203.01196548002878, -12.757154815186718, 50.61078472048604, -47.06094998022999, 14.771683006450104, -7.907411512749451, -3.692344605868052, 20.08479400756019, -17.963611573692887, 23.845661079546737, 24.42797394479447, 7.473446541581694, 0.9970408326570344, -3.6841468788703127, -1.2504702767849873, 3.1895662447398814, 0.7480100782558465, -4.443527169288149]",2023-09-28
5,2024-01-01,2445,285,False,12.104562396753147,-894.4914851791992,1054.3068610746052,"[29.419643470213444, -0.8048593205508363, -5.788138845469246, 14.534088825778747, 23.467059490799752, -27.26771615653972, 16.090889465247905, 2.7876180485694553, 190.14211954972504, -8.108302287547637, 44.38521767075739, -42.68496921257306, 16.017519398559756, -10.923349889670135, -2.7642484682547996, 7.817797083093588, -33.55785812092712, 15.832285586126371, 35.85646748916215, 14.951386722625845, 0.9455908589203305, -3.313332297102427, -0.7447191620510415, 1.2928746672885165, 1.8195859329488921, -5.243642788437174]",2023-12-29
5,2024-04-01,2730,300,False,11.375966143336507,-831.1466264629258,1035.3145322495493,"[27.605397068663958, 5.2417340792852345, 1.885149971817067, 23.22904817390615, 3.5617089839100577, -26.69639107313906, 12.640195332468686, 1.8639294620912759, 178.11770702722936, -8.039572027622391, 37.54673325440533, -33.99642973136655, 17.910227437491404, -9.27158885020435, -1.6233858442046245, 9.281534649081962, -28.08413717388614, 16.481464732415265, 30.779232275718684, 12.301523430388322, 1.0057726331088004, -3.2902937952569427, -0.8338098134745806, 1.9674681031655499, 1.1508628724574164, -12.441520886689037]",2024-03-29
5,2024-07-01,3030,330,False,6.289267589500145,-809.6113787558043,1015.8224562631634,"[24.50336221438829, -2.8988845573983664, -1.913246922958463, 16.44542090534872, 24.371333192805437, -30.32482547228323, 24.2726133219896, 7.362801045440526, 167.39068764724723, -4.693860819456703, 28.047436076178112, -23.6539399709459, 18.419161111738376, -10.702595856401924, -3.1476110719371087, 7.30535486586256, -15.105155093383694, 17.26823966678925, 23.457127902354443, 9.492042772821558, 1.09839525550574, -3.0031506089845093, -0.19831317362003334, 2.1478511222107812, -0.0447825951114586, -11.552258259150342]",2024-06-28
5,2024-10-01,3355,325,False,9.05305928049848,-775.3273557140549,1003.25835346373,"[23.76286285097155, -7.651101872414776, 5.895300122607157, 21.9659006827193, 33.31295464560703, -45.80140020516401, 35.10248349232614, -0.3304346090232565, 158.87156268575671, -6.760030321739159, 18.626405691221084, -16.36363962867793, 7.938372946896211, 4.2558362560165275, 0.5502168676566523, 5.672719251064447, -8.028129564910257, 18.783886102685955, 22.071943811770982, 3.9305504348071745, 1.3018173688077828, -2.7172793453988073, 0.4903330311910886, 1.897182429073791, -0.972053483678243, -13.636778023120286]",2024-09-27
5,2025-01-01,3685,290,False,10.24525706008757,-756.5675811470002,997.3287275026491,"[26.2270689530817, 6.938244308157273, 14.34876578992291, 24.338397190060682, 24.37609956771918, -50.76874076986832, 32.03502308108582, -14.43934725874257, 155.24086453090297, -6.413323886854993, 22.9814181816738, -23.315293549213497, -0.9046543570151281, 19.659402924366766, -5.59233270313487, 3.8042675154173415, -7.44606407302913, 12.290597856689317, 15.071654745778664, 3.4516128157669907, 0.82035873283089, -1.9684513391795813, 0.2985189858693943, 2.6616760527158174, -1.8121024322387558, -9.590360093410881]",2024-12-28
5,2025-04-01,3970,295,False,-1.112181299971064,-750.7575793858208,976.030261325685,"[36.22234147391689, 16.44101982634815, 11.164914443837903, 27.35445908203383, 32.18646904049192, -66.56889524804565, 38.21072518494422, -18.665649331933157, 152.09443159405373, -1.9964433164323825, 23.57930395553138, -26.12418306774082, -3.0734358686886436, 19.591813759685614, -4.095542074394798, 7.961991932764925, 1.3489690306650448, 10.929945527134016, 17.624758209347526, 10.983768604865253, 0.7126823820806177, -2.1339722096689675, 0.44145700935490384, 2.496564992272413, -1.5167321740383084, -10.985235158815243]",2025-03-28
5,2025-07-01,4265,330,False,-4.012850084718167,-724.1042063919127,958.4918292793061,"[37.631727607453676, 18.4929292560402, 11.005388731517728, 26.17378442181827, 23.227064665173433, -63.30516761011912, 34.38110131915816, -17.75382547713661, 146.65943274688004, -0.6162944222272543, 23.146472165116148, -26.872627557295452, 8.592125670011177, 4.766562065382983, -1.4128956433663693, 7.04457203047192, -1.1634915914529222, 7.745959256782048, 17.54073012826227, 11.939375857846324, 1.7521106243621156, -1.3944886551688493, 0.0685744082422586, 2.0686363086043253, -2.4948326860363883, -9.20221609929175]",2025-06-27
5,2025-10-01,4590,320,False,0.4914930553436364,-706.6345325056557,945.5463183313748,"[36.411707222322036, 17.11367169503245, 8.675791142675878, 26.196996364655167, 17.504166262726066, -51.050446954315404, 27.0165574999936, -17.100277015483602, 140.34217745850466, -1.7171888498731636, 17.26144600242763, -21.20737196539361, 3.2019735937288885, 8.036851343034376, -1.6704485631640265, 5.3565639879840585, -5.844706980629042, 1.2719658158275677, 13.712987776557299, 8.774135993771761, 1.942802926190249, -0.8257453165719219, -0.17782068146634344, 1.671613372211449, -2.6108503003641843, -7.425695162414171]",2025-09-26
5,2026-01-01,4915,275,False,-1.9106911391647061,-689.9163522636164,934.1475835532896,"[32.2202870876571, 19.52731777413273, 11.128205644690931, 25.63273569074017, 12.576899805204631, -53.43445999435892, 27.845428209882435, -15.393894151856045, 136.65029520850575, -0.28092662632220256, 15.748649777234027, -18.71166143060718, 6.916592848200345, 7.137297837593801, -1.4276105464202595, 3.426200677466741, -4.26585597886659, 2.695505681819976, 12.854222747806524, 6.697835631977216, 1.9391068053788971, -0.6418492884430741, -0.4475534700495666, 1.2923907686820257, -2.142094815565501, -6.253628397190026]",2025-12-29
5,2026-04-01,5185,310,False,1.125417403498055,-682.4455536305785,909.7978132595412,"[34.27210525281046, 14.732986415438198, 9.821450977218877, 23.023497780853763, -0.049557956308467044, -35.657425214650175, 18.01101711856272, -15.937794292705364, 133.08026389135753, -1.1004575335088047, 13.647916211444699, -17.811393012094104, 5.869741037177193, 9.387039935126463, -0.02870744396868407, 1.3022385104967387, -11.486354531010603, -2.4487830325596063, 10.152868354680106, 4.191085341203353, 1.8811027697801317, -0.5132186819250573, -0.40819622748347945, 0.9720544009861918, -1.931742261356631, -6.683948436851333]",2026-03-27
5,2026-07-01,5495,225,False,-3.818095087268418,-677.168326213529,878.479918667785,"[30.547115048978497, 20.189893096390723, 12.652908196295163, 24.71019932056768, -6.478246764042053, -35.32004415274507, 14.090827196412455, -14.053664086209533, 128.5702201608039, 1.3312395976974922, 16.651672232868336, -20.32527087051022, 6.200952075430628, 8.937058877990177, 0.01848504029995478, -1.519375600155219, -10.707240030738973, -2.6983169188973037, 3.473377986858909, 5.141123007556152, 2.104933036970309, -0.6441191952651111, -0.5160112891325462, 0.9644771965303526, -1.909279749103693, -5.489586203138121]",2026-06-26
10,2023-01-01,1180,285,False,-20.8087202641577,-1655.3369233922865,1744.1623420683525,"[30.687296742289913, -49.50034585494317, 60.26451182848748, 37.59128394298524, -38.070431711713, 1.6670568060840891, 27.389020055674763, -12.635691181624201, 294.6352550042929, -17.437635106911397, 89.08496056166078, -75.0069641468291, -5.000852936197, -5.00085293619702, -8.791093013913507, 106.56874108670432, 30.721148841497932, 37.816526119183656, 31.368049036711376, 37.657732679313426, 5.841629386683894, -8.86063481860186, -4.05916990311286, 15.826854976171717, -8.748679641140617, 0.0]",2022-12-29
10,2023-04-01,1460,305,False,7.522644944592854,-1597.0953262101955,1662.3711971952378,"[63.60161360696922, 51.8460920146586, -3.8640455919925167, 45.36490450540684, -50.24438259667498, -62.722376331036315, -3.75558743304437, -10.626420680485465, 265.0410545120312, -19.46896597782655, 85.3699243607121, -67.84357360253671, 8.517807228518324, 10.325424066704247, -6.681765672246753, 106.08062896770215, 40.700384598516294, 64.8244469574963, 26.550336710362934, 25.911117806685127, -3.1557512943516888, -7.679632268182423, -4.477892051461867, 12.907769039978774, 2.405506574019874, -5.236343032980962]",2023-03-29
10,2023-07-01,1765,325,False,24.509810652531606,-1527.5520085530907,1586.1707162102794,"[46.58494163902291, 16.83421866170657, -4.612899148039024, 27.53054940842971, -36.86078786160912, -25.24224570208399, -14.999411511406695, -2.1657358333704266, 240.7393026872145, -24.85025045846793, 62.37946249917016, -42.14116563019946, 20.562726700613787, 5.890333278752218, -0.51384244147353, 70.02208983448148, -24.399340592384284, 60.251033384429526, 53.17050767849692, 20.55979760022284, -2.986007607830127, -6.788643461553816, -5.60112930341479, 14.434303172384439, 0.9414772004122476, -42.85023925178572]",2023-06-28
10,2023-10-01,2095,320,False,37.38730734051558,-1440.24455477178,1517.5678396108874,"[46.22959863733449, 29.1337022918113, -8.51621937075892, 42.594884492517195, 6.212186583906212, -55.37020415011025, 15.963487923069957, -17.81942113113117, 220.11999710092073, -17.545753701064555, 51.434399118507265, -35.46241290253499, 26.318418817709414, 1.4077650872676413, 0.22804104683516038, 58.045686311195645, -30.886032946871072, 57.8069812071805, 63.036413516532846, 39.38426211760033, -0.7066797070005014, -8.312077169942384, -3.669263654814211, 10.022557811643754, 2.665462720112365, -25.773477950786404]",2023-09-28
10,2024-01-01,2420,285,False,20.479417143072897,-1364.8571955521245,1473.337638413471,"[40.48307496021295, 10.576148425744524, -17.699374137894303, 25.119210954645702, 58.63852502775815, -74.83291664101505, 44.940164403204946, 5.128386357749648, 205.386191906388, -9.849569180856186, 42.83969545742374, -33.1004248870986, 26.46356253936632, -11.500489365282052, -5.398385232616719, 20.541431446759756, -59.39800040752343, 35.63014546029246, 79.59224882846108, 56.01121934019525, 1.3509521078889144, -7.609643042032971, -1.4349027193778474, 3.643807372940068, 4.049786280581323, -6.129859277265996]",2023-12-29
10,2024-04-01,2705,300,False,20.120594194244404,-1301.6944777028602,1431.2950868475766,"[41.638322317758416, 13.184032409840377, -8.216809275303282, 42.33476214080829, 31.676769340960252, -76.6113569683291, 40.12576105939004, 5.908499696032049, 192.27936946936052, -10.035709373679232, 38.06698184141135, -26.61459852393681, 27.233969505593322, -7.5887453316249225, -6.424255783508784, 17.53030740073131, -55.14457205087286, 30.74672161616515, 68.53791407774433, 44.93350574469865, 0.8840623126925886, -7.1286398855391, -1.4741505276536726, 5.046467530917592, 2.6722605695807986, -17.95823825280877]",2024-03-29
10,2024-07-01,3005,330,False,11.009421477316367,-1196.8190606005555,1385.8468704457796,"[41.43056266592165, 8.380131641941517, -6.336342248428889, 39.12886274387063, 28.80648472970669, -73.54260098499824, 43.75548599993242, 7.596737151850992, 179.22942367404573, -9.235760874969293, 29.376701695228203, -15.142925157291751, 27.92024897001038, -10.777211704381692, -8.440329604023288, 11.940767521646784, -38.641703138960445, 31.98992768237078, 53.33415858104031, 39.19042517049154, 1.144879616020873, -6.827078414081734, -0.39613068776618576, 4.970491588138795, 1.1078378976818686, -11.610519748352505]",2024-06-28
10,2024-10-01,3330,325,False,15.41517682037576,-1115.947462248187,1306.4537244640571,"[38.934562943750365, -3.5253387341104747, -2.8010533633111265, 40.48871096530781, 64.1492498925866, -102.11405975662653, 65.51707690314953, 5.061207811411524, 164.77488135319476, -9.158463453321296, 16.794082655401134, -6.776136632364601, 26.117005049889304, -5.913016473019012, -1.7386601760595135, 8.81692540668067, -28.623573606783893, 31.44884467117443, 54.83985020879713, 31.046390855362464, 2.182075059137619, -6.003825551467919, 0.7679720203503431, 5.261771583022031, -2.2079931110448685, -20.08514599685473]",2024-09-27
10,2025-01-01,3660,290,False,21.25001193071302,-1099.8173552565709,1238.507953501185,"[39.90058114050754, 16.2759805229136, 12.975675271792003, 46.384837258983545, 53.75525706056461, -120.79562218756318, 67.58279612110655, -8.74388037124838, 157.85561932716718, -7.357283671646534, 21.89733187708246, -20.506233913669735, -1.7909487703114748, 23.76447671643399, -5.798275366371359, 1.0727694101163758, -35.10335909368206, 8.722748066870958, 41.65646151947052, 22.451445796365565, 2.2868548043647694, -4.315329268731105, 0.7374437210890772, 5.799174009926183, -4.508143266651786, -15.997097484451164]",2024-12-28
10,2025-04-01,3945,295,False,-2.366141560380454,-1075.3347784765908,1166.3070990199474,"[63.07996231286242, 37.52951347002563, 8.33290739013498, 48.326648140142574, 61.003039775854894, -135.9565986284017, 69.72117607508643, -14.689903986739818, 153.25637355185629, -3.9257230037117172, 17.27721651334828, -17.160187207992948, -9.747909701585217, 30.521677900378513, -6.834167888739509, 17.119427816031045, -14.225002443306334, 14.407058958475554, 49.00914467056231, 37.912543793675205, 1.483231252691302, -4.769102365796595, 0.6208981326193541, 7.119683248398888, -4.454710267907225, -35.191303753361105]",2025-03-28
10,2025-07-01,4240,330,False,-7.143630951153471,-1048.1432696107254,1100.246706895088,"[65.56349998366608, 41.16543117062607, 10.095366167946214, 44.637550787964756, 56.68644530201037, -138.56523345885554, 70.98382290044952, -14.212006634636042, 145.08541765170526, -0.6843709246808766, 21.13489801576493, -22.47981805526162, 5.667677387096394, 9.748929218909083, -2.453565630004698, 15.683413458762539, -9.280442307462941, 8.85902132146375, 40.56147577283148, 36.888220079167276, 3.5005815954222377, -3.6630933356252937, -0.029133089343007883, 6.110006849264573, -5.918362019722399, -29.869022508441336]",2025-06-27
10,2025-10-01,4565,320,False,0.5468195414718626,-1036.1853816319726,1074.8480666308562,"[63.582997805524975, 41.24823081714454, 9.533120810242181, 50.23639775770669, 47.07448012288675, -126.25371960899311, 63.61500317830066, -15.66215767276693, 137.25645398182252, -1.80351753538595, 13.708298287469662, -16.33081005394797, 1.8746364629587116, 9.74017729803063, -1.195612432147684, 13.634064985435328, -14.08044329385365, 0.6731477969259366, 34.03528315732736, 30.655144298138428, 4.515273479158634, -2.134672143962913, -0.39346009413853517, 4.958611181853136, -6.945752422908275, -27.10821689225966]",2025-09-26
10,2026-01-01,4890,275,False,-2.285648696765091,-1026.0774560816703,1049.8054541908962,"[54.08902375163326, 48.860036465844274, 17.37036636804023, 48.99686561255962, 39.836888870342456, -132.25530012941707, 63.521148773364175, -17.432948111234982, 132.1139019693419, -0.6432918904336099, 11.89258648700463, -12.852333099785323, 9.724451045676421, 9.284325154041378, -3.123360908296584, 12.365002975278287, -7.839322970267254, 6.9003229703833995, 31.048226195839792, 25.39985149321261, 4.985779752094948, -1.6213697016086273, -1.1386461956661833, 4.0467297538360985, -6.272493608656893, -24.862646456135426]",2025-12-29
10,2026-04-01,5160,310,False,1.691960316640238,-1009.3953112470188,1022.688496590368,"[55.98932410826388, 32.85706853145175, 15.67303859569371, 42.52003652357968, 25.767103181410633, -99.87408886411656, 50.21715618252517, -15.00538317772542, 128.91137311112823, -0.5023852072451909, 11.062748955101073, -14.205421417132419, 4.61089706754439, 13.802421872919053, -0.5257142181602915, 12.439030083640558, -12.65497200553855, 4.19336156017234, 25.063427610238705, 19.70461531209311, 4.3138459270683365, -1.7874677173658684, -0.7384244309813506, 3.9619127307523376, -5.749866509474826, -30.965785507791914]",2026-03-27
10,2026-07-01,5470,225,False,-8.558925900124798,-984.3827426487386,1011.9357398145683,"[49.25161585211001, 48.698426845028656, 26.072047601691985, 45.323980305454185, 15.05683172942352, -109.2696557770493, 47.77943562159779, -14.940624063308698, 121.81564676306535, 1.8103030726347213, 14.678688575871288, -17.04381832036211, 5.9260004843305785, 14.026807490008421, -2.151998594903325, 0.8033575544218491, -11.12541610744479, 1.3854892907461835, 10.270698848236798, 18.171995886593006, 5.031089706921529, -1.922182956680542, -1.265349902913279, 3.6129769058865984, -5.456533753208132, -24.70558150333837]",2026-06-26
20,2023-01-01,1130,285,False,-74.90560073001578,-2589.813770075449,2217.9025806548016,"[36.250811583449824, -44.71602270002124, 69.29553091940947, 55.21577793440114, -20.610260717431807, -42.94718541900345, 67.49082725286391, 2.0941802431651024, 293.7082211784873, -14.312153158159465, 69.07785464937858, -50.054525043037664, -16.316036106220732, -16.316036106220324, 23.298443289752324, 108.95968997104535, -39.75511454374303, 0.026315131022768543, 41.353120812549875, 50.066546560554556, 12.047483762257423, -15.799839019651662, -7.083481633093873, 30.807904905521184, -19.972068015033937, 0.0]",2022-12-29
20,2023-04-01,1410,305,False,11.422135405312623,-2507.11197126918,2091.679510594929,"[107.03811484456725, 65.82360636233398, -9.28948795138367, 66.23367215522177, -52.839499380762284, -107.15496248480461, 29.047113592429852, -22.235594623562474, 263.1794593932708, -26.337283229631538, 65.07233099119759, -40.13480652795792, 9.015550158934985, 19.804630361263982, 26.216637986428175, 189.39737855690524, 22.1146672497699, 68.86546044706948, 52.931960421024435, 22.793934851499234, -3.607299852437436, -16.21687891181249, -5.418812870083734, 29.41994601117158, -4.176954376832319, -34.73794118486068]",2023-03-29
