candidate,period,h,n,brier,mean_probability,event_rate
expanding_survival_logit,later,5,3260,0.21009271293869516,0.3613327210002416,0.294478527607362
expanding_survival_logit,later,10,3235,0.17811303569854384,0.2898519861168603,0.22812982998454404
expanding_survival_logit,later,20,3185,0.14313172355998735,0.2316789582460054,0.16577708006279435
expanding_survival_local,early,1,1135,0.24885902008408023,0.5708631690894161,0.5744493392070484
expanding_survival_local,early,3,1135,0.256137404105516,0.43081865270680775,0.45198237885462555
expanding_survival_local,early,5,1135,0.2470116470461599,0.37554314038967285,0.3894273127753304
expanding_survival_local,early,10,1135,0.2306395848715162,0.3128089156291974,0.31541850220264317
expanding_survival_local,early,20,1135,0.21663921528197402,0.26382434973571384,0.2669603524229075
expanding_survival_local,later,1,3280,0.24706994241838245,0.5619239516943518,0.5161585365853658
expanding_survival_local,later,3,3270,0.23034922474155045,0.41399755596646665,0.354434250764526
expanding_survival_local,later,5,3260,0.21079329567584004,0.356113946880717,0.294478527607362
expanding_survival_local,later,10,3235,0.17889755242775995,0.2837373332057059,0.22812982998454404
expanding_survival_local,later,20,3185,0.14309158671955124,0.22469070038204275,0.16577708006279435
rolling365_cny,early,1,1135,0.1942652516652894,0.5998342985192537,0.5744493392070484
rolling365_cny,early,3,1135,0.20740455657320783,0.4552611959287327,0.45198237885462555
rolling365_cny,early,5,1135,0.20546525231838425,0.3950782610887311,0.3894273127753304
rolling365_cny,early,10,1135,0.20322318069136502,0.336456362205684,0.31541850220264317
rolling365_cny,early,20,1135,0.19113114470519263,0.29026044581004173,0.2669603524229075
rolling365_cny,later,1,3280,0.1941240030672796,0.5046889885132915,0.5161585365853658
rolling365_cny,later,3,3270,0.19430857408379398,0.345177698129149,0.354434250764526
rolling365_cny,later,5,3260,0.18535847840048555,0.284447914912682,0.294478527607362
rolling365_cny,later,10,3235,0.16793860721369364,0.21070778784539718,0.22812982998454404
rolling365_cny,later,20,3185,0.13736550974050832,0.14675872589974986,0.16577708006279435
rolling365_hist,early,1,1135,0.22290362380816142,0.6163821147979309,0.5744493392070484
rolling365_hist,early,3,1135,0.22487915227322883,0.4793580816353734,0.45198237885462555
rolling365_hist,early,5,1135,0.21430875722560147,0.41886185470261855,0.3894273127753304
rolling365_hist,early,10,1135,0.20070727844289493,0.36040460583031314,0.31541850220264317
rolling365_hist,early,20,1135,0.18614227739129058,0.3145423884048785,0.2669603524229075
rolling365_hist,later,1,3280,0.20159340539517118,0.4925321718810874,0.5161585365853658
rolling365_hist,later,3,3270,0.19750774512788927,0.3337815202139944,0.354434250764526
rolling365_hist,later,5,3260,0.18663327413703598,0.27517596576922776,0.294478527607362
rolling365_hist,later,10,3235,0.1652664120975666,0.20320190691710752,0.22812982998454404
rolling365_hist,later,20,3185,0.13231641249801926,0.14007808328750615,0.16577708006279435
rolling365_extra,early,1,1135,0.22865536053650887,0.6291787891128061,0.5744493392070484
rolling365_extra,early,3,1135,0.23289697496667694,0.49796938834527016,0.45198237885462555
rolling365_extra,early,5,1135,0.22703621506003682,0.4402963478182575,0.3894273127753304
rolling365_extra,early,10,1135,0.22136257922042635,0.38702968747538163,0.31541850220264317
rolling365_extra,early,20,1135,0.20544367228110488,0.3435061325450087,0.2669603524229075
rolling365_extra,later,1,3280,0.19834669015355771,0.4770515868141496,0.5161585365853658
rolling365_extra,later,3,3270,0.1974556287146813,0.3255916414676162,0.354434250764526
rolling365_extra,later,5,3260,0.1863257636759982,0.26802501914231397,0.294478527607362
rolling365_extra,later,10,3235,0.16617626669548793,0.19854509220016942,0.22812982998454404
rolling365_extra,later,20,3185,0.13568611391207694,0.13734118182264055,0.16577708006279435
rolling365_survival_hist,early,1,1135,0.20144963503394456,0.6007648183876775,0.5744493392070484
rolling365_survival_hist,early,3,1135,0.22188903857027978,0.48405289080205816,0.45198237885462555
rolling365_survival_hist,early,5,1135,0.22361782124890747,0.42983589291108915,0.3894273127753304
rolling365_survival_hist,early,10,1135,0.21681846068403984,0.38421657008571086,0.31541850220264317
rolling365_survival_hist,early,20,1135,0.2101214955484317,0.3480973275037283,0.2669603524229075
rolling365_survival_hist,later,1,3280,0.19645673164655908,0.500165375049361,0.5161585365853658
rolling365_survival_hist,later,3,3270,0.1971527351886303,0.33337863701434167,0.354434250764526
rolling365_survival_hist,later,5,3260,0.1895297690556711,0.27229749258416724,0.294478527607362
rolling365_survival_hist,later,10,3235,0.1685434686739935,0.2006028014808134,0.22812982998454404
rolling365_survival_hist,later,20,3185,0.13749910188555453,0.14026393806032375,0.16577708006279435
rolling365_survival_logit,early,1,1135,0.24457873360928453,0.5724544200151351,0.5744493392070484
rolling365_survival_logit,early,3,1135,0.2524593063334604,0.4286531081821171,0.45198237885462555
rolling365_survival_logit,early,5,1135,0.2436561837467156,0.3628557701221437,0.3894273127753304
rolling365_survival_logit,early,10,1135,0.2259142396553271,0.29651887278652417,0.31541850220264317
rolling365_survival_logit,early,20,1135,0.2108758193289975,0.2449961036085266,0.2669603524229075
rolling365_survival_logit,later,1,3280,0.22810453107577536,0.5124154095177248,0.5161585365853658
rolling365_survival_logit,later,3,3270,0.21232497647145404,0.3483466051247517,0.354434250764526
rolling365_survival_logit,later,5,3260,0.19827416949647195,0.286457683147435,0.294478527607362
rolling365_survival_logit,later,10,3235,0.1722722859518065,0.20615947753791083,0.22812982998454404
rolling365_survival_logit,later,20,3185,0.13845243466712803,0.1421896415902174,0.16577708006279435
rolling365_survival_local,early,1,1135,0.2494959329094129,0.5716791897119831,0.5744493392070484
rolling365_survival_local,early,3,1135,0.2566897350332148,0.43207426066631677,0.45198237885462555
rolling365_survival_local,early,5,1135,0.2470535812177585,0.37510450205043216,0.3894273127753304
rolling365_survival_local,early,10,1135,0.2315552768971902,0.31421145398401173,0.31541850220264317
rolling365_survival_local,early,20,1135,0.2185234460451839,0.268147126429878,0.2669603524229075
rolling365_survival_local,later,1,3280,0.24243152969540688,0.5034537000808957,0.5161585365853658
rolling365_survival_local,later,3,3270,0.22520563035275054,0.34882524754180466,0.354434250764526
rolling365_survival_local,later,5,3260,0.20823755580102762,0.2887133956515366,0.294478527607362
rolling365_survival_local,later,10,3235,0.1795374629455121,0.20998821958800556,0.22812982998454404
rolling365_survival_local,later,20,3185,0.1439161174022076,0.14570858606566975,0.16577708006279435
local365_cny,early,1,1135,0.1940693007608116,0.5996660183440751,0.5744493392070484
local365_cny,early,3,1135,0.2073539171631958,0.4551155564511622,0.45198237885462555
local365_cny,early,5,1135,0.20591212629473343,0.39494110773030205,0.3894273127753304
local365_cny,early,10,1135,0.2031829332792948,0.3362838917649277,0.31541850220264317
local365_cny,early,20,1135,0.19099620311618526,0.29008409330735796,0.2669603524229075
local365_cny,later,1,3280,0.19398737542981254,0.5047926352009513,0.5161585365853658
local365_cny,later,3,3270,0.19429417231176224,0.34522627869354233,0.354434250764526
local365_cny,later,5,3260,0.18521142622008868,0.2844529356372509,0.294478527607362
local365_cny,later,10,3235,0.16793178357275443,0.2106256749112418,0.22812982998454404
local365_cny,later,20,3185,0.137469201896759,0.1467438199300514,0.16577708006279435
