origin,mode,fit_origin,n_calibration,last_calibration_maturity,n_test,constant_maps
2025-08-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2025-09-01,expanding,2025-09-01,3830,2025-08-29,110,0
2025-09-01,rolling365,2025-09-01,1135,2025-08-29,110,0
2025-09-01,local365,2025-09-01,1135,2025-08-29,110,0
2025-09-01,isotonic,2025-09-01,3830,2025-08-29,110,0
2025-09-01,frozen2023,2023-01-01,545,2022-12-29,110,0
2025-10-01,expanding,2025-10-01,3930,2025-09-26,115,0
2025-10-01,rolling365,2025-10-01,1130,2025-09-26,115,0
2025-10-01,local365,2025-10-01,1130,2025-09-26,115,0
2025-10-01,isotonic,2025-10-01,3930,2025-09-26,115,0
2025-10-01,frozen2023,2023-01-01,545,2022-12-29,115,0
2025-11-01,expanding,2025-11-01,4045,2025-10-29,95,0
2025-11-01,rolling365,2025-11-01,1130,2025-10-29,95,0
2025-11-01,local365,2025-11-01,1130,2025-10-29,95,0
2025-11-01,isotonic,2025-11-01,4045,2025-10-29,95,0
2025-11-01,frozen2023,2023-01-01,545,2022-12-29,95,0
2025-12-01,expanding,2025-12-01,4150,2025-11-28,110,0
2025-12-01,rolling365,2025-12-01,1130,2025-11-28,110,0
2025-12-01,local365,2025-12-01,1130,2025-11-28,110,0
2025-12-01,isotonic,2025-12-01,4150,2025-11-28,110,0
2025-12-01,frozen2023,2023-01-01,545,2022-12-29,110,0
2026-01-01,expanding,2026-01-01,4255,2025-12-29,75,0
2026-01-01,rolling365,2026-01-01,1130,2025-12-29,75,0
2026-01-01,local365,2026-01-01,1130,2025-12-29,75,0
2026-01-01,isotonic,2026-01-01,4255,2025-12-29,75,0
2026-01-01,frozen2023,2023-01-01,545,2022-12-29,75,0
2026-02-01,expanding,2026-02-01,4330,2026-01-29,95,0
2026-02-01,rolling365,2026-02-01,1120,2026-01-29,95,0
2026-02-01,local365,2026-02-01,1120,2026-01-29,95,0
2026-02-01,isotonic,2026-02-01,4330,2026-01-29,95,0
2026-02-01,frozen2023,2023-01-01,545,2022-12-29,95,0
2026-03-01,expanding,2026-03-01,4425,2026-02-26,105,0
2026-03-01,rolling365,2026-03-01,1115,2026-02-26,105,0
2026-03-01,local365,2026-03-01,1115,2026-02-26,105,0
2026-03-01,isotonic,2026-03-01,4425,2026-02-26,105,0
2026-03-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2026-04-01,expanding,2026-04-01,4525,2026-03-27,110,0
2026-04-01,rolling365,2026-04-01,1110,2026-03-27,110,0
2026-04-01,local365,2026-04-01,1110,2026-03-27,110,0
2026-04-01,isotonic,2026-04-01,4525,2026-03-27,110,0
2026-04-01,frozen2023,2023-01-01,545,2022-12-29,110,0
2026-05-01,expanding,2026-05-01,4635,2026-04-28,95,0
2026-05-01,rolling365,2026-05-01,1110,2026-04-28,95,0
2026-05-01,local365,2026-05-01,1110,2026-04-28,95,0
2026-05-01,isotonic,2026-05-01,4635,2026-04-28,95,0
2026-05-01,frozen2023,2023-01-01,545,2022-12-29,95,0
2026-06-01,expanding,2026-06-01,4740,2026-05-29,105,0
2026-06-01,rolling365,2026-06-01,1125,2026-05-29,105,0
2026-06-01,local365,2026-06-01,1125,2026-05-29,105,0
2026-06-01,isotonic,2026-06-01,4740,2026-05-29,105,0
2026-06-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2026-07-01,expanding,2026-07-01,4835,2026-06-26,115,0
2026-07-01,rolling365,2026-07-01,1125,2026-06-26,115,0
2026-07-01,local365,2026-07-01,1125,2026-06-26,115,0
2026-07-01,isotonic,2026-07-01,4835,2026-06-26,115,0
2026-07-01,frozen2023,2023-01-01,545,2022-12-29,115,0
2026-08-01,expanding,2026-08-01,4950,2026-07-29,105,0
2026-08-01,rolling365,2026-08-01,1125,2026-07-29,105,0
2026-08-01,local365,2026-08-01,1125,2026-07-29,105,0
2026-08-01,isotonic,2026-08-01,4950,2026-07-29,105,0
2026-08-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2026-09-01,expanding,2026-09-01,5060,2026-08-28,5,0
2026-09-01,rolling365,2026-09-01,1130,2026-08-28,5,0
2026-09-01,local365,2026-09-01,1130,2026-08-28,5,0
2026-09-01,isotonic,2026-09-01,5060,2026-08-28,5,0
2026-09-01,frozen2023,2023-01-01,545,2022-12-29,5,0
