candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,cadence_penalty,selection_value,min_benefit_lower_ci,max_weekly_signals,early_forward_ratio_min,joint_early_pass
cal_local365_extra_urgent_cap2,1.2339628362281805,1.2823325260910363,1.4770642201834863,1.5626911314984708,38.11898691280677,9.576045045322655,0.0,0.6979768968610083,-26.79929696835861,2,0.7891565062367685,False
cal_local365_survival_hist_urgent_cap2,1.2506183944232068,1.288974195168175,1.4342507645259939,1.4984709480122325,41.30967708338821,14.693201954562825,0.0,1.0618868587980894,-9.436576781255864,2,0.8648402452996956,False
cal_local365_survival_logit_urgent_cap2,0.9660271206001153,1.0203217264055555,0.963302752293578,1.0275229357798166,19.953416496393178,7.639863294718043,0.03669724770642202,-1.0335775260114355,-96.31050755993535,2,0.11455926953179126,False
cal_local365_survival_local_urgent_cap2,0.8810645966176878,0.927131978593364,0.9204892966360856,1.1559633027522935,9.349616069848386,1.2348136282929127,0.07951070336391441,-0.7065025607933768,-71.42728753416179,2,0.1957392268882497,False
equal_local365_h5_urgent_cap2,1.2947842980970408,1.340132365311415,1.2844036697247707,1.3700305810397553,49.90496910509264,16.570787732229842,0.0,0.7872589978551231,-25.376265012095885,2,0.7814642181380008,False
equal_local365_mean_urgent_cap2,1.2919429872315153,1.3498240872996903,1.2844036697247707,1.3700305810397553,50.57363218205647,17.877667545822394,0.0,0.8614196222505721,-21.526168249047164,2,0.8268247078749552,False
cny50_probability_local365_urgent_cap2,1.2854594907923484,1.330517017765029,1.4342507645259939,1.4984709480122325,49.928203271376674,18.76359473022222,0.0,0.7635562821335603,-26.095160432939405,2,0.870672412220855,False
cal_isotonic_cny_urgent_cap2,1.3148426622110834,1.3487640903956148,1.4984709480122325,1.4984709480122325,51.74123739392538,20.549301199498117,0.0,1.0337124072046788,-14.056512750320225,2,0.8625576597263068,False
cal_isotonic_hist_urgent_cap2,1.1726063135924865,1.1993286244511645,1.198776758409786,1.2844036697247707,30.59528265104385,5.8591152305618985,0.0,0.25869273633391554,-45.695678862928546,2,0.6405286514230006,False
cal_isotonic_extra_urgent_cap2,1.248347619539399,1.2853203001409086,1.2415902140672783,1.3058103975535167,39.87094699739166,9.667515500305798,0.0,0.6038152515473144,-32.22661839960423,2,0.759348710820239,False
cal_isotonic_survival_hist_urgent_cap2,1.1997171356260237,1.2236404441466298,1.2844036697247707,1.3700305810397553,37.56120470740403,9.866148617418176,0.0,0.7357761624299257,-23.197048659804896,2,0.7863639656957352,False
cal_isotonic_survival_logit_urgent_cap2,0.8154467894027838,0.9620245189115291,1.0061162079510704,1.2201834862385321,15.144829618837782,2.339351609860508,0.0,-0.6944748132869928,-75.49608013448884,2,0.08933809476623518,False
cal_isotonic_survival_local_urgent_cap2,0.8581707317073171,0.9232577964866552,1.091743119266055,1.2201834862385321,10.834806810707615,0.5560018775464755,0.0,-0.2988666468297989,-57.85186892685579,2,0.2268324915983253,False
equal_isotonic_h5_urgent_cap2,1.2762368815592204,1.2919697435336444,1.2629969418960245,1.3700305810397553,45.02040071951086,15.308414786353431,0.0,0.7926777912831581,-24.17795451380312,2,0.7656022745646143,False
equal_isotonic_mean_urgent_cap2,1.2958205912334353,1.3225830796025033,1.2415902140672783,1.3272171253822629,47.46273935571379,16.16084319030231,0.0,0.8677686624275306,-21.402596440295234,2,0.8309528351346046,False
cny50_probability_isotonic_urgent_cap2,1.3176781002638522,1.3337678471526995,1.3272171253822629,1.348623853211009,52.6240080141907,19.821864447588506,0.0,1.0302124748421126,-14.373281271086983,2,0.9025560677574622,False
cal_frozen2023_cny_urgent_cap2,1.3497876356772065,1.3983141704505122,1.3914373088685015,1.3914373088685015,56.47309655266436,21.79093629003404,0.0,0.9553392362648878,-19.722419970615935,2,0.9878488372708986,False
cal_frozen2023_hist_urgent_cap2,1.2141276281814828,1.346932831917388,1.1773700305810397,1.3272171253822629,34.1113600932853,6.933298643062369,0.0,0.9421225551011483,-13.600253654016724,2,0.7141396184490206,False
cal_frozen2023_extra_urgent_cap2,1.2057056335320133,1.3647736446839795,1.3272171253822629,1.3914373088685015,36.227819708102,9.377514018108283,0.0,1.2057056335320133,1.5267841176062873,2,0.7584488356029119,False
cal_frozen2023_survival_hist_urgent_cap2,1.2650917340698362,1.400797892062344,1.3058103975535167,1.3700305810397553,42.63212342778524,13.896114542883428,0.0,1.2650917340698362,7.800813877258716,2,0.8925263687853698,False
cal_frozen2023_survival_logit_urgent_cap2,1.0197824716267339,1.0823411205595004,0.7920489296636085,0.9847094801223242,23.963512158645838,5.795958120177664,0.20795107033639149,-0.9458792781547409,-77.4879804554346,2,0.25997140149461645,False
