candidate,h,metric,mean_bps,ci_lo,ci_hi,n
cal_expanding_survival_local_urgent_cap2,3,forward,45.78802702421658,23.090062147067755,68.41947847215772,672
cal_expanding_survival_local_urgent_cap2,5,sym,36.2858899900305,27.153745748554577,45.443080896908995,668
cal_expanding_survival_local_urgent_cap2,5,forward,43.979892935915395,12.68052108034019,74.35269335829071,668
cal_expanding_survival_local_urgent_cap2,10,sym,43.70090533428879,28.00639893347141,58.17170744353153,662
cal_expanding_survival_local_urgent_cap2,10,forward,36.332465471041964,-12.249440899523474,83.02264593248825,662
cal_expanding_survival_local_urgent_cap2,20,sym,52.94841630848279,18.273593121098298,85.12769569215088,648
cal_expanding_survival_local_urgent_cap2,20,forward,17.36111898938016,-66.77579550842,97.73172973248982,648
equal_expanding_h5_urgent_cap2,1,sym,20.315733918708023,15.908738742526994,25.324256443480962,891
equal_expanding_h5_urgent_cap2,1,forward,52.24185083675613,42.2213209279931,61.689480697923806,891
equal_expanding_h5_urgent_cap2,3,sym,30.941875729378502,24.55072985844792,38.12432630557304,886
equal_expanding_h5_urgent_cap2,3,forward,57.20273150378936,40.62996241214813,72.91497420140747,886
equal_expanding_h5_urgent_cap2,5,sym,33.634212117734165,25.663068199459833,42.41397803526963,886
equal_expanding_h5_urgent_cap2,5,forward,57.914089658701045,36.11971285066833,80.19771524178222,886
equal_expanding_h5_urgent_cap2,10,sym,37.939382282835695,23.394182520529743,52.23538869617853,881
equal_expanding_h5_urgent_cap2,10,forward,57.11653673538442,18.046842790047897,92.15924910635836,881
equal_expanding_h5_urgent_cap2,20,sym,45.55063516725506,16.458181872464724,74.65210356665588,867
equal_expanding_h5_urgent_cap2,20,forward,52.918279472487825,-15.007920448485576,113.0961516438896,867
equal_expanding_mean_urgent_cap2,1,sym,20.425658511669237,15.968135647818263,25.279611444852392,889
equal_expanding_mean_urgent_cap2,1,forward,52.56625976950174,42.76548118448191,61.68420135404772,889
equal_expanding_mean_urgent_cap2,3,sym,31.235515194208315,24.9891762634749,38.38330446020323,884
equal_expanding_mean_urgent_cap2,3,forward,57.838313516775,41.37982017675163,73.43387204490001,884
equal_expanding_mean_urgent_cap2,5,sym,33.94140553814721,25.956687398426574,42.54398614324795,884
equal_expanding_mean_urgent_cap2,5,forward,58.583303058060835,36.35036053058626,80.79457385017865,884
equal_expanding_mean_urgent_cap2,10,sym,38.45813503755186,23.931183920884397,52.68582309776765,879
equal_expanding_mean_urgent_cap2,10,forward,57.708631008516264,19.153056404731444,92.40620473595504,879
equal_expanding_mean_urgent_cap2,20,sym,46.866019895515876,18.377029900187704,76.02366099098987,865
equal_expanding_mean_urgent_cap2,20,forward,53.791489303309476,-14.181292410516344,114.20851296021333,865
cny50_probability_expanding_urgent_cap2,1,sym,20.639805139982688,16.373997446444182,25.105718997373238,925
cny50_probability_expanding_urgent_cap2,1,forward,51.51345238031017,42.51453423851605,59.99824941311377,925
cny50_probability_expanding_urgent_cap2,3,sym,30.44559611251731,24.767051401493852,36.85727154946319,920
cny50_probability_expanding_urgent_cap2,3,forward,56.45080185553921,39.886801971709154,71.24322963923008,920
cny50_probability_expanding_urgent_cap2,5,sym,33.860889706564436,26.891264419027834,41.838271103647365,920
cny50_probability_expanding_urgent_cap2,5,forward,57.15769917434886,35.005241965378836,78.99328632031342,920
cny50_probability_expanding_urgent_cap2,10,sym,38.1628162149726,24.34768126529677,53.037756657577695,915
cny50_probability_expanding_urgent_cap2,10,forward,55.99493945960353,18.905945510300967,90.9760463814164,915
cny50_probability_expanding_urgent_cap2,20,sym,44.60827459326701,13.594558368595747,75.28548521556888,900
cny50_probability_expanding_urgent_cap2,20,forward,51.33944978956482,-14.843157563557389,112.39542591889368,900
