quarter_origin,candidate,window,ridge,cutoff_ord,eligible_feedback_batches,selected_feedback_batches,training_rows,latest_feedback_publication_date,latest_feedback_maturity_ord,weight_identity,weight_all,weight_recent2y,weight_sum,objective,query_rows
2023-04-01,qstack_w250_r010,250,0.1,738609,34,34,170,2023-02-28,738608.0,0.7646626748182973,0.043595065349021696,0.191742259832681,1.0,0.7356440475138775,305
2023-04-01,qstack_w250_r100,250,1.0,738609,34,34,170,2023-02-28,738608.0,0.4541112148524326,0.2600856270651325,0.2858031580824349,1.0,0.8046317641969736,305
2023-04-01,qstack_wexp_r000,expanding,0.0,738609,34,34,170,2023-02-28,738608.0,0.985848742324298,0.0,0.014151257675702038,1.0,0.6930979666305457,305
2023-04-01,qstack_wexp_r001,expanding,0.01,738609,34,34,170,2023-02-28,738608.0,0.9493742857455817,0.0,0.05062571425441826,1.0,0.6991309030380217,305
2023-04-01,qstack_wexp_r010,expanding,0.1,738609,34,34,170,2023-02-28,738608.0,0.7646626748182973,0.043595065349021696,0.191742259832681,1.0,0.7356440475138775,305
2023-04-01,qstack_wexp_r100,expanding,1.0,738609,34,34,170,2023-02-28,738608.0,0.4541112148524326,0.2600856270651325,0.2858031580824349,1.0,0.8046317641969736,305
2023-07-01,qstack_w060_r000,60,0.0,738700,95,60,300,2023-05-30,738699.0,0.3753819475748033,0.4817778733010622,0.14284017912413446,1.0,0.579049059788158,330
2023-07-01,qstack_w060_r001,60,0.01,738700,95,60,300,2023-05-30,738699.0,0.36423107438645674,0.4236444540579585,0.2121244715555848,1.0,0.5794273767964369,330
2023-07-01,qstack_w060_r010,60,0.1,738700,95,60,300,2023-05-30,738699.0,0.34741902683630577,0.349608622618241,0.30297235054545335,1.0,0.5799299559115608,330
2023-07-01,qstack_w060_r100,60,1.0,738700,95,60,300,2023-05-30,738699.0,0.3364518254125946,0.3342907140335261,0.32925746055387933,1.0,0.5800946882997401,330
2023-07-01,qstack_w125_r000,125,0.0,738700,95,95,475,2023-05-30,738699.0,0.6332878920779783,0.29592786436292495,0.07078424355909671,1.0,0.6492505890476203,330
2023-07-01,qstack_w125_r001,125,0.01,738700,95,95,475,2023-05-30,738699.0,0.6084171698941626,0.2372895583417689,0.15429327176406857,1.0,0.6505812587114047,330
2023-07-01,qstack_w125_r010,125,0.1,738700,95,95,475,2023-05-30,738699.0,0.5195139520505799,0.2336496188561453,0.2468364290932749,1.0000000000000002,0.6574074519016273,330
2023-07-01,qstack_w125_r100,125,1.0,738700,95,95,475,2023-05-30,738699.0,0.38324240487715083,0.30482414640814376,0.31193344871470535,1.0,0.6697266399688928,330
2023-07-01,qstack_w250_r000,250,0.0,738700,95,95,475,2023-05-30,738699.0,0.6332878920779783,0.29592786436292495,0.07078424355909671,1.0,0.6492505890476203,330
2023-07-01,qstack_w250_r001,250,0.01,738700,95,95,475,2023-05-30,738699.0,0.6084171698941626,0.2372895583417689,0.15429327176406857,1.0,0.6505812587114047,330
2023-07-01,qstack_w250_r010,250,0.1,738700,95,95,475,2023-05-30,738699.0,0.5195139520505799,0.2336496188561453,0.2468364290932749,1.0000000000000002,0.6574074519016273,330
2023-07-01,qstack_w250_r100,250,1.0,738700,95,95,475,2023-05-30,738699.0,0.38324240487715083,0.30482414640814376,0.31193344871470535,1.0,0.6697266399688928,330
2023-07-01,qstack_wexp_r000,expanding,0.0,738700,95,95,475,2023-05-30,738699.0,0.6332878920779783,0.29592786436292495,0.07078424355909671,1.0,0.6492505890476203,330
2023-07-01,qstack_wexp_r001,expanding,0.01,738700,95,95,475,2023-05-30,738699.0,0.6084171698941626,0.2372895583417689,0.15429327176406857,1.0,0.6505812587114047,330
2023-07-01,qstack_wexp_r010,expanding,0.1,738700,95,95,475,2023-05-30,738699.0,0.5195139520505799,0.2336496188561453,0.2468364290932749,1.0000000000000002,0.6574074519016273,330
2023-07-01,qstack_wexp_r100,expanding,1.0,738700,95,95,475,2023-05-30,738699.0,0.38324240487715083,0.30482414640814376,0.31193344871470535,1.0,0.6697266399688928,330
2023-10-01,qstack_w060_r000,60,0.0,738792,161,60,300,2023-08-31,738791.0,0.8214551191462297,1.0990421897213998e-16,0.1785448808537702,1.0,0.5736083201184102,320
2023-10-01,qstack_w060_r001,60,0.01,738792,161,60,300,2023-08-31,738791.0,0.7976574206580741,5.1906179007743525e-18,0.20234257934192598,1.0,0.5771883015384732,320
2023-10-01,qstack_w060_r010,60,0.1,738792,161,60,300,2023-08-31,738791.0,0.5551406501231345,0.2693980998458807,0.17546125003098484,1.0,0.5902975653317923,320
2023-10-01,qstack_w060_r100,60,1.0,738792,161,60,300,2023-08-31,738791.0,0.3801126291201649,0.3250176085948878,0.2948697622849474,1.0000000000000002,0.6052846558461756,320
2023-10-01,qstack_w125_r000,125,0.0,738792,161,125,625,2023-08-31,738791.0,0.5096638024953892,0.4903361975046109,0.0,1.0,0.5912234523405128,320
2023-10-01,qstack_w125_r001,125,0.01,738792,161,125,625,2023-08-31,738791.0,0.5070184861461855,0.4543202237340848,0.038661290119729776,1.0000000000000002,0.5927892306055823,320
2023-10-01,qstack_w125_r010,125,0.1,738792,161,125,625,2023-08-31,738791.0,0.45481643430398006,0.33759651389877593,0.20758705179724388,0.9999999999999999,0.5980234210617474,320
2023-10-01,qstack_w125_r100,125,1.0,738792,161,125,625,2023-08-31,738791.0,0.3621555077287236,0.3288452730290852,0.30899921924219126,1.0000000000000002,0.6038317469612088,320
2023-10-01,qstack_w250_r000,250,0.0,738792,161,161,805,2023-08-31,738791.0,0.6680587570009724,0.2717132036720661,0.06022803932696157,1.0,0.6245570679142329,320
2023-10-01,qstack_w250_r001,250,0.01,738792,161,161,805,2023-08-31,738791.0,0.6484443428532305,0.24890256774201686,0.10265308940475269,1.0,0.6262932999383887,320
2023-10-01,qstack_w250_r010,250,0.1,738792,161,161,805,2023-08-31,738791.0,0.5398631367503223,0.2546620633927238,0.20547479985695394,1.0,0.635340265428032,320
2023-10-01,qstack_w250_r100,250,1.0,738792,161,161,805,2023-08-31,738791.0,0.3837766529807084,0.31246220463059077,0.30376114238870083,1.0,0.6492894789005277,320
2023-10-01,qstack_wexp_r000,expanding,0.0,738792,161,161,805,2023-08-31,738791.0,0.6680587570009724,0.2717132036720661,0.06022803932696157,1.0,0.6245570679142329,320
2023-10-01,qstack_wexp_r001,expanding,0.01,738792,161,161,805,2023-08-31,738791.0,0.6484443428532305,0.24890256774201686,0.10265308940475269,1.0,0.6262932999383887,320
2023-10-01,qstack_wexp_r010,expanding,0.1,738792,161,161,805,2023-08-31,738791.0,0.5398631367503223,0.2546620633927238,0.20547479985695394,1.0,0.635340265428032,320
2023-10-01,qstack_wexp_r100,expanding,1.0,738792,161,161,805,2023-08-31,738791.0,0.3837766529807084,0.31246220463059077,0.30376114238870083,1.0,0.6492894789005277,320
2024-01-01,qstack_w060_r000,60,0.0,738884,226,60,300,2023-12-01,738883.0,9.614813431917822e-17,0.0,1.0,1.0,0.24460331952862713,285
2024-01-01,qstack_w060_r001,60,0.01,738884,226,60,300,2023-12-01,738883.0,3.2049378106392736e-17,1.3877787807814457e-17,1.0,1.0,0.25126998619529384,285
2024-01-01,qstack_w060_r010,60,0.1,738884,226,60,300,2023-12-01,738883.0,5.2581010955800575e-18,0.3296809434912156,0.6703190565087844,1.0,0.28612128451124386,285
2024-01-01,qstack_w060_r100,60,1.0,738884,226,60,300,2023-12-01,738883.0,0.24300139104026866,0.35330578302630783,0.4036928259334236,1.0,0.34014599284742975,285
2024-01-01,qstack_w125_r000,125,0.0,738884,226,125,625,2023-12-01,738883.0,0.014835056723323116,0.843828513621934,0.1413364296547429,1.0,0.4612581526303882,285
2024-01-01,qstack_w125_r001,125,0.01,738884,226,125,625,2023-12-01,738883.0,0.10475825622876006,0.5933517974539865,0.3018899463172535,1.0,0.46339155910761476,285
2024-01-01,qstack_w125_r010,125,0.1,738884,226,125,625,2023-12-01,738883.0,0.21796866611798654,0.3911666405686951,0.39086469331331836,1.0,0.46699196911623897,285
2024-01-01,qstack_w125_r100,125,1.0,738884,226,125,625,2023-12-01,738883.0,0.308508003438119,0.34161644932271884,0.3498755472391621,1.0,0.4709018703305144,285
2024-01-01,qstack_w250_r000,250,0.0,738884,226,226,1130,2023-12-01,738883.0,0.43919250912795177,1.0367683274392636e-18,0.5608074908720482,1.0,0.560596185176657,285
2024-01-01,qstack_w250_r001,250,0.01,738884,226,226,1130,2023-12-01,738883.0,0.42137956730886866,0.10568583521855526,0.4729345974725761,1.0,0.5617796041896521,285
2024-01-01,qstack_w250_r010,250,0.1,738884,226,226,1130,2023-12-01,738883.0,0.3828321296098329,0.267024202525386,0.35014366786478107,1.0,0.5637346973607613,285
2024-01-01,qstack_w250_r100,250,1.0,738884,226,226,1130,2023-12-01,738883.0,0.34491145936144396,0.32316484427024683,0.33192369636830915,1.0,0.5648307398825129,285
2024-01-01,qstack_wexp_r000,expanding,0.0,738884,226,226,1130,2023-12-01,738883.0,0.43919250912795177,1.0367683274392636e-18,0.5608074908720482,1.0,0.560596185176657,285
2024-01-01,qstack_wexp_r001,expanding,0.01,738884,226,226,1130,2023-12-01,738883.0,0.42137956730886866,0.10568583521855526,0.4729345974725761,1.0,0.5617796041896521,285
2024-01-01,qstack_wexp_r010,expanding,0.1,738884,226,226,1130,2023-12-01,738883.0,0.3828321296098329,0.267024202525386,0.35014366786478107,1.0,0.5637346973607613,285
2024-01-01,qstack_wexp_r100,expanding,1.0,738884,226,226,1130,2023-12-01,738883.0,0.34491145936144396,0.32316484427024683,0.33192369636830915,1.0,0.5648307398825129,285
2024-04-01,qstack_w060_r000,60,0.0,738975,283,60,300,2024-02-29,738974.0,0.06245635459866548,0.12676674646981725,0.8107768989315174,1.0,0.4633301821604188,300
2024-04-01,qstack_w060_r001,60,0.01,738975,283,60,300,2024-02-29,738974.0,0.06956447070248005,0.36494762772874706,0.5654879015687729,1.0,0.4650992604922646,300
2024-04-01,qstack_w060_r010,60,0.1,738975,283,60,300,2024-02-29,738974.0,0.1412870446412832,0.4169301211620065,0.4417828341967103,1.0,0.472252218662309,300
2024-04-01,qstack_w060_r100,60,1.0,738975,283,60,300,2024-02-29,738974.0,0.28863791141699285,0.3546682014676351,0.3566938871153721,1.0,0.4841464850031662,300
2024-04-01,qstack_w125_r000,125,0.0,738975,283,125,625,2024-02-29,738974.0,0.0,2.775557561562891e-16,0.9999999999999997,0.9999999999999999,0.31366652482713014,300
2024-04-01,qstack_w125_r001,125,0.01,738975,283,125,625,2024-02-29,738974.0,2.848959077176815e-17,5.551115123125783e-17,1.0,1.0,0.3203331914937968,300
2024-04-01,qstack_w125_r010,125,0.1,738975,283,125,625,2024-02-29,738974.0,0.0030490068228050363,0.3796285273778533,0.6173224657993418,1.0,0.3484784464592782,300
2024-04-01,qstack_w125_r100,125,1.0,738975,283,125,625,2024-02-29,738974.0,0.25563080938078653,0.35672295430759926,0.38764623631161416,1.0,0.3886616107779364,300
2024-04-01,qstack_w250_r000,250,0.0,738975,283,250,1250,2024-02-29,738974.0,0.18555546761944,0.44667731340365563,0.36776721897690445,1.0,0.4994033673010413,300
2024-04-01,qstack_w250_r001,250,0.01,738975,283,250,1250,2024-02-29,738974.0,0.19489327732558112,0.4240910654271647,0.3810156572472542,1.0,0.49972736040341087,300
2024-04-01,qstack_w250_r010,250,0.1,738975,283,250,1250,2024-02-29,738974.0,0.24000839708604524,0.37816415346650045,0.3818274494474542,1.0,0.5014730477312976,300
2024-04-01,qstack_w250_r100,250,1.0,738975,283,250,1250,2024-02-29,738974.0,0.31182068215308917,0.34259062614187236,0.34558869170503853,1.0,0.5042171601874479,300
2024-04-01,qstack_wexp_r000,expanding,0.0,738975,283,283,1415,2024-02-29,738974.0,0.3457977094883555,0.11416763722963431,0.5400346532820102,1.0,0.5438443716219344,300
2024-04-01,qstack_wexp_r001,expanding,0.01,738975,283,283,1415,2024-02-29,738974.0,0.33748342384784186,0.19577234273422917,0.46674423341792903,1.0,0.54442327524967,300
2024-04-01,qstack_wexp_r010,expanding,0.1,738975,283,283,1415,2024-02-29,738974.0,0.33016593175326725,0.3034890313076071,0.3663450369391257,1.0,0.5451903081865412,300
2024-04-01,qstack_wexp_r100,expanding,1.0,738975,283,283,1415,2024-02-29,738974.0,0.3322183329270823,0.3302406567856243,0.33754101028729333,1.0,0.5454016746696027,300
2024-07-01,qstack_w060_r000,60,0.0,739066,343,60,300,2024-05-30,739065.0,0.02649945106509302,0.973500548934907,3.844513140997819e-17,1.0,0.39447344961763153,325
2024-07-01,qstack_w060_r001,60,0.01,739066,343,60,300,2024-05-30,739065.0,0.22109523529249125,0.7789047647075088,0.0,1.0,0.39881929913919906,325
2024-07-01,qstack_w060_r010,60,0.1,739066,343,60,300,2024-05-30,739065.0,0.31303847143134583,0.39909196474384756,0.28786956382480666,1.0,0.40368569056878734,325
2024-07-01,qstack_w060_r100,60,1.0,739066,343,60,300,2024-05-30,739065.0,0.3310114147295331,0.340134121833514,0.3288544634369529,1.0,0.4043138944783203,325
2024-07-01,qstack_w125_r000,125,0.0,739066,343,125,625,2024-05-30,739065.0,0.10171802561753382,0.8982819743824662,0.0,1.0,0.44741987030614055,325
2024-07-01,qstack_w125_r001,125,0.01,739066,343,125,625,2024-05-30,739065.0,0.12425940140073204,0.6669884517553748,0.20875214684389307,0.9999999999999999,0.45088989156593273,325
2024-07-01,qstack_w125_r010,125,0.1,739066,343,125,625,2024-05-30,739065.0,0.21339905339043158,0.4213351529823691,0.3652657936271993,1.0,0.45549197081287274,325
2024-07-01,qstack_w125_r100,125,1.0,739066,343,125,625,2024-05-30,739065.0,0.3121419083626331,0.3467406232864644,0.34111746835090256,1.0,0.45909943772410305,325
2024-07-01,qstack_w250_r000,250,0.0,739066,343,250,1250,2024-05-30,739065.0,0.08182621949414226,0.8125981866371617,0.10557559386869607,1.0,0.46131808275360037,325
2024-07-01,qstack_w250_r001,250,0.01,739066,343,250,1250,2024-05-30,739065.0,0.13569880749257648,0.5968601751902498,0.2674410173171738,1.0,0.4632372541093383,325
2024-07-01,qstack_w250_r010,250,0.1,739066,343,250,1250,2024-05-30,739065.0,0.23133932031847987,0.40026790245602173,0.36839277722549846,1.0,0.4664693459417515,325
2024-07-01,qstack_w250_r100,250,1.0,739066,343,250,1250,2024-05-30,739065.0,0.31354572799237046,0.3430831058556472,0.3433711661519824,1.0,0.4692139703502942,325
2024-07-01,qstack_wexp_r000,expanding,0.0,739066,343,343,1715,2024-05-30,739065.0,0.3354106379741574,0.1921592384482847,0.472430123577558,1.0,0.5201714285614566,325
2024-07-01,qstack_wexp_r001,expanding,0.01,739066,343,343,1715,2024-05-30,739065.0,0.3303823860913505,0.25191484051488344,0.41770277339376605,1.0,0.520403979348239,325
2024-07-01,qstack_wexp_r010,expanding,0.1,739066,343,343,1715,2024-05-30,739065.0,0.3281679188381897,0.31811547759265896,0.35371660356915136,1.0,0.5206722115842177,325
2024-07-01,qstack_wexp_r100,expanding,1.0,739066,343,343,1715,2024-05-30,739065.0,0.33201653795289504,0.3319474106110207,0.3360360514360842,1.0,0.5207469322279454,325
2024-10-01,qstack_w060_r000,60,0.0,739158,409,60,300,2024-08-31,739157.0,0.0,0.0,1.0,1.0,0.3520989610506262,330
2024-10-01,qstack_w060_r001,60,0.01,739158,409,60,300,2024-08-31,739157.0,1.311708434022382e-16,0.18932999517061985,0.81067000482938,1.0,0.35790025376752715,330
2024-10-01,qstack_w060_r010,60,0.1,739158,409,60,300,2024-08-31,739157.0,0.21762525774616318,0.3535891298537265,0.4287856124001104,1.0,0.36735704116294987,330
2024-10-01,qstack_w060_r100,60,1.0,739158,409,60,300,2024-08-31,739157.0,0.321055795339464,0.3356012141294479,0.34334299053108813,1.0,0.369537389183448,330
2024-10-01,qstack_w125_r000,125,0.0,739158,409,125,625,2024-08-31,739157.0,4.006172263299092e-17,1.0,1.1102230246251565e-16,1.0,0.3743571968970801,330
2024-10-01,qstack_w125_r001,125,0.01,739158,409,125,625,2024-08-31,739157.0,0.007997263211921703,0.6172499411660142,0.3747527956220642,1.0,0.37756163403477705,330
2024-10-01,qstack_w125_r010,125,0.1,739158,409,125,625,2024-08-31,739157.0,0.26999587027692623,0.37942106916507723,0.35058306055799654,1.0,0.3807096711523791,330
2024-10-01,qstack_w125_r100,125,1.0,739158,409,125,625,2024-08-31,739157.0,0.32642349589815856,0.3382567170094846,0.3353197870923569,1.0,0.38133895649546934,330
2024-10-01,qstack_w250_r000,250,0.0,739158,409,250,1250,2024-08-31,739157.0,0.0,1.6653345369377348e-16,0.9999999999999999,1.0,0.34779197731254874,330
2024-10-01,qstack_w250_r001,250,0.01,739158,409,250,1250,2024-08-31,739157.0,0.0,0.14824067323533427,0.8517593267646657,1.0,0.3537239239086699,330
2024-10-01,qstack_w250_r010,250,0.1,739158,409,250,1250,2024-08-31,739157.0,0.07047034478634755,0.4089619514273908,0.5205677037862616,1.0,0.37042775397858585,330
2024-10-01,qstack_w250_r100,250,1.0,739158,409,250,1250,2024-08-31,739157.0,0.2896649025234444,0.3483384593695827,0.3619966381069729,1.0,0.38702549491684385,330
2024-10-01,qstack_wexp_r000,expanding,0.0,739158,409,409,2045,2024-08-31,739157.0,0.3226405461160053,0.1878308295022381,0.4895286243817566,1.0,0.4939377649406678,330
2024-10-01,qstack_wexp_r001,expanding,0.01,739158,409,409,2045,2024-08-31,739157.0,0.31771026554384496,0.2561928369728286,0.42609689748332646,1.0,0.4941970684998357,330
2024-10-01,qstack_wexp_r010,expanding,0.1,739158,409,409,2045,2024-08-31,739157.0,0.3204703393076251,0.3222270805686792,0.3573025801236957,1.0,0.4944933446126815,330
2024-10-01,qstack_wexp_r100,expanding,1.0,739158,409,409,2045,2024-08-31,739157.0,0.3305247997417277,0.33271152441697643,0.33676367584129585,1.0,0.4946062088815124,330
2025-01-01,qstack_w060_r000,60,0.0,739250,475,60,300,2024-12-03,739249.0,2.0832095769155273e-16,0.0,0.9999999999999998,1.0,0.6146031069778235,285
2025-01-01,qstack_w060_r001,60,0.01,739250,475,60,300,2024-12-03,739249.0,1.4102782681765042e-17,0.1240766978940808,0.8759233021059192,1.0,0.620869547862436,285
2025-01-01,qstack_w060_r010,60,0.1,739250,475,60,300,2024-12-03,739249.0,0.24785169222901884,0.3260395683889277,0.4261087393820534,1.0,0.6292501595820695,285
2025-01-01,qstack_w060_r100,60,1.0,739250,475,60,300,2024-12-03,739249.0,0.32420611560218177,0.33266250210431436,0.3431313822935038,1.0,0.6307745973940132,285
2025-01-01,qstack_w125_r000,125,0.0,739250,475,125,625,2024-12-03,739249.0,8.012344526598186e-17,0.0,0.9999999999999999,1.0,0.5138484872974468,285
2025-01-01,qstack_w125_r001,125,0.01,739250,475,125,625,2024-12-03,739249.0,5.790327551279414e-17,0.3344315833051207,0.6655684166948793,1.0,0.5175479745102128,285
2025-01-01,qstack_w125_r010,125,0.1,739250,475,125,625,2024-12-03,739249.0,0.19539981305612938,0.38150387672107333,0.4230963102227973,1.0,0.5269648852247117,285
2025-01-01,qstack_w125_r100,125,1.0,739250,475,125,625,2024-12-03,739249.0,0.318504269213885,0.3386348975888049,0.3428608331973101,1.0,0.5298051690498317,285
2025-01-01,qstack_w250_r000,250,0.0,739250,475,250,1250,2024-12-03,739249.0,0.0,0.5946119950147606,0.40538800498523947,1.0,0.4696117203506472,285
2025-01-01,qstack_w250_r001,250,0.01,739250,475,250,1250,2024-12-03,739249.0,0.024277173406400492,0.5117322216025264,0.4639906049910731,1.0,0.47123283043549036,285
2025-01-01,qstack_w250_r010,250,0.1,739250,475,250,1250,2024-12-03,739249.0,0.19495187695105645,0.4072047030975807,0.39784341995136285,1.0,0.47728076843955514,285
2025-01-01,qstack_w250_r100,250,1.0,739250,475,250,1250,2024-12-03,739249.0,0.31417125207963437,0.3435066675877421,0.3423220803326235,1.0,0.48089273548078976,285
2025-01-01,qstack_wexp_r000,expanding,0.0,739250,475,475,2375,2024-12-03,739249.0,0.30126404796635475,0.22051938867927257,0.4782165633543727,1.0,0.5185198576423006,285
2025-01-01,qstack_wexp_r001,expanding,0.01,739250,475,475,2375,2024-12-03,739249.0,0.2990167022425347,0.27956347279428395,0.4214198249631814,1.0,0.5187195610930974,285
2025-01-01,qstack_wexp_r010,expanding,0.1,739250,475,475,2375,2024-12-03,739249.0,0.3104470342043487,0.33008975825599735,0.3594632075396541,1.0,0.5190142443506541,285
2025-01-01,qstack_wexp_r100,expanding,1.0,739250,475,475,2375,2024-12-03,739249.0,0.32874309218976683,0.3338923660646055,0.33736454174562763,1.0,0.5192024180699121,285
2025-04-01,qstack_w060_r000,60,0.0,739340,532,60,300,2025-03-01,739339.0,0.0,1.0,0.0,1.0,0.11374319847756102,295
2025-04-01,qstack_w060_r001,60,0.01,739340,532,60,300,2025-03-01,739339.0,1.6024689053196365e-17,0.9999999999999998,2.4980018054066027e-16,1.0,0.12040986514422766,295
2025-04-01,qstack_w060_r010,60,0.1,739340,532,60,300,2025-03-01,739339.0,0.00813511503634533,0.6122264697681262,0.37963841519552843,1.0,0.15007413876755737,295
2025-04-01,qstack_w060_r100,60,1.0,739340,532,60,300,2025-03-01,739339.0,0.299505633982554,0.36245228766270066,0.3380420783547453,1.0,0.1674714463993056,295
2025-04-01,qstack_w125_r000,125,0.0,739340,532,125,625,2025-03-01,739339.0,1.6292261104053824e-16,0.9999999999999996,2.7755575615628914e-16,1.0,0.4034767545964601,295
2025-04-01,qstack_w125_r001,125,0.01,739340,532,125,625,2025-03-01,739339.0,0.0,0.9183127306226462,0.0816872693773539,1.0,0.40996098570837947,295
2025-04-01,qstack_w125_r010,125,0.1,739340,532,125,625,2025-03-01,739339.0,0.10293332006579618,0.5042248902076156,0.39284178972658806,0.9999999999999998,0.4274016144282152,295
2025-04-01,qstack_w125_r100,125,1.0,739340,532,125,625,2025-03-01,739339.0,0.30878845548443934,0.35153058331278897,0.3396809612027717,1.0,0.43562503409773967,295
2025-04-01,qstack_w250_r000,250,0.0,739340,532,250,1250,2025-03-01,739339.0,1.6024689053196402e-17,0.9999999999999997,3.608224830031759e-16,1.0,0.3888778707832641,295
2025-04-01,qstack_w250_r001,250,0.01,739340,532,250,1250,2025-03-01,739339.0,0.0,0.7942341793293473,0.2057658206706527,1.0,0.3944524867077559,295
2025-04-01,qstack_w250_r010,250,0.1,739340,532,250,1250,2025-03-01,739339.0,0.1851809728789693,0.4449152225435804,0.3699038045774502,0.9999999999999999,0.4057673959118229,295
2025-04-01,qstack_w250_r100,250,1.0,739340,532,250,1250,2025-03-01,739339.0,0.3173182987886954,0.3452500630427889,0.3374316381685157,1.0,0.40923612109064483,295
2025-04-01,qstack_wexp_r000,expanding,0.0,739340,532,532,2660,2025-03-01,739339.0,0.25907544631855517,0.3926021642693963,0.3483223894120485,1.0,0.4812004023735243,295
2025-04-01,qstack_wexp_r001,expanding,0.01,739340,532,532,2660,2025-03-01,739339.0,0.2654278586531894,0.3774298348817622,0.35714230646504846,1.0,0.4812805587608827,295
2025-04-01,qstack_wexp_r010,expanding,0.1,739340,532,532,2660,2025-03-01,739339.0,0.2939903785206681,0.3534795733967787,0.3525300480825533,1.0,0.48164358046383465,295
2025-04-01,qstack_wexp_r100,expanding,1.0,739340,532,532,2660,2025-03-01,739339.0,0.3259109540776242,0.33692129077994276,0.337167755142433,1.0,0.4820394649132202,295
2025-07-01,qstack_w060_r000,60,0.0,739431,591,60,300,2025-05-29,739430.0,0.0,1.0,0.0,1.0,0.2022852660713571,330
2025-07-01,qstack_w060_r001,60,0.01,739431,591,60,300,2025-05-29,739430.0,0.0,1.0,0.0,1.0,0.20895193273802376,330
