date,currency,router_equal_logit,router_equal_hist,router_equal_tree,router_tail_logit,router_tail_hist,router_tail_tree,router_equal_logit_stale20
2012-07-27,TJS,,,,,,,
2012-07-28,TJS,,,,,,,
2012-07-31,TJS,,,,,,,
2012-08-01,TJS,,,,,,,
2012-08-02,TJS,,,,,,,
2012-08-03,TJS,,,,,,,
2012-08-04,TJS,,,,,,,
2012-08-07,TJS,,,,,,,
2012-08-08,TJS,,,,,,,
2012-08-09,TJS,,,,,,,
2012-08-10,TJS,,,,,,,
2012-08-11,TJS,,,,,,,
2012-08-14,TJS,,,,,,,
2012-08-15,TJS,,,,,,,
2012-08-16,TJS,,,,,,,
2012-08-17,TJS,,,,,,,
2012-08-18,TJS,,,,,,,
2012-08-21,TJS,,,,,,,
2012-08-22,TJS,,,,,,,
2012-08-23,TJS,,,,,,,
2012-08-24,TJS,,,,,,,
2012-08-25,TJS,,,,,,,
2012-08-28,TJS,,,,,,,
2012-08-29,TJS,,,,,,,
2012-08-30,TJS,,,,,,,
2012-08-31,TJS,,,,,,,
2012-09-01,TJS,,,,,,,
2012-09-04,TJS,,,,,,,
2012-09-05,TJS,,,,,,,
2012-09-06,TJS,,,,,,,
2012-09-07,TJS,,,,,,,
2012-09-08,TJS,,,,,,,
2012-09-11,TJS,,,,,,,
2012-09-12,TJS,,,,,,,
2012-09-13,TJS,,,,,,,
2012-09-14,TJS,,,,,,,
2012-09-15,TJS,,,,,,,
2012-09-18,TJS,,,,,,,
2012-09-19,TJS,,,,,,,
2012-09-20,TJS,,,,,,,
2012-09-21,TJS,,,,,,,
2012-09-22,TJS,,,,,,,
2012-09-25,TJS,,,,,,,
2012-09-26,TJS,,,,,,,
2012-09-27,TJS,,,,,,,
2012-09-28,TJS,,,,,,,
2012-09-29,TJS,,,,,,,
2012-10-02,TJS,,,,,,,
2012-10-03,TJS,,,,,,,
2012-10-04,TJS,,,,,,,
2012-10-05,TJS,,,,,,,
2012-10-06,TJS,,,,,,,
2012-10-09,TJS,,,,,,,
2012-10-10,TJS,,,,,,,
2012-10-11,TJS,,,,,,,
2012-10-12,TJS,,,,,,,
2012-10-13,TJS,,,,,,,
2012-10-16,TJS,,,,,,,
2012-10-17,TJS,,,,,,,
2012-10-18,TJS,,,,,,,
2012-10-19,TJS,,,,,,,
2012-10-20,TJS,,,,,,,
2012-10-23,TJS,,,,,,,
