feature,importance,is_context
broad_pln_ret_1,0.0018481570925864734,False
broad_usd_vol_60,0.0018460229700718108,False
context_rusfar_ret_10,0.0018267952064920945,True
broad_nok_ret_20,0.001825599418800294,False
broad_czk_ret_10,0.00182404804691305,False
broad_gbp_ret_20,0.0018176076675374575,False
broad_brl_ret_2,0.0018145828885398254,False
broad_brl_ret_5,0.0017999481975831911,False
broad_brl_ret_1,0.0017982187335797107,False
context_rgbi_yield_change_5,0.001796070225805623,True
broad_sek_ret_2,0.0017895447402395234,False
broad_krw_ret_5,0.0017860751981921262,False
vol_ratio_5_60,0.0017765148074740367,False
broad_nok_ret_2,0.001773449953780528,False
broad_cad_vol_60,0.001763679823668086,False
moex_cnyrub_tom_overnight_gap,0.0017586204046949653,False
range_pos_20,0.001735426570346284,False
broad_exusd_ret_5_dispersion,0.001732239818494059,False
broad_huf_ret_1,0.001725981534031111,False
broad_chf_vol_60,0.001719177625064579,False
broad_aud_ret_1,0.0017099164701876656,False
broad_zar_vol_60,0.0016997042722235523,False
raw_vol_5,0.0016989662226612559,False
broad_usd_ret_1,0.0016906376370015327,False
context_imoex_vol_5,0.001689519236847368,True
context_rgbi_ret_2,0.0016856759722975955,True
broad_inr_ret_1,0.0016775644888499701,False
context_rusfar_ret_20,0.0016555767568446943,True
broad_eur_ret_60,0.001650571611328338,False
broad_exusd_ret_1_median,0.0016504996176781271,False
context_imoex_ret_5,0.001646064049588448,True
broad_zar_ret_2,0.001641415605377737,False
usd_raw_ret_5,0.0016311373357205887,False
context_imoex_activity_change_5,0.001619384414149705,True
context_imoex_activity_change_20,0.0016165259305196955,True
context_imoex_vol_20,0.0016103634748718058,True
context_rgbi_log_activity,0.001610298013595026,True
broad_sek_ret_5,0.001606478412704595,False
broad_gbp_vol_60,0.0016014994307849294,False
context_rgbi_activity_change_1,0.0016001319185784799,True
broad_jpy_ret_5,0.00158977748003145,False
context_rusfar_ret_2,0.0015842706328990177,True
broad_exusd_ret_10_dispersion,0.0015808011120443412,False
context_imoex_open_close,0.001580740128049758,True
context_rusfar_level_z_60,0.0015593619004391917,True
broad_zar_ret_20,0.0015545187027735737,False
broad_factor_ret_2_median,0.001541861208396031,False
broad_eur_ret_5,0.0015395315524155972,False
broad_sgd_vol_60,0.0015314900399615251,False
broad_nok_vol_60,0.0015249548567881092,False
ruonia_volume_change_5,0.0015207222186074956,False
broad_cny_ret_5,0.0015140880687532841,False
broad_try_vol_60,0.0015004075684472548,False
context_gldrub_tom_activity_change_5,0.0014979760090298546,True
broad_nok_ret_5,0.0014916189565101446,False
context_rusfar_ret_5,0.001489956702604064,True
broad_nok_vol_20,0.0014807661174347261,False
context_rusfar_activity_change_5,0.00147165869597467,True
broad_brl_vol_60,0.0014592097375273972,False
context_rgbi_yield_change_20,0.0014583772798070298,True
broad_pln_vol_60,0.0014564545011400759,False
broad_exusd_ret_1_mean,0.0014562246909601807,False
broad_factor_ret_2_mean,0.0014498808888299386,False
broad_aud_ret_60,0.001449460326387337,False
broad_inr_ret_60,0.0014406501490669165,False
broad_dkk_vol_60,0.0014377656904824314,False
context_gldrub_tom_ret_20,0.0014284150813150141,True
broad_cny_vol_60,0.001423761477458714,False
broad_krw_ret_60,0.0014217404750544122,False
context_gldrub_tom_intraday_range,0.0014088377971835644,True
context_rgbi_ret_1,0.0014019723185339254,True
cny_raw_ret_5,0.001397096066376118,False
broad_factor_vol_60_mean,0.0013938348763714201,False
moex_cnyrub_tom_log_trades_change_1,0.0013908335300671275,False
broad_pln_ret_2,0.0013872122491162743,False
context_rusfar_activity_change_1,0.0013815681301289052,True
broad_cny_ret_2,0.0013712068330482402,False
context_gldrub_tom_activity_change_1,0.0013596207626087617,True
broad_huf_ret_5,0.0013587485046475936,False
broad_try_ret_2,0.0013447370331675305,False
broad_cad_ret_5,0.00133694869936648,False
broad_factor_vol_60_median,0.001335498528568285,False
context_rgbi_intraday_range,0.0013232182079073323,True
broad_factor_ret_60_mean,0.0013189904106499582,False
broad_krw_ret_20,0.0013102059550539446,False
broad_gbp_ret_2,0.0012939230753616874,False
broad_inr_ret_2,0.0012937700625700569,False
broad_eur_ret_2,0.0012859103779119913,False
broad_chf_ret_1,0.001282982197165,False
broad_factor_ret_5_mean,0.0012784892347563624,False
context_imoex_ret_2,0.00127833165943499,True
broad_czk_ret_2,0.0012766713241344032,False
broad_huf_ret_2,0.001275635843925192,False
broad_czk_ret_60,0.0012686924900999115,False
context_imoex_activity_change_1,0.001268353306332789,True
pct_range_30,0.0012682778301004553,False
broad_zar_ret_1,0.0012617317675228403,False
broad_dkk_ret_2,0.0012584466003311306,False
bars_since_max_30,0.001257411533440206,False
ret_10,0.0012534756048369238,False
broad_jpy_ret_2,0.0012509201677999705,False
broad_usd_ret_2,0.0012499192323794305,False
broad_czk_ret_1,0.001238991261613446,False
broad_sgd_ret_2,0.0012352149522904061,False
context_rgbi_open_close,0.0012333985298021344,True
broad_zar_ret_5,0.001229590764244856,False
context_rgbi_activity_change_5,0.0011913357506888205,True
broad_sgd_ret_5,0.0011838446654743443,False
eur_raw_ret_5,0.0011791373077635623,False
broad_dkk_ret_1,0.0011783496149236252,False
context_imoex_intraday_range,0.0011705849558580526,True
context_imoex_log_activity,0.0011699950094761198,True
broad_czk_vol_60,0.0011687413268387677,False
broad_factor_ret_60_median,0.001166292409543231,False
broad_huf_ret_60,0.0011576157641389096,False
range_pos_250,0.0011485575578634325,False
broad_czk_ret_5,0.0011455341919544809,False
broad_eur_vol_60,0.0011419328079111688,False
broad_pln_ret_5,0.0011310358847366447,False
broad_aud_ret_5,0.001116655689852366,False
broad_factor_ret_5_median,0.001111246008795095,False
broad_krw_vol_60,0.0011050916817058785,False
broad_gbp_ret_1,0.0010936868443907246,False
broad_try_ret_5,0.0010721020743865684,False
broad_cny_ret_60,0.0010585207777054264,False
ruonia_change_5,0.0010567966217234586,False
broad_cad_ret_2,0.0010544906258314862,False
broad_sgd_ret_60,0.0010358777752344783,False
broad_sek_vol_60,0.0010186377955176136,False
peer_ret_5_mean,0.0009768142808887672,False
broad_chf_ret_2,0.0009467436549409093,False
context_imoex_ret_1,0.0008916548056984669,True
peer_dispersion_5,0.0008555216132297799,False
ret_ac1_20,0.000838313136189715,False
context_rusfar_ret_1,0.0008159750521699424,True
raw_vol_120,0.0007874740216639403,False
ret_20,0.0007030513899323672,False
range_pos_120,0.00068974412885609,False
ret_5,0.0006692215894250395,False
rank_level_20,0.000663917874991751,False
key_rate_change_5,0.0006485574123373862,False
gap_days,0.0006406262761122908,False
ret_3,0.000624032839723138,False
ret_1,0.0005429549838325492,False
pct_range_90,0.0005162618273954718,False
streak_up,0.00047820868305623444,False
rank_level_250,0.00047009042484049313,False
rank_level_120,0.00045261566915974033,False
positive_share_60,0.000413387764815187,False
streak_dn,0.00039066785415416713,False
broad_target_minus_mean_5,0.00034789141801040057,False
positive_share_20,0.00030324074972721583,False
ret_60,0.00029948643943037426,False
currency_KZT,0.000293784016147665,False
ret_ac1_60,0.00029283352414977826,False
raw_vol_60,0.0002656361307368038,False
broad_target_minus_median_20,0.0002499286429582972,False
broad_target_minus_median_5,0.00022612213895588905,False
broad_target_minus_mean_2,0.00020823856214592765,False
broad_target_minus_median_10,0.00019543270346648222,False
