stage,model,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta_identity,ece_delta_identity,brier_delta_t25,logloss_delta_t25,auc_delta_t25,ece_delta_t25
screen,identity_early,currency_year,TJS:2023,226,0.252212389380531,0.4317130012909588,0.21496484843016103,0.6180907603010117,0.17950061191042788,0.21496484843016103,0.6180907603010117,0.17950061191042788,0.0,0.0,0.6013702896293989,0.3069768134369241,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,identity_early,currency_year,UZS:2023,226,0.24336283185840707,0.45101597148417355,0.2219200497478805,0.6336211173958399,0.2076531396257665,0.2219200497478805,0.6336211173958399,0.2076531396257665,0.0,0.0,0.603030303030303,0.3117587008056903,0.0,0.0,0.0,0.0,0.0,0.0
screen,t25_base,ALL,ALL,1130,0.2663716814159292,0.4521291186161866,0.22651243761774856,0.6431333658031961,0.18575743720025736,0.22651243761774856,0.6431333658031961,0.18575743720025736,0.0,0.0,0.5884025504049628,0.31562321732167953,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,t25_base,currency,AMD,226,0.3185840707964602,0.4819815701985921,0.24322464553312528,0.6788983762402373,0.16339749940213208,0.24322464553312528,0.6788983762402373,0.16339749940213208,0.0,0.0,0.5671897546897546,0.3578942280250717,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,t25_base,currency,KGS,226,0.27876106194690264,0.4473615871718947,0.22969491000467998,0.6494866366391218,0.1686005252249921,0.22969491000467998,0.6494866366391218,0.1686005252249921,0.0,0.0,0.5658291946635505,0.3155772836360677,0.0,0.0,0.0,0.0,0.0,0.0
screen,t25_base,currency,KZT,226,0.23893805309734514,0.44857346293531336,0.2227577343728962,0.6355699384397704,0.20963540983796836,0.2227577343728962,0.6355699384397704,0.20963540983796836,0.0,0.0,0.5859711455641687,0.29317594436534344,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,t25_base,currency,TJS,226,0.252212389380531,0.4317130012909588,0.21496484843016103,0.6180907603010117,0.17950061191042788,0.21496484843016103,0.6180907603010117,0.17950061191042788,0.0,0.0,0.6013702896293989,0.3069768134369241,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,t25_base,currency,UZS,226,0.24336283185840707,0.45101597148417355,0.2219200497478805,0.6336211173958399,0.2076531396257665,0.2219200497478805,0.6336211173958399,0.2076531396257665,0.0,0.0,0.603030303030303,0.3117587008056903,0.0,0.0,0.0,0.0,0.0,0.0
screen,t25_base,year,2023,1130,0.2663716814159292,0.4521291186161866,0.22651243761774856,0.6431333658031961,0.18575743720025736,0.22651243761774856,0.6431333658031961,0.18575743720025736,0.0,0.0,0.5884025504049628,0.31562321732167953,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,t25_base,currency_year,AMD:2023,226,0.3185840707964602,0.4819815701985921,0.24322464553312528,0.6788983762402373,0.16339749940213208,0.24322464553312528,0.6788983762402373,0.16339749940213208,0.0,0.0,0.5671897546897546,0.3578942280250717,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,t25_base,currency_year,KGS:2023,226,0.27876106194690264,0.4473615871718947,0.22969491000467998,0.6494866366391218,0.1686005252249921,0.22969491000467998,0.6494866366391218,0.1686005252249921,0.0,0.0,0.5658291946635505,0.3155772836360677,0.0,0.0,0.0,0.0,0.0,0.0
screen,t25_base,currency_year,KZT:2023,226,0.23893805309734514,0.44857346293531336,0.2227577343728962,0.6355699384397704,0.20963540983796836,0.2227577343728962,0.6355699384397704,0.20963540983796836,0.0,0.0,0.5859711455641687,0.29317594436534344,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,t25_base,currency_year,TJS:2023,226,0.252212389380531,0.4317130012909588,0.21496484843016103,0.6180907603010117,0.17950061191042788,0.21496484843016103,0.6180907603010117,0.17950061191042788,0.0,0.0,0.6013702896293989,0.3069768134369241,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,t25_base,currency_year,UZS:2023,226,0.24336283185840707,0.45101597148417355,0.2219200497478805,0.6336211173958399,0.2076531396257665,0.2219200497478805,0.6336211173958399,0.2076531396257665,0.0,0.0,0.603030303030303,0.3117587008056903,0.0,0.0,0.0,0.0,0.0,0.0
screen,t34_candidate,ALL,ALL,1130,0.2663716814159292,0.31655612320086507,0.1832503208431191,0.5482378627256281,0.06210069280713289,0.22651243761774856,0.6431333658031961,0.18575743720025736,-0.04326211677462946,-0.094895503077568,0.6883428379066161,0.4021235469539662,0.09994028750165318,-0.12365674439312448,-0.04326211677462946,-0.094895503077568,0.09994028750165318,-0.12365674439312448
screen,t34_candidate,currency,AMD,226,0.3185840707964602,0.33366908545001966,0.19539072043516534,0.5755486481083293,0.03917601697595062,0.24322464553312528,0.6788983762402373,0.16339749940213208,-0.047833925097959945,-0.10334972813190801,0.7217712842712843,0.49827532280580256,0.1545815295815296,-0.12422148242618146,-0.047833925097959945,-0.10334972813190801,0.1545815295815296,-0.12422148242618146
screen,t34_candidate,currency,KGS,226,0.27876106194690264,0.3123771063960356,0.1924921796322552,0.5686957895693465,0.059772494935684956,0.22969491000467998,0.6494866366391218,0.1686005252249921,-0.037202730372424775,-0.08079084706977524,0.6569773103515435,0.38984050970320694,0.09114811568799297,-0.10882803028930715,-0.037202730372424775,-0.08079084706977524,0.09114811568799297,-0.10882803028930715
screen,t34_candidate,currency,KZT,226,0.23893805309734514,0.3075720771553525,0.17241667384160622,0.5240818464454883,0.09372814431611377,0.2227577343728962,0.6355699384397704,0.20963540983796836,-0.05034106053128998,-0.11148809199428211,0.6921296296296297,0.37776949341343113,0.1061584840654608,-0.11590726552185458,-0.05034106053128998,-0.11148809199428211,0.1061584840654608,-0.11590726552185458
screen,t34_candidate,currency,TJS,226,0.252212389380531,0.31230515551685956,0.18501931240451405,0.5516832289315301,0.07080019514179528,0.21496484843016103,0.6180907603010117,0.17950061191042788,-0.02994553602564698,-0.06640753136948163,0.6552475864216755,0.3508160942774259,0.053877296792276486,-0.1087004167686326,-0.02994553602564698,-0.06640753136948163,0.053877296792276486,-0.1087004167686326
screen,t34_candidate,currency,UZS,226,0.24336283185840707,0.3168571914860581,0.1709327179020548,0.5211798005734462,0.073494359627651,0.2219200497478805,0.6336211173958399,0.2076531396257665,-0.050987331845825684,-0.11244131682239378,0.7208399787347156,0.4096647663517293,0.11780967570441259,-0.1341587799981155,-0.050987331845825684,-0.11244131682239378,0.11780967570441259,-0.1341587799981155
screen,t34_candidate,year,2023,1130,0.2663716814159292,0.31655612320086507,0.1832503208431191,0.5482378627256281,0.06210069280713289,0.22651243761774856,0.6431333658031961,0.18575743720025736,-0.04326211677462946,-0.094895503077568,0.6883428379066161,0.4021235469539662,0.09994028750165318,-0.12365674439312448,-0.04326211677462946,-0.094895503077568,0.09994028750165318,-0.12365674439312448
screen,t34_candidate,currency_year,AMD:2023,226,0.3185840707964602,0.33366908545001966,0.19539072043516534,0.5755486481083293,0.03917601697595062,0.24322464553312528,0.6788983762402373,0.16339749940213208,-0.047833925097959945,-0.10334972813190801,0.7217712842712843,0.49827532280580256,0.1545815295815296,-0.12422148242618146,-0.047833925097959945,-0.10334972813190801,0.1545815295815296,-0.12422148242618146
screen,t34_candidate,currency_year,KGS:2023,226,0.27876106194690264,0.3123771063960356,0.1924921796322552,0.5686957895693465,0.059772494935684956,0.22969491000467998,0.6494866366391218,0.1686005252249921,-0.037202730372424775,-0.08079084706977524,0.6569773103515435,0.38984050970320694,0.09114811568799297,-0.10882803028930715,-0.037202730372424775,-0.08079084706977524,0.09114811568799297,-0.10882803028930715
screen,t34_candidate,currency_year,KZT:2023,226,0.23893805309734514,0.3075720771553525,0.17241667384160622,0.5240818464454883,0.09372814431611377,0.2227577343728962,0.6355699384397704,0.20963540983796836,-0.05034106053128998,-0.11148809199428211,0.6921296296296297,0.37776949341343113,0.1061584840654608,-0.11590726552185458,-0.05034106053128998,-0.11148809199428211,0.1061584840654608,-0.11590726552185458
screen,t34_candidate,currency_year,TJS:2023,226,0.252212389380531,0.31230515551685956,0.18501931240451405,0.5516832289315301,0.07080019514179528,0.21496484843016103,0.6180907603010117,0.17950061191042788,-0.02994553602564698,-0.06640753136948163,0.6552475864216755,0.3508160942774259,0.053877296792276486,-0.1087004167686326,-0.02994553602564698,-0.06640753136948163,0.053877296792276486,-0.1087004167686326
screen,t34_candidate,currency_year,UZS:2023,226,0.24336283185840707,0.3168571914860581,0.1709327179020548,0.5211798005734462,0.073494359627651,0.2219200497478805,0.6336211173958399,0.2076531396257665,-0.050987331845825684,-0.11244131682239378,0.7208399787347156,0.4096647663517293,0.11780967570441259,-0.1341587799981155,-0.050987331845825684,-0.11244131682239378,0.11780967570441259,-0.1341587799981155
screen,t34_selected,ALL,ALL,1130,0.2663716814159292,0.31655612320086507,0.1832503208431191,0.5482378627256281,0.06210069280713289,0.22651243761774856,0.6431333658031961,0.18575743720025736,-0.04326211677462946,-0.094895503077568,0.6883428379066161,0.4021235469539662,0.09994028750165318,-0.12365674439312448,-0.04326211677462946,-0.094895503077568,0.09994028750165318,-0.12365674439312448
screen,t34_selected,currency,AMD,226,0.3185840707964602,0.33366908545001966,0.19539072043516534,0.5755486481083293,0.03917601697595062,0.24322464553312528,0.6788983762402373,0.16339749940213208,-0.047833925097959945,-0.10334972813190801,0.7217712842712843,0.49827532280580256,0.1545815295815296,-0.12422148242618146,-0.047833925097959945,-0.10334972813190801,0.1545815295815296,-0.12422148242618146
screen,t34_selected,currency,KGS,226,0.27876106194690264,0.3123771063960356,0.1924921796322552,0.5686957895693465,0.059772494935684956,0.22969491000467998,0.6494866366391218,0.1686005252249921,-0.037202730372424775,-0.08079084706977524,0.6569773103515435,0.38984050970320694,0.09114811568799297,-0.10882803028930715,-0.037202730372424775,-0.08079084706977524,0.09114811568799297,-0.10882803028930715
screen,t34_selected,currency,KZT,226,0.23893805309734514,0.3075720771553525,0.17241667384160622,0.5240818464454883,0.09372814431611377,0.2227577343728962,0.6355699384397704,0.20963540983796836,-0.05034106053128998,-0.11148809199428211,0.6921296296296297,0.37776949341343113,0.1061584840654608,-0.11590726552185458,-0.05034106053128998,-0.11148809199428211,0.1061584840654608,-0.11590726552185458
screen,t34_selected,currency,TJS,226,0.252212389380531,0.31230515551685956,0.18501931240451405,0.5516832289315301,0.07080019514179528,0.21496484843016103,0.6180907603010117,0.17950061191042788,-0.02994553602564698,-0.06640753136948163,0.6552475864216755,0.3508160942774259,0.053877296792276486,-0.1087004167686326,-0.02994553602564698,-0.06640753136948163,0.053877296792276486,-0.1087004167686326
screen,t34_selected,currency,UZS,226,0.24336283185840707,0.3168571914860581,0.1709327179020548,0.5211798005734462,0.073494359627651,0.2219200497478805,0.6336211173958399,0.2076531396257665,-0.050987331845825684,-0.11244131682239378,0.7208399787347156,0.4096647663517293,0.11780967570441259,-0.1341587799981155,-0.050987331845825684,-0.11244131682239378,0.11780967570441259,-0.1341587799981155
screen,t34_selected,year,2023,1130,0.2663716814159292,0.31655612320086507,0.1832503208431191,0.5482378627256281,0.06210069280713289,0.22651243761774856,0.6431333658031961,0.18575743720025736,-0.04326211677462946,-0.094895503077568,0.6883428379066161,0.4021235469539662,0.09994028750165318,-0.12365674439312448,-0.04326211677462946,-0.094895503077568,0.09994028750165318,-0.12365674439312448
screen,t34_selected,currency_year,AMD:2023,226,0.3185840707964602,0.33366908545001966,0.19539072043516534,0.5755486481083293,0.03917601697595062,0.24322464553312528,0.6788983762402373,0.16339749940213208,-0.047833925097959945,-0.10334972813190801,0.7217712842712843,0.49827532280580256,0.1545815295815296,-0.12422148242618146,-0.047833925097959945,-0.10334972813190801,0.1545815295815296,-0.12422148242618146
screen,t34_selected,currency_year,KGS:2023,226,0.27876106194690264,0.3123771063960356,0.1924921796322552,0.5686957895693465,0.059772494935684956,0.22969491000467998,0.6494866366391218,0.1686005252249921,-0.037202730372424775,-0.08079084706977524,0.6569773103515435,0.38984050970320694,0.09114811568799297,-0.10882803028930715,-0.037202730372424775,-0.08079084706977524,0.09114811568799297,-0.10882803028930715
screen,t34_selected,currency_year,KZT:2023,226,0.23893805309734514,0.3075720771553525,0.17241667384160622,0.5240818464454883,0.09372814431611377,0.2227577343728962,0.6355699384397704,0.20963540983796836,-0.05034106053128998,-0.11148809199428211,0.6921296296296297,0.37776949341343113,0.1061584840654608,-0.11590726552185458,-0.05034106053128998,-0.11148809199428211,0.1061584840654608,-0.11590726552185458
screen,t34_selected,currency_year,TJS:2023,226,0.252212389380531,0.31230515551685956,0.18501931240451405,0.5516832289315301,0.07080019514179528,0.21496484843016103,0.6180907603010117,0.17950061191042788,-0.02994553602564698,-0.06640753136948163,0.6552475864216755,0.3508160942774259,0.053877296792276486,-0.1087004167686326,-0.02994553602564698,-0.06640753136948163,0.053877296792276486,-0.1087004167686326
screen,t34_selected,currency_year,UZS:2023,226,0.24336283185840707,0.3168571914860581,0.1709327179020548,0.5211798005734462,0.073494359627651,0.2219200497478805,0.6336211173958399,0.2076531396257665,-0.050987331845825684,-0.11244131682239378,0.7208399787347156,0.4096647663517293,0.11780967570441259,-0.1341587799981155,-0.050987331845825684,-0.11244131682239378,0.11780967570441259,-0.1341587799981155
screen,cold_identity_qstack_w125_r100,ALL,ALL,1130,0.2663716814159292,0.31655612320086507,0.1832503208431191,0.5482378627256281,0.06210069280713289,0.22651243761774856,0.6431333658031961,0.18575743720025736,-0.04326211677462946,-0.094895503077568,0.6883428379066161,0.4021235469539662,0.09994028750165318,-0.12365674439312448,-0.04326211677462946,-0.094895503077568,0.09994028750165318,-0.12365674439312448
screen,cold_identity_qstack_w125_r100,currency,AMD,226,0.3185840707964602,0.33366908545001966,0.19539072043516534,0.5755486481083293,0.03917601697595062,0.24322464553312528,0.6788983762402373,0.16339749940213208,-0.047833925097959945,-0.10334972813190801,0.7217712842712843,0.49827532280580256,0.1545815295815296,-0.12422148242618146,-0.047833925097959945,-0.10334972813190801,0.1545815295815296,-0.12422148242618146
screen,cold_identity_qstack_w125_r100,currency,KGS,226,0.27876106194690264,0.3123771063960356,0.1924921796322552,0.5686957895693465,0.059772494935684956,0.22969491000467998,0.6494866366391218,0.1686005252249921,-0.037202730372424775,-0.08079084706977524,0.6569773103515435,0.38984050970320694,0.09114811568799297,-0.10882803028930715,-0.037202730372424775,-0.08079084706977524,0.09114811568799297,-0.10882803028930715
screen,cold_identity_qstack_w125_r100,currency,KZT,226,0.23893805309734514,0.3075720771553525,0.17241667384160622,0.5240818464454883,0.09372814431611377,0.2227577343728962,0.6355699384397704,0.20963540983796836,-0.05034106053128998,-0.11148809199428211,0.6921296296296297,0.37776949341343113,0.1061584840654608,-0.11590726552185458,-0.05034106053128998,-0.11148809199428211,0.1061584840654608,-0.11590726552185458
screen,cold_identity_qstack_w125_r100,currency,TJS,226,0.252212389380531,0.31230515551685956,0.18501931240451405,0.5516832289315301,0.07080019514179528,0.21496484843016103,0.6180907603010117,0.17950061191042788,-0.02994553602564698,-0.06640753136948163,0.6552475864216755,0.3508160942774259,0.053877296792276486,-0.1087004167686326,-0.02994553602564698,-0.06640753136948163,0.053877296792276486,-0.1087004167686326
screen,cold_identity_qstack_w125_r100,currency,UZS,226,0.24336283185840707,0.3168571914860581,0.1709327179020548,0.5211798005734462,0.073494359627651,0.2219200497478805,0.6336211173958399,0.2076531396257665,-0.050987331845825684,-0.11244131682239378,0.7208399787347156,0.4096647663517293,0.11780967570441259,-0.1341587799981155,-0.050987331845825684,-0.11244131682239378,0.11780967570441259,-0.1341587799981155
screen,cold_identity_qstack_w125_r100,year,2023,1130,0.2663716814159292,0.31655612320086507,0.1832503208431191,0.5482378627256281,0.06210069280713289,0.22651243761774856,0.6431333658031961,0.18575743720025736,-0.04326211677462946,-0.094895503077568,0.6883428379066161,0.4021235469539662,0.09994028750165318,-0.12365674439312448,-0.04326211677462946,-0.094895503077568,0.09994028750165318,-0.12365674439312448
screen,cold_identity_qstack_w125_r100,currency_year,AMD:2023,226,0.3185840707964602,0.33366908545001966,0.19539072043516534,0.5755486481083293,0.03917601697595062,0.24322464553312528,0.6788983762402373,0.16339749940213208,-0.047833925097959945,-0.10334972813190801,0.7217712842712843,0.49827532280580256,0.1545815295815296,-0.12422148242618146,-0.047833925097959945,-0.10334972813190801,0.1545815295815296,-0.12422148242618146
screen,cold_identity_qstack_w125_r100,currency_year,KGS:2023,226,0.27876106194690264,0.3123771063960356,0.1924921796322552,0.5686957895693465,0.059772494935684956,0.22969491000467998,0.6494866366391218,0.1686005252249921,-0.037202730372424775,-0.08079084706977524,0.6569773103515435,0.38984050970320694,0.09114811568799297,-0.10882803028930715,-0.037202730372424775,-0.08079084706977524,0.09114811568799297,-0.10882803028930715
screen,cold_identity_qstack_w125_r100,currency_year,KZT:2023,226,0.23893805309734514,0.3075720771553525,0.17241667384160622,0.5240818464454883,0.09372814431611377,0.2227577343728962,0.6355699384397704,0.20963540983796836,-0.05034106053128998,-0.11148809199428211,0.6921296296296297,0.37776949341343113,0.1061584840654608,-0.11590726552185458,-0.05034106053128998,-0.11148809199428211,0.1061584840654608,-0.11590726552185458
screen,cold_identity_qstack_w125_r100,currency_year,TJS:2023,226,0.252212389380531,0.31230515551685956,0.18501931240451405,0.5516832289315301,0.07080019514179528,0.21496484843016103,0.6180907603010117,0.17950061191042788,-0.02994553602564698,-0.06640753136948163,0.6552475864216755,0.3508160942774259,0.053877296792276486,-0.1087004167686326,-0.02994553602564698,-0.06640753136948163,0.053877296792276486,-0.1087004167686326
screen,cold_identity_qstack_w125_r100,currency_year,UZS:2023,226,0.24336283185840707,0.3168571914860581,0.1709327179020548,0.5211798005734462,0.073494359627651,0.2219200497478805,0.6336211173958399,0.2076531396257665,-0.050987331845825684,-0.11244131682239378,0.7208399787347156,0.4096647663517293,0.11780967570441259,-0.1341587799981155,-0.050987331845825684,-0.11244131682239378,0.11780967570441259,-0.1341587799981155
validation,identity_early,ALL,ALL,1140,0.20350877192982456,0.23331319546938767,0.16495556043978168,0.5134316500217605,0.06538624900106285,0.16495556043978168,0.5134316500217605,0.06538624900106285,0.0,0.0,0.5008592207200364,0.22357425556858201,0.0,0.0,0.0,0.0,0.0,0.0
validation,identity_early,currency,AMD,228,0.22807017543859648,0.2753854932590395,0.17812579755898125,0.5418686612911103,0.047315317820442925,0.17812579755898125,0.5418686612911103,0.047315317820442925,0.0,0.0,0.48011363636363635,0.24104407847801818,0.0,0.0,0.0,0.0,0.0,0.0
validation,identity_early,currency,KGS,228,0.22807017543859648,0.2479386444882521,0.17958260283771876,0.5461525854663504,0.02651353138325223,0.17958260283771876,0.5461525854663504,0.02651353138325223,0.0,0.0,0.44525786713286714,0.22118295058169837,0.0,0.0,0.0,0.0,0.0,0.0
validation,identity_early,currency,KZT,228,0.16228070175438597,0.21309604241917335,0.13725222411756371,0.44702856965800764,0.05081534066478737,0.13725222411756371,0.44702856965800764,0.05081534066478737,0.0,0.0,0.5420970708928825,0.19407726285969554,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0
validation,identity_early,currency,TJS,228,0.20175438596491227,0.22383137142661144,0.16295414939505293,0.5087369453282875,0.08410101310379926,0.16295414939505293,0.5087369453282875,0.08410101310379926,0.0,0.0,0.45998566650740563,0.22065109559195273,0.0,0.0,0.0,0.0,0.0,0.0
validation,identity_early,currency,UZS,228,0.19736842105263158,0.2063144257538621,0.16686302828959174,0.5233714883650468,0.13909314027659223,0.16686302828959174,0.5233714883650468,0.13909314027659223,0.0,0.0,0.3472981177899211,0.17398811423147978,0.0,0.0,0.0,0.0,0.0,0.0
validation,identity_early,year,2024,1140,0.20350877192982456,0.23331319546938767,0.16495556043978168,0.5134316500217605,0.06538624900106285,0.16495556043978168,0.5134316500217605,0.06538624900106285,0.0,0.0,0.5008592207200364,0.22357425556858201,0.0,0.0,0.0,0.0,0.0,0.0
validation,identity_early,currency_year,AMD:2024,228,0.22807017543859648,0.2753854932590395,0.17812579755898125,0.5418686612911103,0.047315317820442925,0.17812579755898125,0.5418686612911103,0.047315317820442925,0.0,0.0,0.48011363636363635,0.24104407847801818,0.0,0.0,0.0,0.0,0.0,0.0
validation,identity_early,currency_year,KGS:2024,228,0.22807017543859648,0.2479386444882521,0.17958260283771876,0.5461525854663504,0.02651353138325223,0.17958260283771876,0.5461525854663504,0.02651353138325223,0.0,0.0,0.44525786713286714,0.22118295058169837,0.0,0.0,0.0,0.0,0.0,0.0
validation,identity_early,currency_year,KZT:2024,228,0.16228070175438597,0.21309604241917335,0.13725222411756371,0.44702856965800764,0.05081534066478737,0.13725222411756371,0.44702856965800764,0.05081534066478737,0.0,0.0,0.5420970708928825,0.19407726285969554,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0
validation,identity_early,currency_year,TJS:2024,228,0.20175438596491227,0.22383137142661144,0.16295414939505293,0.5087369453282875,0.08410101310379926,0.16295414939505293,0.5087369453282875,0.08410101310379926,0.0,0.0,0.45998566650740563,0.22065109559195273,0.0,0.0,0.0,0.0,0.0,0.0
validation,identity_early,currency_year,UZS:2024,228,0.19736842105263158,0.2063144257538621,0.16686302828959174,0.5233714883650468,0.13909314027659223,0.16686302828959174,0.5233714883650468,0.13909314027659223,0.0,0.0,0.3472981177899211,0.17398811423147978,0.0,0.0,0.0,0.0,0.0,0.0
validation,t25_base,ALL,ALL,1140,0.20350877192982456,0.23331319546938767,0.16495556043978168,0.5134316500217605,0.06538624900106285,0.16495556043978168,0.5134316500217605,0.06538624900106285,0.0,0.0,0.5008592207200364,0.22357425556858201,0.0,0.0,0.0,0.0,0.0,0.0
validation,t25_base,currency,AMD,228,0.22807017543859648,0.2753854932590395,0.17812579755898125,0.5418686612911103,0.047315317820442925,0.17812579755898125,0.5418686612911103,0.047315317820442925,0.0,0.0,0.48011363636363635,0.24104407847801818,0.0,0.0,0.0,0.0,0.0,0.0
validation,t25_base,currency,KGS,228,0.22807017543859648,0.2479386444882521,0.17958260283771876,0.5461525854663504,0.02651353138325223,0.17958260283771876,0.5461525854663504,0.02651353138325223,0.0,0.0,0.44525786713286714,0.22118295058169837,0.0,0.0,0.0,0.0,0.0,0.0
validation,t25_base,currency,KZT,228,0.16228070175438597,0.21309604241917335,0.13725222411756371,0.44702856965800764,0.05081534066478737,0.13725222411756371,0.44702856965800764,0.05081534066478737,0.0,0.0,0.5420970708928825,0.19407726285969554,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0
validation,t25_base,currency,TJS,228,0.20175438596491227,0.22383137142661144,0.16295414939505293,0.5087369453282875,0.08410101310379926,0.16295414939505293,0.5087369453282875,0.08410101310379926,0.0,0.0,0.45998566650740563,0.22065109559195273,0.0,0.0,0.0,0.0,0.0,0.0
validation,t25_base,currency,UZS,228,0.19736842105263158,0.2063144257538621,0.16686302828959174,0.5233714883650468,0.13909314027659223,0.16686302828959174,0.5233714883650468,0.13909314027659223,0.0,0.0,0.3472981177899211,0.17398811423147978,0.0,0.0,0.0,0.0,0.0,0.0
validation,t25_base,year,2024,1140,0.20350877192982456,0.23331319546938767,0.16495556043978168,0.5134316500217605,0.06538624900106285,0.16495556043978168,0.5134316500217605,0.06538624900106285,0.0,0.0,0.5008592207200364,0.22357425556858201,0.0,0.0,0.0,0.0,0.0,0.0
validation,t25_base,currency_year,AMD:2024,228,0.22807017543859648,0.2753854932590395,0.17812579755898125,0.5418686612911103,0.047315317820442925,0.17812579755898125,0.5418686612911103,0.047315317820442925,0.0,0.0,0.48011363636363635,0.24104407847801818,0.0,0.0,0.0,0.0,0.0,0.0
validation,t25_base,currency_year,KGS:2024,228,0.22807017543859648,0.2479386444882521,0.17958260283771876,0.5461525854663504,0.02651353138325223,0.17958260283771876,0.5461525854663504,0.02651353138325223,0.0,0.0,0.44525786713286714,0.22118295058169837,0.0,0.0,0.0,0.0,0.0,0.0
validation,t25_base,currency_year,KZT:2024,228,0.16228070175438597,0.21309604241917335,0.13725222411756371,0.44702856965800764,0.05081534066478737,0.13725222411756371,0.44702856965800764,0.05081534066478737,0.0,0.0,0.5420970708928825,0.19407726285969554,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0
