candidate,h,n,positive_rate,brier_raw,logloss_raw,ece_raw,auc_raw,average_precision_raw,brier_calibrated,logloss_calibrated,ece_calibrated,auc_calibrated,average_precision_calibrated,brier_prior,logloss_prior,ece_prior,auc_prior,average_precision_prior
hold_1730,1,2040,0.49950980392156863,0.15668235294117897,0.46916126579930906,0.048745100490196036,0.8500652153644899,0.8559022510939902,0.24342103980618035,0.6799427599714641,0.06909568837710625,0.6929572212199359,0.6979224441550267,0.25098178989670533,0.6951121049123081,0.011544870986181732,0.41682277664626743,0.4514718622417193
hold_1730,3,2030,0.3315270935960591,0.19862589162561822,0.5822863434080751,0.18504433251231528,0.8124243781350566,0.6862275493415503,0.21937379366751739,0.6301609944096521,0.01313015598622314,0.5776289582058142,0.3975710410983191,0.22324310388192128,0.6388280503776465,0.01786853893780105,0.3805051348957199,0.2761689148281419
hold_1730,5,2020,0.26782178217821784,0.2259939405940619,0.6651089431918884,0.24824752227722774,0.7926335299241756,0.5700373861879118,0.19649838992956117,0.5819932194250037,0.012636711506779332,0.5049016483386012,0.27109388547045477,0.1978132104818319,0.5852754908732332,0.022901197938377558,0.36606077194087533,0.21581798266295676
hold_1730,10,1995,0.2025062656641604,0.25546446115288474,0.7527103928689673,0.31513784210526313,0.778422562557953,0.4456376596736859,0.16360241641754084,0.5099146973706582,0.03249280936212247,0.4477234257052355,0.17248079147891393,0.16327483459717831,0.5090678787760597,0.014539791216725245,0.32312715086719235,0.15258092782442909
hold_1730,20,1945,0.15115681233933162,0.2797554755784087,0.8320940697104241,0.3618817455012854,0.7496425584164617,0.3123827435686525,0.1308135171383061,0.4337534460446693,0.007329829604883667,0.39428999946435267,0.11522221837143701,0.13006588621306397,0.4311964785651667,0.008050414630810937,0.2803536920522297,0.10957379739670978
update_1730,1,2040,0.49950980392156863,0.18030913725490932,0.5293361705886928,0.05502940931372549,0.8070360505921286,0.802720393198211,0.24491197603534517,0.6829286552714409,0.05880382398193964,0.6475852052914315,0.6469710093687201,0.25098178989670533,0.6951121049123081,0.011544870986181732,0.41682277664626743,0.4514718622417193
update_1730,3,2030,0.3315270935960591,0.20184421674877584,0.5874171318408558,0.18871920935960593,0.8134262823004595,0.6885990532559783,0.21947068580211912,0.6303726772426935,0.011856129479319109,0.5730169141132709,0.3916668649970908,0.22324310388192128,0.6388280503776465,0.01786853893780105,0.3805051348957199,0.2761689148281419
update_1730,5,2020,0.26782178217821784,0.22729453267327476,0.6727166838330153,0.25056435396039606,0.7988761952610733,0.5758487837991848,0.19659988657347302,0.5822279174268357,0.0187474049096361,0.5008829715836873,0.2670093624633961,0.1978132104818319,0.5852754908732332,0.022901197938377558,0.36606077194087533,0.21581798266295676
update_1730,10,1995,0.2025062656641604,0.2568182827067745,0.7633704046199482,0.3174135313283208,0.7861392361737745,0.45403939452264913,0.16371247314868267,0.5102126771655862,0.032786698008469214,0.4435967166798389,0.17098911336174583,0.16327483459717831,0.5090678787760597,0.014539791216725245,0.32312715086719235,0.15258092782442909
update_1730,20,1945,0.15115681233933162,0.2813875547557918,0.8405195781479495,0.3652544961439589,0.7609426568931631,0.3268111669937398,0.1309064262119916,0.4340460846946969,0.008135559633896243,0.3905064751521444,0.11463423824936163,0.13006588621306397,0.4311964785651667,0.008050414630810937,0.2803536920522297,0.10957379739670978
