candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity
update_1630,5,2023-04-01,15051,3849,0.26727654306551385,305,False,-0.9721127804966679,"[-0.00405904902361914, 0.02501845611244297, -0.041520436125554644, -0.04288906270777747, 0.09590986606168193, -0.03671556701251913]",2023-03-29
update_1630,5,2023-07-01,15356,3968,0.277501553540198,330,False,-0.879512495527801,"[-0.009421533512304498, 0.030584638223279784, -0.049359693301140935, -0.03711784594969286, 0.10136855672701234, -0.04502784274719639]",2023-06-28
update_1630,5,2023-10-01,15686,4118,0.2931548344825895,320,False,-0.635807772525322,"[-0.015896081398498307, -0.09884684545476248, -0.16900380021786857, -0.15200527805964445, -0.022933638298400973, -0.18533633621845172]",2023-09-28
update_1630,5,2024-01-01,16011,4206,0.2912167109518674,285,False,-0.6860002154161536,"[-0.009978064428294487, -0.09607095052815372, -0.16637980414083142, -0.1380206291873768, -0.08267085726836301, -0.19348249133721443]",2023-12-29
update_1630,5,2024-04-01,16296,4304,0.29552320035386836,300,False,-0.6790583993203433,"[-0.008878782890932968, -0.08881144085306723, -0.15266022876890314, -0.13357722978080228, -0.06964810908921161, -0.22513301634927402]",2024-03-29
update_1630,5,2024-07-01,16596,4354,0.28478242288897737,325,False,-0.7717183169247359,"[0.0005830911114663984, -0.11027560514055823, -0.19051725314366297, -0.13950987106682172, -0.09260656931743694, -0.2320864781268789]",2024-06-28
update_1630,5,2024-10-01,16926,4481,0.2939164427609178,330,False,-0.7265993655338937,"[-0.0012235255290517775, -0.10782699387227797, -0.19317936906781633, -0.08316110555798968, -0.09204283870171563, -0.24356339474645533]",2024-09-28
update_1630,5,2025-01-01,17256,4611,0.30261816534408026,285,False,-0.692167313037151,"[-0.0013107445666154698, -0.08554994036808168, -0.16222696312728677, -0.08867953715814796, -0.07783846855244708, -0.27172568223159915]",2024-12-29
update_1630,5,2025-04-01,17541,4660,0.29242574279826933,295,False,-0.7639627759151129,"[0.006782346632127491, -0.09499385338428862, -0.17379044758339918, -0.11770076724285572, -0.0876035823479161, -0.28326681282960936]",2025-03-29
update_1630,5,2025-07-01,17836,4706,0.2815497237153756,330,False,-0.8283244091132858,"[0.012833141559683655, -0.045628879713918755, -0.19888330917131114, -0.1610900867220686, -0.12605707766708338, -0.2889529464420118]",2025-06-28
