rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap
0.22,317,1.2501408450704226,20,0,0.4479495268138801,0.22186234817813766,2.0190425752377443,0.7789331368632126,59.30412235380511,2.0190425752377443,2.0190425752377443,1,1,1.2028169014084507,1.3211267605633803,1.8774871450927788,0.7980769230769231,2.0190425752377443,1.2501408450704226,1.2501408450704226,1.1487179487179489,1.4307692307692308,4,incumbent90_state10,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,217,1.350222222222222,20,0,0.6129032258064516,0.3401273885350318,1.801981394224961,0.7628519370092404,113.47477199191194,1.801981394224961,1.801981394224961,1,1,1.2755555555555553,1.4,1.410783055198973,0.8349056603773585,1.801981394224961,1.350222222222222,1.350222222222222,1.0422222222222222,1.625,3,incumbent90_state10,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,534,1.26070826306914,20,0,0.5149812734082397,0.26782178217821784,1.9228505957202295,0.7772986943518564,81.31728896704328,1.801981394224961,1.9105119847313525,2,2,1.239460370994941,1.2748735244519394,1.64312911041883,0.8052930056710775,1.9105119847313525,1.2501408450704226,1.350222222222222,1.0422222222222222,1.625,7,incumbent90_state10,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,298,1.1785310734463277,20,0,0.5604026845637584,0.3379032258064516,1.658470951930932,0.7092375268532757,74.78656682698512,1.658470951930932,1.658470951930932,1,1,1.0677966101694916,1.2853107344632768,1.5632183908045976,0.7235494880546075,1.658470951930932,1.1785310734463277,1.1785310734463277,0.875,1.7659090909090909,4,incumbent80_state20,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,318,1.2540845070422535,20,0,0.4371069182389937,0.22186234817813766,1.9701716935224716,0.7792768329826747,53.75915423087341,1.9701716935224716,1.9701716935224716,1,1,1.2225352112676056,1.2816901408450705,1.6720000000000002,0.792332268370607,1.9701716935224716,1.2540845070422535,1.2540845070422535,1.1538461538461537,1.4615384615384615,4,incumbent80_state20,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,199,1.2382222222222221,20,0,0.6080402010050251,0.3401273885350318,1.7876837370372463,0.757208653276069,108.99530257954768,1.7876837370372463,1.7876837370372463,1,1,1.182222222222222,1.2755555555555553,1.3771929824561404,0.8041237113402062,1.7876837370372463,1.2382222222222221,1.2382222222222221,0.9333333333333333,1.525,3,incumbent80_state20,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,517,1.2205733558178753,20,0,0.5029013539651838,0.26782178217821784,1.8777462754337728,0.7751446936094852,75.02026355657202,1.7876837370372463,1.878927715279859,2,2,1.2158516020236088,1.2276559865092749,1.5029489157063787,0.7890625,1.878927715279859,1.2382222222222221,1.2540845070422535,0.9333333333333333,1.525,7,incumbent80_state20,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,323,1.2774011299435029,20,0,0.5541795665634675,0.3379032258064516,1.6400540872045337,0.7103770650496076,74.07303991720389,1.6400540872045337,1.6400540872045337,1,1,1.1864406779661016,1.344632768361582,1.5294117647058822,0.7515723270440252,1.6400540872045337,1.2774011299435029,1.2774011299435029,1.0181818181818183,1.9090909090909092,4,incumbent70_state30,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,313,1.2343661971830986,20,0,0.41533546325878595,0.22186234817813766,1.8720412303817542,0.7702685766803133,48.73953749262701,1.8720412303817542,1.8720412303817542,1,1,1.143661971830986,1.2816901408450705,1.6720000000000002,0.7857142857142857,1.8720412303817542,1.2343661971830986,1.2343661971830986,1.2,1.3846153846153846,4,incumbent70_state30,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,199,1.2382222222222221,20,0,0.5778894472361809,0.3401273885350318,1.6990382624734157,0.7425888970832791,96.9167294370309,1.6990382624734157,1.6990382624734157,1,1,1.0888888888888888,1.3377777777777777,1.1804511278195489,0.7938144329896907,1.6990382624734157,1.2382222222222221,1.2382222222222221,0.98,1.625,3,incumbent70_state30,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,512,1.2087689713322092,20,0,0.478515625,0.26782178217821784,1.7866942005545285,0.7647308780099458,67.46465701789339,1.6990382624734157,1.785539746427585,2,2,1.1568296795952784,1.2512647554806071,1.3970093457943924,0.7810650887573964,1.785539746427585,1.2343661971830986,1.2382222222222221,0.98,1.625,7,incumbent70_state30,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
